time,open,high,low,close,volume,ticker
2012-11-29,6680,6680,6680,6680,30,EMC
2012-11-30,6401,6401,6401,6401,40,EMC
2012-12-03,6123,6123,6123,6123,90,EMC
2012-12-04,5845,5845,5845,5845,430,EMC
2012-12-05,5566,5566,5566,5566,260,EMC
2012-12-06,5288,5288,5288,5288,120,EMC
2012-12-07,5079,5079,5079,5079,300,EMC
2012-12-10,4870,4870,4870,4870,220,EMC
2012-12-11,4662,4662,4662,4662,3560,EMC
2012-12-12,4453,4453,4453,4453,9500,EMC
2012-12-13,4244,4244,4244,4244,33970,EMC
2012-12-14,4035,4453,4035,4453,66580,EMC
2012-12-17,4453,4523,4244,4244,18100,EMC
2012-12-18,4244,4383,4244,4383,3350,EMC
2012-12-19,4244,4383,4175,4383,40360,EMC
2012-12-20,4175,4244,4175,4175,14120,EMC
2012-12-21,4175,4175,4035,4175,4400,EMC
2012-12-24,4175,4175,4035,4035,6560,EMC
2012-12-25,4035,4175,4035,4105,28650,EMC
2012-12-26,4105,4175,4105,4105,7510,EMC
2012-12-27,4105,4175,4035,4175,21320,EMC
2012-12-28,4175,4244,4035,4105,18450,EMC
2013-01-02,4105,4244,4105,4244,9020,EMC
2013-01-03,4383,4383,4244,4244,11230,EMC
2013-01-04,4175,4314,4175,4244,11400,EMC
2013-01-07,4244,4244,4175,4175,1900,EMC
2013-01-08,4175,4175,4035,4035,14710,EMC
2013-01-09,4035,4175,4035,4105,14530,EMC
2013-01-10,4105,4105,4105,4105,1100,EMC
2013-01-11,4105,4105,4105,4105,2930,EMC
2013-01-14,4105,4175,4105,4175,2980,EMC
2013-01-15,4105,4244,4105,4244,2110,EMC
2013-01-16,4175,4314,4175,4314,5640,EMC
2013-01-17,4035,4105,4035,4105,6520,EMC
2013-01-18,4105,4105,4035,4035,6090,EMC
2013-01-21,4105,4105,4035,4035,2420,EMC
2013-01-22,4035,4035,4035,4035,3210,EMC
2013-01-23,4035,4105,4035,4105,2610,EMC
2013-01-24,4175,4244,4175,4244,9600,EMC
2013-01-25,4314,4383,4314,4314,12010,EMC
2013-01-28,4383,4453,4314,4453,650,EMC
2013-01-29,4453,4453,4244,4383,8220,EMC
2013-01-30,4523,4523,4244,4244,1240,EMC
2013-01-31,4244,4244,4244,4244,1020,EMC
2013-02-01,4244,4314,4175,4314,11860,EMC
2013-02-04,4244,4244,4244,4244,3150,EMC
2013-02-05,4314,4314,4314,4314,2900,EMC
2013-02-06,4314,4314,4314,4314,3280,EMC
2013-02-07,4523,4523,4453,4523,4270,EMC
2013-02-08,4592,4801,4592,4801,1190,EMC
2013-02-18,4870,5010,4870,5010,1010,EMC
2013-02-19,4940,4940,4870,4870,1700,EMC
2013-02-20,4940,4940,4940,4940,4100,EMC
2013-02-21,4870,4940,4731,4731,21080,EMC
2013-02-22,4731,4731,4731,4731,2140,EMC
2013-02-25,4731,4731,4662,4662,4000,EMC
2013-02-26,4662,4662,4523,4662,3090,EMC
2013-02-27,4662,4662,4662,4662,0,EMC
2013-02-28,4523,4662,4523,4662,7030,EMC
2013-03-01,4453,4731,4453,4731,1020,EMC
2013-03-04,4662,4731,4662,4731,1020,EMC
2013-03-05,4731,4731,4731,4731,0,EMC
2013-03-06,4523,4731,4523,4731,40,EMC
2013-03-07,4523,4731,4523,4731,600,EMC
2013-03-08,4592,4731,4523,4731,10770,EMC
2013-03-11,4731,4731,4731,4731,0,EMC
2013-03-12,4662,4731,4592,4731,3600,EMC
2013-03-13,4662,4731,4662,4731,2100,EMC
2013-03-14,4731,4731,4731,4731,500,EMC
2013-03-15,4662,4731,4662,4731,2510,EMC
2013-03-18,4592,4731,4592,4731,4010,EMC
2013-03-19,4592,4731,4592,4731,2010,EMC
2013-03-20,4731,4731,4731,4731,0,EMC
2013-03-21,4523,4731,4523,4662,12550,EMC
2013-03-22,4731,4731,4731,4731,350,EMC
2013-03-25,4523,4731,4523,4731,3010,EMC
2013-03-26,4453,4801,4453,4662,3610,EMC
2013-03-27,4662,4662,4662,4662,290,EMC
2013-03-28,4662,4662,4523,4662,620,EMC
2013-03-29,4523,4523,4453,4453,8430,EMC
2013-04-01,4453,4592,4383,4592,2510,EMC
2013-04-02,4523,4801,4523,4801,8170,EMC
2013-04-03,4731,4801,4731,4801,1530,EMC
2013-04-04,4523,4523,4523,4523,620,EMC
2013-04-05,4662,4801,4523,4801,1900,EMC
2013-04-08,4801,4801,4592,4801,3290,EMC
2013-04-09,4801,4801,4662,4801,2010,EMC
2013-04-10,4801,4801,4592,4592,5510,EMC
2013-04-11,4592,4870,4592,4870,1460,EMC
2013-04-12,5149,5149,4731,4731,200,EMC
2013-04-15,4731,4731,4731,4731,200,EMC
2013-04-16,4731,4731,4731,4731,860,EMC
2013-04-17,4731,4801,4592,4801,2090,EMC
2013-04-18,4731,4801,4592,4801,920,EMC
2013-04-22,4801,4870,4592,4870,310,EMC
2013-04-23,4870,4940,4870,4940,300,EMC
2013-04-24,4731,4940,4731,4940,620,EMC
2013-04-25,4731,4870,4731,4731,3800,EMC
2013-04-26,4592,4801,4592,4801,980,EMC
2013-05-02,4801,4801,4801,4801,0,EMC
2013-05-03,4731,4731,4731,4731,1010,EMC
2013-05-06,4592,4731,4592,4662,2110,EMC
2013-05-07,4662,4870,4662,4662,2130,EMC
2013-05-08,4731,4731,4731,4731,200,EMC
2013-05-09,4731,4870,4731,4870,130,EMC
2013-05-10,4870,4940,4870,4940,500,EMC
2013-05-13,4940,5010,4940,5010,510,EMC
2013-05-14,4731,5079,4731,5079,110,EMC
2013-05-15,5079,5079,5079,5079,0,EMC
2013-05-16,5149,5149,5079,5149,30,EMC
2013-05-17,4801,5288,4801,5288,1110,EMC
2013-05-20,5288,5288,5288,5288,0,EMC
2013-05-21,5218,5358,4940,5358,820,EMC
2013-05-22,5010,5010,5010,5010,1040,EMC
2013-05-23,4940,5358,4940,5358,60,EMC
2013-05-24,5010,5358,5010,5358,580,EMC
2013-05-27,5010,5358,5010,5079,3110,EMC
2013-05-28,5079,5079,5079,5079,10,EMC
2013-05-29,4870,5427,4870,5010,3830,EMC
2013-05-30,4940,5010,4801,5010,23720,EMC
2013-05-31,4940,5010,4870,4870,25410,EMC
2013-06-03,4870,5149,4870,5149,62080,EMC
2013-06-04,5497,5497,5497,5497,35350,EMC
2013-06-05,5845,5845,5566,5845,26190,EMC
2013-06-06,5636,5705,5497,5497,31600,EMC
2013-06-07,5149,5636,5149,5497,16110,EMC
2013-06-10,5497,5497,5218,5497,29280,EMC
2013-06-11,5427,5427,5288,5427,46080,EMC
2013-06-12,5497,5497,5288,5288,21720,EMC
2013-06-13,5368,5528,5288,5288,7870,EMC
2013-06-14,5288,5368,5128,5208,24230,EMC
2013-06-17,5128,5288,5048,5048,12360,EMC
2013-06-18,5048,5128,5048,5128,4520,EMC
2013-06-19,5128,5288,5128,5288,970,EMC
2013-06-20,5288,5288,5128,5288,4520,EMC
2013-06-21,5128,5128,5128,5128,4090,EMC
2013-06-24,5128,5208,5048,5208,10060,EMC
2013-06-25,4967,5128,4887,4887,18610,EMC
2013-06-26,5128,5128,5128,5128,10,EMC
2013-06-27,5048,5368,5048,5368,2000,EMC
2013-06-28,5128,5128,5128,5128,1560,EMC
2013-07-01,5128,5128,5048,5128,1700,EMC
2013-07-02,5048,5208,5048,5128,4240,EMC
2013-07-03,5208,5208,5208,5208,300,EMC
2013-07-04,5048,5128,5048,5048,5690,EMC
2013-07-05,5128,5128,5128,5128,2900,EMC
2013-07-08,5128,5128,5048,5128,1190,EMC
2013-07-09,5128,5208,5048,5048,5330,EMC
2013-07-10,5048,5128,4967,5128,4730,EMC
2013-07-11,5048,5128,5048,5128,3370,EMC
2013-07-12,5128,5128,5128,5128,750,EMC
2013-07-15,5048,5208,4967,5208,7220,EMC
2013-07-16,5048,5208,5048,5208,5430,EMC
2013-07-17,5128,5208,5128,5208,1270,EMC
2013-07-18,4967,5208,4967,5208,5550,EMC
2013-07-19,4887,5208,4887,5208,6910,EMC
2013-07-22,4887,4967,4887,4887,30750,EMC
2013-07-23,4807,4807,4567,4567,25080,EMC
2013-07-24,4567,4567,4407,4407,20470,EMC
