time,open,high,low,close,volume,ticker
2010-01-18,21393,21393,18662,19617,318650,FDC
2010-01-19,19617,19663,18662,18662,59540,FDC
2010-01-20,18889,18889,17751,17751,127610,FDC
2010-01-21,16977,17751,16886,16886,62170,FDC
2010-01-22,16886,16886,16067,16067,77630,FDC
2010-01-25,16067,16841,15931,16613,32210,FDC
2010-01-26,17068,17433,17068,17433,69060,FDC
2010-01-27,17433,17524,16841,17068,34300,FDC
2010-01-28,17387,17387,16704,17296,29910,FDC
2010-01-29,17251,17296,16795,17251,27590,FDC
2010-02-01,17478,17478,16886,17251,44890,FDC
2010-02-02,17251,17296,16886,17068,31840,FDC
2010-02-03,16841,17068,16659,16704,50720,FDC
2010-02-04,16659,17114,16659,16841,43180,FDC
2010-02-05,16431,16795,16158,16158,60150,FDC
2010-02-08,16022,16932,15931,16932,122400,FDC
2010-02-09,17251,17251,16932,16977,40510,FDC
2010-02-10,17433,17433,17251,17251,14420,FDC
2010-02-11,17251,17251,16477,17114,37650,FDC
2010-02-12,16386,16613,16295,16340,86340,FDC
2010-02-22,15931,16386,15931,16022,13270,FDC
2010-02-23,15430,15566,15293,15430,24250,FDC
2010-02-24,15430,15430,15111,15430,4430,FDC
2010-02-25,15794,15794,15157,15430,79090,FDC
2010-02-26,15430,15430,15339,15430,54340,FDC
2010-03-01,15430,15430,15248,15293,125950,FDC
2010-03-02,16022,16022,15976,16022,103050,FDC
2010-03-03,16022,16795,16022,16750,117460,FDC
2010-03-04,17296,17296,16841,17068,205800,FDC
2010-03-05,16932,17478,16886,17478,156750,FDC
2010-03-08,17751,17751,17296,17296,66420,FDC
2010-03-09,16886,17524,16886,17433,146390,FDC
2010-03-10,17900,17900,16918,17199,37410,FDC
2010-03-11,17199,17292,16872,16918,103310,FDC
2010-03-12,17199,17199,16778,16918,76930,FDC
2010-03-15,16918,17760,16918,17479,92320,FDC
2010-03-16,17479,17479,16732,16732,44700,FDC
2010-03-17,16732,16825,16451,16591,29690,FDC
2010-03-18,16825,16825,16451,16591,129450,FDC
2010-03-19,16591,16591,16545,16545,40620,FDC
2010-03-22,16545,16825,16545,16545,40800,FDC
2010-03-23,16545,16591,16124,16311,29560,FDC
2010-03-24,16311,16311,15937,16311,99800,FDC
2010-03-25,15890,16030,15750,15750,22570,FDC
2010-03-26,15750,15844,15189,15797,67980,FDC
2010-03-29,15797,16124,15423,15844,122250,FDC
2010-03-30,15890,16591,15890,16591,289690,FDC
2010-03-31,16591,17199,16358,16358,56110,FDC
2010-04-01,16171,16591,16171,16451,34200,FDC
2010-04-02,16451,16451,15797,16311,78080,FDC
2010-04-05,16778,16778,15890,16077,22300,FDC
2010-04-06,16311,16311,15984,15984,91060,FDC
2010-04-07,16077,16171,15984,16124,54710,FDC
2010-04-08,16498,16498,16030,16171,47380,FDC
