time,open,high,low,close,volume,ticker
2018-08-02,10874,10874,8510,8510,5400,FIC
2018-08-03,9550,9550,9550,9550,0,FIC
2018-08-06,9550,9550,9550,9550,0,FIC
2018-08-07,9550,9550,9550,9550,0,FIC
2018-08-08,10968,10968,10401,10401,400,FIC
2018-08-09,10401,10401,10401,10401,1000,FIC
2018-08-10,10401,10401,10401,10401,0,FIC
2018-08-13,10401,10401,10401,10401,0,FIC
2018-08-14,10401,10401,10401,10401,0,FIC
2018-08-15,10401,10401,10401,10401,0,FIC
2018-08-16,10401,10401,10401,10401,0,FIC
2018-08-17,8888,8888,8888,8888,3200,FIC
2018-08-20,8888,8888,8888,8888,0,FIC
2018-08-21,8888,8888,8888,8888,0,FIC
2018-08-22,8888,8888,8888,8888,0,FIC
2018-08-23,8888,8888,8888,8888,0,FIC
2018-08-24,8888,8888,8888,8888,0,FIC
2018-08-27,8888,8888,8888,8888,0,FIC
2018-08-28,8888,8888,8888,8888,0,FIC
2018-08-29,8888,8888,8888,8888,0,FIC
2018-08-30,8888,8888,8888,8888,0,FIC
2018-08-31,8888,8888,8888,8888,0,FIC
2018-09-04,8888,8888,8888,8888,0,FIC
2018-09-05,8888,8888,8888,8888,0,FIC
2018-09-06,8888,8888,8888,8888,0,FIC
2018-09-07,8888,8888,8888,8888,0,FIC
2018-09-10,8888,8888,8888,8888,0,FIC
2018-09-11,10212,10212,10212,10212,100,FIC
2018-09-12,10212,10212,10212,10212,0,FIC
2018-09-13,11725,11725,11725,11725,100,FIC
2018-09-14,11725,11725,11725,11725,0,FIC
2018-09-17,11725,11725,11725,11725,0,FIC
2018-09-18,11725,11725,11725,11725,0,FIC
2018-09-19,13427,13427,10401,10401,200,FIC
2018-09-20,11914,11914,11914,11914,0,FIC
2018-09-21,11914,11914,11914,11914,0,FIC
2018-09-24,11914,11914,11914,11914,0,FIC
2018-09-25,11914,11914,11914,11914,0,FIC
2018-09-26,11914,11914,11914,11914,0,FIC
2018-09-27,10212,10212,10212,10212,200,FIC
2018-09-28,8699,8699,8699,8699,100,FIC
2018-10-01,8699,8699,8699,8699,0,FIC
2018-10-02,8699,8699,8699,8699,0,FIC
2018-10-03,8699,8699,8699,8699,0,FIC
2018-10-04,8699,8699,8699,8699,0,FIC
2018-10-05,8699,8699,8699,8699,0,FIC
2018-10-08,8699,8699,8699,8699,0,FIC
2018-10-09,8699,8699,8699,8699,0,FIC
2018-10-10,8699,8699,8699,8699,0,FIC
2018-10-11,8699,8699,8699,8699,0,FIC
2018-10-12,8699,8699,8699,8699,101000,FIC
2018-10-15,8699,8699,8699,8699,0,FIC
2018-10-16,8699,8699,8699,8699,0,FIC
2018-10-17,8699,8699,8699,8699,0,FIC
2018-10-18,8699,8699,8699,8699,0,FIC
2018-10-19,8699,8699,8699,8699,0,FIC
2018-10-22,8699,8699,8699,8699,0,FIC
2018-10-23,8699,8699,8699,8699,0,FIC
2018-10-24,8699,8699,8699,8699,0,FIC
2018-10-25,8699,8699,8699,8699,0,FIC
2018-10-26,8699,8699,8699,8699,0,FIC
2018-10-29,8699,8699,8699,8699,0,FIC
2018-10-30,8888,8888,8793,8793,500,FIC
2018-10-31,8888,8888,8888,8888,0,FIC
2018-11-01,8888,8888,8888,8888,0,FIC
2018-11-02,8888,8888,8888,8888,0,FIC
2018-11-05,8888,8888,8888,8888,0,FIC
2018-11-06,8888,8888,8888,8888,0,FIC
2018-11-07,8888,8888,8888,8888,0,FIC
2018-11-08,8888,8888,8888,8888,0,FIC
2018-11-09,8888,8888,8888,8888,0,FIC
2018-11-12,8510,8510,8510,8510,1000,FIC
2018-11-13,8510,8510,8510,8510,0,FIC
2018-11-14,8510,8510,8510,8510,0,FIC
2018-11-15,8510,8510,8510,8510,0,FIC
2018-11-16,8510,8510,8510,8510,0,FIC
2018-11-19,8510,8510,8510,8510,0,FIC
2018-11-20,8510,8510,8510,8510,0,FIC
2018-11-21,8510,8510,8510,8510,0,FIC
2018-11-22,8510,8510,8510,8510,0,FIC
2018-11-23,8510,8510,8510,8510,0,FIC
2018-11-26,8510,8510,8510,8510,0,FIC
2018-11-27,8510,8510,8510,8510,0,FIC
2018-11-28,8510,8510,8510,8510,0,FIC
2018-11-29,8510,8510,8510,8510,0,FIC
2018-11-30,8510,8510,8510,8510,0,FIC
2018-12-03,8510,8510,8510,8510,0,FIC
2018-12-04,8510,8510,8510,8510,0,FIC
2018-12-05,9739,9739,9739,9739,100,FIC
2018-12-06,9739,9739,9739,9739,0,FIC
2018-12-07,10968,10968,10590,10590,200,FIC
2018-12-10,10779,10779,10779,10779,0,FIC
2018-12-11,10779,10779,10779,10779,0,FIC
2018-12-12,11157,12387,11157,12387,2300,FIC
2018-12-13,10023,10023,10023,10023,500,FIC
2018-12-14,10023,10023,10023,10023,0,FIC
2018-12-17,11441,11441,10023,11252,600,FIC
2018-12-18,10874,12481,9266,9266,2200,FIC
2018-12-19,10684,10684,10684,10684,0,FIC
2018-12-20,10684,10684,10684,10684,0,FIC
2018-12-21,10684,10684,10684,10684,0,FIC
2018-12-24,10684,10684,10684,10684,0,FIC
2018-12-25,11063,11063,9172,9172,2600,FIC
2018-12-26,10117,10117,10117,10117,0,FIC
2018-12-27,8604,8604,8604,8604,2928,FIC
2018-12-28,9739,9739,7375,7375,5600,FIC
2019-01-02,7942,7942,7942,7942,0,FIC
2019-01-03,7942,7942,7942,7942,0,FIC
2019-01-04,7091,7091,7091,7091,1100,FIC
2019-01-07,7091,7091,7091,7091,0,FIC
2019-01-08,7753,7753,7753,7753,100,FIC
