time,open,high,low,close,volume,ticker
2022-09-26,12100,12100,12100,12100,600,FUCTVGF4
2022-09-27,12300,12300,12300,12300,200,FUCTVGF4
2022-09-28,13150,13150,13150,13150,100,FUCTVGF4
2022-09-29,13150,13500,13150,13500,200,FUCTVGF4
2022-09-30,14400,14400,14400,14400,100,FUCTVGF4
2022-10-03,14500,14600,14500,14600,1000,FUCTVGF4
2022-10-04,14600,14600,14600,14600,0,FUCTVGF4
2022-10-05,15600,15600,15600,15600,100,FUCTVGF4
2022-10-06,16650,16650,16650,16650,500,FUCTVGF4
2022-10-07,17800,17800,17800,17800,100,FUCTVGF4
2022-10-10,18950,18950,18950,18950,200,FUCTVGF4
2022-10-11,20250,20250,20250,20250,200,FUCTVGF4
2022-10-12,21550,21600,21550,21600,200,FUCTVGF4
2022-10-13,21500,21500,21500,21500,100,FUCTVGF4
2022-10-14,21500,21500,21500,21500,0,FUCTVGF4
2022-10-17,21500,21500,21500,21500,0,FUCTVGF4
2022-10-18,20000,20000,20000,20000,100,FUCTVGF4
2022-10-19,20000,20000,20000,20000,0,FUCTVGF4
2022-10-20,20000,20000,20000,20000,0,FUCTVGF4
2022-10-21,20000,20000,20000,20000,0,FUCTVGF4
2022-10-24,20000,20000,20000,20000,0,FUCTVGF4
2022-10-25,20000,20000,20000,20000,0,FUCTVGF4
2022-10-26,20000,20000,20000,20000,0,FUCTVGF4
2022-10-27,20000,20000,20000,20000,0,FUCTVGF4
2022-10-28,20000,20000,20000,20000,0,FUCTVGF4
2022-10-31,20000,20000,20000,20000,0,FUCTVGF4
2022-11-01,20000,20000,20000,20000,0,FUCTVGF4
2022-11-02,20000,20000,20000,20000,0,FUCTVGF4
2022-11-03,18600,18600,18600,18600,100,FUCTVGF4
2022-11-04,18600,18600,18600,18600,0,FUCTVGF4
2022-11-07,18600,18600,18600,18600,0,FUCTVGF4
2022-11-08,17300,17300,17300,17300,100,FUCTVGF4
2022-11-09,16100,16100,16100,16100,100,FUCTVGF4
2022-11-10,16050,16050,16050,16050,100,FUCTVGF4
2022-11-11,16000,16000,16000,16000,100,FUCTVGF4
2022-11-14,16000,16000,16000,16000,0,FUCTVGF4
2022-11-15,14900,14900,14900,14900,100,FUCTVGF4
2022-11-16,14900,14900,14900,14900,0,FUCTVGF4
2022-11-17,14900,14900,14900,14900,0,FUCTVGF4
2022-11-18,13900,13900,13900,13900,100,FUCTVGF4
2022-11-21,13900,13900,13900,13900,0,FUCTVGF4
2022-11-22,12950,12950,12950,12950,100,FUCTVGF4
2022-11-23,12050,12050,12050,12050,100,FUCTVGF4
2022-11-24,11250,11250,11250,11250,100,FUCTVGF4
2022-11-25,10500,10500,10500,10500,100,FUCTVGF4
2022-11-28,9780,9780,9780,9780,100,FUCTVGF4
2022-11-29,9950,9950,9950,9950,100,FUCTVGF4
2022-11-30,9260,9260,9260,9260,600,FUCTVGF4
2022-12-01,8620,8620,8620,8620,100,FUCTVGF4
2022-12-02,8020,8020,8020,8020,100,FUCTVGF4
2022-12-05,7460,7460,7460,7460,100,FUCTVGF4
2022-12-06,6940,6950,6940,6950,600,FUCTVGF4
2022-12-07,6470,6470,6470,6470,100,FUCTVGF4
2022-12-08,6020,6030,6020,6030,200,FUCTVGF4
2022-12-09,6450,6450,6450,6450,100,FUCTVGF4
2022-12-12,6900,6900,6900,6900,100,FUCTVGF4
2022-12-13,7380,7380,7380,7380,100,FUCTVGF4
2022-12-14,7000,7890,7000,7890,200,FUCTVGF4
2022-12-15,7400,8440,7400,8440,900,FUCTVGF4
2022-12-16,9030,9030,9030,9030,100,FUCTVGF4
2022-12-19,8670,9660,8670,9660,200,FUCTVGF4
2022-12-20,10200,10200,10200,10200,200,FUCTVGF4
2022-12-21,10800,10800,9490,10800,900,FUCTVGF4
2022-12-22,11500,11500,11500,11500,400,FUCTVGF4
2022-12-23,12200,12200,10700,10700,200,FUCTVGF4
2022-12-26,10750,11400,10750,11400,200,FUCTVGF4
2022-12-27,12150,12150,12150,12150,200,FUCTVGF4
2022-12-28,13000,13000,13000,13000,200,FUCTVGF4
2022-12-29,13900,13900,13900,13900,100,FUCTVGF4
2022-12-30,14800,14850,14800,14850,200,FUCTVGF4
