time,open,high,low,close,volume,ticker
2023-05-25,9990,11690,9860,11690,5600,FUEFCV50
2023-05-26,12500,12500,12500,12500,900,FUEFCV50
2023-05-29,13370,13370,13370,13370,1200,FUEFCV50
2023-05-30,14300,14300,14300,14300,1800,FUEFCV50
2023-05-31,15300,15300,15300,15300,4500,FUEFCV50
2023-06-01,16370,16370,16370,16370,14300,FUEFCV50
2023-06-02,17510,17510,16370,16500,4100,FUEFCV50
2023-06-05,16500,16500,15600,15600,1700,FUEFCV50
2023-06-06,15500,15600,15110,15600,900,FUEFCV50
2023-06-07,14510,15600,14510,15600,1100,FUEFCV50
2023-06-08,15450,15450,14510,14510,600,FUEFCV50
2023-06-09,14510,14510,13500,14000,2100,FUEFCV50
2023-06-12,14000,14000,14000,14000,100,FUEFCV50
2023-06-13,14000,14000,14000,14000,400,FUEFCV50
2023-06-14,14000,14000,14000,14000,0,FUEFCV50
2023-06-15,14000,14000,14000,14000,0,FUEFCV50
2023-06-16,14000,14000,14000,14000,300,FUEFCV50
2023-06-19,14000,14000,14000,14000,0,FUEFCV50
2023-06-20,13090,13900,13090,13900,300,FUEFCV50
2023-06-21,13900,13900,13900,13900,200,FUEFCV50
2023-06-22,13900,13900,13900,13900,0,FUEFCV50
2023-06-23,14000,14000,14000,14000,100,FUEFCV50
2023-06-26,14000,14000,14000,14000,0,FUEFCV50
2023-06-27,14000,14000,14000,14000,0,FUEFCV50
2023-06-28,14000,14000,14000,14000,0,FUEFCV50
2023-06-29,14000,14000,14000,14000,600,FUEFCV50
2023-06-30,14000,14000,14000,14000,0,FUEFCV50
