time,open,high,low,close,volume,ticker
2022-01-07,12140,12140,10060,10150,3218300,FUEKIV30
2022-01-10,10250,10350,10020,10030,288200,FUEKIV30
2022-01-11,10730,10730,9860,9990,291900,FUEKIV30
2022-01-12,9950,10040,9780,10040,171500,FUEKIV30
2022-01-13,10120,10740,10000,10100,152500,FUEKIV30
2022-01-14,10000,10120,9960,10030,152700,FUEKIV30
2022-01-17,10020,10020,9750,9760,82700,FUEKIV30
2022-01-18,9760,9760,9650,9700,69500,FUEKIV30
2022-01-19,9760,9810,9700,9710,55800,FUEKIV30
2022-01-20,9730,9800,9690,9800,65900,FUEKIV30
2022-01-21,9800,9850,9760,9830,58600,FUEKIV30
2022-01-24,9810,9810,9600,9600,89700,FUEKIV30
2022-01-25,9590,9840,9590,9800,60600,FUEKIV30
2022-01-26,9900,9990,9900,9930,82400,FUEKIV30
2022-01-27,9950,9950,9850,9940,82600,FUEKIV30
2022-01-28,9930,10010,9930,10010,142900,FUEKIV30
2022-02-07,10200,10200,10050,10080,95300,FUEKIV30
2022-02-08,10100,10120,9950,10100,87900,FUEKIV30
2022-02-09,10090,10220,10090,10160,63900,FUEKIV30
2022-02-10,10200,10200,10060,10060,107100,FUEKIV30
2022-02-11,10100,10150,10100,10140,65600,FUEKIV30
2022-02-14,10140,10140,9970,9970,68600,FUEKIV30
2022-02-15,9930,9970,9900,9970,104000,FUEKIV30
2022-02-16,10030,10030,9930,9950,62100,FUEKIV30
2022-02-17,9980,10040,9980,10040,84400,FUEKIV30
2022-02-18,10050,10050,9950,9980,59000,FUEKIV30
2022-02-21,10080,10080,9950,9960,121400,FUEKIV30
2022-02-22,10030,10030,9830,9890,130700,FUEKIV30
2022-02-23,9960,10090,9960,10000,65700,FUEKIV30
2022-02-24,10000,10030,9900,9950,75500,FUEKIV30
2022-02-25,10000,10050,9950,9950,56900,FUEKIV30
2022-02-28,9960,9960,9870,9950,83400,FUEKIV30
2022-03-01,9950,9970,9930,9960,56900,FUEKIV30
2022-03-02,9960,9960,9820,9920,82100,FUEKIV30
2022-03-03,9910,9930,9830,9920,80200,FUEKIV30
2022-03-04,9940,9960,9900,9900,57200,FUEKIV30
2022-03-07,9900,9900,9800,9820,97000,FUEKIV30
2022-03-08,9820,9820,9750,9750,62000,FUEKIV30
2022-03-09,9730,9750,9700,9720,57200,FUEKIV30
2022-03-10,9740,9840,9740,9760,54900,FUEKIV30
2022-03-11,9750,9750,9650,9690,64600,FUEKIV30
2022-03-14,9650,9650,9530,9570,60500,FUEKIV30
2022-03-15,9570,9580,9500,9570,65100,FUEKIV30
2022-03-16,9580,9600,9580,9590,54000,FUEKIV30
2022-03-17,9690,9690,9580,9580,52600,FUEKIV30
2022-03-18,9660,9660,9620,9650,54100,FUEKIV30
2022-03-21,9620,9700,9620,9650,55400,FUEKIV30
2022-03-22,9890,9890,9750,9800,54700,FUEKIV30
2022-03-23,9800,9870,9760,9810,53600,FUEKIV30
2022-03-24,9810,9810,9730,9800,52300,FUEKIV30
2022-03-25,9800,9800,9720,9790,53500,FUEKIV30
2022-03-28,9790,9790,9630,9700,56200,FUEKIV30
2022-03-29,9700,9740,9700,9710,63200,FUEKIV30
2022-03-30,9740,9800,9730,9760,52100,FUEKIV30
2022-03-31,9760,9900,9760,9900,79300,FUEKIV30
2022-04-01,9810,9990,9770,9900,76800,FUEKIV30
2022-04-04,10020,10030,9890,9970,57400,FUEKIV30
2022-04-05,9990,10200,9980,10040,63900,FUEKIV30
2022-04-06,10000,10110,9990,10110,70300,FUEKIV30
2022-04-07,10090,10150,10030,10030,54800,FUEKIV30
2022-04-08,10060,10110,10020,10020,70900,FUEKIV30
2022-04-12,10010,10030,9950,10030,55900,FUEKIV30
2022-04-13,9990,10000,9900,10000,53900,FUEKIV30
2022-04-14,10000,10040,9950,9950,56300,FUEKIV30
2022-04-15,9940,9980,9870,9870,52600,FUEKIV30
2022-04-18,9880,9880,9690,9790,73300,FUEKIV30
2022-04-19,9800,10000,9580,9590,57000,FUEKIV30
2022-04-20,9590,9590,9490,9540,57300,FUEKIV30
2022-04-21,9550,9550,9310,9530,60500,FUEKIV30
2022-04-22,9420,9480,9340,9400,57600,FUEKIV30
