time,open,high,low,close,volume,ticker
2021-12-08,19850,19850,19580,19590,39200,FUEVN100
2021-12-09,20400,20400,19610,19800,34600,FUEVN100
2021-12-10,20250,20250,19640,20010,40500,FUEVN100
2021-12-13,20250,20250,19730,19730,45700,FUEVN100
2021-12-14,19830,19900,19730,19780,36600,FUEVN100
2021-12-15,19780,19870,19730,19790,21200,FUEVN100
2021-12-16,19810,19860,19610,19610,38400,FUEVN100
2021-12-17,19770,19860,19710,19790,31700,FUEVN100
2021-12-20,19810,19810,19640,19650,71400,FUEVN100
2021-12-21,19630,19840,19630,19760,38100,FUEVN100
2021-12-22,19880,19890,19690,19700,38400,FUEVN100
2021-12-23,19740,19750,19400,19450,39200,FUEVN100
2021-12-24,19400,19740,19400,19570,57700,FUEVN100
2021-12-27,19900,19900,19700,19830,38600,FUEVN100
2021-12-28,19910,20000,19890,19940,44500,FUEVN100
2021-12-29,20010,20100,20010,20030,36000,FUEVN100
2021-12-30,20040,20120,20000,20080,36700,FUEVN100
2021-12-31,20090,21480,20090,21480,44700,FUEVN100
2022-01-04,20760,20760,20330,20610,57200,FUEVN100
2022-01-05,20600,20600,20450,20580,41500,FUEVN100
2022-01-06,20580,20580,20380,20420,38600,FUEVN100
2022-01-07,20500,20500,20300,20450,53500,FUEVN100
2022-01-10,20500,20500,20190,20240,82400,FUEVN100
2022-01-11,20220,20220,19900,19900,53200,FUEVN100
2022-01-12,20030,21000,19700,20010,45800,FUEVN100
2022-01-13,20140,20340,20140,20280,34900,FUEVN100
2022-01-14,20400,20400,19980,19980,59800,FUEVN100
2022-01-17,20400,20400,19560,19570,62500,FUEVN100
2022-01-18,19810,20700,19050,20700,76200,FUEVN100
2022-01-19,20650,20650,19300,19400,46700,FUEVN100
2022-01-20,19440,19490,19430,19460,36500,FUEVN100
2022-01-21,19660,19660,19300,19540,40900,FUEVN100
2022-01-24,19590,19590,19170,19270,67900,FUEVN100
2022-01-25,19290,19530,19130,19530,38000,FUEVN100
2022-01-26,19770,19860,19690,19780,45600,FUEVN100
2022-01-27,19840,19840,19540,19690,55700,FUEVN100
2022-01-28,19740,19930,19740,19930,37500,FUEVN100
2022-02-07,20000,20130,19990,19990,53000,FUEVN100
2022-02-08,20110,20110,19870,20030,47200,FUEVN100
2022-02-09,20800,20800,20070,20480,124800,FUEVN100
2022-02-10,20480,20490,20040,20040,100000,FUEVN100
2022-02-11,20430,20430,20010,20210,75300,FUEVN100
2022-02-14,20230,20230,19820,19970,117400,FUEVN100
2022-02-15,19700,20000,19700,20000,50900,FUEVN100
2022-02-16,21100,21100,19800,19830,103500,FUEVN100
2022-02-17,21000,21000,19850,20050,65000,FUEVN100
2022-02-18,20060,20060,19860,19930,58100,FUEVN100
2022-02-21,20130,20130,19930,20100,52900,FUEVN100
2022-02-22,20100,20190,19750,19960,140600,FUEVN100
2022-02-23,20070,20200,19960,20100,69300,FUEVN100
2022-02-24,20100,20500,19850,19960,82900,FUEVN100
2022-02-25,20080,20100,19970,20060,69400,FUEVN100
2022-02-28,20070,20080,19870,20000,77600,FUEVN100
2022-03-01,20450,20450,19900,20060,95400,FUEVN100
2022-03-02,20060,20080,19710,19810,89500,FUEVN100
2022-03-03,20100,21180,19790,21180,636100,FUEVN100
2022-03-04,20890,20890,19960,20520,88800,FUEVN100
2022-03-07,20520,20640,20050,20640,55100,FUEVN100
2022-03-08,20650,20650,19630,19940,236900,FUEVN100
2022-03-09,20450,20450,19500,19890,161400,FUEVN100
2022-03-10,20290,20290,19560,19700,173700,FUEVN100
2022-03-11,19800,19800,19300,19300,278000,FUEVN100
2022-03-14,19520,19950,19300,19950,75400,FUEVN100
2022-03-15,19380,19400,19170,19300,167900,FUEVN100
2022-03-16,19460,19520,19360,19520,66500,FUEVN100
2022-03-17,19570,19570,19470,19500,49600,FUEVN100
2022-03-18,19650,19660,19470,19600,46600,FUEVN100
2022-03-21,19650,19790,19600,19790,60700,FUEVN100
2022-03-22,20000,20000,19600,19980,64100,FUEVN100
2022-03-23,19980,20000,19910,19950,71800,FUEVN100
2022-03-24,19950,19950,19810,19900,62400,FUEVN100
2022-03-25,19910,19950,19830,19900,67600,FUEVN100
2022-03-28,19900,19970,19630,19770,77300,FUEVN100
2022-03-29,19800,19910,19790,19800,62000,FUEVN100
2022-03-30,19780,20050,19780,19830,68000,FUEVN100
2022-03-31,19900,20420,19840,19970,49200,FUEVN100
2022-04-01,20000,20310,19970,20210,125800,FUEVN100
2022-04-04,20220,20460,20220,20400,80100,FUEVN100
2022-04-05,20460,20520,20290,20350,80700,FUEVN100
2022-04-06,20350,20560,20280,20560,60200,FUEVN100
2022-04-07,20560,20570,20430,20430,73300,FUEVN100
2022-04-08,20410,20460,20080,20400,124000,FUEVN100
2022-04-12,20900,20900,19810,20000,131700,FUEVN100
2022-04-13,19800,19960,19800,19930,73300,FUEVN100
2022-04-14,20070,20070,19850,19910,69500,FUEVN100
2022-04-15,20340,20340,19660,20000,111100,FUEVN100
2022-04-18,20350,20350,19310,19940,184700,FUEVN100
2022-04-19,19660,19930,19000,19000,214600,FUEVN100
2022-04-20,19350,19650,18830,18980,140500,FUEVN100
2022-04-21,19000,20000,18400,18760,121900,FUEVN100
2022-04-22,19500,19910,18600,18650,111600,FUEVN100
2022-04-25,19280,19950,18030,18040,190200,FUEVN100
2022-04-26,18180,19150,17580,19150,109200,FUEVN100
2022-04-27,19150,19150,18050,18610,130200,FUEVN100
2022-04-28,19300,19300,18450,18680,84400,FUEVN100
2022-04-29,18700,19200,18480,18640,69700,FUEVN100
2022-05-04,19400,19890,18640,19210,82500,FUEVN100
2022-05-05,19330,19990,18590,19150,152100,FUEVN100
2022-05-06,19150,19800,18260,18700,163200,FUEVN100
2022-05-09,18710,19700,18100,18400,89900,FUEVN100
2022-05-10,18410,18410,18100,18270,82100,FUEVN100
2022-05-11,18420,19000,17510,18330,94200,FUEVN100
2022-05-12,17650,19400,17520,17850,137600,FUEVN100
2022-05-13,18000,18200,16970,18200,108500,FUEVN100
2022-05-16,18000,18200,16990,17410,138600,FUEVN100
2022-05-17,16700,17410,16200,17160,157500,FUEVN100
2022-05-18,18050,18050,16880,16940,83800,FUEVN100
2022-05-19,17300,17600,16700,16910,73100,FUEVN100
2022-05-20,17450,17450,16480,16890,109200,FUEVN100
2022-05-23,16000,16720,16000,16070,152700,FUEVN100
2022-05-24,16110,16650,15960,16160,70600,FUEVN100
2022-05-25,17150,17150,16300,16700,49400,FUEVN100
2022-05-26,16800,17000,16630,17000,69800,FUEVN100
2022-05-27,17000,17060,16800,16990,62100,FUEVN100
2022-05-30,17240,17240,17000,17080,58500,FUEVN100
2022-05-31,17080,17300,16920,17200,70900,FUEVN100
2022-06-01,17190,17190,16980,17010,70200,FUEVN100
2022-06-02,17190,17350,16980,17010,75200,FUEVN100
2022-06-03,17000,17050,16860,17050,61700,FUEVN100
