time,open,high,low,close,volume,ticker
2019-07-11,13337,13337,13337,13337,1305500,GAB
2019-07-12,14263,14263,14217,14263,1326000,GAB
2019-07-15,14263,15235,15189,15235,1031350,GAB
2019-07-16,14217,14633,14170,14170,504010,GAB
2019-07-17,13198,13198,13198,13198,29340,GAB
2019-07-18,12318,12318,12318,12318,8980,GAB
2019-07-19,11484,11484,11484,11484,42520,GAB
2019-07-22,10697,10697,10697,10697,180280,GAB
2019-07-23,9956,10651,9956,10188,1431110,GAB
2019-07-24,10188,10836,9493,9493,396700,GAB
2019-07-25,8900,9539,8872,9539,338650,GAB
2019-07-26,9076,9160,8872,8872,394470,GAB
2019-07-29,8261,8280,8252,8252,183100,GAB
2019-07-30,7678,8206,7678,7678,671050,GAB
2019-07-31,7678,8215,7678,8215,222070,GAB
2019-08-01,8595,8789,8595,8789,253790,GAB
2019-08-02,9354,9400,8706,8845,384230,GAB
2019-08-05,9447,9447,9076,9447,255240,GAB
2019-08-06,10002,10095,9539,10095,118850,GAB
2019-08-07,10002,10790,10651,10790,110250,GAB
2019-08-08,11484,11531,10836,11531,339980,GAB
2019-08-09,12318,12318,12318,12318,231980,GAB
2019-08-12,13152,13152,12874,13152,141360,GAB
2019-08-13,14031,14031,14031,14031,318490,GAB
2019-08-14,15004,15004,13059,13059,746820,GAB
2019-08-15,12179,13939,12179,13939,489240,GAB
2019-08-16,14911,14911,13013,14911,475980,GAB
2019-08-19,15004,15838,14911,15004,144100,GAB
2019-08-20,14124,15606,14078,14911,145560,GAB
2019-08-21,15004,15004,13893,13893,334230,GAB
2019-08-22,14448,14448,12920,12920,246960,GAB
2019-08-23,12086,13707,12040,13059,418240,GAB
2019-08-26,13059,13615,12272,12318,114060,GAB
2019-08-27,12781,13105,11855,11947,166090,GAB
2019-08-28,11577,12457,11438,11809,160640,GAB
2019-08-29,11114,12225,11021,11114,150310,GAB
2019-08-30,11114,11392,10373,10604,219630,GAB
2019-09-03,10604,11114,9910,11021,207070,GAB
2019-09-04,10604,11299,10373,11114,98940,GAB
2019-09-05,11253,11392,10743,11299,103830,GAB
2019-09-06,10651,11531,10651,11392,152650,GAB
2019-09-09,11392,11809,11207,11392,74680,GAB
2019-09-10,11392,11577,10929,11392,92060,GAB
2019-09-11,11392,11438,10929,11345,99940,GAB
2019-09-12,11114,11392,10836,10836,109220,GAB
2019-09-13,11114,11114,10697,11068,106360,GAB
2019-09-16,11068,11207,10604,10836,137260,GAB
2019-09-17,10975,10975,10095,10280,219220,GAB
2019-09-18,10373,10373,9817,10280,75440,GAB
2019-09-19,10651,10651,10280,10373,71360,GAB
2019-09-20,10512,10512,9817,10419,151380,GAB
2019-09-23,9864,10327,9864,10280,65930,GAB
2019-09-24,10280,10280,9910,10188,122500,GAB
2019-09-25,10188,10234,9956,10188,128740,GAB
2019-09-26,10188,10188,9817,10141,46110,GAB
2019-09-27,10141,10651,9910,10141,47000,GAB
2019-09-30,10188,10327,9956,10280,75110,GAB
2019-10-01,10373,10373,10095,10327,58820,GAB
2019-10-02,10327,10327,10002,10280,68640,GAB
2019-10-03,10280,10280,10002,10280,61580,GAB
2019-10-04,10280,10280,10002,10280,37270,GAB
2019-10-07,10280,10280,9725,9725,43930,GAB
2019-10-08,10002,10095,9910,10049,28560,GAB
2019-10-09,10095,10188,9910,9910,20120,GAB
