time,open,high,low,close,volume,ticker
2012-05-21,22192,24651,22192,24591,2502080,GAS
2012-05-22,25791,25791,25491,25791,1934550,GAS
2012-05-23,25731,25791,24531,24531,1055780,GAS
2012-05-24,23392,23992,23332,23332,1009380,GAS
2012-05-25,23332,23872,22252,23392,877260,GAS
2012-05-28,23512,23512,22492,22552,457400,GAS
2012-05-29,21772,22192,21652,22012,418300,GAS
2012-05-30,22192,22732,22012,22672,170280,GAS
2012-05-31,22312,22672,22012,22312,269030,GAS
2012-06-01,22192,22432,22192,22312,138370,GAS
2012-06-04,22072,22072,21352,21352,383250,GAS
2012-06-05,20993,21532,20993,21352,330550,GAS
2012-06-06,21352,21592,21172,21472,101300,GAS
2012-06-07,21772,22492,21472,22492,280210,GAS
2012-06-08,22672,23572,22432,22492,300060,GAS
2012-06-11,22192,22732,22072,22072,106110,GAS
2012-06-12,22492,22492,21772,21772,126760,GAS
2012-06-13,22012,22012,21652,21832,33550,GAS
2012-06-14,21712,22072,21652,21832,88860,GAS
2012-06-15,21832,22372,21832,22252,80460,GAS
2012-06-18,22372,22792,22372,22732,181580,GAS
2012-06-19,22732,22912,22552,22732,263540,GAS
2012-06-20,22732,23212,22732,23032,224150,GAS
2012-06-21,23272,23272,22852,23092,86970,GAS
2012-06-22,23032,23272,22972,23152,182790,GAS
2012-06-25,23212,23212,22552,22732,216300,GAS
2012-06-26,22312,22732,22312,22732,107410,GAS
2012-06-27,22672,23032,22672,22792,56490,GAS
2012-06-28,23092,23092,22792,23092,314740,GAS
2012-06-29,23212,23212,23032,23032,591130,GAS
2012-07-02,23212,23992,23032,23092,111900,GAS
2012-07-03,23092,23272,22912,23152,98880,GAS
2012-07-04,23092,23152,22912,22972,181160,GAS
2012-07-05,22972,23032,22492,22972,32450,GAS
2012-07-06,22972,22972,22492,22972,27580,GAS
2012-07-09,22972,22972,22612,22792,14910,GAS
2012-07-10,22612,22792,22492,22492,54900,GAS
2012-07-11,22192,22672,22192,22672,32940,GAS
2012-07-12,22732,22732,22552,22732,2830,GAS
2012-07-13,22792,22912,22732,22852,77460,GAS
2012-07-16,22552,22972,22552,22972,75920,GAS
