time,open,high,low,close,volume,ticker
2017-03-21,8510,8510,6425,6425,5900,GEG
2017-03-22,6808,6808,6808,6808,2200,GEG
2017-03-23,6808,6808,6808,6808,0,GEG
2017-03-24,6808,6808,6808,6808,0,GEG
2017-03-27,6808,6808,6808,6808,0,GEG
2017-03-28,6383,6383,6383,6383,2000,GEG
2017-03-29,6383,7234,6383,7234,1300,GEG
2017-03-30,7021,7021,7021,7021,0,GEG
2017-03-31,6595,7447,6425,7447,9700,GEG
2017-04-03,6595,6595,6595,6595,1000,GEG
2017-04-04,6595,6595,6595,6595,0,GEG
2017-04-05,6553,6553,6425,6468,3200,GEG
2017-04-07,6425,6425,6425,6425,0,GEG
2017-04-10,6595,6595,6595,6595,900,GEG
2017-04-11,6595,6595,6595,6595,0,GEG
2017-04-12,6595,6595,6595,6595,0,GEG
2017-04-13,6595,6595,6595,6595,0,GEG
2017-04-14,6595,6595,6595,6595,600,GEG
2017-04-17,6595,6595,6595,6595,600,GEG
2017-04-18,6383,6468,6383,6468,3100,GEG
2017-04-19,6383,6425,6383,6425,1100,GEG
2017-04-20,6425,6425,6425,6425,0,GEG
2017-04-21,6425,6425,6425,6425,0,GEG
2017-04-24,6425,6425,6425,6425,0,GEG
2017-04-25,6425,6425,6425,6425,1200,GEG
2017-04-26,5659,5659,5532,5532,1100,GEG
2017-04-27,5659,5659,5659,5659,0,GEG
2017-04-28,5659,5659,5659,5659,0,GEG
2017-05-03,6340,6383,6340,6383,5600,GEG
2017-05-04,6383,6383,6383,6383,0,GEG
2017-05-05,6383,6468,6383,6468,4000,GEG
2017-05-08,6595,6595,6595,6595,1100,GEG
2017-05-09,6595,6595,6595,6595,0,GEG
2017-05-10,6298,6298,5957,5957,22400,GEG
2017-05-11,6042,6042,6042,6042,100,GEG
2017-05-12,6042,6042,6042,6042,0,GEG
2017-05-15,6042,6042,6042,6042,0,GEG
2017-05-16,6000,6000,6000,6000,1200,GEG
2017-05-17,5957,6085,5957,6085,9400,GEG
2017-05-18,6000,6000,6000,6000,0,GEG
2017-05-19,6000,6000,6000,6000,0,GEG
2017-05-22,6042,6042,6042,6042,400,GEG
2017-05-23,5957,5957,5957,5957,200,GEG
2017-05-24,5957,6000,5957,6000,600,GEG
2017-05-25,6170,6298,5957,6298,1600,GEG
2017-05-26,6085,6085,6085,6085,1000,GEG
2017-05-29,6127,6170,6127,6170,2400,GEG
2017-05-30,6170,6170,6170,6170,4000,GEG
2017-05-31,6212,6212,6212,6212,1300,GEG
2017-06-01,6340,6595,6340,6595,3000,GEG
2017-06-02,6468,6808,6468,6808,2300,GEG
2017-06-05,6978,6978,6978,6978,100,GEG
2017-06-06,7064,7234,7064,7064,300,GEG
2017-06-07,7171,7171,7171,7171,3000,GEG
2017-06-08,7171,7428,7171,7274,8100,GEG
2017-06-09,7376,7428,7325,7325,12500,GEG
2017-06-12,6301,7171,6301,7171,200,GEG
2017-06-13,6915,6915,6915,6915,300,GEG
2017-06-14,6915,6967,6403,6403,4500,GEG
2017-06-15,6954,6954,6954,6954,1200,GEG
2017-06-16,7062,7062,7062,7062,2000,GEG
2017-06-19,7062,7062,7062,7062,3500,GEG
2017-06-20,7062,7062,7062,7062,3000,GEG
2017-06-21,7334,7334,7225,7225,6100,GEG
2017-06-22,7334,7388,7280,7334,55500,GEG
2017-06-23,7334,7334,7334,7334,3000,GEG
2017-06-26,7334,7606,7334,7606,23000,GEG
2017-06-27,7606,7606,7497,7606,23500,GEG
2017-06-28,7606,7606,7606,7606,15000,GEG
2017-06-29,7823,7823,7551,7606,8500,GEG
2017-06-30,7606,7823,7606,7769,27610,GEG
2017-07-03,7823,8040,7769,7769,68400,GEG
2017-07-04,7932,8149,7932,8040,83200,GEG
2017-07-05,8149,8421,8095,8421,80900,GEG
2017-07-06,8421,8421,8258,8258,17200,GEG
2017-07-07,8421,8421,8040,8258,7000,GEG
2017-07-10,8258,8258,8040,8040,16600,GEG
2017-07-11,8095,8095,8095,8095,500,GEG
2017-07-12,8095,8095,8040,8095,1800,GEG
2017-07-13,8040,8095,8040,8095,1100,GEG
2017-07-14,8095,8095,7606,8040,6400,GEG
2017-07-17,7660,7660,7606,7606,2910,GEG
2017-07-18,7606,7823,7606,7823,1800,GEG
2017-07-19,7986,7986,7877,7877,2800,GEG
2017-07-20,7606,7823,7606,7823,4100,GEG
2017-07-21,7823,7823,7823,7823,1700,GEG
2017-07-24,7877,7877,7497,7823,5800,GEG
2017-07-25,7823,7823,7606,7606,5100,GEG
2017-07-26,7606,7823,7551,7714,12800,GEG
2017-07-27,7823,7823,7660,7660,2800,GEG
2017-07-28,7823,7877,7769,7769,37000,GEG
2017-07-31,7877,7877,7823,7877,12600,GEG
2017-08-01,7823,7823,7769,7769,38200,GEG
2017-08-02,7714,7714,7714,7714,7722,GEG
2017-08-03,7714,7823,7714,7823,10700,GEG
2017-08-04,7769,7769,7769,7769,0,GEG
2017-08-07,7769,7769,7769,7769,9000,GEG
2017-08-08,7769,7769,7660,7660,15900,GEG
2017-08-09,7606,7606,7551,7551,16100,GEG
2017-08-10,7551,7551,7551,7551,430,GEG
2017-08-11,7551,7606,7497,7606,13900,GEG
2017-08-14,7551,7551,7551,7551,0,GEG
2017-08-15,7551,7551,7551,7551,0,GEG
2017-08-16,7551,7551,7551,7551,0,GEG
2017-08-17,7497,7606,7443,7551,12100,GEG
2017-08-18,7497,7497,7443,7443,1500,GEG
2017-08-21,7497,7497,7443,7443,2400,GEG
2017-08-22,7443,7443,7443,7443,7800,GEG
2017-08-23,7443,7497,7443,7497,12400,GEG
2017-08-24,7443,7443,7443,7443,5000,GEG
2017-08-25,7443,7443,7443,7443,5500,GEG
2017-08-28,8149,8149,7443,7497,8110,GEG
2017-08-29,7497,7497,7497,7497,0,GEG
2017-08-30,7551,7606,7551,7606,6600,GEG
2017-08-31,7551,7606,7443,7497,26500,GEG
2017-09-01,7606,7606,7606,7606,100,GEG
2017-09-05,7551,7551,7497,7497,1110,GEG
2017-09-06,7497,7551,7497,7551,600,GEG
2017-09-07,7606,7606,7606,7606,100,GEG
2017-09-08,7606,7606,7606,7606,3450,GEG
2017-09-11,7606,7606,7606,7606,500,GEG
2017-09-12,7606,7606,7606,7606,28215,GEG
2017-09-13,7606,7606,7606,7606,1014,GEG
2017-09-14,7606,7606,7606,7606,11719,GEG
2017-09-15,7660,7660,7606,7606,8000,GEG
2017-09-18,8040,8040,7877,7877,6000,GEG
2017-09-19,7877,7877,7714,7714,5100,GEG
2017-09-20,7877,7877,7877,7877,3500,GEG
2017-09-21,7932,7932,7932,7932,100,GEG
2017-09-22,7932,7932,7932,7932,0,GEG
2017-09-25,7660,7660,7660,7660,600,GEG
2017-09-26,7932,7932,7660,7660,3560,GEG
2017-09-27,7660,7714,7551,7606,14710,GEG
2017-09-28,7606,7606,7606,7606,5410,GEG
2017-09-29,7606,7606,7606,7606,0,GEG
2017-10-02,7606,7606,7606,7606,8000,GEG
2017-10-03,7606,7606,7606,7606,5400,GEG
2017-10-04,7606,7606,7606,7606,2000,GEG
2017-10-05,7606,7606,7606,7606,0,GEG
2017-10-06,7606,7606,7606,7606,0,GEG
2017-10-09,8149,8149,7877,7877,1600,GEG
2017-10-10,7606,7877,7606,7877,2930,GEG
2017-10-11,7823,7823,7823,7823,5100,GEG
2017-10-12,7823,7823,7606,7606,2900,GEG
2017-10-13,7932,7932,7932,7932,207,GEG
2017-10-16,7877,7877,7769,7769,9000,GEG
2017-10-17,7932,7932,7932,7932,0,GEG
2017-10-18,7877,7877,7877,7877,520,GEG
2017-10-19,7877,7987,7877,7987,2000,GEG
2017-10-20,7932,7932,7932,7932,100,GEG
2017-10-23,7932,7932,7766,7766,2100,GEG
2017-10-24,7711,7766,7711,7711,13000,GEG
2017-10-25,7711,7711,7601,7601,16200,GEG
2017-10-26,7711,7821,7711,7821,900,GEG
2017-10-27,7766,7766,7491,7491,200,GEG
2017-10-30,7711,7711,7711,7711,2230,GEG
2017-10-31,7711,7877,7711,7766,2900,GEG
2017-11-01,7766,7766,7766,7766,23000,GEG
2017-11-02,7711,7711,7656,7656,10000,GEG
2017-11-03,7656,7656,7656,7656,3000,GEG
2017-11-06,7656,7656,7656,7656,0,GEG
2017-11-07,7711,7711,7711,7711,10000,GEG
2017-11-08,7711,7711,7711,7711,7000,GEG
2017-11-09,7987,7987,7491,7491,6400,GEG
2017-11-10,7601,7601,7601,7601,0,GEG
2017-11-13,7656,7656,7601,7601,17400,GEG
2017-11-14,7711,7711,7436,7436,4300,GEG
2017-11-15,7546,7546,7546,7546,0,GEG
2017-11-16,7546,7546,7546,7546,2100,GEG
2017-11-17,7711,7711,7711,7711,9900,GEG
2017-11-20,7711,7711,7711,7711,2800,GEG
2017-11-21,7711,7766,7711,7711,8300,GEG
2017-11-22,7711,7711,7711,7711,2200,GEG
2017-11-23,7987,7987,7711,7711,5500,GEG
2017-11-24,7711,7711,7656,7656,31011,GEG
2017-11-27,7601,7711,6775,7711,22601,GEG
2017-11-28,7711,7711,7546,7711,5600,GEG
2017-11-29,7711,7711,7711,7711,12000,GEG
2017-11-30,7656,7711,7601,7711,22000,GEG
2017-12-01,7711,7711,7656,7711,14601,GEG
2017-12-04,7821,7821,7656,7711,53800,GEG
2017-12-05,7711,7711,7656,7656,33800,GEG
2017-12-06,7656,7711,7656,7711,31806,GEG
2017-12-07,7711,7711,7711,7711,2300,GEG
2017-12-08,7711,7711,7711,7711,17970,GEG
2017-12-11,7711,7711,7711,7711,200,GEG
2017-12-12,7711,7877,7656,7877,29800,GEG
2017-12-13,7711,7932,7711,7877,6260,GEG
2017-12-14,7821,7877,7821,7877,23100,GEG
2017-12-15,7821,7877,7711,7766,12832,GEG
2017-12-18,7766,7877,7766,7821,10690,GEG
2017-12-19,7821,7821,7711,7766,6700,GEG
2017-12-20,7915,7970,7860,7915,18342,GEG
2017-12-21,7915,7970,7915,7915,26572,GEG
2017-12-22,7970,8026,7970,8026,11300,GEG
2017-12-25,8026,8026,7749,7749,6400,GEG
2017-12-26,7970,8026,7749,7915,6000,GEG
2017-12-27,7915,7915,7915,7915,1200,GEG
2017-12-28,7970,9022,7970,8911,51000,GEG
2017-12-29,8856,8856,8303,8303,4400,GEG
2018-01-02,8801,8801,8081,8081,6400,GEG
2018-01-03,8856,8856,8247,8247,6809,GEG
2018-01-04,8026,8856,8026,8137,9252,GEG
2018-01-05,8856,8856,8137,8137,7100,GEG
2018-01-08,8137,8303,8137,8247,6636,GEG
2018-01-09,8137,8303,8026,8192,9977,GEG
2018-01-10,8026,8358,8026,8358,58000,GEG
2018-01-11,8192,8247,8081,8137,22305,GEG
2018-01-12,8137,8192,8137,8192,3900,GEG
2018-01-15,8192,8192,8137,8192,1500,GEG
2018-01-16,8303,8413,8081,8081,14430,GEG
2018-01-17,8137,8137,7970,8026,15300,GEG
2018-01-18,8081,8081,8026,8026,16100,GEG
2018-01-19,8081,8192,7915,8137,14125,GEG
2018-01-22,8081,8137,8026,8026,11200,GEG
2018-01-23,8026,8081,7915,8081,8000,GEG
2018-01-24,8081,8081,8026,8026,8301,GEG
2018-01-25,8026,8081,8026,8081,4400,GEG
2018-01-26,8081,8081,8081,8081,1030,GEG
2018-01-29,8026,8026,8026,8026,40100,GEG
2018-01-30,8026,8026,7970,7970,13000,GEG
2018-01-31,8026,8192,8026,8192,15100,GEG
2018-02-01,8081,8081,8026,8081,5200,GEG
2018-02-02,8081,8081,8081,8081,6205,GEG
2018-02-05,8081,8081,7970,7970,11300,GEG
2018-02-06,7915,7915,6974,7749,13506,GEG
2018-02-07,7749,7749,7195,7306,11400,GEG
2018-02-08,7306,7970,7251,7749,5915,GEG
2018-02-09,7306,7638,7306,7638,10100,GEG
2018-02-12,7304,7415,7304,7415,1505,GEG
2018-02-13,7360,8140,7360,7806,11928,GEG
2018-02-21,7806,7917,7806,7917,3645,GEG
2018-02-22,7806,7806,7806,7806,0,GEG
2018-02-23,7917,7973,7917,7973,3820,GEG
2018-02-26,7917,7917,7917,7917,20,GEG
2018-02-27,8252,8252,7917,7917,10040,GEG
2018-02-28,8029,8084,8029,8029,5100,GEG
2018-03-01,8029,8029,8029,8029,100,GEG
2018-03-02,8029,8029,8029,8029,2000,GEG
2018-03-05,7750,7806,7750,7806,4110,GEG
2018-03-06,7750,7750,7750,7750,4000,GEG
2018-03-07,8140,8140,7806,7806,16000,GEG
2018-03-08,7750,7806,7750,7750,8010,GEG
2018-03-09,7861,7861,7694,7806,22000,GEG
2018-03-12,7861,7861,7750,7750,20440,GEG
2018-03-13,7694,7917,7694,7861,7270,GEG
2018-03-14,7806,7806,7694,7694,3100,GEG
2018-03-15,7750,7806,7750,7806,4100,GEG
2018-03-16,7750,7806,7750,7750,9200,GEG
2018-03-19,7806,7806,7694,7750,11440,GEG
2018-03-20,7583,7694,7360,7694,9780,GEG
2018-03-21,7638,7750,7527,7583,23710,GEG
2018-03-22,7638,7806,7638,7806,2400,GEG
2018-03-23,7638,7638,7360,7527,46405,GEG
2018-03-26,7471,7471,7471,7471,900,GEG
2018-03-27,7471,7527,7471,7471,43220,GEG
2018-03-28,7304,7471,7248,7360,50900,GEG
2018-03-29,7248,7360,7137,7137,33700,GEG
2018-03-30,7248,7248,7192,7248,8310,GEG
2018-04-02,7192,7192,7137,7192,27600,GEG
2018-04-03,7137,7137,7137,7137,60,GEG
2018-04-04,7527,7638,7527,7638,9810,GEG
2018-04-05,7694,7750,7583,7694,23500,GEG
2018-04-06,7415,7527,7415,7527,11250,GEG
2018-04-09,7638,7638,7527,7527,7900,GEG
2018-04-10,7527,7694,7527,7527,4150,GEG
2018-04-11,7583,7638,7527,7638,39800,GEG
2018-04-12,7583,7638,7527,7527,77300,GEG
2018-04-13,7583,7638,7471,7471,35800,GEG
2018-04-16,7583,7638,7527,7527,18350,GEG
2018-04-17,7583,7583,7583,7583,45000,GEG
2018-04-18,7471,7583,7471,7527,51640,GEG
2018-04-19,7583,7694,7471,7527,50610,GEG
2018-04-20,7527,7806,7471,7638,81450,GEG
2018-04-23,7527,7583,7527,7583,7300,GEG
2018-04-24,7638,7638,7415,7415,510,GEG
2018-04-26,7638,7638,7360,7360,4800,GEG
2018-04-27,7415,7471,7415,7415,2520,GEG
2018-05-02,7471,7471,7360,7415,58900,GEG
2018-05-03,7471,7471,7360,7415,53600,GEG
2018-05-04,7527,7583,7471,7583,56700,GEG
