time,open,high,low,close,volume,ticker
2009-11-26,6683,6683,5468,5468,7600,GLT
2009-11-27,5832,6100,5832,6100,13500,GLT
2009-11-30,6440,6476,6440,6476,4600,GLT
2009-12-01,6914,6914,6914,6914,600,GLT
2009-12-02,7376,7376,6440,6440,6000,GLT
2009-12-03,6416,6416,6148,6173,11600,GLT
2009-12-04,5772,6197,5759,6197,1800,GLT
2009-12-07,5711,5954,5711,5954,3400,GLT
2009-12-08,5954,6075,5589,6075,3500,GLT
2009-12-09,5705,6077,5705,5805,800,GLT
2009-12-10,6077,6077,6040,6040,800,GLT
2009-12-11,6077,6077,5829,5829,3600,GLT
2009-12-14,5953,5953,5929,5929,2900,GLT
2009-12-15,5941,5941,5941,5941,0,GLT
2009-12-16,5532,5532,5532,5532,3000,GLT
2009-12-17,5147,5147,5147,5147,7800,GLT
2009-12-18,5333,5333,5333,5333,100,GLT
2009-12-21,5705,5705,5681,5693,1200,GLT
2009-12-22,5681,5681,5681,5681,0,GLT
2009-12-23,5681,5681,5681,5681,0,GLT
2009-12-24,5284,5333,5284,5296,2900,GLT
2009-12-25,4973,4973,4961,4961,3000,GLT
2009-12-28,4775,4775,4775,4775,1000,GLT
2009-12-29,4899,5098,4899,5098,1000,GLT
2009-12-30,5408,5408,5408,5408,1600,GLT
2009-12-31,5780,5780,5780,5780,9000,GLT
2010-01-04,5457,5767,5457,5457,5700,GLT
2010-01-05,5581,5705,5581,5705,2000,GLT
2010-01-06,5259,5259,5234,5246,2800,GLT
2010-01-07,4961,4961,4961,4961,1000,GLT
2010-01-08,4973,5308,4961,5308,2500,GLT
2010-01-11,5619,5619,5619,5619,100,GLT
2010-01-12,5581,5581,5333,5333,2100,GLT
2010-01-13,5333,5333,5333,5333,1800,GLT
2010-01-14,5346,5705,5346,5705,25500,GLT
2010-01-15,5457,5767,5457,5656,6200,GLT
2010-01-18,5308,6003,5308,6003,400,GLT
2010-01-19,5755,5755,5395,5395,3100,GLT
2010-01-20,5209,5333,5060,5333,5300,GLT
2010-01-21,5470,5470,5110,5110,6500,GLT
2010-01-22,5085,5085,4849,4849,3600,GLT
2010-01-25,5222,5222,4750,4961,600,GLT
2010-01-26,5234,5234,5234,5234,2000,GLT
2010-01-27,5234,5234,5234,5234,0,GLT
2010-01-28,5234,5234,5234,5234,0,GLT
2010-01-29,5581,5581,5581,5581,100,GLT
2010-02-01,5395,5457,5395,5457,500,GLT
2010-02-02,5333,5333,5333,5333,200,GLT
2010-02-03,5209,5209,5085,5085,6500,GLT
2010-02-04,5085,5098,5085,5085,7300,GLT
2010-02-05,5432,5432,5085,5085,400,GLT
2010-02-08,5209,5209,5184,5209,1400,GLT
2010-02-09,5147,5147,5147,5147,1000,GLT
2010-02-10,5209,5445,5209,5445,500,GLT
2010-02-11,5457,5457,5457,5457,300,GLT
2010-02-12,5457,5457,5457,5457,1000,GLT
2010-02-22,5507,5507,5507,5507,100,GLT
2010-02-23,5507,5507,5507,5507,0,GLT
2010-02-24,5122,5122,5122,5122,4500,GLT
2010-02-25,5271,5271,5271,5271,3300,GLT
2010-02-26,5445,5457,5346,5457,15100,GLT
2010-03-01,5457,5482,5457,5457,8900,GLT
2010-03-02,5556,5631,5519,5519,9500,GLT
2010-03-03,5569,5829,5569,5829,9700,GLT
2010-03-04,5916,6003,5891,6003,15400,GLT
2010-03-05,5581,6201,5581,6015,4000,GLT
2010-03-08,5556,5978,5556,5953,6600,GLT
2010-03-09,5842,6015,5420,6015,5200,GLT
2010-03-10,6077,6313,5891,6313,531800,GLT
2010-03-11,6450,6450,6450,6450,33400,GLT
2010-03-12,6896,6896,6896,6896,32000,GLT
2010-03-15,7367,7367,7132,7330,43300,GLT
2010-03-16,7318,7566,7020,7020,95000,GLT
2010-03-17,7442,7442,6871,6871,70100,GLT
2010-03-18,6574,7169,6574,6995,68200,GLT
2010-03-19,7070,7070,6574,6698,14300,GLT
2010-03-22,6760,7033,6450,6946,80300,GLT
2010-03-23,6995,6995,6574,6636,43000,GLT
2010-03-24,6586,6784,6152,6214,38400,GLT
2010-03-25,6201,6772,6201,6772,132400,GLT
2010-03-26,6574,6995,6574,6971,109200,GLT
2010-03-29,6946,6946,6698,6884,71300,GLT
2010-03-30,6822,6933,6698,6698,25500,GLT
2010-03-31,6822,7231,6822,7231,251400,GLT
2010-04-01,7194,7429,7194,7429,91400,GLT
2010-04-02,7690,7690,7318,7429,83800,GLT
2010-04-05,7318,7566,7194,7355,97900,GLT
2010-04-06,7343,7442,7318,7380,91900,GLT
2010-04-07,7318,7888,7318,7888,160500,GLT
2010-04-08,8347,8347,7814,7876,76200,GLT
2010-04-09,7876,8000,7690,7938,73000,GLT
2010-04-12,7876,8124,7566,7566,13200,GLT
2010-04-13,7256,7318,7256,7256,25500,GLT
2010-04-14,6760,6822,6760,6772,52200,GLT
2010-04-15,6884,7243,6884,7219,34400,GLT
2010-04-16,6884,6884,6797,6797,85900,GLT
2010-04-19,6462,6834,6462,6574,7800,GLT
2010-04-20,6797,7033,6797,7033,59800,GLT
2010-04-21,7429,7429,6995,6995,60200,GLT
2010-04-22,6772,7219,6747,6747,44300,GLT
2010-04-26,7169,7169,6524,6524,59900,GLT
2010-04-27,7107,7107,6698,6822,25400,GLT
2010-04-28,6735,6822,6698,6822,11400,GLT
2010-04-29,6822,6933,6636,6698,37800,GLT
2010-05-04,6822,6822,6698,6698,67800,GLT
2010-05-05,6710,6710,6574,6574,17900,GLT
2010-05-06,6636,6884,6636,6884,36900,GLT
2010-05-07,6648,6648,6574,6636,12000,GLT
2010-05-10,6822,6822,6264,6301,14500,GLT
2010-05-11,6338,6450,6201,6363,8600,GLT
2010-05-12,5953,6735,5953,5978,4800,GLT
2010-05-13,6512,6512,6201,6201,10300,GLT
2010-05-14,6326,6326,6028,6053,10400,GLT
2010-05-17,5829,6077,5829,6015,54000,GLT
2010-05-18,6201,6201,5705,5805,22500,GLT
2010-05-19,6065,6065,5805,6015,36600,GLT
2010-05-20,6077,6201,5953,6201,14800,GLT
2010-05-21,6077,6077,5705,5705,59400,GLT
2010-05-24,5829,6189,5395,5581,50300,GLT
2010-05-25,5891,5966,5829,5829,39200,GLT
2010-05-26,6349,6349,5533,5852,2300,GLT
2010-05-27,5764,6207,5586,6030,30400,GLT
2010-05-28,6012,6065,6012,6065,17900,GLT
2010-05-31,6473,6473,5781,6384,45200,GLT
2010-06-01,6384,6544,6384,6544,26000,GLT
2010-06-02,6739,6970,6739,6970,78400,GLT
2010-06-03,6438,7342,6438,7183,129300,GLT
2010-06-04,7005,7129,6916,7076,23800,GLT
2010-06-07,6544,6916,6544,6828,71200,GLT
2010-06-08,6828,6970,6828,6970,43900,GLT
2010-06-09,6881,6987,6828,6970,7000,GLT
2010-06-10,6828,6987,6828,6987,15200,GLT
2010-06-11,6597,6757,6597,6757,4400,GLT
2010-06-14,6739,6739,6650,6650,6000,GLT
2010-06-15,6562,6562,6562,6562,7100,GLT
2010-06-16,7005,7005,6916,7005,63400,GLT
2010-06-17,7289,7289,7005,7005,800,GLT
2010-06-18,7183,7183,6916,7005,37700,GLT
2010-06-21,7005,7005,6916,7005,36000,GLT
2010-06-22,7076,7094,7005,7058,50700,GLT
2010-06-23,7076,7076,6810,6952,31500,GLT
2010-06-24,7058,7058,6881,7005,5800,GLT
2010-06-25,7058,7058,6952,7005,56100,GLT
2010-06-28,7076,7466,6987,6987,83500,GLT
2010-06-29,7094,7218,7023,7041,44800,GLT
2010-06-30,6739,6916,6739,6775,18100,GLT
2010-07-01,6828,6828,6828,6828,8500,GLT
2010-07-02,6828,6828,6650,6828,22100,GLT
2010-07-05,6633,6881,6633,6881,15000,GLT
2010-07-06,6721,6721,6562,6562,6300,GLT
2010-07-07,6562,6562,6562,6562,5000,GLT
2010-07-08,6579,6792,6579,6775,12200,GLT
2010-07-09,6704,6704,6704,6704,7200,GLT
2010-07-12,6313,6650,6313,6650,7100,GLT
2010-07-13,6562,6579,6544,6579,16100,GLT
2010-07-14,6562,6579,6384,6384,26200,GLT
2010-07-15,6402,6597,6402,6597,11100,GLT
2010-07-16,6650,6650,6526,6579,15700,GLT
2010-07-19,6650,6686,6562,6562,20500,GLT
2010-07-20,6313,6402,6313,6402,21500,GLT
2010-07-21,6296,6509,6296,6473,2500,GLT
2010-07-22,6579,6579,6562,6562,800,GLT
2010-07-23,6633,6650,6384,6615,26600,GLT
2010-07-26,6384,6597,6331,6455,48700,GLT
2010-07-27,6420,6491,6420,6473,38600,GLT
2010-07-28,6686,6686,6473,6473,68700,GLT
2010-07-29,6544,6544,6544,6544,24600,GLT
2010-07-30,6597,6597,6579,6579,34200,GLT
2010-08-02,6579,6579,6579,6579,0,GLT
2010-08-03,6686,6686,6686,6686,28500,GLT
2010-08-04,6384,6402,6384,6402,24600,GLT
2010-08-05,6402,6420,6296,6384,44100,GLT
2010-08-06,6030,6367,6030,6296,41100,GLT
2010-08-09,6597,6597,6597,6597,33500,GLT
2010-08-10,6650,7041,6207,6296,21600,GLT
2010-08-11,6881,6899,6402,6562,35800,GLT
2010-08-12,6402,6526,6402,6526,6000,GLT
2010-08-13,6509,6526,6473,6473,30000,GLT
2010-08-16,6384,6509,6384,6473,15900,GLT
2010-08-17,6384,6384,6384,6384,20000,GLT
2010-08-18,6473,6473,5941,5941,50600,GLT
2010-08-19,6207,6207,6118,6118,20500,GLT
2010-08-20,5959,5959,5941,5941,2000,GLT
2010-08-23,5941,5941,5941,5941,0,GLT
2010-08-24,6207,6207,6207,6207,100,GLT
2010-08-25,6189,6189,5781,5781,9900,GLT
2010-08-26,6207,6207,5498,5675,1000,GLT
2010-08-27,5835,5835,5675,5675,300,GLT
2010-08-30,6012,6030,6012,6030,6100,GLT
2010-08-31,6030,6030,6030,6030,1600,GLT
2010-09-01,6313,6313,6313,6313,100,GLT
2010-09-06,6384,6384,6207,6207,1600,GLT
2010-09-07,5906,6189,5852,6189,10200,GLT
2010-09-08,5852,5852,5764,5764,300,GLT
2010-09-09,5746,5835,5675,5675,6100,GLT
2010-09-10,5675,5728,5338,5338,22400,GLT
2010-09-13,5746,5746,5657,5710,20900,GLT
2010-09-14,5728,5728,5728,5728,2000,GLT
2010-09-15,5994,5994,5586,5586,9900,GLT
2010-09-16,5817,5817,5781,5799,26000,GLT
2010-09-17,5675,6047,5675,6047,5300,GLT
2010-09-20,5746,5746,5746,5746,1000,GLT
2010-09-21,5498,5498,5409,5427,4000,GLT
2010-09-22,5657,5657,5338,5373,13600,GLT
2010-09-23,5338,5338,5338,5338,2000,GLT
2010-09-24,5178,5409,5178,5409,2100,GLT
2010-09-27,5728,5728,5409,5657,13400,GLT
2010-09-28,5533,5661,5515,5533,26000,GLT
2010-09-29,5496,5570,5496,5515,35500,GLT
2010-09-30,5515,5515,5313,5313,2300,GLT
2010-10-01,5313,5496,5313,5313,59100,GLT
2010-10-04,5332,5332,5332,5332,4200,GLT
2010-10-05,5332,5332,5313,5313,25000,GLT
2010-10-06,5038,5038,4965,5038,13100,GLT
2010-10-07,4983,5093,4983,5057,10200,GLT
2010-10-08,5075,5093,4983,5057,10200,GLT
2010-10-11,4983,5332,4983,5020,1300,GLT
2010-10-12,5332,5332,5002,5020,3100,GLT
2010-10-13,5277,5313,5277,5313,5000,GLT
2010-10-14,5386,5386,5386,5386,5600,GLT
2010-10-15,5386,5386,5130,5130,5300,GLT
2010-10-18,5075,5295,5075,5093,11000,GLT
2010-10-19,5496,5496,4855,4965,18400,GLT
2010-10-20,4947,5203,4947,4965,9000,GLT
2010-10-21,4910,5002,4855,4855,6700,GLT
2010-10-22,4764,4892,4764,4892,10300,GLT
2010-10-25,4818,4818,4764,4764,18000,GLT
2010-10-26,4855,4855,4800,4800,6300,GLT
2010-10-27,4764,4764,4764,4764,4000,GLT
2010-10-28,4580,4855,4580,4855,10800,GLT
2010-10-29,4782,4800,4764,4764,2800,GLT
2010-11-01,4782,4782,4782,4782,0,GLT
2010-11-02,4928,4928,4855,4855,1100,GLT
2010-11-03,4764,4855,4617,4837,3700,GLT
2010-11-04,4782,4782,4654,4654,600,GLT
2010-11-05,4855,4855,4855,4855,300,GLT
2010-11-08,4855,4855,4855,4855,200,GLT
2010-11-09,4855,4855,4855,4855,2100,GLT
2010-11-10,4654,4672,4617,4672,10300,GLT
2010-11-11,4489,4489,4397,4397,1800,GLT
2010-11-12,4397,4415,4397,4397,2100,GLT
2010-11-15,4250,4415,4250,4415,1900,GLT
2010-11-16,4250,4250,4250,4250,100,GLT
2010-11-17,4397,4489,4397,4489,1000,GLT
2010-11-18,4489,4489,4489,4489,1600,GLT
2010-11-19,4580,4580,4305,4305,1600,GLT
