time,open,high,low,close,volume,ticker
2020-12-01,12510,12510,12510,12510,23300,GMA
2020-12-02,13761,13761,13761,13761,1400,GMA
2020-12-03,15095,15095,15095,15095,2000,GMA
2020-12-04,16596,16596,16429,16429,6600,GMA
2020-12-07,16429,18014,16429,18014,4000,GMA
2020-12-08,18014,19765,18014,19765,2000,GMA
2020-12-09,21267,21684,21267,21684,1400,GMA
2020-12-10,23769,23852,23769,23769,1000,GMA
2020-12-11,26104,26104,26104,26104,400,GMA
2020-12-14,28606,28689,27522,27522,3300,GMA
2020-12-15,27522,30274,27522,30274,1200,GMA
2020-12-16,32943,32943,32943,32943,400,GMA
2020-12-17,33693,34611,32943,34611,1400,GMA
2020-12-18,35445,35862,34611,34611,900,GMA
2020-12-21,34611,35862,34110,35862,5000,GMA
2020-12-22,35862,39448,35862,39448,1500,GMA
2020-12-23,40032,40115,40032,40115,500,GMA
2020-12-24,40115,40449,40032,40115,5600,GMA
2020-12-25,40115,40449,40115,40449,800,GMA
2020-12-28,40449,42117,40449,42117,700,GMA
2020-12-29,41700,41700,41283,41283,200,GMA
2020-12-30,41700,41700,41700,41700,100,GMA
2020-12-31,42951,43368,42951,42951,300,GMA
2021-01-04,42951,42951,42534,42951,500,GMA
2021-01-05,42951,42951,42534,42534,200,GMA
2021-01-06,41283,43368,41283,43368,800,GMA
2021-01-07,45036,45036,45036,45036,100,GMA
2021-01-08,45036,45036,45036,45036,0,GMA
2021-01-11,45036,45036,45036,45036,0,GMA
2021-01-12,45036,45036,45036,45036,0,GMA
2021-01-13,43368,43368,43368,43368,200,GMA
2021-01-14,43368,43368,43368,43368,100,GMA
2021-01-15,43785,43785,43785,43785,200,GMA
2021-01-18,43951,43951,43951,43951,200,GMA
2021-01-19,43785,43785,43785,43785,100,GMA
2021-01-20,41449,41449,41449,41449,1000,GMA
2021-01-21,41449,41449,41449,41449,100,GMA
2021-01-22,38364,38364,38364,38364,100,GMA
2021-01-25,38364,38364,38364,38364,0,GMA
2021-01-26,38364,38364,38364,38364,0,GMA
2021-01-27,38364,38364,38364,38364,0,GMA
2021-01-28,38364,38364,38364,38364,0,GMA
2021-01-29,38364,38364,38364,38364,0,GMA
2021-02-01,34527,34527,34527,34527,100,GMA
