time,open,high,low,close,volume,ticker
2011-09-15,2776,3001,2250,2250,4100,GMX
2011-09-16,2596,2776,2596,2776,800,GMX
2011-09-19,2716,2716,2716,2716,0,GMX
2011-09-20,2716,2716,2716,2716,0,GMX
2011-09-21,2701,2701,2701,2701,200,GMX
2011-09-22,2611,2611,2611,2611,500,GMX
2011-09-23,2506,2506,2506,2506,100,GMX
2011-09-26,2461,2461,2370,2370,2400,GMX
2011-09-27,2400,2400,2220,2220,1300,GMX
2011-09-28,2250,2325,2100,2100,2600,GMX
2011-09-29,2250,2250,2220,2220,5100,GMX
2011-09-30,2250,2250,2100,2100,4700,GMX
2011-10-03,2115,2175,2025,2175,1800,GMX
2011-10-04,2115,2115,2100,2115,1500,GMX
2011-10-05,2175,2175,2160,2175,4300,GMX
2011-10-06,2175,2175,2175,2175,0,GMX
2011-10-07,2250,2250,2250,2250,10000,GMX
2011-10-10,2175,2175,2175,2175,100,GMX
2011-10-11,2175,2175,2025,2025,8000,GMX
2011-10-12,2040,2040,2025,2025,2400,GMX
2011-10-13,2070,2070,2070,2070,400,GMX
2011-10-14,2070,2070,2070,2070,2000,GMX
2011-10-17,2100,2100,2085,2085,1100,GMX
2011-10-18,2100,2100,2010,2010,2300,GMX
2011-10-19,2070,2070,2070,2070,100,GMX
2011-10-20,2070,2070,1980,1980,4300,GMX
2011-10-21,2010,2010,2010,2010,600,GMX
2011-10-24,2055,2055,2055,2055,100,GMX
2011-10-25,2025,2025,1950,1950,3600,GMX
2011-10-26,1995,2010,1995,2010,200,GMX
2011-10-27,1950,1950,1950,1950,1900,GMX
2011-10-28,2055,2055,1965,1965,5100,GMX
2011-10-31,1980,1980,1980,1980,1000,GMX
2011-11-01,1995,1995,1935,1935,4200,GMX
2011-11-02,1920,1920,1920,1920,900,GMX
2011-11-03,1920,1920,1920,1920,0,GMX
2011-11-04,1965,1965,1965,1965,1000,GMX
2011-11-07,2040,2040,2040,2040,100,GMX
2011-11-08,2040,2040,2040,2040,0,GMX
2011-11-09,2040,2040,2040,2040,0,GMX
2011-11-10,1920,1920,1920,1920,100,GMX
2011-11-11,1875,1875,1875,1875,300,GMX
2011-11-14,1875,1875,1875,1875,100,GMX
2011-11-15,1875,1875,1875,1875,1500,GMX
2011-11-16,1875,1875,1875,1875,0,GMX
2011-11-17,1875,1875,1875,1875,0,GMX
2011-11-18,1875,1875,1875,1875,0,GMX
2011-11-21,1875,1875,1875,1875,0,GMX
2011-11-22,1950,1950,1950,1950,100,GMX
2011-11-23,1950,1950,1950,1950,0,GMX
2011-11-24,1950,1950,1950,1950,0,GMX
2011-11-25,1950,1950,1950,1950,0,GMX
2011-11-28,1950,1950,1950,1950,3500,GMX
2011-11-29,1950,1950,1950,1950,0,GMX
2011-11-30,1950,1950,1950,1950,0,GMX
2011-12-01,2025,2025,2025,2025,200,GMX
2011-12-02,1905,1905,1905,1905,500,GMX
2011-12-05,2025,2025,2025,2025,100,GMX
2011-12-06,2025,2025,2025,2025,0,GMX
2011-12-07,2025,2025,2025,2025,0,GMX
2011-12-08,2025,2025,2025,2025,0,GMX
2011-12-09,2025,2025,2025,2025,0,GMX
2011-12-12,2025,2025,2025,2025,0,GMX
2011-12-13,2025,2025,2025,2025,0,GMX
2011-12-14,2025,2025,2025,2025,0,GMX
2011-12-15,2025,2025,2025,2025,100,GMX
2011-12-16,2025,2025,2025,2025,0,GMX
2011-12-19,2025,2025,2025,2025,0,GMX
2011-12-20,1905,1905,1905,1905,100,GMX
2011-12-21,1950,1950,1950,1950,100,GMX
2011-12-22,1950,1950,1950,1950,0,GMX
2011-12-23,2070,2070,2070,2070,100,GMX
2011-12-26,1935,1935,1935,1935,100,GMX
2011-12-27,1935,1935,1935,1935,0,GMX
2011-12-28,1935,1935,1935,1935,0,GMX
2011-12-29,1935,1935,1935,1935,0,GMX
2011-12-30,1935,1935,1935,1935,0,GMX
2012-01-03,1935,1935,1935,1935,100,GMX
2012-01-04,2049,2049,1805,1805,200,GMX
2012-01-05,1935,1935,1935,1935,0,GMX
2012-01-06,1805,1919,1805,1919,600,GMX
2012-01-09,1903,1903,1903,1903,0,GMX
2012-01-10,1952,1952,1952,1952,100,GMX
2012-01-11,1952,1952,1952,1952,0,GMX
2012-01-12,1952,1952,1952,1952,0,GMX
2012-01-13,2082,2082,2082,2082,100,GMX
2012-01-16,2082,2082,2082,2082,0,GMX
2012-01-17,2082,2082,2082,2082,0,GMX
2012-01-18,2082,2082,2082,2082,0,GMX
2012-01-19,2212,2212,2212,2212,100,GMX
2012-01-20,2358,2358,2358,2358,100,GMX
2012-01-30,2358,2358,2358,2358,0,GMX
2012-01-31,2440,2440,2440,2440,100,GMX
2012-02-01,2440,2440,2440,2440,0,GMX
2012-02-02,2440,2440,2440,2440,0,GMX
2012-02-03,2440,2440,2440,2440,0,GMX
2012-02-06,2277,2277,2277,2277,100,GMX
2012-02-07,2277,2277,2277,2277,0,GMX
2012-02-08,2130,2179,2130,2179,5100,GMX
2012-02-09,2179,2179,2179,2179,0,GMX
2012-02-10,2179,2179,2179,2179,0,GMX
2012-02-13,2179,2179,2179,2179,0,GMX
2012-02-14,2179,2179,2179,2179,0,GMX
2012-02-15,2179,2179,2179,2179,0,GMX
2012-02-16,2179,2179,2179,2179,0,GMX
2012-02-17,2114,2114,2114,2114,100,GMX
2012-02-20,2261,2261,2261,2261,100,GMX
2012-02-21,2114,2114,2114,2114,100,GMX
2012-02-22,2098,2098,2098,2098,300,GMX
2012-02-23,2098,2098,2098,2098,0,GMX
2012-02-24,2098,2098,2098,2098,0,GMX
2012-02-27,2098,2098,2098,2098,0,GMX
2012-02-28,2017,2017,2017,2017,100,GMX
2012-02-29,2017,2017,2017,2017,0,GMX
2012-03-01,2017,2017,2017,2017,0,GMX
2012-03-02,2033,2033,2033,2033,100,GMX
2012-03-05,2163,2163,1968,2114,13200,GMX
2012-03-06,1984,1984,1952,1952,2300,GMX
2012-03-07,1870,1870,1838,1838,1100,GMX
2012-03-08,1870,1870,1870,1870,3000,GMX
2012-03-09,1756,1886,1740,1886,5800,GMX
2012-03-12,1952,1952,1952,1952,7500,GMX
2012-03-13,2033,2033,1952,1952,5700,GMX
2012-03-14,2017,2017,2017,2017,600,GMX
2012-03-15,2017,2017,2017,2017,6700,GMX
2012-03-16,1952,1968,1952,1968,7000,GMX
2012-03-19,1968,1968,1968,1968,5700,GMX
2012-03-20,2049,2049,1984,2017,1700,GMX
2012-03-21,1968,2000,1952,1952,18100,GMX
2012-03-22,1844,1915,1844,1844,6800,GMX
2012-03-23,1986,1986,1897,1897,15000,GMX
2012-03-26,1950,1950,1950,1950,2300,GMX
2012-03-27,1950,1950,1826,1826,4200,GMX
2012-03-28,1950,1950,1950,1950,100,GMX
2012-03-29,1950,1950,1950,1950,3000,GMX
2012-03-30,1950,1950,1950,1950,0,GMX
2012-04-03,2039,2039,1950,2021,2200,GMX
2012-04-04,2021,2021,2021,2021,0,GMX
2012-04-05,1950,1950,1915,1915,9000,GMX
2012-04-06,1915,1915,1915,1915,0,GMX
2012-04-09,1826,1826,1826,1826,100,GMX
2012-04-10,1826,1826,1826,1826,0,GMX
2012-04-11,1826,1879,1773,1879,17600,GMX
2012-04-12,1950,1986,1950,1986,18800,GMX
2012-04-13,1986,1986,1986,1986,1000,GMX
2012-04-16,1986,2039,1986,1986,8200,GMX
2012-04-17,2056,2074,2056,2074,8000,GMX
2012-04-18,2127,2181,2127,2127,10400,GMX
2012-04-19,2039,2039,2039,2039,2000,GMX
2012-04-20,2127,2127,1968,1968,11600,GMX
2012-04-23,1968,1968,1968,1968,0,GMX
2012-04-24,1861,1861,1861,1861,100,GMX
2012-04-25,1968,1986,1968,1986,5000,GMX
2012-04-26,2074,2074,2074,2074,100,GMX
2012-04-27,2092,2163,1986,2163,2600,GMX
2012-05-02,2092,2092,2021,2021,14400,GMX
2012-05-03,1950,2003,1950,2003,200,GMX
2012-05-04,2039,2074,2039,2074,41700,GMX
2012-05-07,2074,2074,2074,2074,1000,GMX
2012-05-08,2074,2074,2074,2074,9600,GMX
2012-05-09,1950,2181,1950,2181,13500,GMX
2012-05-10,2039,2322,2039,2163,9700,GMX
2012-05-11,2163,2393,2127,2145,21200,GMX
