time,open,high,low,close,volume,ticker
2015-04-08,8092,8991,4855,8991,21800,GSM
2015-04-09,4675,4675,4675,4675,5000,GSM
2015-04-10,4675,4675,4675,4675,0,GSM
2015-04-13,4675,4675,4675,4675,0,GSM
2015-04-14,4675,4675,4675,4675,0,GSM
2015-04-15,4675,4675,4675,4675,0,GSM
2015-04-16,4765,4945,4765,4765,11000,GSM
2015-04-17,5304,5304,5304,5304,3000,GSM
2015-04-20,5304,5304,5304,5304,0,GSM
2015-04-21,5664,5664,5664,5664,3000,GSM
2015-04-22,5125,6203,5125,6203,25100,GSM
2015-04-23,6203,6203,6203,6203,0,GSM
2015-04-24,6203,6203,6203,6203,0,GSM
2015-04-27,6653,6653,6653,6653,100,GSM
2015-05-04,6024,6923,6024,6923,200,GSM
2015-05-05,6923,6923,6923,6923,100,GSM
2015-05-06,6293,7013,6293,7013,200,GSM
2015-05-07,6114,6114,6114,6114,100,GSM
2015-05-08,5574,5574,5574,5574,100,GSM
2015-05-11,5035,5035,5035,5035,100,GSM
2015-05-12,5484,5484,5484,5484,100,GSM
2015-05-13,4945,5214,4945,5214,600,GSM
2015-05-14,5664,5664,5214,5214,10000,GSM
2015-05-15,5035,5035,5035,5035,500,GSM
2015-05-18,5484,5484,5484,5484,100,GSM
2015-05-19,4945,6024,4945,6024,1900,GSM
2015-05-20,6293,6293,6293,6293,13000,GSM
2015-05-21,6293,6293,6293,6293,0,GSM
2015-05-22,6293,6293,6293,6293,0,GSM
2015-05-25,5844,6293,5844,6293,5000,GSM
2015-05-26,6293,6293,6293,6293,1000,GSM
2015-05-27,6473,6563,6473,6563,2100,GSM
2015-05-28,6653,6833,6653,6833,3000,GSM
2015-05-29,6833,6833,6833,6833,1000,GSM
2015-06-01,6923,6923,6923,6923,2000,GSM
2015-06-02,7013,7103,7013,7013,15000,GSM
2015-06-03,7193,7193,6833,6833,10000,GSM
2015-06-04,6743,7193,6743,7193,51500,GSM
2015-06-05,7193,7462,7193,7462,35100,GSM
2015-06-08,7462,7642,7462,7642,38400,GSM
2015-06-09,8271,8271,8092,8092,200,GSM
2015-06-10,8182,8182,8182,8182,0,GSM
2015-06-11,7732,7732,7552,7552,5500,GSM
2015-06-12,7552,7552,7372,7552,21600,GSM
2015-06-15,7462,7552,7462,7552,16000,GSM
2015-06-16,7642,7642,7642,7642,128000,GSM
2015-06-17,7732,7732,7732,7732,500,GSM
2015-06-18,7822,7822,7642,7642,8800,GSM
2015-06-19,7732,7732,7732,7732,7000,GSM
