time,open,high,low,close,volume,ticker
2007-07-23,19581,19581,19581,19581,129720,GTA
2007-07-24,20471,20471,18691,18691,486400,GTA
2007-07-25,17801,17801,17801,17801,11220,GTA
2007-07-26,16911,16911,16911,16911,15730,GTA
2007-07-27,16169,16169,16169,16169,8100,GTA
2007-07-30,15427,15427,15427,15427,23560,GTA
2007-07-31,14656,14656,14656,14656,11410,GTA
2007-08-01,13944,15131,13944,15131,137370,GTA
2007-08-02,15131,15131,14389,14389,51060,GTA
2007-08-03,13677,13796,13677,13677,36320,GTA
2007-08-06,13232,13351,13202,13202,29800,GTA
2007-08-07,12757,13054,12757,13054,41050,GTA
2007-08-08,13262,13647,13262,13647,47490,GTA
2007-08-09,14330,14330,14330,14330,24580,GTA
2007-08-10,14982,14982,14003,14686,126080,GTA
2007-08-13,14241,14241,13974,13974,31870,GTA
2007-08-14,13944,14300,13944,14241,28390,GTA
2007-08-15,14241,14241,13974,13974,19740,GTA
2007-08-16,13796,13944,13796,13796,6800,GTA
2007-08-17,13796,13796,13647,13707,30960,GTA
2007-08-20,13351,13647,13351,13529,19840,GTA
2007-08-21,13855,13855,13529,13529,20440,GTA
2007-08-22,13529,13529,13351,13351,16150,GTA
2007-08-23,13202,13351,13054,13202,25600,GTA
2007-08-24,13054,13469,13054,13469,51370,GTA
2007-08-27,13469,13499,13084,13202,32970,GTA
2007-08-28,13143,13202,13054,13143,41640,GTA
2007-08-29,13143,13232,13084,13173,23610,GTA
2007-08-30,13825,13825,13351,13351,15460,GTA
2007-08-31,13351,13351,13202,13291,14780,GTA
2007-09-04,13262,13351,13202,13351,44100,GTA
2007-09-05,13351,13351,13202,13202,30230,GTA
2007-09-06,13054,13202,13054,13202,70900,GTA
2007-09-07,13232,13232,13113,13202,29370,GTA
2007-09-10,13202,13202,13113,13173,28750,GTA
2007-09-11,13202,13321,13202,13291,46420,GTA
2007-09-12,13202,13262,13054,13113,28040,GTA
2007-09-13,13113,13143,13054,13084,26660,GTA
2007-09-14,13054,13113,13024,13054,41500,GTA
2007-09-17,13202,13202,13054,13054,27160,GTA
2007-09-18,13054,13113,12994,12994,28960,GTA
2007-09-19,13054,13232,13054,13232,57140,GTA
2007-09-20,13885,13885,13885,13885,47740,GTA
2007-09-21,14567,14567,14241,14567,436340,GTA
2007-09-24,15131,15131,14745,15131,108990,GTA
2007-09-25,14834,14982,14686,14745,97950,GTA
2007-09-26,14478,14804,14241,14241,68880,GTA
2007-09-27,14537,14537,14122,14537,128390,GTA
2007-09-28,14686,15131,14686,15131,180350,GTA
2007-10-01,15872,15872,15872,15872,89280,GTA
2007-10-02,16614,16614,15872,16021,189200,GTA
2007-10-03,15427,16021,15427,15576,154840,GTA
2007-10-04,15131,15427,15131,15131,72450,GTA
2007-10-05,14834,15279,14834,15279,79990,GTA
2007-10-08,14982,15279,14982,15131,77910,GTA
2007-10-09,15131,15279,14982,15131,95620,GTA
2007-10-10,15279,15279,15131,15279,126000,GTA
2007-10-11,15427,15427,15279,15279,113300,GTA
2007-10-12,15131,15427,15131,15279,53830,GTA
2007-10-15,15131,15279,15131,15279,75260,GTA
2007-10-16,15131,15279,15131,15131,48970,GTA
2007-10-17,15131,15427,15131,15427,122260,GTA
2007-10-18,16021,16021,15427,15576,104900,GTA
2007-10-19,15131,15427,15131,15279,51660,GTA
2007-10-22,15279,15279,14982,14982,75980,GTA
2007-10-23,14686,14834,14537,14537,80110,GTA
2007-10-24,14270,14686,14270,14537,59580,GTA
2007-10-25,15131,15131,14834,15131,73360,GTA
2007-10-26,15131,15131,14834,14834,61640,GTA
2007-10-29,14389,14834,14389,14389,34960,GTA
2007-10-30,14241,14241,14092,14181,42300,GTA
2007-10-31,13944,14181,13825,13825,54930,GTA
2007-11-01,14092,14448,13944,14448,52850,GTA
2007-11-02,14686,14775,14122,14122,86430,GTA
2007-11-05,13440,13647,13440,13529,74950,GTA
2007-11-06,12991,13592,12991,13560,23540,GTA
2007-11-07,13560,13908,13560,13908,19140,GTA
2007-11-08,13908,13908,13592,13592,48210,GTA
2007-11-09,13276,13497,13118,13276,43610,GTA
2007-11-12,12960,12960,12802,12960,21300,GTA
2007-11-13,12643,12643,12327,12327,29270,GTA
2007-11-14,12327,12928,12327,12928,40020,GTA
2007-11-15,13276,13276,12643,12643,28940,GTA
2007-11-16,12643,12802,12643,12707,26750,GTA
2007-11-19,12707,12707,12612,12675,15020,GTA
2007-11-20,12643,12802,12485,12485,12320,GTA
2007-11-21,12327,12327,12201,12327,14310,GTA
2007-11-22,12011,12359,12011,12359,18990,GTA
2007-11-23,12643,12707,12612,12643,31470,GTA
2007-11-26,12643,12960,12643,12960,12970,GTA
2007-11-27,12960,13118,12960,12960,13150,GTA
2007-11-28,12960,12960,12675,12707,7590,GTA
2007-11-29,12707,12802,12643,12707,13930,GTA
2007-11-30,12707,12707,12580,12643,8810,GTA
2007-12-03,12643,12643,12580,12580,13450,GTA
2007-12-04,12517,12643,12517,12580,29250,GTA
2007-12-05,12643,12643,12485,12612,9310,GTA
2007-12-06,12517,12517,12485,12485,22870,GTA
2007-12-07,12643,12643,12549,12643,8300,GTA
