time,open,high,low,close,volume,ticker
2016-12-16,44000,44000,44000,44000,0,GTD
2016-12-19,44000,44000,44000,44000,0,GTD
2016-12-20,44000,44000,44000,44000,0,GTD
2016-12-21,44000,44000,44000,44000,0,GTD
2016-12-22,44000,44000,44000,44000,0,GTD
2016-12-23,44000,44000,44000,44000,0,GTD
2016-12-26,44000,44000,44000,44000,0,GTD
2016-12-27,44000,44000,44000,44000,0,GTD
2016-12-28,44000,44000,44000,44000,0,GTD
2016-12-29,44000,44000,44000,44000,0,GTD
2016-12-30,44000,44000,44000,44000,0,GTD
2017-01-03,44000,44000,44000,44000,0,GTD
2017-01-04,44000,44000,44000,44000,0,GTD
2017-01-05,44000,44000,44000,44000,0,GTD
2017-01-06,44000,44000,44000,44000,0,GTD
2017-01-09,44000,44000,44000,44000,0,GTD
2017-01-10,44000,44000,44000,44000,0,GTD
2017-01-11,44000,44000,44000,44000,0,GTD
2017-01-12,44000,44000,44000,44000,0,GTD
2017-01-13,44000,44000,44000,44000,0,GTD
2017-01-16,44000,44000,44000,44000,0,GTD
2017-01-17,44000,44000,44000,44000,0,GTD
2017-01-18,44000,44000,44000,44000,0,GTD
2017-01-19,44000,44000,44000,44000,0,GTD
2017-01-20,44000,44000,44000,44000,0,GTD
2017-01-23,44000,44000,44000,44000,0,GTD
2017-01-24,44000,44000,44000,44000,0,GTD
2017-01-25,44000,44000,44000,44000,0,GTD
2017-02-02,44000,44000,44000,44000,0,GTD
2017-02-03,44000,44000,44000,44000,0,GTD
2017-02-06,44000,44000,44000,44000,0,GTD
2017-02-07,44000,44000,44000,44000,0,GTD
2017-02-08,44000,44000,44000,44000,0,GTD
2017-02-09,44000,44000,44000,44000,0,GTD
2017-02-10,44000,44000,44000,44000,0,GTD
2017-02-13,44000,44000,44000,44000,0,GTD
2017-02-14,44000,44000,44000,44000,0,GTD
2017-02-15,44000,44000,44000,44000,0,GTD
2017-02-16,44000,44000,44000,44000,0,GTD
2017-02-17,44000,44000,44000,44000,0,GTD
2017-02-20,44000,44000,44000,44000,0,GTD
2017-02-21,44000,44000,44000,44000,0,GTD
2017-02-22,44000,44000,44000,44000,0,GTD
2017-02-23,44000,44000,44000,44000,0,GTD
2017-02-24,44000,44000,44000,44000,0,GTD
2017-02-27,44000,44000,44000,44000,0,GTD
2017-02-28,44000,44000,44000,44000,0,GTD
2017-03-01,44000,44000,44000,44000,0,GTD
2017-03-02,44000,44000,44000,44000,0,GTD
2017-03-03,44000,44000,44000,44000,0,GTD
2017-03-06,44000,44000,44000,44000,0,GTD
2017-03-07,44000,44000,44000,44000,0,GTD
2017-03-08,44000,44000,44000,44000,0,GTD
2017-03-09,44000,44000,44000,44000,0,GTD
2017-03-10,44000,44000,44000,44000,0,GTD
2017-03-13,44000,44000,44000,44000,0,GTD
2017-03-14,44000,44000,44000,44000,0,GTD
2017-03-15,44000,44000,44000,44000,0,GTD
2017-03-16,44000,44000,44000,44000,0,GTD
2017-03-17,44000,44000,44000,44000,0,GTD
2017-03-20,44000,44000,44000,44000,0,GTD
2017-03-21,44000,44000,44000,44000,0,GTD
2017-03-22,44000,44000,44000,44000,0,GTD
