time,open,high,low,close,volume,ticker
2009-10-27,10141,12304,10141,12056,123900,HAD
2009-10-28,12485,12485,12485,12485,22800,HAD
2009-10-29,13341,13341,12620,13341,141900,HAD
2009-10-30,13995,13995,12620,12642,88400,HAD
2009-11-02,12485,12485,12485,12485,4400,HAD
2009-11-03,11628,11628,11628,11628,2000,HAD
2009-11-04,10817,10817,10817,10817,12000,HAD
2009-11-05,10073,10321,10073,10321,87900,HAD
2009-11-06,10096,10253,9397,9397,43500,HAD
2009-11-09,9915,9915,8879,8901,35600,HAD
2009-11-10,9397,9397,8789,9194,48900,HAD
2009-11-11,9465,9690,9239,9690,30800,HAD
2009-11-12,10051,10051,10028,10051,32300,HAD
2009-11-13,9487,10231,9487,10163,16800,HAD
2009-11-16,9330,9915,9307,9307,52000,HAD
2009-11-17,9375,9442,9239,9442,19500,HAD
2009-11-18,9239,9352,9239,9352,10000,HAD
2009-11-19,9465,9465,9014,9014,28700,HAD
2009-11-20,9239,9239,8721,8721,11900,HAD
2009-11-23,9239,9239,8631,8744,8800,HAD
2009-11-24,9127,9127,8631,8789,1000,HAD
2009-11-25,8766,8766,8158,8158,5000,HAD
2009-11-26,7639,7662,7639,7639,4500,HAD
2009-11-27,7121,8158,7121,7527,42100,HAD
2009-11-30,7617,7729,7211,7729,13400,HAD
2009-12-01,8045,8067,7887,7887,17600,HAD
2009-12-02,8315,8496,7504,7504,9700,HAD
2009-12-03,7662,7887,7436,7482,6100,HAD
2009-12-04,7887,7887,7436,7436,8300,HAD
2009-12-07,7436,7775,7234,7752,13400,HAD
2009-12-08,7842,8113,7662,7887,8600,HAD
2009-12-09,7752,7752,7301,7301,13300,HAD
2009-12-10,7865,7865,6896,6986,21600,HAD
2009-12-11,7098,7098,6603,6603,8600,HAD
2009-12-14,6422,6986,6422,6986,7600,HAD
2009-12-15,6670,7121,6670,7098,19800,HAD
2009-12-16,6648,6805,6558,6558,9800,HAD
2009-12-17,6332,7121,6332,6760,9500,HAD
2009-12-18,7324,7346,7211,7346,18200,HAD
2009-12-21,7752,7820,7436,7820,6200,HAD
2009-12-22,8180,8180,7436,7436,5100,HAD
2009-12-23,7211,7707,7211,7662,3300,HAD
2009-12-24,8067,8113,7211,7887,13400,HAD
2009-12-25,8113,8113,7707,7707,16100,HAD
2009-12-28,7887,8067,7820,7865,9400,HAD
2009-12-29,7887,7955,7436,7775,11600,HAD
2009-12-30,7865,7887,7662,7887,16800,HAD
2009-12-31,8225,8225,7211,7662,10100,HAD
2010-01-04,8248,8293,8000,8293,30700,HAD
2010-01-05,8744,8744,8518,8563,21700,HAD
2010-01-06,8789,8789,8338,8338,9000,HAD
2010-01-07,8631,8744,8338,8586,18900,HAD
2010-01-08,8789,8789,8428,8451,51600,HAD
2010-01-11,8360,8360,8315,8338,13500,HAD
2010-01-12,8563,8789,8360,8360,24800,HAD
2010-01-13,8789,8789,8293,8563,9400,HAD
2010-01-14,8563,9127,8563,9127,36500,HAD
2010-01-15,9577,9668,9375,9510,24000,HAD
2010-01-18,9239,9577,8924,9127,13600,HAD
2010-01-19,9172,9803,9172,9803,35900,HAD
2010-01-20,10141,10231,9352,9352,51300,HAD
2010-01-21,9465,9465,9352,9352,2100,HAD
2010-01-22,9014,9014,8789,8789,2000,HAD
2010-01-25,8901,9510,8901,9487,4300,HAD
2010-01-26,9690,9690,9465,9577,4600,HAD
2010-01-27,9014,9014,8924,8924,6900,HAD
2010-01-28,9239,9239,9239,9239,100,HAD
2010-01-29,9465,9465,8676,8676,3300,HAD
2010-02-01,8383,8563,8383,8563,3100,HAD
2010-02-02,8563,8563,8563,8563,500,HAD
2010-02-03,8563,8563,8000,8000,8300,HAD
2010-02-04,8586,8698,8586,8698,2400,HAD
2010-02-05,8631,8631,8113,8113,1300,HAD
2010-02-08,8676,8676,8676,8676,200,HAD
2010-02-09,8338,8676,8338,8676,1000,HAD
2010-02-10,8766,8789,8766,8766,1900,HAD
2010-02-11,9375,9375,8789,8789,700,HAD
2010-02-12,9555,9555,8563,8789,2300,HAD
2010-02-22,8789,9645,8789,9014,2000,HAD
2010-02-23,8721,8721,8676,8676,1700,HAD
2010-02-24,8789,8789,8789,8789,200,HAD
2010-02-25,8563,8563,8451,8451,1000,HAD
2010-02-26,8451,8766,8451,8541,4200,HAD
2010-03-01,8586,8676,8586,8676,8900,HAD
2010-03-02,8969,8969,8653,8766,700,HAD
2010-03-03,8766,8991,8766,8789,7500,HAD
2010-03-04,8924,9014,8856,8991,5100,HAD
2010-03-05,8834,8901,8789,8811,20000,HAD
2010-03-08,9420,9442,9420,9442,8100,HAD
2010-03-09,9690,10096,9442,9893,87400,HAD
2010-03-10,9915,9915,9104,9690,14900,HAD
2010-03-11,9690,9690,9239,9690,10300,HAD
2010-03-12,9375,9825,9375,9758,16200,HAD
2010-03-15,10050,10050,9763,9907,14200,HAD
2010-03-16,9883,9883,9189,9213,14100,HAD
2010-03-17,9213,9333,9213,9333,2400,HAD
2010-03-18,9333,9333,9117,9333,12700,HAD
2010-03-19,9333,9333,9093,9093,9700,HAD
2010-03-22,9093,9093,8854,8974,5400,HAD
2010-03-23,9045,9093,9045,9093,4200,HAD
2010-03-24,9093,9093,9093,9093,100,HAD
2010-03-25,9309,9309,8543,9189,400,HAD
2010-03-26,9452,9452,8854,9093,1300,HAD
2010-03-29,8854,8974,8854,8974,10500,HAD
2010-03-30,8615,8854,8615,8758,5700,HAD
2010-03-31,8854,9045,8854,9045,3500,HAD
2010-04-01,8854,8854,8854,8854,3900,HAD
2010-04-02,8974,8974,8782,8974,1700,HAD
2010-04-05,9309,9309,9309,9309,100,HAD
2010-04-06,9093,9333,8974,8974,6600,HAD
2010-04-07,9548,9548,8926,9333,17800,HAD
2010-04-08,9452,9500,8854,9428,17000,HAD
2010-04-09,9452,9452,9093,9093,500,HAD
2010-04-12,9452,9452,9021,9021,22300,HAD
2010-04-13,8902,9428,8902,9428,7000,HAD
2010-04-14,9285,9333,9285,9285,3300,HAD
2010-04-15,9285,9883,9285,9452,7100,HAD
2010-04-16,9572,9572,9213,9213,1600,HAD
2010-04-19,9117,9309,9117,9309,12700,HAD
2010-04-20,9117,9333,8878,9165,7800,HAD
2010-04-21,9093,9763,9093,9763,24800,HAD
2010-04-22,10290,10362,9835,9835,21000,HAD
2010-04-26,10936,10936,10050,10314,24200,HAD
2010-04-27,9811,10314,9811,10314,26200,HAD
2010-04-28,10409,10768,9763,9763,9400,HAD
2010-04-29,9811,10601,9811,10505,23600,HAD
2010-05-04,10362,10553,9644,10529,48400,HAD
2010-05-05,10744,10744,9835,9835,3200,HAD
2010-05-06,10266,10433,9835,10433,53600,HAD
2010-05-07,10290,10338,10290,10314,41600,HAD
2010-05-10,10338,10409,9979,10338,16700,HAD
2010-05-11,10744,10744,10194,10290,19900,HAD
2010-05-12,10362,10362,9835,10242,18400,HAD
2010-05-13,10146,10266,10050,10170,16200,HAD
2010-05-14,10170,10290,10170,10290,10600,HAD
2010-05-17,10266,10290,10194,10242,11000,HAD
2010-05-18,10194,10409,10050,10242,30100,HAD
2010-05-19,10074,10074,9931,9931,25700,HAD
2010-05-20,10027,10290,9572,10290,30800,HAD
2010-05-21,10194,10338,9811,10027,21800,HAD
2010-05-24,10529,10529,9691,10290,2500,HAD
2010-05-25,10290,10409,9931,10290,27900,HAD
2010-05-26,9691,10409,9691,10170,39600,HAD
2010-05-27,10529,10529,9931,9931,5600,HAD
2010-05-28,10385,10649,9691,10409,11200,HAD
2010-05-31,9620,10290,9620,10290,9800,HAD
2010-06-01,10290,10290,10050,10266,8400,HAD
2010-06-02,10290,10290,10218,10266,4600,HAD
2010-06-03,10768,10768,10146,10266,4400,HAD
2010-06-04,10673,10673,9859,10242,5900,HAD
2010-06-07,10170,10170,10170,10170,0,HAD
2010-06-08,10290,10290,10290,10290,100,HAD
2010-06-09,10290,10362,10170,10170,2400,HAD
2010-06-10,10266,10266,10266,10266,0,HAD
2010-06-11,10266,10266,10050,10050,3100,HAD
2010-06-14,10242,10242,10218,10218,2900,HAD
2010-06-15,9572,10170,9572,10170,200,HAD
2010-06-16,10266,10553,9931,10553,136300,HAD
2010-06-17,11151,11151,10409,11151,152500,HAD
2010-06-18,11415,11415,11295,11415,55400,HAD
2010-06-21,12204,12204,11438,11438,92200,HAD
2010-06-22,11367,11367,11271,11271,49200,HAD
2010-06-23,10505,10768,10505,10505,115800,HAD
2010-06-24,10553,10673,10242,10290,15500,HAD
2010-06-25,10050,10409,9787,10050,28600,HAD
2010-06-28,10290,10529,10290,10290,15200,HAD
2010-06-29,10314,10385,9811,9811,3800,HAD
2010-06-30,10505,10505,9811,9859,22300,HAD
2010-07-01,10266,10266,9548,9739,32200,HAD
2010-07-02,10027,10027,9428,9907,15800,HAD
2010-07-05,9787,9811,9596,9596,14000,HAD
2010-07-06,9811,9907,9093,9524,27700,HAD
2010-07-07,9979,9979,8974,9524,24100,HAD
2010-07-08,9333,9572,9165,9500,10100,HAD
2010-07-09,9524,9572,9500,9548,12100,HAD
2010-07-12,9548,9548,9333,9500,6700,HAD
2010-07-13,10122,10146,9572,10146,32900,HAD
2010-07-14,10409,10409,9668,9811,10300,HAD
2010-07-15,9883,10146,9883,9907,24200,HAD
2010-07-16,9811,10170,9811,10050,9300,HAD
2010-07-19,9572,9979,9572,9979,4200,HAD
2010-07-20,9356,9907,9356,9811,14300,HAD
2010-07-21,9787,9811,9572,9811,10700,HAD
2010-07-22,9835,9835,9333,9763,2600,HAD
2010-07-23,9931,9931,9356,9739,8600,HAD
2010-07-26,9907,9907,9356,9356,6600,HAD
2010-07-27,9213,9668,9213,9428,10800,HAD
2010-07-28,9883,9883,9356,9356,3700,HAD
2010-07-29,8926,9452,8926,9380,8500,HAD
2010-07-30,9452,9931,9452,9931,41900,HAD
2010-08-02,10529,10529,9859,9859,3000,HAD
2010-08-03,10098,10098,9572,9572,1100,HAD
2010-08-04,9572,9883,9356,9356,13900,HAD
2010-08-05,9763,9763,9763,9763,0,HAD
2010-08-06,9763,9763,9237,9715,1300,HAD
2010-08-09,9787,9787,9069,9093,9400,HAD
2010-08-10,9548,9548,8878,9189,7800,HAD
2010-08-11,8854,9189,8854,9189,7100,HAD
2010-08-12,9213,9213,8615,8615,9100,HAD
2010-08-13,8830,8974,8782,8974,5800,HAD
2010-08-16,9069,9333,9069,9333,8200,HAD
2010-08-17,9452,9452,8974,8974,4100,HAD
2010-08-18,8662,8854,8662,8854,3000,HAD
2010-08-19,8974,8974,8639,8758,6600,HAD
2010-08-20,9333,9333,8854,9261,12800,HAD
2010-08-23,9644,9644,8662,8662,5600,HAD
2010-08-24,8734,8854,8423,8806,6400,HAD
2010-08-25,8615,8710,8112,8710,17000,HAD
2010-08-26,8615,8830,8615,8734,8100,HAD
2010-08-27,8615,8615,8471,8615,6500,HAD
2010-08-30,9045,9045,9021,9021,1600,HAD
2010-08-31,9189,9189,8974,8974,3000,HAD
2010-09-01,9093,9189,9093,9189,1600,HAD
2010-09-06,9428,9572,9285,9572,8200,HAD
2010-09-07,9309,9452,9309,9452,4100,HAD
2010-09-08,8902,9237,8830,9237,16700,HAD
2010-09-09,9117,9524,9093,9093,4000,HAD
2010-09-10,9333,9333,8734,9093,25800,HAD
2010-09-13,8854,9021,8854,9021,9500,HAD
2010-09-14,9045,9045,9045,9045,3100,HAD
2010-09-15,9524,9524,8782,9045,2100,HAD
2010-09-16,9165,9309,9093,9165,10200,HAD
2010-09-17,9165,9165,9165,9165,0,HAD
2010-09-20,9165,9165,9165,9165,100,HAD
2010-09-21,8854,9500,8615,9500,900,HAD
2010-09-22,9261,9428,9261,9428,4000,HAD
2010-09-23,9093,9309,8997,9213,20600,HAD
2010-09-24,9141,9213,9141,9213,18500,HAD
2010-09-27,9309,9309,9309,9309,5000,HAD
2010-09-28,9117,9309,9117,9309,1300,HAD
2010-09-29,9213,9213,9189,9189,3000,HAD
2010-09-30,9165,9572,9165,9572,3800,HAD
2010-10-01,9213,9213,9213,9213,0,HAD
2010-10-04,8734,8878,8734,8854,1600,HAD
2010-10-05,8854,8854,8854,8854,0,HAD
2010-10-06,9452,9452,8734,8734,4300,HAD
2010-10-07,9333,9356,9069,9093,2900,HAD
2010-10-08,9309,9309,9309,9309,100,HAD
2010-10-11,9309,9309,9309,9309,100,HAD
2010-10-12,9309,9309,9309,9309,100,HAD
2010-10-13,8950,8950,8950,8950,100,HAD
2010-10-14,9213,9213,9213,9213,8000,HAD
2010-10-15,9213,9213,9213,9213,11100,HAD
2010-10-18,9309,9333,9213,9213,4400,HAD
2010-10-19,9572,9572,9045,9045,1300,HAD
2010-10-20,9213,9213,9213,9213,1500,HAD
2010-10-21,9213,9213,9213,9213,1100,HAD
2010-10-22,9333,9333,8686,8686,13500,HAD
2010-10-25,9141,9213,9141,9213,3200,HAD
2010-10-26,9213,9213,9213,9213,1000,HAD
2010-10-27,8758,8758,8734,8734,4400,HAD
2010-10-28,8878,8878,8878,8878,100,HAD
2010-10-29,9309,9309,9309,9309,1000,HAD
2010-11-01,8734,8734,8662,8662,1000,HAD
2010-11-02,8280,8280,8280,8280,300,HAD
2010-11-03,8806,8854,8136,8854,13600,HAD
2010-11-04,9380,9380,9213,9356,2700,HAD
2010-11-05,9620,9620,9404,9404,5000,HAD
2010-11-08,9356,9404,9333,9404,5500,HAD
2010-11-09,9309,9309,9309,9309,3500,HAD
2010-11-10,9309,9309,9309,9309,5000,HAD
2010-11-11,8878,9213,8878,8974,1100,HAD
2010-11-12,9093,9165,9093,9165,2000,HAD
2010-11-15,8902,8902,8854,8854,800,HAD
2010-11-16,9189,9189,8327,8327,3900,HAD
2010-11-17,8615,8615,8375,8375,600,HAD
2010-11-18,9021,9069,9021,9069,15400,HAD
2010-11-19,9500,9500,9500,9500,800,HAD
2010-11-22,9093,9093,9093,9093,3200,HAD
2010-11-23,8878,8878,8854,8854,2900,HAD
2010-11-24,8854,8854,8854,8854,0,HAD
2010-11-25,8495,9189,8495,8615,1400,HAD
2010-11-26,8495,9213,8160,8160,1400,HAD
2010-11-29,8136,8854,8136,8854,7200,HAD
2010-11-30,8830,8830,8830,8830,0,HAD
2010-12-01,9093,9093,9093,9093,100,HAD
2010-12-02,9093,9093,9093,9093,0,HAD
2010-12-03,8854,9285,8854,9285,500,HAD
2010-12-06,8615,9093,8615,9093,16000,HAD
2010-12-07,8615,8615,8615,8615,3000,HAD
2010-12-08,8615,9213,8615,8734,39700,HAD
2010-12-09,9093,9093,9093,9093,200,HAD
2010-12-10,9093,9333,9093,9333,8200,HAD
2010-12-13,9285,9285,9285,9285,7500,HAD
2010-12-14,9045,9045,9045,9045,1000,HAD
2010-12-15,9045,9045,9045,9045,0,HAD
2010-12-16,9045,9045,9045,9045,0,HAD
2010-12-17,9045,9045,9045,9045,0,HAD
2010-12-20,9069,9069,9045,9045,1000,HAD
2010-12-21,9213,9213,9213,9213,100,HAD
2010-12-22,9452,9452,9452,9452,100,HAD
2010-12-23,8854,8854,8854,8854,1000,HAD
2010-12-24,9333,9333,8878,9093,3400,HAD
2010-12-27,9333,9333,9333,9333,100,HAD
2010-12-28,9333,9452,9333,9452,23900,HAD
2010-12-29,9452,9452,9428,9428,30100,HAD
2010-12-30,9213,9428,9213,9356,28500,HAD
2010-12-31,9428,9596,9428,9572,36000,HAD
2011-01-04,9548,9548,9548,9548,0,HAD
2011-01-05,9548,9548,9548,9548,0,HAD
2011-01-06,9548,9548,9548,9548,0,HAD
2011-01-07,9548,9548,9548,9548,1000,HAD
2011-01-10,9524,9644,9524,9644,28500,HAD
2011-01-11,9524,9524,9524,9524,0,HAD
2011-01-12,9524,9524,9524,9524,0,HAD
2011-01-13,9524,9572,9333,9333,55000,HAD
2011-01-14,9213,9213,9213,9213,300,HAD
2011-01-17,8854,9021,8854,9021,1000,HAD
2011-01-18,9548,9548,9213,9213,29600,HAD
2011-01-19,9093,9093,9093,9093,2700,HAD
2011-01-20,9452,9572,9452,9548,21700,HAD
2011-01-21,9093,9117,9093,9117,1400,HAD
2011-01-24,9333,9333,9333,9333,100,HAD
2011-01-25,9333,9333,9333,9333,0,HAD
2011-01-26,9524,9524,9524,9524,100,HAD
2011-01-27,10170,10170,10170,10170,100,HAD
2011-01-28,9811,10027,9476,9476,1500,HAD
2011-02-08,9333,9333,9333,9333,100,HAD
2011-02-09,9333,9333,9333,9333,0,HAD
2011-02-10,9691,9691,9213,9213,1300,HAD
2011-02-11,9261,9261,9261,9261,0,HAD
2011-02-14,9261,9261,9213,9213,2400,HAD
2011-02-15,9524,9524,9213,9213,200,HAD
2011-02-16,9093,9093,9093,9093,400,HAD
2011-02-17,8782,9333,8782,9333,900,HAD
2011-02-18,9093,9213,9093,9093,500,HAD
2011-02-21,9117,9117,9117,9117,0,HAD
2011-02-22,8495,8495,8495,8495,31100,HAD
2011-02-23,9069,9069,9069,9069,100,HAD
2011-02-24,9069,9069,9069,9069,700,HAD
2011-02-25,9069,9069,9069,9069,0,HAD
2011-02-28,9093,9093,9093,9093,10900,HAD
2011-03-01,9093,9093,9093,9093,100,HAD
2011-03-02,9093,9093,9093,9093,0,HAD
2011-03-03,9093,9093,8495,9093,4200,HAD
2011-03-04,9069,9069,9069,9069,0,HAD
2011-03-07,9045,9069,9045,9069,3200,HAD
2011-03-08,9213,9213,9213,9213,10300,HAD
2011-03-09,9213,9213,9213,9213,0,HAD
2011-03-10,9165,9165,9165,9165,500,HAD
2011-03-11,9165,9285,9165,9213,21400,HAD
2011-03-14,9213,9213,9213,9213,0,HAD
2011-03-15,9165,9213,9165,9213,8000,HAD
2011-03-16,9213,9213,9213,9213,0,HAD
2011-03-17,9189,9213,9189,9213,5000,HAD
2011-03-18,8567,8567,8567,8567,700,HAD
2011-03-21,8974,8974,8950,8950,1200,HAD
2011-03-22,8758,8758,8758,8758,300,HAD
2011-03-23,8854,8854,8854,8854,1000,HAD
2011-03-24,8854,8854,8854,8854,0,HAD
2011-03-25,9189,9189,9093,9093,1900,HAD
2011-03-28,9093,9093,9093,9093,0,HAD
2011-03-29,9093,9093,9093,9093,0,HAD
2011-03-30,9189,9213,9093,9213,12900,HAD
2011-03-31,9811,9811,8639,9763,5000,HAD
2011-04-01,9165,9165,9165,9165,0,HAD
2011-04-04,9165,9165,9165,9165,0,HAD
2011-04-05,9165,9165,9165,9165,0,HAD
2011-04-06,9093,9452,9093,9452,2600,HAD
2011-04-07,8710,8710,8710,8710,800,HAD
2011-04-08,8710,8710,8710,8710,0,HAD
2011-04-13,8710,8710,8710,8710,0,HAD
2011-04-14,8710,8710,8710,8710,0,HAD
2011-04-15,8710,8710,8710,8710,0,HAD
2011-04-18,8710,8710,8710,8710,0,HAD
2011-04-19,8710,8710,8710,8710,0,HAD
2011-04-20,8854,9309,8854,9309,8000,HAD
2011-04-21,9045,9045,9045,9045,0,HAD
2011-04-22,9045,9045,9045,9045,0,HAD
2011-04-25,9045,9045,9045,9045,0,HAD
2011-04-26,9045,9045,9045,9045,0,HAD
2011-04-27,9045,9045,9045,9045,0,HAD
2011-04-28,9045,9093,9045,9093,8000,HAD
2011-04-29,8615,8615,8615,8615,2000,HAD
2011-05-04,8854,8854,8854,8854,3300,HAD
2011-05-05,8982,8982,8982,8982,900,HAD
2011-05-06,8982,8982,8982,8982,0,HAD
2011-05-09,8982,8982,8982,8982,0,HAD
2011-05-10,8982,8982,8982,8982,0,HAD
2011-05-11,8982,8982,8982,8982,0,HAD
2011-05-12,8982,8982,8982,8982,0,HAD
2011-05-13,8982,8982,8982,8982,0,HAD
2011-05-16,8469,8469,8469,8469,2900,HAD
2011-05-17,8469,8469,8469,8469,0,HAD
2011-05-18,8469,8469,8469,8469,0,HAD
2011-05-19,8469,8469,8469,8469,0,HAD
2011-05-20,8469,8469,8469,8469,0,HAD
2011-05-23,8469,8469,8469,8469,0,HAD
2011-05-24,8469,8469,8469,8469,0,HAD
2011-05-25,7956,7956,7904,7904,5300,HAD
2011-05-26,8212,8212,8212,8212,200,HAD
2011-05-27,8212,8212,8212,8212,0,HAD
2011-05-30,8212,8212,8212,8212,0,HAD
2011-05-31,8777,8777,8777,8777,100,HAD
2011-06-01,9367,9367,9367,9367,100,HAD
2011-06-02,9983,9983,9983,9983,100,HAD
2011-06-03,10650,10650,10650,10650,100,HAD
2011-06-06,11164,11164,9906,9906,2100,HAD
2011-06-07,9958,9958,9958,9958,0,HAD
2011-06-08,9496,9496,9496,9496,500,HAD
2011-06-09,9367,9367,9367,9367,300,HAD
2011-06-10,9367,9367,9367,9367,200,HAD
2011-06-13,9367,9367,9367,9367,0,HAD
2011-06-14,9881,9881,9881,9881,100,HAD
2011-06-15,9881,9881,9881,9881,0,HAD
2011-06-16,9881,9881,9881,9881,0,HAD
2011-06-17,9881,9881,9881,9881,0,HAD
2011-06-20,9881,9881,9881,9881,0,HAD
2011-06-21,9239,9239,9213,9213,1800,HAD
2011-06-22,9239,9239,9239,9239,0,HAD
2011-06-23,9239,9239,9239,9239,0,HAD
2011-06-24,8597,9752,8597,9752,1100,HAD
2011-06-27,10060,10060,10060,10060,100,HAD
2011-06-28,9367,9367,9367,9367,500,HAD
2011-06-29,10009,10009,10009,10009,100,HAD
2011-06-30,10009,10009,10009,10009,0,HAD
2011-07-01,10009,10009,10009,10009,0,HAD
2011-07-04,10009,10009,10009,10009,0,HAD
2011-07-05,10009,10009,10009,10009,0,HAD
2011-07-06,10009,10009,10009,10009,0,HAD
2011-07-07,10009,10009,10009,10009,0,HAD
2011-07-08,10009,10009,10009,10009,0,HAD
2011-07-11,10009,10009,10009,10009,0,HAD
2011-07-12,10009,10009,10009,10009,0,HAD
2011-07-13,10009,10009,10009,10009,0,HAD
2011-07-14,10009,10009,10009,10009,0,HAD
2011-07-15,10009,10009,10009,10009,0,HAD
2011-07-18,9316,9316,9316,9316,100,HAD
