time,open,high,low,close,volume,ticker
2006-12-26,1271,1271,1271,1271,1000,HAX
2006-12-27,1325,1325,1325,1325,500,HAX
2006-12-28,1391,1391,1391,1391,1250,HAX
2006-12-29,1460,1460,1460,1460,1000,HAX
2007-01-02,1460,1532,1460,1532,1490,HAX
2007-01-03,1609,1609,1609,1609,2500,HAX
2007-01-04,1688,1688,1688,1688,2800,HAX
2007-01-05,1772,1772,1772,1772,1460,HAX
2007-01-08,1852,1852,1852,1852,4990,HAX
2007-01-09,1852,1852,1852,1852,2980,HAX
2007-01-10,1852,1852,1852,1852,0,HAX
2007-01-11,1852,1852,1761,1761,530,HAX
2007-01-12,1761,1761,1674,1674,1100,HAX
2007-01-15,1674,1674,1674,1674,0,HAX
2007-01-16,1674,1674,1670,1670,100,HAX
2007-01-17,1670,1670,1590,1590,200,HAX
2007-01-18,1590,1590,1590,1590,0,HAX
2007-01-19,1590,1590,1514,1514,10,HAX
2007-01-22,1514,1514,1452,1452,600,HAX
2007-01-23,1452,1452,1380,1380,20,HAX
2007-01-24,1380,1380,1380,1380,100,HAX
2007-01-25,1380,1380,1380,1380,0,HAX
2007-01-26,1380,1380,1325,1325,2840,HAX
2007-01-29,1325,1325,1260,1260,580,HAX
2007-01-30,1234,1260,1234,1260,12450,HAX
2007-01-31,1260,1322,1260,1322,11120,HAX
2007-02-01,1322,1387,1322,1387,8150,HAX
2007-02-02,1416,1416,1416,1416,3300,HAX
2007-02-05,1416,1416,1416,1416,5270,HAX
2007-02-06,1416,1416,1380,1380,2930,HAX
2007-02-07,1416,1416,1416,1416,7200,HAX
2007-02-08,1416,1416,1416,1416,2500,HAX
2007-02-09,1416,1416,1416,1416,4590,HAX
2007-02-12,1471,1485,1471,1485,2700,HAX
2007-02-13,1558,1558,1558,1558,10170,HAX
2007-02-14,1558,1630,1558,1630,4050,HAX
2007-02-15,1630,1630,1630,1630,1580,HAX
2007-02-26,1630,1707,1630,1707,3380,HAX
2007-02-27,1707,1779,1707,1779,4080,HAX
2007-02-28,1779,1779,1779,1779,10,HAX
2007-03-01,1779,1779,1779,1779,2500,HAX
2007-03-02,1779,1779,1692,1692,400,HAX
2007-03-05,1634,1634,1634,1634,3220,HAX
2007-03-06,1634,1670,1634,1670,5560,HAX
2007-03-07,1670,1670,1670,1670,6700,HAX
2007-03-08,1754,1754,1754,1754,5300,HAX
2007-03-09,1816,1834,1816,1834,6850,HAX
2007-03-12,1925,1925,1925,1925,8250,HAX
2007-03-13,1925,2015,1925,2015,2360,HAX
2007-03-14,2106,2106,2106,2106,5910,HAX
2007-03-15,2070,2070,2015,2015,7070,HAX
2007-03-16,2015,2015,1925,1925,350,HAX
2007-03-19,1834,2015,1834,2015,4670,HAX
2007-03-20,1961,1961,1925,1925,7800,HAX
2007-03-21,1925,1925,1834,1834,3150,HAX
2007-03-22,1925,1925,1925,1925,520,HAX
2007-03-23,1961,1961,1834,1834,3510,HAX
2007-03-26,1834,1834,1816,1816,2200,HAX
2007-03-27,1743,1743,1743,1743,4500,HAX
2007-03-28,1743,1743,1656,1656,1020,HAX
