time,open,high,low,close,volume,ticker
2019-12-18,16919,16919,16919,16919,600,HCB
2019-12-19,16919,16919,16919,16919,0,HCB
2019-12-20,16919,16919,16919,16919,0,HCB
2019-12-23,16919,16919,16919,16919,0,HCB
2019-12-24,16919,16919,16919,16919,0,HCB
2019-12-25,16919,16919,16919,16919,0,HCB
2019-12-26,16919,16919,16919,16919,0,HCB
2019-12-27,16919,16919,16919,16919,0,HCB
2019-12-30,16919,16919,16919,16919,0,HCB
2019-12-31,16919,16919,16919,16919,0,HCB
2020-01-02,16919,16919,16919,16919,0,HCB
2020-01-03,16143,16143,16143,16143,100,HCB
2020-01-06,16143,16143,16143,16143,0,HCB
2020-01-07,16143,16143,16143,16143,0,HCB
2020-01-08,16143,16143,16143,16143,0,HCB
2020-01-09,16143,16143,16143,16143,0,HCB
2020-01-10,13958,13958,13958,13958,2600,HCB
2020-01-13,13958,13958,13958,13958,0,HCB
2020-01-14,14099,14099,14099,14099,400,HCB
2020-01-15,14099,14099,14099,14099,0,HCB
2020-01-16,14099,14099,14099,14099,0,HCB
2020-01-17,14099,14099,14099,14099,0,HCB
2020-01-20,14099,14099,14099,14099,0,HCB
2020-01-21,13041,13041,13041,13041,300,HCB
2020-01-22,13394,13746,13394,14099,1700,HCB
2020-01-30,13394,14099,13394,13394,3600,HCB
2020-01-31,13394,13394,13394,13394,2000,HCB
2020-02-03,12689,12689,12689,12689,500,HCB
2020-02-04,12689,12689,12689,12689,0,HCB
2020-02-05,12689,12689,12689,12689,0,HCB
2020-02-06,12689,12689,12689,12689,100,HCB
2020-02-07,12689,12689,12689,12689,0,HCB
2020-02-10,12689,12689,12689,12689,0,HCB
2020-02-11,12689,12689,12689,12689,0,HCB
2020-02-12,14592,14592,14592,14592,100,HCB
2020-02-13,14804,14804,14804,14804,1500,HCB
2020-02-14,16214,16214,15509,15509,5000,HCB
2020-02-17,16214,16214,16214,16214,1000,HCB
2020-02-18,16214,16214,16214,16214,0,HCB
2020-02-19,16919,16919,16919,16919,100,HCB
2020-02-20,16919,16919,16919,16919,0,HCB
2020-02-21,16919,16919,16919,16919,0,HCB
2020-02-24,16919,16919,16919,16919,300,HCB
2020-02-25,16919,16919,16919,16919,0,HCB
2020-02-26,16919,16919,16919,16919,0,HCB
2020-02-27,16919,16919,16919,16919,0,HCB
2020-02-28,16919,16919,16919,16919,0,HCB
2020-03-02,16919,16919,16919,16919,0,HCB
2020-03-03,16566,16566,16566,16566,150,HCB
2020-03-04,16566,16566,16566,16566,0,HCB
2020-03-05,16566,16566,16566,16566,0,HCB
2020-03-06,15156,15156,14099,14804,1500,HCB
2020-03-09,16440,16440,16440,16440,100,HCB
2020-03-10,16440,16440,16440,16440,0,HCB
2020-03-11,16440,16440,16440,16440,0,HCB
2020-03-12,16440,16440,16440,16440,0,HCB
2020-03-13,18788,18788,18788,18788,200,HCB
2020-03-16,18788,18788,18788,18788,0,HCB
2020-03-17,18788,18788,18788,18788,0,HCB
2020-03-18,18788,18788,18788,18788,0,HCB
2020-03-19,18788,18788,18788,18788,0,HCB
2020-03-20,18788,18788,18788,18788,0,HCB
2020-03-23,18788,18788,18788,18788,0,HCB
2020-03-24,18788,18788,18788,18788,0,HCB
2020-03-25,18788,18788,18788,18788,0,HCB
2020-03-26,18788,18788,18788,18788,0,HCB
2020-03-27,18788,18788,18788,18788,0,HCB
2020-03-30,18788,18788,18788,18788,0,HCB
2020-03-31,18788,18788,18788,18788,0,HCB
2020-04-01,18788,18788,18788,18788,0,HCB
2020-04-03,18788,18788,18788,18788,0,HCB
2020-04-06,18788,18788,18788,18788,0,HCB
2020-04-07,18788,18788,18788,18788,0,HCB
