time,open,high,low,close,volume,ticker
2016-07-04,10187,11205,9459,11205,1763800,HCD
2016-07-05,11424,11933,11205,11933,1911550,HCD
2016-07-06,12151,12733,11133,12733,2315490,HCD
2016-07-07,11860,12297,11860,11860,1099950,HCD
2016-07-08,11060,11060,11060,11060,14800,HCD
2016-07-11,10332,10478,10332,10332,2380750,HCD
2016-07-12,9677,9677,9677,9677,752980,HCD
2016-07-13,9022,9459,9022,9459,3154250,HCD
2016-07-14,9459,9823,8804,8804,1932590,HCD
2016-07-15,8222,8222,8222,8222,886880,HCD
2016-07-18,7713,7713,7713,7713,565810,HCD
2016-07-19,7203,7567,7203,7494,3598940,HCD
2016-07-20,7422,7785,7276,7785,1199870,HCD
2016-07-21,7713,7858,7276,7349,1127800,HCD
2016-07-22,6912,7130,6839,6912,349850,HCD
2016-07-25,6912,6912,6476,6621,490050,HCD
2016-07-26,6403,6548,6185,6330,251940,HCD
2016-07-27,6112,6476,6112,6476,412830,HCD
2016-07-28,6257,6694,6257,6548,770770,HCD
2016-07-29,6403,6621,6330,6621,234120,HCD
2016-08-01,6621,6694,6476,6548,151450,HCD
2016-08-02,6548,6548,6112,6185,166420,HCD
2016-08-03,6185,6257,6039,6257,200750,HCD
2016-08-04,6185,6330,6112,6112,159020,HCD
2016-08-05,6112,6112,5966,6112,162740,HCD
2016-08-08,6039,6112,5821,6112,130940,HCD
2016-08-09,5966,6476,5821,6476,1663340,HCD
2016-08-10,6476,6767,6403,6694,988710,HCD
2016-08-11,6621,6694,6257,6403,514940,HCD
2016-08-12,6330,6403,6039,6185,201930,HCD
2016-08-15,6185,6185,6039,6039,175120,HCD
2016-08-16,6039,6112,5966,6112,296780,HCD
2016-08-17,6039,6403,5821,6257,826250,HCD
2016-08-18,6185,6257,6039,6039,390500,HCD
2016-08-19,6039,6112,5966,6039,247680,HCD
2016-08-22,5966,6112,5966,6039,221540,HCD
2016-08-23,6039,6112,5966,6039,220150,HCD
2016-08-24,6039,6257,5966,6112,437270,HCD
2016-08-25,6039,6476,6039,6403,1069900,HCD
2016-08-26,6403,6548,6257,6330,599480,HCD
2016-08-29,6330,6548,6039,6039,539780,HCD
2016-08-30,6039,6112,5966,6039,197840,HCD
2016-08-31,6039,6112,5966,6039,279300,HCD
2016-09-01,6039,6185,5966,5966,356420,HCD
2016-09-05,5966,6039,5966,6039,241730,HCD
2016-09-06,6039,6112,5966,6112,212920,HCD
2016-09-07,6112,6112,5966,6039,131760,HCD
2016-09-08,6039,6112,5966,6039,220740,HCD
2016-09-09,6039,6112,5966,6039,171190,HCD
2016-09-12,6039,6112,5937,5966,257530,HCD
2016-09-13,5966,6032,5937,6003,220310,HCD
2016-09-14,6003,6024,5908,5974,214690,HCD
2016-09-15,5974,5988,5966,5988,243720,HCD
2016-09-16,5988,5988,5930,5944,132610,HCD
2016-09-19,5944,5966,5828,5930,183170,HCD
2016-09-20,5930,5930,5821,5857,179410,HCD
2016-09-21,5857,5893,5821,5893,260710,HCD
2016-09-22,5893,6039,5828,5930,476980,HCD
2016-09-23,5893,5930,5821,5930,81820,HCD
2016-09-26,5893,5893,5828,5872,163630,HCD
2016-09-27,5872,5872,5784,5843,463490,HCD
2016-09-28,5843,5857,5821,5850,368280,HCD
2016-09-29,5828,5864,5828,5857,277940,HCD
2016-09-30,5857,5857,5821,5835,307170,HCD
2016-10-03,5835,5857,5821,5857,224780,HCD
2016-10-04,5850,5893,5835,5879,295160,HCD
2016-10-05,5879,5893,5850,5879,197970,HCD
2016-10-06,5879,5893,5821,5857,230850,HCD
2016-10-07,5857,5893,5821,5886,141700,HCD
2016-10-10,5857,5879,5821,5821,365910,HCD
2016-10-11,5821,5835,5821,5821,192610,HCD
2016-10-12,5821,5821,5784,5784,222350,HCD
2016-10-13,5784,5821,5755,5821,162080,HCD
2016-10-14,5821,5843,5770,5770,226180,HCD
2016-10-17,5777,5784,5733,5763,184770,HCD
2016-10-18,5763,5784,5733,5748,175950,HCD
2016-10-19,5784,5784,5639,5682,396410,HCD
2016-10-20,5748,5748,5682,5748,387610,HCD
2016-10-21,5712,5784,5675,5784,352920,HCD
2016-10-24,5763,5821,5530,5821,366050,HCD
2016-10-25,5821,5893,5675,5893,196950,HCD
2016-10-26,5893,5966,5857,5966,196850,HCD
2016-10-27,6039,6039,5930,5952,198620,HCD
2016-10-28,5966,5966,5930,5952,181820,HCD
2016-10-31,5893,5952,5857,5915,161250,HCD
2016-11-01,5923,5930,5821,5864,131320,HCD
2016-11-02,5864,5879,5770,5770,83300,HCD
2016-11-03,5748,5748,5726,5726,79330,HCD
2016-11-04,5733,5748,5719,5741,177640,HCD
2016-11-07,5726,5755,5712,5748,161810,HCD
2016-11-08,5748,5748,5726,5733,138570,HCD
2016-11-09,5719,5733,5675,5719,113060,HCD
2016-11-10,5719,5748,5712,5748,167910,HCD
2016-11-11,5733,5755,5726,5755,98640,HCD
2016-11-14,5755,5806,5726,5763,375490,HCD
2016-11-15,5777,5821,5712,5821,257200,HCD
2016-11-16,5857,5937,5806,5806,271120,HCD
2016-11-17,5821,5952,5784,5930,390940,HCD
2016-11-18,6039,6061,5792,5893,562820,HCD
2016-11-21,5966,6039,5923,6010,226880,HCD
2016-11-22,5988,6046,5966,6010,178880,HCD
2016-11-23,5981,6017,5937,5966,184670,HCD
2016-11-24,5966,5966,5821,5930,212800,HCD
2016-11-25,5908,5937,5908,5930,116300,HCD
2016-11-28,5915,5944,5915,5930,155400,HCD
2016-11-29,5930,5966,5908,5966,113020,HCD
2016-11-30,5944,6039,5930,6039,138840,HCD
2016-12-01,6003,6286,5966,6279,248320,HCD
2016-12-02,6461,6621,6330,6621,360730,HCD
2016-12-05,6592,6592,6308,6308,200870,HCD
2016-12-06,6294,6323,6257,6294,142900,HCD
2016-12-07,6279,6286,6257,6279,122820,HCD
2016-12-08,6279,6308,6272,6301,112270,HCD
2016-12-09,6279,6308,6279,6294,111520,HCD
2016-12-12,6294,6337,6250,6294,163780,HCD
2016-12-13,6279,6301,6265,6279,148770,HCD
2016-12-14,6279,6425,6279,6352,170960,HCD
2016-12-15,6345,6352,6265,6265,121700,HCD
2016-12-16,6279,6330,6265,6294,168420,HCD
2016-12-19,6294,6323,6286,6301,175120,HCD
2016-12-20,6316,6316,6257,6279,103840,HCD
2016-12-21,6279,6294,6257,6286,103060,HCD
2016-12-22,6279,6410,6279,6381,243330,HCD
2016-12-23,6396,6825,6396,6825,340060,HCD
2016-12-26,6839,7276,6839,7050,415130,HCD
2016-12-27,6890,7058,6810,6810,233260,HCD
2016-12-28,6774,6890,6512,6621,144390,HCD
2016-12-29,6527,6527,6359,6359,363750,HCD
2016-12-30,6345,6461,6345,6461,241950,HCD
2017-01-03,6447,6694,6447,6687,306840,HCD
2017-01-04,6912,6912,6417,6417,509500,HCD
2017-01-05,6658,6679,6396,6548,607340,HCD
2017-01-06,6621,6912,6548,6621,359610,HCD
2017-01-09,6912,6912,6512,6512,375970,HCD
2017-01-10,6527,6694,6410,6592,429110,HCD
2017-01-11,6687,6694,6548,6643,443100,HCD
2017-01-12,6694,6730,6658,6730,438630,HCD
2017-01-13,6912,6985,6767,6963,448880,HCD
2017-01-16,6949,7021,6919,6919,314490,HCD
2017-01-17,6919,6956,6912,6949,289940,HCD
2017-01-18,6978,7058,6949,7058,280730,HCD
2017-01-19,7094,7101,6985,7065,268840,HCD
