time,open,high,low,close,volume,ticker
2007-11-27,15908,28635,15908,24393,21000,HCT
2007-11-28,20681,23862,20681,23862,21900,HCT
2007-11-29,23862,24499,23332,24499,23500,HCT
2007-11-30,26090,26090,26090,26090,16500,HCT
2007-12-03,28688,28688,28635,28688,54100,HCT
2007-12-04,31286,31551,30756,31551,54500,HCT
2007-12-05,34680,34680,28900,30491,30400,HCT
2007-12-06,28635,29271,28582,28582,31100,HCT
2007-12-07,29165,31604,28370,31604,79600,HCT
2007-12-10,34256,34256,34256,34256,36500,HCT
2007-12-11,37650,37650,34150,37650,115000,HCT
2007-12-12,40460,40513,37650,40513,58700,HCT
2007-12-13,39559,42422,39506,40566,49000,HCT
2007-12-14,37868,39930,37650,38710,50600,HCT
2007-12-17,36844,38180,36218,36324,28000,HCT
2007-12-18,34235,38127,33567,37915,29000,HCT
2007-12-19,37356,39241,37225,38445,14800,HCT
2007-12-20,36332,38710,35263,36589,13400,HCT
2007-12-21,37385,38710,37385,37650,10500,HCT
2007-12-24,37868,39241,37119,38180,15300,HCT
2007-12-25,36332,37650,36059,37119,8800,HCT
2007-12-26,36589,37915,36589,36589,13900,HCT
2007-12-27,36854,37225,36854,37119,6600,HCT
2007-12-28,36854,37119,36854,37119,4000,HCT
2008-01-02,35053,36324,35051,35369,4300,HCT
2008-01-03,34203,35210,34203,34203,4000,HCT
2008-01-04,33991,35529,33991,34998,4500,HCT
2008-01-07,32699,33885,31817,32612,7300,HCT
2008-01-08,31727,33567,30756,32824,17500,HCT
2008-01-09,30704,31817,29695,31286,8200,HCT
2008-01-10,27889,28900,27680,28794,18300,HCT
2008-01-11,29168,30544,26514,28635,15600,HCT
2008-01-14,26610,27574,25877,25877,10300,HCT
2008-01-15,23756,23915,23756,23756,7900,HCT
2008-01-16,24923,26143,24923,26143,16300,HCT
2008-01-17,27070,28158,23862,27044,28100,HCT
2008-01-18,26514,28635,26514,26567,32300,HCT
2008-01-21,27839,29802,27839,29802,19200,HCT
2008-01-22,31604,31604,30014,31604,63700,HCT
2008-01-23,34468,34627,28741,31817,35900,HCT
2008-01-24,34998,35051,30756,31817,51600,HCT
2008-01-25,30756,33407,30756,31286,16300,HCT
2008-01-28,32082,32082,29695,29748,11700,HCT
2008-01-29,29695,33354,29695,31870,44100,HCT
2008-01-30,34203,34892,34203,34892,30500,HCT
2008-01-31,38180,38180,32082,35582,23400,HCT
2008-02-01,37119,38180,36059,37915,32700,HCT
2008-02-12,40248,40831,35051,36059,21600,HCT
2008-02-13,36854,36854,33460,34521,23200,HCT
2008-02-14,35529,36059,34468,34892,31400,HCT
2008-02-15,35582,35582,33673,33938,7300,HCT
2008-02-18,31817,32294,30756,31657,15400,HCT
2008-02-19,30756,33938,30756,32082,19300,HCT
2008-02-20,32347,32347,29218,29218,19300,HCT
2008-02-21,27839,27839,27468,27468,22700,HCT
2008-02-22,26514,29377,24923,28635,17400,HCT
2008-02-25,29855,29855,29802,29855,8200,HCT
2008-02-26,31817,31817,27574,28105,6700,HCT
2008-02-27,28582,30226,26991,29112,15100,HCT
2008-02-28,27574,28211,27574,28105,22200,HCT
2008-02-29,27839,27839,25983,26567,12200,HCT
2008-03-03,27044,27044,24393,25612,17400,HCT
2008-03-04,23809,23809,22590,22590,15900,HCT
2008-03-05,20522,24074,20522,22802,20900,HCT
2008-03-06,23915,23915,23915,23915,100,HCT
2008-03-07,26302,26302,26302,26302,6900,HCT
2008-03-10,28900,28900,26302,27044,44400,HCT
2008-03-11,28052,28052,25718,26196,14800,HCT
2008-03-12,26567,28900,26302,27309,12500,HCT
2008-03-13,28105,28105,26514,27839,22700,HCT
2008-03-14,26514,27521,26514,26779,9300,HCT
2008-03-17,25983,25983,24446,24658,12900,HCT
2008-03-18,23332,23332,22271,22431,19700,HCT
2008-03-19,23862,24393,20681,21211,9400,HCT
2008-03-20,22006,22271,21741,21741,3300,HCT
2008-03-21,21211,21211,20150,20203,5000,HCT
2008-03-24,18931,18931,18294,18294,19900,HCT
2008-03-25,16969,16969,16650,16650,9400,HCT
2008-03-26,15908,18241,15060,17499,10000,HCT
2008-03-27,17446,17446,17446,17446,700,HCT
2008-03-28,17764,17764,17764,17764,600,HCT
2008-03-31,18082,18082,18082,18082,1200,HCT
2008-04-01,18400,18400,18400,18400,300,HCT
2008-04-02,18719,18719,18719,18719,100,HCT
2008-04-03,19090,19090,19090,19090,400,HCT
2008-04-04,19461,19461,19461,19461,100,HCT
2008-04-07,20044,20044,20044,20044,1900,HCT
2008-04-08,20628,20628,19461,20628,30600,HCT
2008-04-09,20893,20893,19779,19779,7900,HCT
2008-04-10,19249,19249,19249,19249,1800,HCT
2008-04-11,18719,18719,18719,18719,4000,HCT
2008-04-16,18188,18241,18188,18188,9900,HCT
2008-04-17,17658,18719,17658,18719,18800,HCT
2008-04-18,18612,18612,17658,17711,22200,HCT
2008-04-21,18931,18931,18029,18878,5900,HCT
2008-04-22,18559,18559,18188,18188,10000,HCT
2008-04-23,17645,17645,17645,17645,8600,HCT
2008-04-24,17157,17374,17157,17211,17500,HCT
2008-04-25,17211,17700,16885,16939,5600,HCT
2008-04-28,17537,18025,17374,17374,4700,HCT
2008-04-29,17917,17917,17917,17917,100,HCT
2008-05-05,17428,17428,17428,17428,200,HCT
2008-05-06,16939,16939,16939,16939,400,HCT
2008-05-07,16939,16939,16939,16939,600,HCT
2008-05-08,16939,16939,16939,16939,600,HCT
2008-05-09,16451,16451,16451,16451,100,HCT
2008-05-12,16451,16451,16451,16451,600,HCT
2008-05-13,15962,15962,15962,15962,100,HCT
2008-05-14,15962,15962,15962,15962,600,HCT
2008-05-15,15528,15528,15528,15528,100,HCT
2008-05-16,15093,15093,15093,15093,7300,HCT
2008-05-19,15093,15093,15093,15093,600,HCT
2008-05-20,15093,15093,15093,15093,600,HCT
2008-05-21,15093,15093,15093,15093,600,HCT
2008-05-22,15093,15093,15093,15093,600,HCT
2008-05-23,15093,15093,15093,15093,600,HCT
2008-05-26,15093,15093,15093,15093,600,HCT
2008-05-27,15093,15093,15093,15093,600,HCT
2008-05-28,14659,14659,14659,14659,300,HCT
2008-05-29,12379,12379,12379,12379,600,HCT
2008-05-30,12379,12379,12379,12379,600,HCT
2008-06-02,12053,12053,12053,12053,2000,HCT
2008-06-03,11727,11727,11727,11727,200,HCT
2008-06-04,11401,11401,11401,11401,100,HCT
2008-06-05,11076,11076,11076,11076,100,HCT
2008-06-06,10750,10750,10750,10750,100,HCT
2008-06-09,10478,10478,10478,10478,100,HCT
2008-06-10,10207,10207,10207,10207,200,HCT
2008-06-11,9935,10478,9935,9935,12800,HCT
2008-06-12,9990,10261,9718,10261,8400,HCT
2008-06-13,10261,10261,10261,10261,5200,HCT
2008-06-16,10533,10533,10424,10533,8400,HCT
2008-06-17,10804,10804,10804,10804,400,HCT
2008-06-18,10858,11076,10533,10533,6200,HCT
2008-06-19,10858,10858,10858,10858,0,HCT
2008-06-20,10424,10424,10424,10424,100,HCT
2008-06-23,10044,10044,10044,10044,4300,HCT
2008-06-24,9664,9664,9664,9664,6200,HCT
2008-06-25,9284,9773,9284,9338,15100,HCT
2008-06-26,9284,9284,9230,9284,5000,HCT
2008-06-27,8904,8904,8904,8904,100,HCT
2008-06-30,8578,8578,8578,8578,2700,HCT
2008-07-01,8252,8904,8252,8904,11600,HCT
2008-07-02,9012,9012,8361,9012,13500,HCT
2008-07-03,8632,9284,8632,9284,10600,HCT
2008-07-04,9230,9338,9230,9338,13500,HCT
2008-07-07,9012,9012,9012,9012,2000,HCT
2008-07-08,8687,8687,8687,8687,2800,HCT
2008-07-09,8361,8687,8361,8361,17600,HCT
2008-07-10,8144,8795,8144,8795,23100,HCT
2008-07-11,9012,9012,9012,9012,4600,HCT
2008-07-14,9338,9338,9230,9338,13200,HCT
2008-07-15,9664,9664,9664,9664,2500,HCT
2008-07-16,10044,10044,9284,10044,20400,HCT
2008-07-17,10044,10044,9881,10044,20700,HCT
2008-07-18,10424,10424,9664,9664,13400,HCT
2008-07-21,9501,9501,9501,9501,2400,HCT
2008-07-22,9501,9501,9501,9501,0,HCT
2008-07-23,9501,9501,9501,9501,0,HCT
2008-07-24,9121,9121,9121,9121,1000,HCT
2008-07-25,8795,8795,8795,8795,100,HCT
2008-07-28,8469,9121,8469,8469,23400,HCT
2008-07-29,8795,8795,8687,8687,9200,HCT
2008-07-30,9121,9121,8469,8578,6300,HCT
2008-07-31,8361,8524,8361,8361,6100,HCT
2008-08-01,8035,8035,8035,8035,2200,HCT
2008-08-04,8524,7872,7764,7818,12000,HCT
2008-08-05,7492,7492,7492,7492,7300,HCT
2008-08-06,7221,7546,7221,7221,8300,HCT
2008-08-07,7546,7546,7492,7546,3500,HCT
2008-08-08,7275,7601,7275,7601,6000,HCT
2008-08-11,7764,7764,7764,7764,3600,HCT
2008-08-12,8035,8035,7927,8035,7900,HCT
2008-08-13,8307,8307,8089,8307,6000,HCT
2008-08-14,8524,8524,8307,8524,26700,HCT
2008-08-15,8850,8850,8850,8850,200,HCT
2008-08-18,9447,9447,8850,9393,13400,HCT
2008-08-19,9773,9773,8904,8904,3000,HCT
2008-08-20,8632,9175,8632,9175,7500,HCT
2008-08-21,8958,9284,8252,9284,18500,HCT
2008-08-22,9773,9773,9175,9773,46500,HCT
2008-08-25,10424,10424,10424,10424,3800,HCT
2008-08-26,11130,11130,11130,11130,100,HCT
2008-08-27,11890,11890,11401,11510,39900,HCT
2008-08-28,11890,11890,11021,11021,28500,HCT
2008-08-29,10316,11836,10316,11836,32700,HCT
2008-09-03,11781,11781,11781,11781,19300,HCT
2008-09-04,12596,12596,12596,12596,34500,HCT
2008-09-05,13465,13465,13465,13465,20500,HCT
2008-09-08,14388,14388,14388,14388,31800,HCT
2008-09-09,15365,15365,15365,15365,9100,HCT
2008-09-10,16397,16397,16397,16397,55900,HCT
2008-09-11,17537,17537,15256,15256,54100,HCT
2008-09-12,15256,15256,15256,15256,34200,HCT
2008-09-15,14225,16288,14225,14225,23400,HCT
2008-09-16,13573,13573,13519,13519,2900,HCT
2008-09-17,12596,14442,12596,12596,25500,HCT
2008-09-18,12650,12650,12650,12650,1000,HCT
2008-09-19,11781,13519,11781,13519,17100,HCT
