time,open,high,low,close,volume,ticker
2018-08-08,12253,12253,9649,11487,1147200,HHP
2018-08-09,11564,11793,10415,10415,478300,HHP
2018-08-10,9802,10415,9419,9572,248300,HHP
2018-08-13,8730,9036,8653,8807,258200,HHP
2018-08-14,8194,8883,8194,8347,111800,HHP
2018-08-15,8041,8424,7964,8041,119500,HHP
2018-08-16,8117,8194,7811,8194,75900,HHP
2018-08-17,8194,8271,8041,8271,83500,HHP
2018-08-20,8577,8577,8194,8424,106700,HHP
2018-08-21,8347,8577,8347,8424,105700,HHP
2018-08-22,8577,8577,8117,8577,102700,HHP
2018-08-23,8424,8577,8347,8347,104500,HHP
2018-08-24,8347,8347,8194,8194,106700,HHP
2018-08-27,8347,8500,8194,8500,106200,HHP
2018-08-28,8424,8577,8424,8577,95400,HHP
2018-08-29,8577,8577,8424,8424,91200,HHP
2018-08-30,8424,8577,8347,8577,75800,HHP
2018-08-31,8500,8730,8424,8500,54500,HHP
2018-09-04,8424,8960,8347,8883,510300,HHP
2018-09-05,8730,9726,8730,9726,754800,HHP
2018-09-06,9955,10645,9726,10491,647300,HHP
2018-09-07,10645,10721,9802,9802,403400,HHP
2018-09-10,9802,9802,9113,9113,179200,HHP
2018-09-11,8960,9266,8653,9190,140200,HHP
2018-09-12,9190,9190,8653,8883,138600,HHP
2018-09-13,8960,8960,8653,8730,255300,HHP
2018-09-14,8653,8807,8500,8653,159900,HHP
2018-09-17,8730,9113,8730,9113,80000,HHP
2018-09-18,9113,9266,8807,8807,76900,HHP
2018-09-19,8883,8883,8653,8883,111700,HHP
2018-09-20,9113,9190,8577,8883,133000,HHP
2018-09-21,8960,9113,8653,8807,105900,HHP
2018-09-24,8730,9113,8653,9036,196200,HHP
2018-09-25,9113,9113,8960,9113,58000,HHP
2018-09-26,9036,9419,9036,9343,76300,HHP
2018-09-27,9343,9419,9190,9419,97100,HHP
2018-09-28,9572,9726,9343,9496,62900,HHP
2018-10-01,9496,9572,9266,9572,62700,HHP
2018-10-02,9419,9726,9343,9572,265300,HHP
2018-10-03,9496,9649,9419,9496,97800,HHP
2018-10-04,9496,10032,9343,9802,343500,HHP
2018-10-05,9802,9955,9649,9726,66000,HHP
2018-10-08,9649,9955,9649,9955,70200,HHP
2018-10-09,9802,10032,9649,9955,93900,HHP
2018-10-10,9879,9955,9879,9955,44600,HHP
2018-10-11,9726,9955,9496,9955,60300,HHP
2018-10-12,9802,10032,9802,10032,62800,HHP
2018-10-15,9955,10032,9802,10032,38500,HHP
2018-10-16,10032,10721,10032,10721,122900,HHP
2018-10-17,10568,11257,10491,11257,211100,HHP
2018-10-18,11181,11334,10874,10874,64100,HHP
2018-10-19,10874,10951,10491,10568,44300,HHP
2018-10-22,10338,10568,10262,10568,65400,HHP
2018-10-23,10491,10721,10491,10721,68900,HHP
2018-10-24,10645,10798,10568,10798,90200,HHP
2018-10-25,10721,10874,10645,10798,52300,HHP
2018-10-26,10798,11028,10568,10645,75300,HHP
2018-10-29,10645,10721,10568,10645,35600,HHP
2018-10-30,10568,11640,10491,11640,719400,HHP
2018-10-31,11640,12559,11334,12406,511300,HHP
2018-11-01,12406,12789,11870,11870,318700,HHP
2018-11-02,11640,11793,10874,11104,89400,HHP
2018-11-05,10032,11257,10032,10951,38300,HHP
2018-11-06,11181,11257,10951,11257,50900,HHP
2018-11-07,11257,12176,11104,12176,601300,HHP
2018-11-08,12100,12253,12023,12176,38400,HHP
2018-11-09,11870,12176,11717,11717,62900,HHP
2018-11-12,11717,11793,11410,11640,47300,HHP
2018-11-13,11640,11793,11564,11640,152500,HHP
2018-11-14,11487,11870,11487,11870,95700,HHP
2018-11-15,11717,11870,11564,11640,34400,HHP
2018-11-16,11793,11793,11564,11640,47600,HHP
2018-11-19,11640,11870,11487,11640,97600,HHP
2018-11-20,11564,11564,11564,11564,24100,HHP
2018-11-21,11717,11793,11410,11410,124300,HHP
2018-11-22,11487,11640,11410,11487,106800,HHP
2018-11-23,11717,11793,11487,11640,34800,HHP
2018-11-26,11717,11717,11487,11717,39200,HHP
2018-11-27,11487,11717,11487,11487,34800,HHP
2018-11-28,11564,11640,11487,11564,48300,HHP
2018-11-29,11717,11793,11564,11564,56500,HHP
2018-11-30,11487,11640,11487,11564,61800,HHP
2018-12-03,11564,11717,11564,11640,37800,HHP
2018-12-04,11487,11717,11487,11640,46200,HHP
2018-12-05,11640,11793,11564,11793,48400,HHP
2018-12-06,11717,11793,11564,11717,25100,HHP
2018-12-07,11640,11717,11564,11717,69300,HHP
2018-12-10,11640,11717,11410,11717,61000,HHP
2018-12-11,11564,11793,11564,11640,35900,HHP
2018-12-12,11564,11793,11564,11640,29300,HHP
2018-12-13,11717,11717,11640,11640,45400,HHP
2018-12-14,11564,11717,11564,11640,23300,HHP
2018-12-17,11640,11870,11640,11640,23500,HHP
2018-12-18,11717,11717,11487,11564,51600,HHP
2018-12-19,11640,12330,11487,12253,380600,HHP
2018-12-20,12100,12483,12100,12406,243700,HHP
2018-12-21,12253,12483,12100,12176,217600,HHP
2018-12-24,12023,12100,11793,11793,57200,HHP
2018-12-25,11640,11640,11487,11487,33100,HHP
2018-12-26,11870,11870,11487,11564,43000,HHP
2018-12-27,11564,11717,11564,11640,118400,HHP
2018-12-28,11640,11640,11564,11564,31500,HHP
2019-01-02,11640,11640,11487,11564,46600,HHP
2019-01-03,11640,11640,11487,11487,40700,HHP
2019-01-04,11564,11717,11564,11564,59500,HHP
2019-01-07,11564,11640,11564,11564,75700,HHP
2019-01-08,11487,11640,11487,11564,46600,HHP
2019-01-09,11717,11717,11564,11640,24100,HHP
2019-01-10,11640,11793,11564,11793,54600,HHP
2019-01-11,11640,11870,11640,11793,50800,HHP
2019-01-14,11793,11870,11717,11793,36600,HHP
2019-01-15,11640,11793,11640,11793,24200,HHP
2019-01-16,11717,11870,11717,11870,28900,HHP
2019-01-17,11870,11947,11793,11793,39000,HHP
2019-01-18,11487,11717,11487,11640,40300,HHP
2019-01-21,11487,11793,11487,11793,44900,HHP
2019-01-22,11870,11870,11793,11793,23500,HHP
2019-01-23,11793,11947,11793,11947,67800,HHP
2019-01-24,11947,12023,11947,11947,42300,HHP
2019-01-25,11947,12100,11793,11947,27300,HHP
2019-01-28,11870,11947,11870,11870,56500,HHP
2019-01-29,11717,11870,11717,11793,115600,HHP
2019-01-30,11793,11870,11640,11717,93300,HHP
2019-01-31,11717,11793,11640,11717,80700,HHP
2019-02-01,11717,11793,11717,11717,46100,HHP
2019-02-11,11640,11717,11487,11640,87500,HHP
2019-02-12,11564,11717,11564,11564,63000,HHP
2019-02-13,11564,11717,11564,11717,61500,HHP
2019-02-14,11717,11870,11717,11870,66400,HHP
2019-02-15,11870,12023,11870,11870,46400,HHP
2019-02-18,11870,12253,11793,12023,200400,HHP
2019-02-19,12023,12100,11870,12100,63100,HHP
2019-02-20,12023,12100,11870,11870,33100,HHP
2019-02-21,11793,11947,11717,11870,77400,HHP
2019-02-22,11793,11870,11640,11717,86400,HHP
2019-02-25,11717,11793,11640,11717,61100,HHP
2019-02-26,11717,11793,11640,11717,58000,HHP
2019-02-27,11870,11947,11640,11717,81400,HHP
2019-02-28,11793,11947,11717,11870,146300,HHP
2019-03-01,11870,11947,11870,11870,77400,HHP
2019-03-04,11793,11870,11717,11717,64400,HHP
2019-03-05,11793,11793,11640,11717,56900,HHP
2019-03-06,11640,11793,11640,11793,70300,HHP
2019-03-07,11717,11870,11640,11640,78000,HHP
2019-03-08,11640,11793,11564,11717,90500,HHP
2019-03-11,11640,11870,11640,11870,133500,HHP
2019-03-12,11870,13019,11793,13019,820100,HHP
2019-03-13,13095,13555,12789,13402,524000,HHP
2019-03-14,13402,13478,12559,12636,323100,HHP
2019-03-15,12483,12636,11793,12023,355900,HHP
2019-03-18,11947,12023,11564,11640,241000,HHP
2019-03-19,11564,11870,11487,11870,276000,HHP
2019-03-20,11793,11870,11564,11793,172100,HHP
2019-03-21,11793,12100,11640,12023,481400,HHP
2019-03-22,11947,12483,11793,12330,552200,HHP
2019-03-25,12330,12330,11947,11947,175300,HHP
2019-03-26,12023,12023,11717,11793,101000,HHP
2019-03-27,11870,11947,11793,11870,166300,HHP
2019-03-28,11870,11870,11564,11793,245200,HHP
2019-03-29,11793,11947,11717,11947,164700,HHP
2019-04-01,12023,12253,11870,12253,264000,HHP
2019-04-02,12100,12176,11947,12023,139500,HHP
2019-04-03,12023,12100,11793,11870,149300,HHP
2019-04-04,11640,12100,11640,12100,142000,HHP
2019-04-05,12023,12100,11870,12100,115900,HHP
2019-04-08,12023,12330,11870,12330,192300,HHP
2019-04-09,12176,12253,12100,12100,137100,HHP
2019-04-10,11947,12100,11870,12100,76900,HHP
2019-04-11,12023,12176,11947,12100,131000,HHP
2019-04-12,12176,12253,12023,12176,87900,HHP
2019-04-16,12100,12176,12023,12100,109800,HHP
2019-04-17,12023,12330,11947,12330,312100,HHP
2019-04-18,12253,12483,12176,12406,232300,HHP
2019-04-19,12330,12406,12176,12253,128800,HHP
2019-04-22,12253,12330,12176,12330,83000,HHP
2019-04-23,12406,12406,12176,12406,164500,HHP
2019-04-24,12253,12406,12176,12176,126800,HHP
2019-04-25,12176,12253,12100,12253,82100,HHP
2019-04-26,12253,12483,12176,12483,224000,HHP
2019-05-02,12253,12559,12253,12483,191200,HHP
2019-05-03,12406,12559,12330,12559,129500,HHP
