time,open,high,low,close,volume,ticker
2006-12-20,6622,6622,6622,6622,1900,HJS
2006-12-21,7285,7285,6906,7285,4100,HJS
2006-12-22,6433,6433,6433,6433,1500,HJS
2006-12-25,5790,6244,5790,6244,2100,HJS
2006-12-26,5809,5809,5809,5809,0,HJS
2006-12-27,5809,6244,6244,6244,0,HJS
2006-12-28,5298,5298,5260,5298,600,HJS
2006-12-29,5298,5298,5298,5298,1100,HJS
2007-01-02,4768,5298,4768,5298,1800,HJS
2007-01-03,4806,4806,4806,4806,0,HJS
2007-01-04,4919,4919,4919,4919,100,HJS
2007-01-05,4919,4919,4919,4919,300,HJS
2007-01-08,5298,5298,4919,5109,4000,HJS
2007-01-09,5298,5298,5298,5298,3000,HJS
2007-01-10,5468,5676,5298,5298,4300,HJS
2007-01-11,5298,5298,5222,5222,2700,HJS
2007-01-12,5298,5487,5298,5298,12100,HJS
2007-01-15,5676,5903,5487,5676,22500,HJS
2007-01-16,5676,6320,5676,6320,44300,HJS
2007-01-17,6698,6698,6433,6622,37000,HJS
2007-01-18,6717,6717,6244,6339,4600,HJS
2007-01-19,6244,6244,5809,6244,11300,HJS
2007-01-22,6244,6244,5676,5676,5000,HJS
2007-01-23,5582,5676,5563,5676,8300,HJS
2007-01-24,6055,6055,5487,5582,6100,HJS
2007-01-25,5865,5960,5487,5487,18500,HJS
2007-01-26,5676,5865,5601,5676,15500,HJS
2007-01-29,5695,5865,5695,5828,2700,HJS
2007-01-30,5865,5960,5828,5865,15300,HJS
2007-01-31,6055,6055,5960,6055,9300,HJS
2007-02-01,6357,6357,5865,6149,18600,HJS
2007-02-02,6244,6244,6055,6225,7700,HJS
2007-02-05,6055,6055,5979,5979,2900,HJS
2007-02-06,5544,6055,5544,5960,4100,HJS
2007-02-07,5865,5865,5865,5865,2400,HJS
2007-02-08,5865,5960,5865,5865,10400,HJS
2007-02-09,6055,6055,5865,5865,6500,HJS
2007-02-12,5960,6055,5941,6055,6500,HJS
2007-02-13,5960,6149,5960,6149,5200,HJS
2007-02-14,6055,6339,6055,6339,16000,HJS
2007-02-15,6320,6339,6244,6339,17900,HJS
2007-02-26,6433,6944,6433,6906,13800,HJS
2007-02-27,7550,7550,7001,7550,28800,HJS
2007-02-28,8117,8117,8117,8117,9300,HJS
2007-03-01,8855,8912,7947,8912,30800,HJS
2007-03-02,9688,9688,9650,9688,19000,HJS
2007-03-05,10653,10653,10596,10653,35200,HJS
2007-03-06,11656,11694,10634,11694,30600,HJS
2007-03-07,12810,12810,12299,12810,32800,HJS
2007-03-08,14059,14059,12167,12167,33300,HJS
2007-03-09,11883,11921,11618,11883,28500,HJS
2007-03-12,12810,13037,10710,11126,38200,HJS
2007-03-13,10785,11731,10218,10596,44000,HJS
2007-03-14,10634,10634,9839,9839,26800,HJS
2007-03-15,9839,9839,9234,9234,8200,HJS
2007-03-16,8382,9272,8382,9272,86400,HJS
2007-03-19,9518,9518,8515,9461,135600,HJS
2007-03-20,10010,10010,9366,9707,115800,HJS
2007-03-21,10293,10634,10028,10028,25400,HJS
2007-03-22,10369,10369,9839,10028,15100,HJS
2007-03-23,9745,9839,9120,9461,10100,HJS
2007-03-26,8969,8969,8515,8515,4400,HJS
2007-03-27,7701,7701,7701,7701,7700,HJS
2007-03-28,6944,8420,6944,8420,34400,HJS
2007-03-29,8590,8590,8325,8590,34400,HJS
2007-03-30,9366,9366,8988,9366,36600,HJS
2007-04-02,9366,9366,8382,8382,14500,HJS
2007-04-03,8325,8325,8004,8042,7100,HJS
2007-04-04,8704,8704,7947,8515,6000,HJS
2007-04-05,8231,8325,7947,8193,8100,HJS
2007-04-06,7852,8079,7569,7852,14800,HJS
2007-04-09,7947,8042,7947,8042,3100,HJS
2007-04-10,8042,8117,7947,7947,2500,HJS
2007-04-11,8042,8042,7758,7758,1200,HJS
2007-04-12,7758,7814,7095,7190,10400,HJS
2007-04-13,7323,7379,7001,7379,7100,HJS
2007-04-16,7379,7379,6585,6585,5100,HJS
2007-04-17,6244,6244,6017,6225,21600,HJS
2007-04-18,5676,6660,5449,6660,15000,HJS
2007-04-19,6925,6925,6925,6925,9800,HJS
2007-04-20,7569,7569,6717,6793,12100,HJS
2007-04-23,6622,6793,6376,6433,10400,HJS
2007-04-24,6471,6622,6339,6433,4600,HJS
2007-04-25,6812,6849,6528,6717,3300,HJS
2007-05-02,6698,6698,6698,6698,0,HJS
2007-05-03,6433,6433,6149,6244,5200,HJS
2007-05-04,6149,6244,6055,6055,3300,HJS
2007-05-07,6206,6698,6187,6698,5800,HJS
2007-05-08,6812,6812,6717,6717,6200,HJS
2007-05-09,6433,6528,6244,6528,4900,HJS
2007-05-10,6433,6433,6055,6168,4500,HJS
2007-05-11,6433,6622,6339,6433,4900,HJS
2007-05-14,6433,6528,6055,6433,5700,HJS
2007-05-15,6263,6339,6055,6055,5300,HJS
2007-05-16,6149,6168,6055,6111,4100,HJS
2007-05-17,6055,6074,6055,6074,8900,HJS
2007-05-18,6244,6244,6055,6149,5800,HJS
2007-05-21,6149,6149,5676,6055,2500,HJS
2007-05-22,6055,6149,5998,6149,16400,HJS
2007-05-23,6717,6717,6111,6111,8600,HJS
2007-05-24,6244,6244,6055,6130,6300,HJS
2007-05-25,5525,5960,5525,5676,5400,HJS
2007-05-28,6055,6055,5676,5771,9900,HJS
2007-05-29,6055,6055,5865,5865,8700,HJS
2007-05-30,5809,5865,5809,5809,900,HJS
2007-05-31,5865,5960,5771,5865,5200,HJS
2007-06-01,6055,6055,5676,5865,1600,HJS
2007-06-04,5676,5790,5676,5714,8300,HJS
2007-06-05,5298,5676,5298,5676,4500,HJS
2007-06-06,5676,5676,5525,5582,5700,HJS
2007-06-07,5676,5676,5525,5657,5700,HJS
2007-06-08,5487,5676,5487,5601,3400,HJS
2007-06-11,5676,5676,5487,5487,2900,HJS
2007-06-12,5449,5449,5336,5336,1100,HJS
2007-06-13,5298,5487,5298,5298,4400,HJS
2007-06-14,5279,5392,5109,5109,3500,HJS
