time,open,high,low,close,volume,ticker
2015-04-08,7705,7705,7355,7355,70100,HKB
2015-04-09,6655,6655,6655,6655,44300,HKB
2015-04-10,6655,7145,6655,7005,271100,HKB
2015-04-13,7005,7005,6444,6865,69000,HKB
2015-04-14,6795,6795,6374,6374,289900,HKB
2015-04-15,6304,6304,5884,5884,119300,HKB
2015-04-16,5884,6164,5814,6164,147200,HKB
2015-04-17,6374,6374,6164,6374,111100,HKB
2015-04-20,6164,6374,6094,6304,379000,HKB
2015-04-21,6094,6234,6024,6094,67000,HKB
2015-04-22,6234,6234,5884,5884,70400,HKB
2015-04-23,5884,5884,5324,5604,93800,HKB
2015-04-24,5604,5744,5464,5464,31100,HKB
2015-04-27,5744,5744,5744,5744,400,HKB
2015-05-04,5394,5674,5183,5183,101500,HKB
2015-05-05,4903,5183,4693,5113,42600,HKB
2015-05-06,5113,5113,4623,4623,46300,HKB
2015-05-07,4623,4973,4273,4413,175200,HKB
2015-05-08,4273,4833,4203,4833,148500,HKB
2015-05-11,5113,5254,4903,5043,80100,HKB
2015-05-12,5394,5464,4763,5043,53600,HKB
2015-05-13,5043,5254,4693,4693,42100,HKB
2015-05-14,4973,4973,4693,4903,29000,HKB
2015-05-15,4833,4903,4763,4903,45600,HKB
2015-05-18,4763,4903,4553,4553,39800,HKB
2015-05-19,4203,4903,4203,4903,36200,HKB
2015-05-20,4903,5183,4903,5183,216400,HKB
2015-05-21,4973,5113,4973,5113,12100,HKB
2015-05-22,4903,5183,4903,5183,22000,HKB
2015-05-25,5043,5113,4903,5113,22600,HKB
2015-05-26,5043,5113,5043,5043,1700,HKB
2015-05-27,4903,5113,4553,4973,39200,HKB
2015-05-28,4833,5043,4833,4973,18300,HKB
2015-05-29,5113,5394,5043,5394,81700,HKB
2015-06-01,5394,5884,5394,5884,194300,HKB
2015-06-02,6164,6234,5814,5884,42400,HKB
2015-06-03,5884,6094,5814,5814,58000,HKB
2015-06-04,6024,6094,5814,6094,54300,HKB
2015-06-05,5814,6094,5814,5814,19700,HKB
2015-06-08,5884,6374,5814,6374,455500,HKB
2015-06-09,7005,7005,6444,6655,62700,HKB
2015-06-10,6725,6725,6444,6655,18400,HKB
2015-06-11,6655,6655,6304,6444,14500,HKB
2015-06-12,6444,7005,6304,6655,93400,HKB
2015-06-15,6655,7215,6585,6795,28500,HKB
2015-06-16,6795,6795,6655,6655,9200,HKB
2015-06-17,6935,6935,6444,6585,5100,HKB
2015-06-18,6865,6865,6304,6444,6600,HKB
2015-06-19,6374,6374,5884,6164,47700,HKB
2015-06-22,5744,5954,5744,5954,39100,HKB
2015-06-23,6164,6164,5604,5884,13900,HKB
2015-06-24,5954,5954,5604,5744,15500,HKB
2015-06-25,5744,5814,5394,5464,13400,HKB
2015-06-26,5534,5534,5534,5534,9100,HKB
2015-06-29,5534,5534,5254,5324,24300,HKB
2015-06-30,5254,5814,5254,5744,101300,HKB
2015-07-01,6024,6094,5604,5814,5200,HKB
2015-07-02,5534,5674,5464,5674,4200,HKB
2015-07-03,5744,5954,5534,5954,35400,HKB
2015-07-06,5884,6024,5604,5744,104700,HKB
2015-07-07,5744,5884,5254,5254,109800,HKB
2015-07-08,5464,5464,5254,5254,191300,HKB
2015-07-09,5254,5604,5183,5254,26800,HKB
2015-07-10,5464,5464,5183,5254,3600,HKB
2015-07-13,5254,5254,5183,5254,5800,HKB
2015-07-14,5113,5324,5113,5324,29500,HKB
2015-07-15,5254,5254,5043,5254,9500,HKB
2015-07-16,5254,5604,5183,5604,35600,HKB
2015-07-17,5394,5604,5394,5604,64900,HKB
2015-07-20,5394,5604,5394,5394,35500,HKB
2015-07-21,5324,5394,5183,5394,5100,HKB
2015-07-22,5394,5534,5183,5394,11100,HKB
2015-07-23,5324,5394,4903,5394,63700,HKB
2015-07-24,4973,5394,4973,5394,25800,HKB
2015-07-27,4973,5534,4903,5324,141900,HKB
2015-07-28,5324,5324,5324,5324,0,HKB
2015-07-29,5113,5183,4973,4973,7800,HKB
2015-07-30,4973,5183,4973,5183,38100,HKB
2015-07-31,5183,5324,5183,5183,19000,HKB
2015-08-03,4903,5113,4693,5113,44800,HKB
2015-08-04,5113,5254,4903,5113,44700,HKB
2015-08-05,4903,5113,4903,5043,59000,HKB
2015-08-06,4763,5113,4763,5043,42200,HKB
2015-08-07,5113,5254,5113,5254,2100,HKB
2015-08-10,5113,5254,4973,5254,11400,HKB
2015-08-11,5254,5254,5254,5254,0,HKB
2015-08-12,4763,4973,4763,4973,15600,HKB
2015-08-13,4973,4973,4973,4973,0,HKB
2015-08-14,4693,5043,4693,5043,800,HKB
2015-08-17,4693,4693,4693,4693,3400,HKB
2015-08-18,4833,4833,4833,4833,14100,HKB
2015-08-19,4413,4833,4413,4623,15100,HKB
2015-08-20,4763,4763,4763,4763,900,HKB
2015-08-21,4763,4763,4763,4763,0,HKB
2015-08-24,4553,5183,4553,5183,496500,HKB
2015-08-25,5674,5674,5394,5394,900,HKB
2015-08-26,5183,5183,5183,5183,100,HKB
2015-08-27,5254,5674,5254,5674,133400,HKB
2015-08-28,5604,5604,5113,5464,1100,HKB
2015-08-31,4973,4973,4973,4973,300,HKB
2015-09-01,4973,5464,4973,5113,165100,HKB
2015-09-03,4973,5254,4903,5254,12800,HKB
2015-09-04,5254,5254,5254,5254,0,HKB
2015-09-07,5254,5254,5254,5254,12400,HKB
2015-09-08,5113,5324,4973,5324,4500,HKB
2015-09-09,5604,5604,5604,5604,100,HKB
2015-09-10,5183,5394,5183,5394,1000,HKB
2015-09-11,5394,5394,4973,5394,1700,HKB
2015-09-14,5394,5394,5394,5394,0,HKB
2015-09-15,5394,5394,5394,5394,0,HKB
2015-09-16,5254,5394,5254,5394,600,HKB
2015-09-17,5394,5884,5394,5814,624000,HKB
2015-09-18,6304,6304,5394,5464,9100,HKB
2015-09-21,5464,5814,5464,5814,1100,HKB
2015-09-22,5814,6024,5814,5954,15000,HKB
2015-09-23,6234,6514,6234,6514,109300,HKB
2015-09-24,7005,7145,7005,7145,358200,HKB
2015-09-25,7705,7845,7705,7845,1109900,HKB
2015-09-28,8406,8546,7075,8336,324800,HKB
2015-09-29,7635,8406,7635,8406,200200,HKB
2015-09-30,8336,8616,8266,8616,70000,HKB
2015-10-01,8616,8756,7775,8476,119000,HKB
2015-10-02,8336,8336,7635,7635,260100,HKB
2015-10-05,7635,8266,7635,7705,177300,HKB
2015-10-06,7775,8126,7775,8126,184100,HKB
2015-10-07,8336,8336,8126,8196,313600,HKB
2015-10-08,8686,8686,8126,8266,237400,HKB
2015-10-09,8336,8406,8336,8406,224600,HKB
2015-10-12,8406,8756,8406,8686,231200,HKB
2015-10-13,8686,8756,8686,8756,220100,HKB
2015-10-14,8756,8826,8756,8826,255200,HKB
2015-10-15,8826,8826,8826,8826,118900,HKB
2015-10-16,8896,9106,8826,8966,193100,HKB
2015-10-19,8966,9036,8546,8546,205800,HKB
2015-10-20,8546,9387,8546,9317,233700,HKB
2015-10-21,8756,8826,8756,8826,296500,HKB
2015-10-22,8826,9527,8336,9527,170300,HKB
2015-10-23,9527,10087,8896,10087,245200,HKB
2015-10-26,10227,11068,9106,9106,1818900,HKB
2015-10-27,8196,10017,8196,10017,898500,HKB
2015-10-28,10928,10998,10087,10998,173400,HKB
2015-10-29,10648,12049,10648,12049,195600,HKB
2015-10-30,12959,13240,10858,10858,978800,HKB
2015-11-02,11208,11768,9947,9947,363500,HKB
2015-11-03,9947,10508,9106,9106,307700,HKB
2015-11-04,8616,9807,8196,9807,1094000,HKB
2015-11-05,10157,10718,9457,10648,284400,HKB
2015-11-06,10648,11488,10157,10508,243500,HKB
2015-11-09,10508,11348,10297,11348,282500,HKB
2015-11-10,11348,12259,10928,12259,252000,HKB
2015-11-11,12259,13310,11979,13240,757800,HKB
2015-11-12,13240,14360,12889,14360,629700,HKB
2015-11-13,14431,15762,12959,13170,1326600,HKB
2015-11-16,13170,13660,11909,11909,629600,HKB
2015-11-17,11208,11909,11068,11348,721200,HKB
2015-11-18,11208,11698,10508,10578,670600,HKB
2015-11-19,10437,11138,10227,10648,717200,HKB
2015-11-20,10648,10998,9737,9877,677300,HKB
2015-11-23,9877,10227,9527,9947,671000,HKB
2015-11-24,9947,10297,9177,9457,763600,HKB
2015-11-25,10157,10157,9317,9317,490600,HKB
2015-11-26,9317,9807,8966,9106,519700,HKB
2015-11-27,9106,9177,8756,9177,537300,HKB
2015-11-30,9177,9527,8966,9247,566300,HKB
2015-12-01,9247,9387,8756,9317,530400,HKB
2015-12-02,9317,9527,9036,9247,430300,HKB
2015-12-03,9247,9527,9036,9457,240100,HKB
2015-12-04,9457,9597,9247,9317,487200,HKB
2015-12-07,9317,9877,9106,9877,410000,HKB
2015-12-08,9877,10227,9667,9947,218600,HKB
2015-12-09,9947,10227,9807,9877,236100,HKB
2015-12-10,9877,10017,9737,9877,209400,HKB
2015-12-11,10017,10157,9597,9877,251300,HKB
2015-12-14,9877,9947,9737,9947,201900,HKB
2015-12-15,9947,10157,9807,9947,204100,HKB
2015-12-16,9947,10297,9807,10017,520300,HKB
2015-12-17,10017,10227,9036,9947,613000,HKB
2015-12-18,9947,10227,9807,9877,293100,HKB
2015-12-21,10017,10017,9807,9877,219600,HKB
2015-12-22,9877,10087,9877,9877,274500,HKB
2015-12-23,9877,10087,9807,9947,211000,HKB
2015-12-24,9947,10017,9667,9947,220400,HKB
2015-12-25,9947,10017,9877,9877,236000,HKB
2015-12-28,9877,10017,9807,9877,239000,HKB
2015-12-29,9877,9947,9737,9947,205100,HKB
2015-12-30,9947,10227,9877,10017,200000,HKB
2015-12-31,10017,10227,10017,10087,217500,HKB
2016-01-04,10087,10087,9737,10017,214200,HKB
2016-01-05,10017,10087,9667,10017,609200,HKB
2016-01-06,10017,10157,9667,9947,209200,HKB
2016-01-07,9947,10718,9807,10648,1520800,HKB
2016-01-08,10648,11698,10437,11698,2545300,HKB
2016-01-11,11698,12049,10788,10858,1503200,HKB
2016-01-12,10648,10648,10157,10437,528200,HKB
2016-01-13,10157,10508,9947,10508,459700,HKB
2016-01-14,10508,10508,10157,10437,269900,HKB
2016-01-15,10437,10718,10227,10227,158600,HKB
2016-01-18,10227,10367,10087,10157,166200,HKB
2016-01-19,10157,10508,9877,10508,502200,HKB
2016-01-20,10788,10788,10227,10437,219800,HKB
2016-01-21,10297,10578,10157,10367,227900,HKB
2016-01-22,10437,10648,10157,10297,260900,HKB
2016-01-25,10367,10718,10157,10578,248900,HKB
2016-01-26,10437,10578,10227,10437,223400,HKB
2016-01-27,10437,10578,10297,10437,237800,HKB
2016-01-28,10437,10578,10297,10297,360600,HKB
2016-01-29,10297,10367,10017,10367,246600,HKB
2016-02-01,10367,10578,10157,10508,409700,HKB
2016-02-02,10508,10718,10437,10508,155800,HKB
2016-02-03,10508,10648,10367,10508,171300,HKB
2016-02-04,10508,10578,10297,10578,173300,HKB
2016-02-05,10578,10648,10297,10578,171200,HKB
