time,open,high,low,close,volume,ticker
2017-01-12,9117,12400,6747,6747,112300,HKT
2017-01-13,6108,6564,6108,6108,81800,HKT
2017-01-16,6108,6108,5561,5561,3100,HKT
2017-01-17,5014,5197,5014,5105,103900,HKT
2017-01-18,4650,5288,4650,5288,73600,HKT
2017-01-19,5105,5744,5014,5744,58600,HKT
2017-01-20,6108,6291,5835,6291,70500,HKT
2017-01-23,5835,6200,5744,5744,62500,HKT
2017-01-24,5288,5652,5288,5288,29000,HKT
2017-01-25,5197,5652,5197,5652,52300,HKT
2017-02-02,5926,5926,5835,5835,2700,HKT
2017-02-03,5470,5470,5288,5288,77900,HKT
2017-02-06,5105,5105,4923,5014,56200,HKT
2017-02-07,4923,5105,4923,5105,35500,HKT
2017-02-08,5288,5379,5014,5014,28300,HKT
2017-02-09,5014,5105,4923,4923,29100,HKT
2017-02-10,4923,4923,4467,4467,69200,HKT
2017-02-13,4376,4558,4102,4102,85900,HKT
2017-02-14,3829,4102,3738,3920,118900,HKT
2017-02-15,3920,4285,3920,4285,48000,HKT
2017-02-16,4376,4558,4194,4194,75600,HKT
2017-02-17,4194,4194,3920,3920,20500,HKT
2017-02-20,3920,4285,3920,4285,136900,HKT
2017-02-21,4650,4650,4194,4194,97400,HKT
2017-02-22,4102,4194,4011,4011,33500,HKT
2017-02-23,4102,4102,4011,4011,72500,HKT
2017-02-24,3920,4011,3829,3829,96900,HKT
2017-02-27,3920,4102,3738,3920,31000,HKT
2017-02-28,3920,4011,3920,4011,48400,HKT
2017-03-01,3920,4285,3920,4285,83600,HKT
2017-03-02,4194,4650,4194,4650,221700,HKT
2017-03-03,5105,5105,4923,5105,75600,HKT
2017-03-06,5561,5561,5197,5288,285000,HKT
2017-03-07,5288,5379,5105,5288,82000,HKT
2017-03-08,5288,5744,5288,5744,130200,HKT
2017-03-09,5926,6200,5379,5379,131100,HKT
2017-03-10,5197,5744,4923,5744,50500,HKT
2017-03-13,5744,6291,5470,6291,224600,HKT
2017-03-14,6473,6473,6200,6291,99000,HKT
