time,open,high,low,close,volume,ticker
2009-03-05,6130,6130,5079,5605,4200,HLC
2009-03-06,5605,5605,5605,5605,1000,HLC
2009-03-09,5255,5255,5255,5255,500,HLC
2009-03-10,5290,5290,4887,4887,900,HLC
2009-03-11,5220,5220,4764,4764,3800,HLC
2009-03-12,4887,4887,4554,4554,3000,HLC
2009-03-13,4712,4712,4344,4344,7300,HLC
2009-03-16,4098,4396,4098,4116,1200,HLC
2009-03-17,4379,4379,3906,4379,1700,HLC
2009-03-18,4379,4379,4379,4379,700,HLC
2009-03-19,4554,4677,4466,4466,1100,HLC
2009-03-20,4729,4729,4466,4466,1000,HLC
2009-03-23,4379,4379,4379,4379,400,HLC
2009-03-24,4204,4677,4204,4379,2200,HLC
2009-03-25,4664,4664,4664,4664,1000,HLC
2009-03-26,4682,4719,4682,4719,1000,HLC
2009-03-27,4958,4958,4958,4958,700,HLC
2009-03-30,4958,4958,4958,4958,0,HLC
2009-03-31,4940,5050,4940,5050,2000,HLC
2009-04-01,5013,5013,5013,5013,0,HLC
2009-04-02,4664,4664,4664,4664,2000,HLC
2009-04-03,4774,4958,4774,4866,2300,HLC
2009-04-07,4499,4921,4499,4921,3400,HLC
2009-04-08,4389,4389,4389,4389,800,HLC
2009-04-09,4591,4591,4591,4591,600,HLC
2009-04-10,4866,4903,4774,4774,1200,HLC
2009-04-13,5142,5142,4682,4793,3200,HLC
2009-04-14,4738,4756,4444,4444,2900,HLC
2009-04-15,4627,4756,4627,4627,6200,HLC
2009-04-16,4884,4884,4315,4591,1800,HLC
2009-04-17,4407,4462,4407,4407,700,HLC
2009-04-20,4113,4113,4113,4113,100,HLC
2009-04-21,3838,3838,3838,3838,100,HLC
2009-04-22,4095,4095,4095,4095,1000,HLC
2009-04-23,3874,3874,3838,3874,2500,HLC
2009-04-24,4113,4113,3599,3599,1200,HLC
2009-04-27,4352,4352,4352,4352,100,HLC
2009-04-28,4076,4076,4076,4076,2800,HLC
2009-04-29,3819,3819,3801,3801,3200,HLC
2009-05-04,4040,4058,4040,4040,900,HLC
2009-05-05,4040,4040,4040,4040,1000,HLC
2009-05-06,4223,4223,4223,4223,500,HLC
2009-05-07,4003,4003,4003,4003,800,HLC
2009-05-08,4021,4021,3728,3728,1000,HLC
2009-05-11,3544,3544,3544,3544,1000,HLC
2009-05-12,3562,3764,3562,3764,12600,HLC
2009-05-13,3801,3801,3581,3581,13600,HLC
2009-05-14,3819,3819,3507,3507,6100,HLC
