time,open,high,low,close,volume,ticker
2009-09-09,18738,18738,18738,18738,45000,HLG
2009-09-10,19675,19675,18738,19675,15020,HLG
2009-09-11,20612,20612,20612,20612,78480,HLG
2009-09-14,21601,21601,20612,21601,45000,HLG
2009-09-15,22642,22642,22642,22642,30230,HLG
2009-09-16,23735,23735,23735,23735,135780,HLG
2009-09-17,24880,24880,24724,24880,215370,HLG
2009-09-18,24880,24880,23683,23683,83390,HLG
2009-09-21,22538,23683,22538,22538,215040,HLG
2009-09-22,21445,21601,21445,21445,221640,HLG
2009-09-23,21445,22486,21445,22486,199900,HLG
2009-09-24,23579,23579,22486,23423,95870,HLG
2009-09-25,22642,23058,22642,22902,47040,HLG
2009-09-28,22382,22902,21965,21965,127710,HLG
2009-09-29,21965,21965,21080,21341,54800,HLG
2009-09-30,20872,21341,20820,20872,66130,HLG
2009-10-01,20456,20820,19831,19831,49420,HLG
2009-10-02,18842,18842,18842,18842,23230,HLG
2009-10-05,18322,19779,18322,18894,52630,HLG
2009-10-06,19831,19831,19571,19831,67570,HLG
2009-10-07,20820,20820,20820,20820,56180,HLG
2009-10-08,21289,21289,20300,20300,23660,HLG
2009-10-09,21185,21185,19935,20820,50930,HLG
2009-10-12,20820,20820,19935,20300,61370,HLG
2009-10-13,19779,19935,19519,19519,70070,HLG
2009-10-14,19727,20039,19623,19779,44520,HLG
2009-10-15,19779,20456,19779,19779,54800,HLG
2009-10-16,19519,19779,19519,19519,42410,HLG
2009-10-19,19050,19259,18998,19102,64600,HLG
2009-10-20,20052,20052,19947,20052,28790,HLG
2009-10-21,20316,21055,20052,21055,201540,HLG
2009-10-22,21055,21055,20580,20844,70210,HLG
2009-10-23,20844,20844,20052,20052,55520,HLG
2009-10-26,19208,19525,19208,19261,51300,HLG
2009-10-27,18786,19314,18786,19208,26400,HLG
2009-10-28,20000,20158,19525,20158,59060,HLG
2009-10-29,20105,20105,19155,19841,22820,HLG
2009-10-30,19947,19947,19525,19630,10600,HLG
2009-11-02,18733,18786,18680,18680,7820,HLG
2009-11-03,17836,17836,17783,17783,9140,HLG
2009-11-04,16939,18047,16939,17044,21100,HLG
2009-11-05,16200,17678,16200,17678,13630,HLG
2009-11-06,18364,18364,16833,16833,14370,HLG
2009-11-09,16833,16833,16042,16042,25030,HLG
2009-11-10,16833,16833,15250,15250,23260,HLG
2009-11-11,14617,15989,14564,15989,36880,HLG
2009-11-12,16728,16728,16622,16675,7790,HLG
2009-11-13,16147,17150,16147,16886,11470,HLG
2009-11-16,17414,17730,17414,17730,59020,HLG
2009-11-17,17414,17889,17308,17414,18440,HLG
2009-11-18,17783,18258,17467,18258,54770,HLG
2009-11-19,18997,19155,18733,19155,56160,HLG
2009-11-20,18839,20052,18839,19261,21560,HLG
2009-11-23,18997,18997,18311,18311,29300,HLG
2009-11-24,17519,17678,17414,17414,20260,HLG
2009-11-25,16569,17941,16569,16569,39940,HLG
2009-11-26,15778,15778,15778,15778,25280,HLG
2009-11-27,15039,16517,15039,16464,61770,HLG
2009-11-30,15672,16569,15672,16569,30780,HLG
2009-12-01,16886,16886,15883,16833,15200,HLG
2009-12-02,16095,17150,16042,16042,5160,HLG
2009-12-03,15356,15356,15250,15250,10550,HLG
2009-12-04,15514,15514,14564,14564,4250,HLG
2009-12-07,15250,15250,14775,15250,6250,HLG
2009-12-08,15250,15250,14775,15250,580,HLG
2009-12-09,15250,15250,14511,14511,7800,HLG
2009-12-10,14511,15197,14248,14300,2310,HLG
2009-12-11,13667,14775,13614,13614,5110,HLG
2009-12-14,12981,13245,12981,12981,19400,HLG
2009-12-15,13562,13562,12348,13562,4770,HLG
2009-12-16,12928,12928,12928,12928,570,HLG
2009-12-17,12295,12928,12295,12928,7010,HLG
2009-12-18,12928,13562,12928,13456,54290,HLG
2009-12-21,13720,14089,13720,13931,15930,HLG
2009-12-22,13720,14564,13298,13298,43790,HLG
2009-12-23,13667,13667,12770,12770,8480,HLG
2009-12-24,13298,13298,12664,13139,2970,HLG
2009-12-25,13773,13773,13456,13773,104800,HLG
2009-12-28,13773,14406,13139,13139,53500,HLG
2009-12-29,13139,13192,12506,12664,29770,HLG
2009-12-30,13192,13298,13192,13298,22970,HLG
2009-12-31,13878,13878,13245,13245,39860,HLG
2010-01-04,13350,13878,13350,13878,27060,HLG
2010-01-05,14564,14564,14564,14564,34930,HLG
2010-01-06,13984,14775,13984,14564,28220,HLG
2010-01-07,14036,15250,13931,14986,43160,HLG
2010-01-08,15039,15039,14248,14248,14850,HLG
2010-01-11,14248,14248,13614,13720,14740,HLG
2010-01-12,14248,14248,13192,13245,11270,HLG
2010-01-13,12928,13298,12717,13298,15930,HLG
2010-01-14,13245,13509,13139,13456,31700,HLG
2010-01-15,13720,13720,13087,13192,9100,HLG
2010-01-18,13192,13456,12770,12876,14850,HLG
2010-01-19,12453,13192,12453,12664,9270,HLG
2010-01-20,13192,13192,12664,12664,10250,HLG
2010-01-21,12559,12664,12031,12031,11790,HLG
2010-01-22,11503,12031,11503,11503,27040,HLG
2010-01-25,11820,11873,11345,11345,3230,HLG
2010-01-26,11873,11873,11345,11873,8610,HLG
2010-01-27,12137,12137,11767,11873,13980,HLG
2010-01-28,11451,11926,11451,11926,7860,HLG
2010-01-29,12242,12242,11926,11978,2780,HLG
2010-02-01,11451,11609,11398,11398,54890,HLG
2010-02-02,11081,11820,11081,11556,24260,HLG
2010-02-03,11292,11609,11081,11556,22580,HLG
2010-02-04,11292,11609,11081,11556,28110,HLG
2010-02-05,11345,11503,11345,11345,4500,HLG
2010-02-08,11345,11345,10976,10976,5870,HLG
2010-02-09,10976,10976,10765,10817,8840,HLG
2010-02-10,10870,11081,10870,11029,7570,HLG
2010-02-11,11240,11292,11029,11292,7910,HLG
2010-02-12,11187,11609,11187,11609,3800,HLG
2010-02-22,11978,11978,11609,11715,4810,HLG
2010-02-23,11345,11715,11134,11134,11230,HLG
2010-02-24,10817,11134,10817,10870,8910,HLG
2010-02-25,11292,11292,10870,11187,2230,HLG
2010-02-26,10976,11398,10976,11292,5030,HLG
2010-03-01,11292,11451,11081,11345,12100,HLG
2010-03-02,11240,11451,11240,11451,11150,HLG
2010-03-03,11240,11451,11240,11451,6630,HLG
2010-03-04,11398,11873,11398,11873,31490,HLG
2010-03-05,11873,12453,11873,12453,42660,HLG
2010-03-08,12928,13034,12770,13034,28560,HLG
2010-03-09,12928,13456,12928,13456,28970,HLG
2010-03-10,13456,13931,13456,13720,51700,HLG
2010-03-11,13509,14142,13456,13456,53270,HLG
2010-03-12,13509,13562,13192,13192,62990,HLG
2010-03-15,13456,13667,13192,13192,48290,HLG
2010-03-16,13562,13562,12876,13192,9430,HLG
2010-03-17,13192,13192,12664,13139,15550,HLG
2010-03-18,12717,13773,12717,13773,25140,HLG
2010-03-19,13720,13720,13192,13298,51640,HLG
2010-03-22,13667,13667,12664,13298,23900,HLG
2010-03-23,13298,13509,13245,13509,23600,HLG
2010-03-24,12981,13720,12981,13192,23900,HLG
2010-03-25,12823,13192,12770,12770,10680,HLG
2010-03-26,12770,13192,12664,13192,6280,HLG
2010-03-29,13509,13509,12770,13192,4600,HLG
2010-03-30,12770,13298,12612,13192,78210,HLG
2010-03-31,13192,13192,12664,12664,24310,HLG
2010-04-01,12137,12928,12137,12928,16750,HLG
2010-04-02,13509,13562,12928,13562,52330,HLG
2010-04-05,14195,14195,14195,14195,41030,HLG
2010-04-06,14881,14881,14775,14881,100510,HLG
2010-04-07,14775,15039,14511,14775,82500,HLG
2010-04-08,14195,14775,14089,14089,45420,HLG
2010-04-09,13773,13984,13403,13773,170350,HLG
2010-04-12,14459,14459,14406,14459,156090,HLG
2010-04-13,14881,15145,14617,15145,223690,HLG
2010-04-14,15250,15303,14775,15197,99030,HLG
2010-04-15,15303,15303,14828,15197,193710,HLG
2010-04-16,15936,15936,15936,15936,162620,HLG
2010-04-19,16728,16728,16728,16728,77620,HLG
2010-04-20,17519,17519,17519,17519,14970,HLG
2010-04-21,18364,18364,18364,18364,52460,HLG
2010-04-22,19261,19261,19261,19261,73080,HLG
2010-04-26,20224,20224,20224,20224,69960,HLG
2010-04-27,21187,21187,20866,21187,349820,HLG
2010-04-28,22203,22203,21936,22203,418380,HLG
2010-04-29,23274,23274,23274,23274,334430,HLG
2010-05-04,24397,24397,24397,24397,274400,HLG
2010-05-05,25574,25574,25146,25574,443370,HLG
2010-05-06,25949,26751,24879,25681,1103410,HLG
2010-05-07,25681,25681,24397,24397,596940,HLG
2010-05-10,24611,24611,23488,23488,204180,HLG
2010-05-11,24611,24611,23862,24183,253980,HLG
2010-05-12,23060,23595,23006,23006,193770,HLG
2010-05-13,22471,23006,21882,21882,394000,HLG
2010-05-14,22471,22953,21882,22953,154570,HLG
2010-05-17,23702,24076,22953,24076,374960,HLG
2010-05-18,24879,24879,24076,24076,287410,HLG
2010-05-19,23434,23434,22899,22899,56960,HLG
2010-05-20,21775,22417,21775,21775,314500,HLG
2010-05-21,20705,20705,20705,20705,13800,HLG
2010-05-24,19742,19796,19689,19689,126650,HLG
2010-05-25,18726,19796,18726,19689,527340,HLG
2010-05-26,19796,20652,19368,20652,226490,HLG
2010-05-27,20866,21401,20598,21401,128670,HLG
2010-05-28,22364,22471,21668,22471,235110,HLG
2010-05-31,21936,21936,21347,21347,140060,HLG
2010-06-01,20331,21133,20331,20491,272770,HLG
2010-06-02,19796,20598,19796,20598,104380,HLG
2010-06-03,20598,20919,20384,20384,313130,HLG
2010-06-04,20812,20812,19796,19796,138580,HLG
2010-06-07,18886,19261,18833,18833,165790,HLG
2010-06-08,18993,19100,17923,18940,102100,HLG
2010-06-09,19154,19154,18726,18726,99500,HLG
2010-06-10,18726,19100,18458,18726,126430,HLG
2010-06-11,19582,19635,19528,19635,138870,HLG
2010-06-14,20598,20598,20598,20598,19680,HLG
2010-06-15,21615,21615,21401,21615,756900,HLG
2010-06-16,21936,22685,21508,21829,451290,HLG
2010-06-17,21026,21668,20759,20759,296240,HLG
2010-06-18,20224,21133,20224,20705,151770,HLG
2010-06-21,20705,21722,20705,20919,401140,HLG
2010-06-22,20384,21133,20063,20063,178680,HLG
2010-06-23,20545,20545,19689,19796,130630,HLG
2010-06-24,20331,20331,19635,19635,83490,HLG
2010-06-25,19528,19528,19047,19100,128820,HLG
2010-06-28,18833,20010,18833,19689,95230,HLG
2010-06-29,19582,19796,19100,19154,167980,HLG
2010-06-30,18619,18779,18458,18458,275850,HLG
2010-07-01,18458,18565,18084,18191,155040,HLG
2010-07-02,18726,18726,17977,18191,169040,HLG
2010-07-05,18405,18405,17709,17709,179120,HLG
2010-07-06,17870,18565,17656,18565,543220,HLG
2010-07-07,19475,19475,18191,18191,389610,HLG
2010-07-08,18886,18886,18191,18191,185500,HLG
2010-07-09,18191,18565,18191,18351,88810,HLG
2010-07-12,18565,18565,18137,18351,124850,HLG
2010-07-13,18351,18940,18351,18619,295110,HLG
2010-07-14,19528,19528,19421,19528,917170,HLG
2010-07-15,19261,19475,18886,18886,173680,HLG
2010-07-16,19261,19796,19207,19261,401010,HLG
2010-07-19,18726,19261,18726,18886,132960,HLG
2010-07-20,18886,18886,18672,18672,127650,HLG
2010-07-21,18512,18565,18244,18405,129420,HLG
2010-07-22,18405,18405,17656,17923,200260,HLG
2010-07-23,17923,18619,17709,17709,188710,HLG
2010-07-26,17816,17923,17121,17121,128150,HLG
2010-07-27,17121,17174,16639,16639,169530,HLG
2010-07-28,16853,16853,15837,15837,147370,HLG
2010-07-29,15997,15997,15194,15837,139770,HLG
2010-07-30,15623,16586,15623,16211,149920,HLG
2010-08-02,16318,16318,15569,15623,79030,HLG
2010-08-03,15623,16051,15087,15087,149650,HLG
2010-08-04,14659,14766,14338,14445,284020,HLG
2010-08-05,14927,14927,13910,13910,179810,HLG
2010-08-06,13910,13910,13643,13910,113480,HLG
2010-08-09,14499,14499,13215,13215,122440,HLG
2010-08-10,12840,12840,12573,12573,120320,HLG
2010-08-11,12573,12573,11984,12305,402810,HLG
2010-08-12,12038,12145,11717,11717,178880,HLG
2010-08-13,11235,12252,11182,12252,360910,HLG
2010-08-16,12573,12840,12573,12840,334980,HLG
2010-08-17,12573,12733,12198,12359,207850,HLG
2010-08-18,12305,12305,11770,11770,187080,HLG
2010-08-19,11770,11931,11396,11610,117020,HLG
2010-08-20,11449,11610,11128,11449,191460,HLG
2010-08-23,11396,11396,10968,10968,121150,HLG
2010-08-24,10540,10540,10433,10433,177070,HLG
2010-08-25,10433,10433,9951,9951,106770,HLG
2010-08-26,9951,10005,9470,9951,200160,HLG
2010-08-27,9630,10058,9470,9737,183170,HLG
2010-08-30,10219,10219,10165,10219,133550,HLG
2010-08-31,10486,10700,10219,10700,314260,HLG
2010-09-01,10540,11235,10486,11021,195830,HLG
2010-09-06,11503,11556,11503,11556,159340,HLG
2010-09-07,12091,12091,11663,12091,715440,HLG
2010-09-08,12091,12680,11770,12680,843030,HLG
2010-09-09,13161,13268,13161,13268,424020,HLG
2010-09-10,13643,13910,12626,12626,558010,HLG
2010-09-13,12305,12840,12038,12038,440940,HLG
2010-09-14,12305,12626,11824,12626,524220,HLG
2010-09-15,12947,12947,12091,12252,357080,HLG
2010-09-16,12091,12573,12091,12573,320770,HLG
2010-09-17,13108,13161,12733,13161,501300,HLG
2010-09-20,13803,13803,13803,13803,71760,HLG
2010-09-21,13803,14392,13375,13910,623340,HLG
2010-09-22,13910,14017,13643,13750,504410,HLG
2010-09-23,13429,13482,13108,13215,586420,HLG
2010-09-24,13482,13803,13215,13536,330420,HLG
2010-09-27,13803,14178,13803,13910,866370,HLG
2010-09-28,14445,14445,13750,13750,245290,HLG
