time,open,high,low,close,volume,ticker
2006-12-21,5824,5824,5824,5824,3000,HMC
2006-12-22,5824,5824,5533,5533,28000,HMC
2006-12-25,5533,5533,5256,5256,250,HMC
2006-12-26,4994,4994,4994,4994,57520,HMC
2006-12-27,4746,4746,4746,4746,45350,HMC
2006-12-28,4746,4979,4746,4979,25050,HMC
2006-12-29,5096,5096,4950,4950,6200,HMC
2007-01-02,4950,4950,4950,4950,6500,HMC
2007-01-03,4950,4950,4877,4877,11710,HMC
2007-01-04,4877,4877,4877,4877,5120,HMC
2007-01-05,4805,4936,4805,4936,1900,HMC
2007-01-08,4936,4936,4921,4921,5700,HMC
2007-01-09,4921,4921,4921,4921,2000,HMC
2007-01-10,4921,4921,4717,4717,13800,HMC
2007-01-11,4717,4717,4717,4717,39900,HMC
2007-01-12,4484,4659,4484,4659,15800,HMC
2007-01-15,4659,4659,4441,4441,14570,HMC
2007-01-16,4441,4441,4368,4368,15110,HMC
2007-01-17,4368,4368,4368,4368,7400,HMC
2007-01-18,4513,4513,4368,4368,17020,HMC
2007-01-19,4368,4513,4368,4513,13600,HMC
2007-01-22,4732,4732,4586,4586,9960,HMC
2007-01-23,4586,4586,4586,4586,11900,HMC
2007-01-24,4586,4586,4441,4441,10510,HMC
2007-01-25,4659,4659,4513,4513,8110,HMC
2007-01-26,4441,4441,4368,4368,700,HMC
2007-01-29,4368,4368,4368,4368,6070,HMC
2007-01-30,4368,4441,4368,4441,12330,HMC
2007-01-31,4441,4441,4368,4368,19980,HMC
2007-02-01,4586,4586,4586,4586,24060,HMC
2007-02-02,4717,4717,4717,4717,20750,HMC
2007-02-05,4950,4950,4950,4950,10860,HMC
2007-02-06,5198,5198,5198,5198,18740,HMC
2007-02-07,5445,5445,5445,5445,29570,HMC
2007-02-08,5387,5387,5183,5183,13130,HMC
2007-02-09,4936,4936,4936,4936,4190,HMC
2007-02-12,4703,4703,4703,4703,32610,HMC
2007-02-13,4703,4936,4703,4936,5100,HMC
2007-02-14,5169,5169,5169,5169,22160,HMC
2007-02-15,5242,5242,5169,5169,13300,HMC
2007-02-26,5169,5314,5169,5314,11570,HMC
2007-02-27,5576,5576,5576,5576,39920,HMC
2007-02-28,5853,5853,5853,5853,26100,HMC
2007-03-01,6144,6144,6144,6144,38390,HMC
2007-03-02,6450,6450,6450,6450,32230,HMC
2007-03-05,6770,6770,6770,6770,13650,HMC
2007-03-06,6989,7105,6989,7105,63000,HMC
2007-03-07,7105,7426,7105,7426,5250,HMC
2007-03-08,7790,7790,7790,7790,47790,HMC
2007-03-09,8154,8154,8154,8154,33630,HMC
2007-03-12,8154,8518,8154,8518,8400,HMC
2007-03-13,8882,8882,8518,8518,54930,HMC
2007-03-14,8518,8518,8154,8154,42180,HMC
2007-03-15,7790,7790,7790,7790,9340,HMC
2007-03-16,7404,7404,7404,7404,50730,HMC
2007-03-19,7404,7716,7404,7716,16540,HMC
2007-03-20,8086,8086,8086,8086,60080,HMC
2007-03-21,8161,8161,8161,8161,59760,HMC
2007-03-22,7790,7790,7790,7790,29790,HMC
2007-03-23,8161,8161,8012,8012,26100,HMC
2007-03-26,7716,7716,7641,7641,14680,HMC
2007-03-27,7270,7270,7270,7270,14850,HMC
2007-03-28,6974,6974,6914,6914,19930,HMC
2007-03-29,7256,7256,7256,7256,10360,HMC
2007-03-30,7567,7567,7567,7567,20800,HMC
2007-04-02,7567,7567,7567,7567,4960,HMC
2007-04-03,7345,7345,7196,7196,5500,HMC
2007-04-04,7196,7419,7196,7419,2500,HMC
2007-04-05,7419,7419,7196,7196,6850,HMC
2007-04-06,7122,7196,7122,7196,4240,HMC
2007-04-09,6974,7048,6974,7048,7450,HMC
2007-04-10,7048,7048,6706,6706,4600,HMC
2007-04-11,6588,6588,6454,6454,5320,HMC
2007-04-12,6143,6143,6143,6143,11100,HMC
2007-04-13,5861,5935,5861,5935,8150,HMC
2007-04-16,5801,5801,5742,5742,11360,HMC
2007-04-17,5638,5638,5475,5490,10840,HMC
2007-04-18,5490,5757,5490,5757,3730,HMC
2007-04-19,6039,6039,6009,6009,17500,HMC
2007-04-20,5876,5876,5861,5861,14960,HMC
2007-04-23,5861,5861,5594,5594,1400,HMC
2007-04-24,5638,5638,5416,5416,4840,HMC
2007-04-25,5416,5638,5416,5638,3500,HMC
2007-05-02,5638,5638,5490,5490,400,HMC
2007-05-03,5757,5757,5638,5638,4950,HMC
2007-05-04,5638,5638,5638,5638,600,HMC
2007-05-07,5638,5920,5638,5920,2900,HMC
2007-05-08,6009,6009,5935,5935,4190,HMC
2007-05-09,5935,5935,5638,5638,2720,HMC
2007-05-10,5490,5490,5490,5490,4540,HMC
2007-05-11,5490,5712,5490,5712,1720,HMC
2007-05-14,5712,5920,5712,5920,1500,HMC
2007-05-15,6039,6039,6039,6039,4380,HMC
2007-05-16,6039,6039,5787,5787,1100,HMC
2007-05-17,5787,5787,5668,5668,2700,HMC
2007-05-18,5668,5787,5668,5787,5600,HMC
2007-05-21,5935,6009,5935,6009,13730,HMC
2007-05-22,6232,6232,6232,6232,30670,HMC
2007-05-23,6543,6543,6543,6543,22500,HMC
2007-05-24,6721,6721,6232,6232,11390,HMC
2007-05-25,6232,6232,6232,6232,10100,HMC
2007-05-28,6232,6232,6232,6232,6030,HMC
2007-05-29,6380,6380,6009,6009,5200,HMC
2007-05-30,6009,6009,5801,5801,10530,HMC
2007-05-31,5801,6083,5801,6083,2750,HMC
2007-06-01,6083,6083,6083,6083,6670,HMC
2007-06-04,6083,6083,6083,6083,310,HMC
2007-06-05,6083,6083,5816,5816,4350,HMC
2007-06-06,5787,5935,5787,5935,7340,HMC
2007-06-07,6083,6232,6083,6232,25570,HMC
2007-06-08,6380,6380,6232,6232,28880,HMC
2007-06-11,6232,6306,6232,6306,26390,HMC
2007-06-12,6380,6454,6380,6454,48850,HMC
2007-06-13,6677,6677,6677,6677,42780,HMC
2007-06-14,7003,7003,7003,7003,28070,HMC
2007-06-15,7345,7345,7345,7345,17670,HMC
2007-06-18,7641,7641,7641,7641,56900,HMC
2007-06-19,8012,8012,7493,7493,197410,HMC
2007-06-20,7122,7641,7122,7641,88220,HMC
2007-06-21,7641,7641,7419,7419,25380,HMC
2007-06-22,7270,7790,7270,7790,73260,HMC
2007-06-25,7864,7864,7790,7790,131830,HMC
2007-06-26,7790,7790,7641,7641,21000,HMC
2007-06-27,7641,7641,7419,7419,61200,HMC
2007-06-28,7152,7152,7122,7122,25620,HMC
2007-06-29,7048,7048,6974,6974,49960,HMC
2007-07-02,7196,7196,6825,6825,25910,HMC
2007-07-03,6484,6484,6484,6484,16550,HMC
2007-07-04,6484,6677,6484,6677,32610,HMC
2007-07-05,6677,6677,6528,6528,10760,HMC
2007-07-06,6528,6825,6528,6825,32050,HMC
2007-07-09,6974,6974,6929,6929,14980,HMC
2007-07-10,6974,7270,6974,7270,61090,HMC
2007-07-11,7345,7345,7270,7270,42650,HMC
