time,open,high,low,close,volume,ticker
2017-06-05,18459,18459,18459,18459,100,HMS
2017-06-06,21228,21228,21228,21228,100,HMS
2017-06-07,24392,24392,24392,24392,100,HMS
2017-06-08,28018,28018,26370,28018,24250,HMS
2017-06-09,31908,31908,23799,31644,8700,HMS
2017-06-12,25447,28941,25447,25447,4200,HMS
2017-06-13,30721,30721,26370,27095,2700,HMS
2017-06-14,24261,24392,24261,24392,2600,HMS
2017-06-15,27689,27689,27689,27689,1000,HMS
2017-06-16,26370,26370,25052,25118,3900,HMS
2017-06-19,25579,25579,25579,25579,100,HMS
2017-06-20,28216,28216,25381,25381,1700,HMS
2017-06-21,23601,24722,23074,23931,5900,HMS
2017-06-22,26238,26238,23733,24788,7800,HMS
2017-06-23,26964,26964,25052,25249,1500,HMS
2017-06-26,26370,26370,25118,25381,2900,HMS
2017-06-27,26568,26568,25447,25447,1800,HMS
2017-06-28,25052,25381,24854,25381,2200,HMS
2017-06-29,25249,25645,25052,25052,1800,HMS
2017-06-30,25645,25711,24392,24392,1410,HMS
2017-07-03,25052,25052,25052,25052,500,HMS
2017-07-04,26374,26374,26374,26374,500,HMS
2017-07-05,26374,26374,26374,26374,0,HMS
2017-07-06,25052,25052,25052,25052,1500,HMS
2017-07-07,25052,25052,25052,25052,2900,HMS
2017-07-10,26374,26374,26374,26374,500,HMS
2017-07-11,27835,27835,22964,22964,12100,HMS
2017-07-12,26304,26304,26304,26304,800,HMS
2017-07-13,22964,22964,22964,22964,200,HMS
2017-07-14,25678,25678,23173,23173,1100,HMS
2017-07-17,26304,26304,22686,23660,1010,HMS
2017-07-18,25400,25678,25400,25678,1000,HMS
2017-07-19,25400,25400,25400,25400,0,HMS
2017-07-20,24704,24704,24704,24704,100,HMS
2017-07-21,25330,25330,25330,25330,500,HMS
2017-07-24,25330,25330,25330,25330,0,HMS
2017-07-25,25678,25678,25678,25678,1000,HMS
2017-07-26,25678,25678,25678,25678,0,HMS
2017-07-27,22268,23312,22268,23312,1200,HMS
2017-07-28,22477,22477,22477,22477,0,HMS
2017-07-31,22338,22964,22338,22964,1400,HMS
2017-08-01,22964,22964,22964,22964,1000,HMS
2017-08-02,22964,22964,22616,22616,2100,HMS
2017-08-03,22964,25260,22964,25260,4220,HMS
2017-08-04,22616,22616,22477,22477,700,HMS
2017-08-07,22964,23103,22964,22964,5700,HMS
2017-08-08,22964,22964,22616,22616,8900,HMS
2017-08-09,22268,22268,22268,22268,600,HMS
2017-08-10,22964,22964,22964,22964,4300,HMS
2017-08-11,22964,22964,22964,22964,200,HMS
2017-08-14,22964,22964,22964,22964,0,HMS
2017-08-15,22268,22964,22268,22964,5000,HMS
2017-08-16,22964,22964,22616,22616,800,HMS
2017-08-17,22964,22964,22268,22268,3000,HMS
2017-08-18,25748,25748,22338,22964,3600,HMS
2017-08-21,23103,23103,22964,22964,2250,HMS
2017-08-22,25748,25748,22964,22964,3500,HMS
2017-08-23,23034,23034,23034,23034,900,HMS
2017-08-24,22755,22755,22686,22686,3000,HMS
2017-08-25,19415,24912,19415,22686,3900,HMS
2017-08-28,22964,22964,22964,22964,600,HMS
2017-08-29,25260,25260,25260,25260,500,HMS
2017-08-30,21920,22059,21920,22059,1200,HMS
2017-08-31,22059,22059,22059,22059,0,HMS
2017-09-01,22268,22268,22268,22268,200,HMS
2017-09-05,22268,22268,22268,22268,0,HMS
2017-09-06,22268,22686,22268,22686,6200,HMS
2017-09-07,22964,22964,22686,22825,2300,HMS
2017-09-08,22964,22964,22964,22964,230,HMS
2017-09-11,23034,23103,22894,22894,4800,HMS
2017-09-12,22964,22964,22964,22964,1300,HMS
2017-09-13,22964,22964,22964,22964,0,HMS
2017-09-14,22964,22964,22964,22964,1600,HMS
2017-09-15,22616,22964,22616,22964,2100,HMS
2017-09-18,22964,22964,22964,22964,1000,HMS
2017-09-19,22964,22964,22964,22964,930,HMS
2017-09-20,22964,22964,22964,22964,0,HMS
2017-09-21,23034,23034,23034,23034,570,HMS
2017-09-22,23103,25052,23103,23382,3200,HMS
2017-09-25,23869,23869,23869,23869,0,HMS
2017-09-26,23034,23034,23034,23034,100,HMS
2017-09-27,23034,23034,23034,23034,603,HMS
2017-09-28,23173,23173,23173,23173,1000,HMS
2017-09-29,23382,23382,23382,23382,200,HMS
2017-10-02,23521,23521,23521,23521,130,HMS
2017-10-03,23590,23590,23521,23521,1600,HMS
2017-10-04,23660,23660,23660,23660,1100,HMS
2017-10-05,23660,23660,23660,23660,0,HMS
2017-10-06,23660,23660,23173,23173,2000,HMS
2017-10-09,22964,23103,22616,22616,2100,HMS
2017-10-10,21572,21572,20668,21015,9500,HMS
2017-10-11,21015,21224,21015,21224,2100,HMS
2017-10-12,20946,20946,20946,20946,5000,HMS
2017-10-13,19832,21224,19832,21224,4000,HMS
2017-10-16,20180,20180,20180,20180,0,HMS
2017-10-17,22964,23173,21990,21990,5100,HMS
2017-10-18,20876,22964,20876,22964,4000,HMS
2017-10-19,22059,22059,22059,22059,100,HMS
2017-10-20,21015,21572,21015,21572,2700,HMS
2017-10-23,22268,22268,22268,22268,443,HMS
2017-10-24,21294,22268,21294,22268,5000,HMS
2017-10-25,21642,21642,21642,21642,1800,HMS
2017-10-26,21363,22964,21363,22964,8000,HMS
2017-10-27,21990,22964,21990,22546,7500,HMS
2017-10-30,22338,22407,22338,22407,1100,HMS
2017-10-31,21642,22407,21642,22407,6034,HMS
2017-11-01,21920,21990,20180,21920,9804,HMS
2017-11-02,21572,21572,21572,21572,2000,HMS
2017-11-03,21294,21294,21294,21294,3000,HMS
2017-11-06,21920,21920,21920,21920,200,HMS
2017-11-07,21920,21920,21920,21920,0,HMS
2017-11-08,21920,21920,21920,21920,0,HMS
2017-11-09,21920,21920,21920,21920,0,HMS
2017-11-10,22268,22964,22268,22964,902,HMS
2017-11-13,21920,21920,21642,21642,3000,HMS
2017-11-14,20528,20528,20528,20528,3000,HMS
2017-11-15,21920,21920,21015,21015,3548,HMS
2017-11-16,22059,22268,20250,20250,4800,HMS
2017-11-17,20320,21572,20320,21572,6800,HMS
2017-11-20,20737,20737,18789,18789,6000,HMS
2017-11-21,20180,22268,19624,22268,7500,HMS
2017-11-22,20250,22268,20250,21085,8900,HMS
2017-11-23,20459,22407,20459,22407,2400,HMS
2017-11-24,21642,22268,21642,22268,7100,HMS
2017-11-27,21363,21363,21363,21363,7700,HMS
2017-11-28,21572,21572,21572,21572,253,HMS
2017-11-29,21642,21642,21294,21294,9700,HMS
2017-11-30,21015,21572,21015,21572,6700,HMS
2017-12-01,21294,23660,21294,23660,25200,HMS
2017-12-04,21711,21711,21642,21642,11200,HMS
2017-12-05,21642,21642,21503,21503,1900,HMS
