time,open,high,low,close,volume,ticker
2017-10-05,22252,22252,22252,22252,100,HPI
2017-10-06,25530,25530,25530,25530,100,HPI
2017-10-09,29305,29305,29305,29305,100,HPI
2017-10-10,33676,33676,33676,33676,6100,HPI
2017-10-11,38643,38643,33676,33676,776,HPI
2017-10-12,37948,37948,37948,37948,300,HPI
2017-10-13,34670,34670,32286,32385,800,HPI
2017-10-16,33180,33180,33180,33180,0,HPI
2017-10-17,33180,33180,33180,33180,0,HPI
2017-10-18,33180,33180,33180,33180,0,HPI
2017-10-19,33180,33180,33180,33180,0,HPI
2017-10-20,33180,33180,33180,33180,0,HPI
2017-10-23,28213,28213,28213,28213,200,HPI
2017-10-24,28213,28213,28213,28213,100,HPI
2017-10-25,28213,28213,28213,28213,100,HPI
2017-10-26,28213,28213,28213,28213,0,HPI
2017-10-27,28213,28213,28213,28213,0,HPI
2017-10-30,28213,28213,28213,28213,0,HPI
2017-10-31,28213,28213,28213,28213,0,HPI
2017-11-01,28213,28213,28213,28213,0,HPI
2017-11-02,28213,28213,28213,28213,0,HPI
2017-11-03,28213,28213,28213,28213,0,HPI
2017-11-06,28213,28213,28213,28213,0,HPI
2017-11-07,28213,28213,28213,28213,0,HPI
2017-11-08,26822,26822,26822,26822,120,HPI
2017-11-09,26822,26822,26822,26822,10,HPI
2017-11-10,26822,26822,26822,26822,10,HPI
2017-11-13,22848,22848,22848,22848,300,HPI
2017-11-14,19868,19868,19470,19470,400,HPI
2017-11-15,19570,19570,19570,19570,10,HPI
2017-11-16,16788,16788,16788,16788,102,HPI
2017-11-17,16900,16900,16900,16900,10,HPI
2017-11-20,16900,16900,16900,16900,10,HPI
2017-11-21,16900,16900,16900,16900,0,HPI
2017-11-22,15400,16000,15400,16000,404,HPI
2017-11-23,16900,17900,16900,17900,300,HPI
2017-11-24,17600,17600,17600,17600,0,HPI
2017-11-27,17600,17600,17600,17600,0,HPI
2017-11-28,17600,17600,17600,17600,0,HPI
2017-11-29,20000,20000,20000,20000,100,HPI
2017-11-30,20000,20000,20000,20000,0,HPI
2017-12-01,20000,20000,20000,20000,0,HPI
2017-12-04,20000,20000,20000,20000,1000,HPI
2017-12-05,20000,20000,20000,20000,0,HPI
2017-12-06,20000,20000,20000,20000,0,HPI
2017-12-07,20000,20000,20000,20000,0,HPI
2017-12-08,20000,20000,20000,20000,0,HPI
2017-12-11,20000,20000,20000,20000,0,HPI
2017-12-12,20000,20000,20000,20000,0,HPI
2017-12-13,20000,20000,20000,20000,0,HPI
2017-12-14,20000,20000,20000,20000,0,HPI
2017-12-15,20000,20000,20000,20000,0,HPI
2017-12-18,20000,20000,20000,20000,0,HPI
2017-12-19,20000,20000,20000,20000,0,HPI
2017-12-20,20000,20000,20000,20000,0,HPI
2017-12-21,20000,20000,20000,20000,0,HPI
2017-12-22,20000,20000,20000,20000,0,HPI
2017-12-25,20000,20000,20000,20000,0,HPI
2017-12-26,20000,20000,20000,20000,0,HPI
2017-12-27,20000,20000,20000,20000,0,HPI
2017-12-28,20000,20000,20000,20000,0,HPI
2017-12-29,20000,20000,20000,20000,0,HPI
2018-01-02,20000,20000,20000,20000,0,HPI
2018-01-03,20000,20000,20000,20000,0,HPI
2018-01-04,20000,20000,20000,20000,0,HPI
2018-01-05,20000,20000,20000,20000,0,HPI
2018-01-08,20000,20000,20000,20000,0,HPI
2018-01-09,20000,20000,20000,20000,0,HPI
2018-01-10,20000,20000,20000,20000,0,HPI
2018-01-11,20000,20000,20000,20000,0,HPI
2018-01-12,20000,20000,20000,20000,0,HPI
2018-01-15,20000,20000,20000,20000,0,HPI
2018-01-16,17200,17200,17200,17200,500,HPI
2018-01-17,15800,15800,15800,15800,5000,HPI
2018-01-18,15800,15800,13500,13500,12000,HPI
2018-01-19,14700,14700,14700,14700,0,HPI
2018-01-22,16900,16900,12500,16900,70300,HPI
2018-01-23,12800,12800,12800,12800,0,HPI
2018-01-24,12800,12800,12800,12800,0,HPI
2018-01-25,12000,14700,12000,14700,80200,HPI
2018-01-26,13800,13800,13800,13800,600,HPI
2018-01-29,15800,15800,15800,15800,10000,HPI
2018-01-30,15800,15800,15800,15800,100,HPI
2018-01-31,17000,17000,17000,17000,4900,HPI
2018-02-01,19500,19500,19500,19500,100,HPI
2018-02-02,18000,18000,16600,16600,19300,HPI
2018-02-05,14400,14400,14400,14400,25000,HPI
2018-02-06,16500,16500,12300,12300,15700,HPI
2018-02-07,12000,13000,11400,13000,293600,HPI
2018-02-08,11500,13200,9800,13200,15500,HPI
2018-02-09,12600,12600,9400,9400,250013,HPI
2018-02-12,11100,11100,11100,11100,100,HPI
2018-02-13,12700,12700,9700,12700,116901,HPI
2018-02-21,11500,11500,11500,11500,9000,HPI
2018-02-22,13200,13200,10000,13200,200800,HPI
2018-02-23,11800,11800,11800,11800,100,HPI
2018-02-26,13500,13500,11900,11900,182400,HPI
2018-02-27,13900,13900,12900,13900,153120,HPI
2018-02-28,14800,14800,13600,13600,123700,HPI
2018-03-01,14100,15800,13300,13300,158800,HPI
2018-03-02,15000,15600,13300,13400,131500,HPI
2018-03-05,15300,15500,13700,13700,207000,HPI
2018-03-06,13800,15000,13000,15000,165107,HPI
2018-03-07,15000,15100,15000,15100,14400,HPI
2018-03-08,17000,17300,13700,13700,158300,HPI
2018-03-09,15500,15900,14400,14800,81900,HPI
2018-03-12,14900,17000,12700,17000,100400,HPI
2018-03-13,14000,14700,14000,14700,20100,HPI
2018-03-14,15300,16100,14100,14100,210000,HPI
2018-03-15,16900,16900,14600,16900,102100,HPI
2018-03-16,15000,15000,15000,15000,200,HPI
2018-03-19,15100,15100,14700,14700,265500,HPI
2018-03-20,15000,15000,15000,15000,100,HPI
2018-03-21,15000,15400,14300,15400,71500,HPI
2018-03-22,15000,15000,14700,14700,139300,HPI
2018-03-23,13200,14300,13200,14200,340300,HPI
2018-03-26,13700,15100,13700,13900,73400,HPI
2018-03-27,14600,15700,14500,15700,149300,HPI
2018-03-28,15200,15200,14800,14800,3800,HPI
2018-03-29,15700,15700,15700,15700,500,HPI
2018-03-30,14800,15900,13500,13700,203300,HPI
2018-04-02,14200,14200,14200,14200,10000,HPI
2018-04-03,14700,14700,14700,14700,30000,HPI
2018-04-04,15500,16000,14300,16000,55800,HPI
2018-04-05,14400,15500,14400,15500,32200,HPI
2018-04-06,15900,16000,14000,14000,77300,HPI
2018-04-09,14200,14500,14200,14500,51000,HPI
2018-04-10,15800,16000,13700,13900,93000,HPI
2018-04-11,14300,14300,14300,14300,100000,HPI
2018-04-12,14100,15400,14100,14200,110600,HPI
2018-04-13,14200,15300,14100,15300,53600,HPI
2018-04-16,14100,14400,13800,14100,30600,HPI
2018-04-17,14100,15000,14000,15000,6600,HPI
2018-04-18,14300,14300,14200,14200,102400,HPI
2018-04-19,14200,14200,14200,14200,80000,HPI
2018-04-20,14100,14100,14000,14000,37766,HPI
2018-04-23,14100,14900,14100,14900,51300,HPI
2018-04-24,14200,15000,14100,14300,48000,HPI
2018-04-26,14300,14800,14300,14800,80100,HPI
2018-04-27,14300,14300,14300,14300,0,HPI
2018-05-02,14400,14500,14400,14500,110800,HPI
2018-05-03,14400,14900,14300,14400,56905,HPI
2018-05-04,14400,14400,14400,14400,0,HPI
2018-05-07,14800,14900,14300,14300,69800,HPI
2018-05-08,14600,14600,14600,14600,0,HPI
2018-05-09,14300,14300,13600,13600,30000,HPI
2018-05-10,14000,14000,14000,14000,1880,HPI
2018-05-11,14000,14000,14000,14000,0,HPI
2018-05-14,14000,14100,14000,14000,727000,HPI
2018-05-15,14000,14000,14000,14000,0,HPI
2018-05-16,13900,13900,13900,13900,38000,HPI
2018-05-17,14900,14900,14100,14100,1500,HPI
2018-05-18,13900,13900,13900,13900,320000,HPI
2018-05-21,13600,13600,13600,13600,3400,HPI
2018-05-22,12300,14900,12200,12800,256500,HPI
2018-05-23,13800,13900,13000,13000,151100,HPI
2018-05-24,12800,12800,12800,12800,392453,HPI
2018-05-25,12800,12800,12800,12800,48300,HPI
2018-05-28,12800,12800,12800,12800,0,HPI
2018-05-29,13300,14300,12900,12900,35500,HPI
2018-05-30,11900,12000,11900,12000,216400,HPI
2018-05-31,11300,11300,11000,11000,160000,HPI
2018-06-01,10000,12600,10000,12600,13100,HPI
2018-06-04,9500,9500,8800,8800,363000,HPI
2018-06-05,9100,10300,9100,10300,130100,HPI
2018-06-06,9200,10400,9200,10400,5000,HPI
2018-06-07,10900,11300,9600,11300,48500,HPI
