time,open,high,low,close,volume,ticker
2021-04-27,10282,10282,10282,10282,100,HSV
2021-04-28,11820,11820,11820,11820,300,HSV
2021-04-29,13569,13569,13569,13569,1600,HSV
2021-05-04,15598,15598,15598,15598,2000,HSV
2021-05-05,17906,17906,17906,17906,800,HSV
2021-05-06,20564,20564,20284,20564,421600,HSV
2021-05-07,23641,23641,23082,23641,155000,HSV
2021-05-10,27069,27069,26859,26999,152800,HSV
2021-05-11,27908,27908,23012,23012,41000,HSV
2021-05-12,20214,20214,20214,20214,9400,HSV
2021-05-13,17206,20214,17206,17486,265300,HSV
2021-05-14,17486,17486,14758,15178,22300,HSV
2021-05-17,15388,15737,13569,15737,96100,HSV
2021-05-18,14688,16507,14339,16507,125100,HSV
2021-05-19,16507,16996,16507,16996,31000,HSV
2021-05-20,18885,19305,15598,17346,131700,HSV
2021-05-21,16787,16787,14828,15248,66400,HSV
2021-05-24,15248,16017,14688,15178,43300,HSV
2021-05-25,15038,17066,13639,16367,91400,HSV
2021-05-26,15598,15598,15528,15598,84100,HSV
2021-05-27,15667,15667,15598,15667,95600,HSV
2021-05-28,15458,15947,14059,14688,46700,HSV
2021-05-31,15737,16437,13919,15737,99520,HSV
2021-06-01,15598,17486,15598,16087,203100,HSV
2021-06-02,16087,16087,15388,16017,92600,HSV
2021-06-03,15947,16017,15737,15947,156100,HSV
2021-06-04,15947,15947,15388,15528,98301,HSV
2021-06-07,15737,15807,15388,15667,83600,HSV
2021-06-08,15667,15737,15388,15598,51401,HSV
2021-06-09,15737,15737,15458,15458,19900,HSV
2021-06-10,15737,15737,15388,15458,71200,HSV
2021-06-11,15598,15598,15318,15318,64900,HSV
2021-06-14,15598,15598,14408,14758,77600,HSV
2021-06-15,15528,15528,13289,14688,197100,HSV
2021-06-16,14688,15388,14688,14688,70700,HSV
2021-06-17,15388,16087,14758,15388,105200,HSV
2021-06-18,15388,15388,14688,14688,16980,HSV
2021-06-21,16996,16996,13989,15038,71600,HSV
2021-06-22,16087,16437,13709,13779,219600,HSV
2021-06-23,14618,14618,13289,13849,151200,HSV
2021-06-24,15667,15737,13079,13709,99900,HSV
2021-06-25,14898,14898,13429,13709,53544,HSV
2021-06-28,13709,14828,13219,13639,24200,HSV
2021-06-29,14269,15038,13219,13219,98200,HSV
2021-06-30,14688,14688,12940,13429,138000,HSV
2021-07-01,13429,13849,13010,13289,104100,HSV
2021-07-02,13849,14199,12870,13010,241700,HSV
2021-07-05,14339,14339,12590,13010,109200,HSV
2021-07-06,13779,14339,12590,12660,64000,HSV
2021-07-07,13709,13709,12590,12660,53000,HSV
2021-07-08,12730,12730,12240,12590,40600,HSV
2021-07-09,12590,12660,11890,11890,39400,HSV
2021-07-12,12940,12940,10631,11191,56400,HSV
2021-07-13,12730,12730,11331,12310,34900,HSV
2021-07-14,12590,12590,11541,11820,25500,HSV
2021-07-15,11890,11890,11541,11890,38556,HSV
2021-07-16,11820,11890,11191,11890,50100,HSV
2021-07-19,11541,11890,11261,11890,13900,HSV
2021-07-20,11890,11890,11331,11820,13956,HSV
2021-07-21,11890,13219,11890,11890,12300,HSV
2021-07-22,11890,11890,11261,11890,16800,HSV
2021-07-23,11890,11890,11611,11611,8000,HSV
2021-07-26,12310,12310,11401,11750,1300,HSV
2021-07-27,11890,11890,11471,11681,67600,HSV
2021-07-28,11890,11960,11471,11541,59300,HSV
2021-07-29,11820,11820,11331,11820,54100,HSV
2021-07-30,11820,11820,11331,11331,47300,HSV
2021-08-02,11820,12590,11401,12100,104200,HSV
2021-08-03,11890,12450,11820,12240,101100,HSV
2021-08-04,12100,12100,12030,12100,105400,HSV
2021-08-05,12030,12240,11890,12100,93300,HSV
2021-08-06,12030,12310,11681,11890,100200,HSV
2021-08-09,12310,12310,11681,11960,126400,HSV
2021-08-10,12310,12310,11611,11820,121700,HSV
2021-08-11,12240,12240,11681,12100,161500,HSV
2021-08-12,11890,11890,11471,11541,20600,HSV
2021-08-13,11960,11960,11471,11681,111501,HSV
2021-08-16,11611,11890,11471,11820,22200,HSV
2021-08-17,11681,11890,11191,11820,74900,HSV
2021-08-18,11820,11820,11471,11750,25800,HSV
2021-08-19,11750,13569,11611,12590,189000,HSV
2021-08-20,12450,12450,11331,11960,102000,HSV
2021-08-23,13263,13702,13263,13702,240700,HSV
2021-08-24,14054,14142,13175,13702,124500,HSV
2021-08-25,14054,14054,12736,13351,37700,HSV
2021-08-26,13439,13527,12297,13088,166400,HSV
2021-08-27,13263,13351,12209,12736,119100,HSV
2021-08-30,12561,12824,11594,12824,170600,HSV
2021-08-31,12561,13615,12473,13615,252400,HSV
2021-09-01,13527,13615,12912,13527,81300,HSV
2021-09-06,13351,13527,12824,13351,172100,HSV
2021-09-07,13351,13351,12297,13000,163100,HSV
2021-09-08,13263,13263,12121,12736,162400,HSV
2021-09-09,13000,13000,12033,12736,136200,HSV
2021-09-10,12736,12824,11770,12297,102700,HSV
2021-09-13,12561,12561,11419,11770,59400,HSV
2021-09-14,12121,13615,11858,12209,171500,HSV
2021-09-15,12648,12648,11858,12209,110500,HSV
2021-09-16,12561,14054,12033,12473,120601,HSV
2021-09-17,13175,13263,11770,12297,187800,HSV
2021-09-20,12648,12648,11858,12209,218200,HSV
2021-09-21,12736,12736,11858,12385,78900,HSV
2021-09-22,12648,12736,12121,12648,92220,HSV
2021-09-23,12561,12736,12297,12385,77800,HSV
2021-09-24,12473,12473,12121,12121,106000,HSV
