time,open,high,low,close,volume,ticker
2007-11-13,27462,31385,27462,29668,989350,HT1
2007-11-14,29914,30404,29423,29914,323550,HT1
2007-11-15,30159,30159,29423,29668,110380,HT1
2007-11-16,28442,29423,28197,28442,69590,HT1
2007-11-19,27952,27952,27216,27216,128600,HT1
2007-11-20,25990,25990,25990,25990,124510,HT1
2007-11-21,24764,24764,24764,24764,66220,HT1
2007-11-22,24274,25745,24274,24764,307810,HT1
2007-11-23,24764,25010,24519,24764,117930,HT1
2007-11-26,25010,25255,24764,24764,131840,HT1
2007-11-27,25745,25990,25500,25990,173630,HT1
2007-11-28,25990,25990,25010,25500,129050,HT1
2007-11-29,25745,25745,25500,25500,32300,HT1
2007-11-30,25500,25745,25255,25500,146220,HT1
2007-12-03,25500,25500,25255,25255,115750,HT1
2007-12-04,25500,25500,25010,25255,101940,HT1
2007-12-05,25010,25255,25010,25255,80410,HT1
2007-12-06,25010,25010,24519,24764,86110,HT1
2007-12-07,24029,24764,24029,24274,102640,HT1
2007-12-10,24274,24274,23538,23538,81510,HT1
2007-12-11,23538,23538,22361,22361,111790,HT1
2007-12-12,22558,23048,22558,22803,94610,HT1
2007-12-13,23048,23048,22558,22607,31540,HT1
2007-12-14,22067,22607,22067,22067,5995,HT1
2007-12-17,22312,22410,22067,22067,102050,HT1
2007-12-18,22067,22165,21332,21577,156700,HT1
2007-12-19,22067,22656,22067,22656,35100,HT1
2007-12-20,23342,23342,22558,22558,100600,HT1
2007-12-21,22950,22950,22558,22950,24860,HT1
2007-12-24,22950,23146,22803,23048,45410,HT1
2007-12-25,22558,23146,22558,22803,56300,HT1
2007-12-26,22803,23048,22803,22803,19470,HT1
2007-12-27,23048,23048,22705,22705,35080,HT1
2007-12-28,22803,22999,22558,22705,34050,HT1
2008-01-02,22754,22754,22558,22558,20130,HT1
2008-01-03,21675,22067,21675,21724,38080,HT1
2008-01-04,21577,21724,21577,21577,29970,HT1
2008-01-07,20939,20939,20596,20596,38220,HT1
2008-01-08,20596,20841,20302,20302,41160,HT1
2008-01-09,19860,19860,19615,19615,45410,HT1
2008-01-10,18634,18733,18634,18634,58250,HT1
2008-01-11,18144,19468,18144,19370,36600,HT1
2008-01-14,19125,19125,18438,18438,30090,HT1
2008-01-15,17605,17654,17556,17556,58230,HT1
2008-01-16,18193,18389,17654,18389,86890,HT1
2008-01-17,19272,19272,17654,17654,85970,HT1
2008-01-18,17654,18291,17163,18291,4613,HT1
2008-01-21,18291,18291,18144,18144,40150,HT1
2008-01-22,17654,17899,17654,17654,24800,HT1
2008-01-23,17163,17163,16771,16771,55740,HT1
2008-01-24,16771,17163,16673,16771,44020,HT1
2008-01-25,16232,17163,16232,16918,30340,HT1
2008-01-28,16918,17163,16722,16918,2340,HT1
2008-01-29,17016,17752,16918,17752,54340,HT1
2008-01-30,18634,18634,18634,18634,9600,HT1
2008-01-31,19370,19370,18389,18978,119560,HT1
2008-02-01,19860,19909,19615,19909,55840,HT1
2008-02-12,20743,20743,19860,19860,67780,HT1
2008-02-13,19370,19370,18929,18929,25510,HT1
2008-02-14,19468,19615,19468,19468,32360,HT1
2008-02-15,19468,19468,18684,18880,23320,HT1
2008-02-18,17948,18389,17948,18046,72510,HT1
2008-02-19,17703,18193,17654,18193,23060,HT1
2008-02-20,17752,18144,17408,17408,4611,HT1
2008-02-21,16575,16575,16575,16575,20520,HT1
2008-02-22,15790,15937,15790,15937,131560,HT1
2008-02-25,16673,16722,16673,16722,17200,HT1
2008-02-26,17556,17556,16182,16428,63450,HT1
2008-02-27,17065,17065,16428,16722,28190,HT1
2008-02-28,16722,16722,16575,16575,12800,HT1
2008-02-29,16182,16673,15986,15986,32140,HT1
2008-03-03,15594,15594,15202,15202,50270,HT1
2008-03-04,14466,14466,14466,14466,16180,HT1
2008-03-05,13780,13780,13780,13780,24110,HT1
2008-03-06,14466,14466,14466,14466,16950,HT1
2008-03-07,15153,15153,15153,15153,68580,HT1
2008-03-10,15888,15888,15888,15888,74120,HT1
2008-03-11,16182,16182,15104,15251,142180,HT1
2008-03-12,15202,15986,14711,15692,54320,HT1
2008-03-13,16182,16182,15741,16035,37570,HT1
2008-03-14,15692,15937,15692,15790,47170,HT1
2008-03-17,15006,15104,15006,15006,59400,HT1
2008-03-18,14270,14270,14270,14270,51400,HT1
2008-03-19,13976,14221,13829,13829,31910,HT1
2008-03-20,13731,13976,13731,13731,81200,HT1
2008-03-21,13731,13731,13044,13044,61070,HT1
2008-03-24,12406,12406,12406,12406,25860,HT1
2008-03-25,11818,11818,11818,11818,11190,HT1
2008-03-26,11279,12406,11279,12014,37720,HT1
2008-03-27,12112,12112,12112,12112,4450,HT1
2008-03-28,12210,12210,12210,12210,2520,HT1
2008-03-31,12308,12308,12308,12308,6200,HT1
2008-04-01,12406,12406,12406,12406,109000,HT1
2008-04-02,12505,12505,12505,12505,3160,HT1
2008-04-03,12505,12603,12505,12603,35270,HT1
2008-04-04,12701,12701,12701,12701,7220,HT1
2008-04-07,12946,12946,12946,12946,1600,HT1
2008-04-08,12946,13191,12946,13191,207240,HT1
2008-04-09,13436,13436,13436,13436,86440,HT1
2008-04-10,13191,13191,13191,13191,104160,HT1
2008-04-11,12946,12946,12946,12946,10460,HT1
2008-04-16,12701,12701,12701,12701,19850,HT1
2008-04-17,12456,12750,12456,12750,92430,HT1
2008-04-18,12505,12505,12505,12505,36840,HT1
2008-04-21,12259,12259,12259,12259,28610,HT1
2008-04-22,12014,12014,12014,12014,4200,HT1
2008-04-23,11818,11818,11818,11818,25240,HT1
2008-04-24,11622,11622,11622,11622,7770,HT1
2008-04-25,11426,11426,11426,11426,65290,HT1
2008-04-28,11328,11524,11279,11328,26710,HT1
2008-04-29,11524,11524,11475,11524,30170,HT1
2008-05-05,11726,11726,11726,11726,40190,HT1
2008-05-06,11524,11574,11524,11524,9760,HT1
2008-05-07,11322,11322,11322,11322,7290,HT1
2008-05-08,11322,11322,11119,11119,930,HT1
2008-05-09,10917,10917,10917,10917,4520,HT1
2008-05-12,10715,10715,10715,10715,1930,HT1
2008-05-13,10513,10513,10513,10513,23210,HT1
2008-05-14,10311,10311,10311,10311,320,HT1
2008-05-15,10108,10108,10108,10108,6270,HT1
2008-05-16,9906,9906,9906,9906,46310,HT1
2008-05-19,9755,9755,9755,9755,27440,HT1
2008-05-20,9603,9603,9603,9603,540,HT1
2008-05-21,9451,9451,9451,9451,5130,HT1
2008-05-22,9451,9451,9300,9300,10,HT1
2008-05-23,9148,9148,9148,9148,1660,HT1
2008-05-26,8997,8997,8997,8997,1490,HT1
2008-05-30,8845,8845,8845,8845,1200,HT1
2008-06-02,8693,8693,8693,8693,4220,HT1
2008-06-03,8542,8542,8542,8542,860,HT1
2008-06-04,8390,8390,8390,8390,2630,HT1
2008-06-05,8390,8390,8238,8238,510,HT1
2008-06-06,8087,8087,8087,8087,2700,HT1
2008-06-09,7935,7935,7935,7935,3450,HT1
2008-06-10,7783,7783,7783,7783,1110,HT1
2008-06-11,7632,7935,7632,7834,102580,HT1
2008-06-12,7783,7935,7733,7834,118280,HT1
2008-06-13,7986,7986,7986,7986,48020,HT1
2008-06-16,8137,8137,8137,8137,2290,HT1
2008-06-17,8137,8289,8137,8289,1000,HT1
2008-06-18,8441,8441,8137,8137,137240,HT1
2008-06-19,7935,7935,7935,7935,11030,HT1
2008-06-20,7733,7733,7733,7733,27510,HT1
2008-06-23,7531,7935,7531,7581,58150,HT1
2008-06-24,7783,7783,7632,7783,37600,HT1
2008-06-25,7986,7986,7986,7986,18450,HT1
2008-06-26,8087,8087,7783,7783,18370,HT1
2008-06-27,7581,7581,7581,7581,53950,HT1
2008-06-30,7379,7379,7379,7379,38590,HT1
2008-07-01,7177,7581,7177,7581,203920,HT1
2008-07-02,7783,7783,7581,7783,55560,HT1
2008-07-03,7986,7986,7885,7986,35710,HT1
2008-07-04,8188,8188,8087,8188,158880,HT1
2008-07-07,8390,8390,7986,7986,113380,HT1
2008-07-08,7783,7783,7783,7783,50000,HT1
2008-07-09,7581,7783,7581,7581,127440,HT1
2008-07-10,7379,7783,7379,7783,320880,HT1
2008-07-11,7581,7986,7581,7986,108830,HT1
2008-07-14,8188,8188,8188,8188,51780,HT1
2008-07-15,8390,8390,8289,8390,139130,HT1
2008-07-16,8592,8592,8188,8390,239730,HT1
2008-07-17,8188,8339,8188,8188,94670,HT1
2008-07-18,7986,7986,7986,7986,30770,HT1
2008-07-21,7783,7783,7783,7783,3620,HT1
2008-07-22,7783,7783,7581,7581,510,HT1
2008-07-23,7379,7379,7379,7379,420,HT1
2008-07-24,7177,7177,7177,7177,3780,HT1
2008-07-25,6975,6975,6975,6975,37480,HT1
2008-07-28,6773,6773,6773,6773,83630,HT1
2008-07-29,6570,6975,6570,6570,213710,HT1
2008-07-30,6419,6419,6419,6419,66960,HT1
2008-07-31,6267,6267,6267,6267,27400,HT1
2008-08-01,6115,6115,6115,6115,28970,HT1
2008-08-04,5964,5964,5964,5964,20340,HT1
2008-08-05,5812,6115,5812,5812,104550,HT1
2008-08-06,5812,5964,5812,5964,26450,HT1
2008-08-07,6115,6115,6115,6115,33370,HT1
2008-08-08,6267,6267,6267,6267,29520,HT1
2008-08-11,6419,6419,6419,6419,13470,HT1
2008-08-12,6570,6570,6267,6267,147030,HT1
2008-08-13,6217,6318,6115,6318,71580,HT1
2008-08-14,6368,6469,6368,6469,56500,HT1
2008-08-15,6621,6621,6621,6621,21820,HT1
2008-08-18,6419,6924,6419,6924,171510,HT1
2008-08-19,7025,7025,6621,6621,99030,HT1
2008-08-20,6318,6924,6318,6368,96540,HT1
2008-08-21,6671,6671,6469,6671,70710,HT1
2008-08-22,6975,6975,6975,6975,91910,HT1
2008-08-25,7278,7278,7278,7278,10610,HT1
2008-08-26,7632,7632,7632,7632,7910,HT1
