time,open,high,low,close,volume,ticker
2017-06-14,11334,11334,7046,7046,62300,HTG
2017-06-15,6896,6896,6746,6746,28360,HTG
2017-06-16,6596,6596,5757,5787,53650,HTG
2017-06-19,5816,5936,5816,5936,17497,HTG
2017-06-20,5906,5966,5906,5966,7811,HTG
2017-06-21,5966,6266,5966,5996,10550,HTG
2017-06-22,6056,6296,5876,6296,11710,HTG
2017-06-23,5996,6146,5996,6056,48400,HTG
2017-06-26,6146,6146,6056,6146,37100,HTG
2017-06-27,6176,6326,6176,6326,20203,HTG
2017-06-28,6356,6356,5936,6296,29058,HTG
2017-06-29,6326,6386,6326,6356,25900,HTG
2017-06-30,6056,6386,6056,6356,26500,HTG
2017-07-03,6056,6296,6056,6266,13360,HTG
2017-07-04,6176,6206,6176,6206,3300,HTG
2017-07-05,6146,6296,6146,6146,3400,HTG
2017-07-06,6236,6236,6176,6236,13800,HTG
2017-07-07,6146,6146,6146,6146,2082,HTG
2017-07-10,6146,6146,5996,5996,4600,HTG
2017-07-11,5846,5966,5846,5906,9700,HTG
2017-07-12,5936,5936,5936,5936,1000,HTG
2017-07-13,5906,5996,5906,5936,6300,HTG
2017-07-14,5906,5936,5787,5846,8566,HTG
2017-07-17,5846,5936,5846,5936,7000,HTG
2017-07-18,5816,6116,5816,6116,967,HTG
2017-07-19,5846,5936,5697,5936,5349,HTG
2017-07-20,5876,5876,5876,5876,0,HTG
2017-07-21,5846,5906,5846,5906,2227,HTG
2017-07-24,5906,5906,5697,5727,4043,HTG
2017-07-25,5727,5727,5637,5637,4200,HTG
2017-07-26,5577,5667,5577,5637,11600,HTG
2017-07-27,5607,5607,5517,5517,9109,HTG
2017-07-28,5487,5547,5487,5487,6300,HTG
2017-07-31,5457,5517,5457,5517,3815,HTG
2017-08-01,5547,5547,5487,5547,1961,HTG
2017-08-02,5397,5397,5397,5397,200,HTG
2017-08-03,5397,5397,5397,5397,1227,HTG
2017-08-04,5547,5547,5097,5517,13301,HTG
2017-08-07,5367,5367,5217,5367,7500,HTG
2017-08-08,5217,5277,5127,5277,12696,HTG
2017-08-09,5127,5217,5127,5217,13651,HTG
2017-08-10,5097,5157,4947,5157,17199,HTG
2017-08-11,4887,5037,4797,5037,27482,HTG
2017-08-14,4947,5037,4947,5037,16500,HTG
2017-08-15,4977,4977,4977,4977,0,HTG
2017-08-16,4827,4827,4827,4827,2000,HTG
2017-08-17,4827,4827,4827,4827,0,HTG
2017-08-18,4857,4887,4857,4887,7100,HTG
2017-08-21,4887,4887,4887,4887,40,HTG
2017-08-22,4857,4887,4857,4887,400,HTG
2017-08-23,4887,4887,4887,4887,0,HTG
2017-08-24,4887,4887,4857,4887,4000,HTG
2017-08-25,4917,4947,4917,4947,6000,HTG
2017-08-28,4977,4977,4977,4977,3200,HTG
2017-08-29,5037,5037,5007,5007,200,HTG
2017-08-30,5007,5097,4977,5097,6732,HTG
2017-08-31,5007,5067,5007,5067,1100,HTG
2017-09-01,5037,5067,5037,5067,5200,HTG
2017-09-05,5037,5067,5037,5037,14400,HTG
2017-09-06,5037,5037,5037,5037,2627,HTG
2017-09-07,5247,5247,5067,5067,2100,HTG
2017-09-08,5097,5097,5097,5097,110,HTG
2017-09-11,5097,5097,5097,5097,3000,HTG
2017-09-12,5157,5157,5157,5157,248,HTG
2017-09-13,5157,5157,5157,5157,0,HTG
2017-09-14,5157,5157,5157,5157,0,HTG
2017-09-15,5097,5097,5067,5097,5600,HTG
2017-09-18,4917,5067,4917,5067,4000,HTG
2017-09-19,5007,5007,5007,5007,5000,HTG
2017-09-20,5007,5007,5007,5007,74,HTG
2017-09-21,5037,5037,5037,5037,4900,HTG
2017-09-22,5097,5187,5067,5097,4700,HTG
2017-09-25,5127,5127,5127,5127,6500,HTG
2017-09-26,5187,5217,5187,5187,2300,HTG
2017-09-27,5247,5247,5247,5247,100,HTG
2017-09-28,5247,5247,5247,5247,1000,HTG
2017-09-29,5097,5097,4917,4977,6933,HTG
2017-10-02,5007,5067,5007,5067,8200,HTG
2017-10-03,5067,5067,5067,5067,0,HTG
2017-10-04,5097,5097,5097,5097,1000,HTG
2017-10-05,5127,5127,5037,5037,23100,HTG
2017-10-06,5097,5097,5097,5097,0,HTG
2017-10-09,5097,5097,5097,5097,0,HTG
2017-10-10,5097,5097,5037,5037,17300,HTG
2017-10-11,5097,5247,5097,5247,3200,HTG
2017-10-12,5187,5247,5127,5247,10500,HTG
2017-10-13,5217,5367,5217,5247,8100,HTG
2017-10-16,5247,5397,5247,5397,2500,HTG
2017-10-17,5367,5367,5367,5367,300,HTG
2017-10-18,5397,5457,5397,5397,5900,HTG
2017-10-19,5397,5397,5397,5397,1000,HTG
2017-10-20,5427,5667,5427,5667,200,HTG
