time,open,high,low,close,volume,ticker
2006-12-14,3489,3748,3489,3567,9500,HTP
2006-12-15,3618,3618,3618,3618,2300,HTP
2006-12-18,3618,3618,3618,3618,0,HTP
2006-12-19,3618,3618,3618,3618,0,HTP
2006-12-20,3618,3618,3618,3618,0,HTP
2006-12-21,3618,3618,3618,3618,0,HTP
2006-12-22,3618,3618,3618,3618,0,HTP
2006-12-25,3618,3618,3618,3618,0,HTP
2006-12-26,3618,3618,3618,3618,0,HTP
2006-12-27,3618,3618,3618,3618,0,HTP
2006-12-28,3618,3618,3618,3618,0,HTP
2006-12-29,3295,3295,3295,3295,500,HTP
2007-01-02,3295,3295,3295,3295,800,HTP
2007-01-03,2972,2972,2972,2972,1500,HTP
2007-01-04,2675,2972,2675,2972,2400,HTP
2007-01-05,2959,2959,2959,2959,100,HTP
2007-01-08,2972,2972,2675,2791,5900,HTP
2007-01-09,2791,2791,2791,2791,0,HTP
2007-01-10,2714,2714,2520,2520,5100,HTP
2007-01-11,2597,2597,2520,2520,2400,HTP
2007-01-12,2714,2714,2520,2584,4600,HTP
2007-01-15,2882,2882,2584,2740,6900,HTP
2007-01-16,2908,2972,2908,2972,4500,HTP
2007-01-17,2972,3166,2972,3166,6800,HTP
2007-01-18,3037,3295,3037,3295,9400,HTP
2007-01-19,3463,3463,3360,3463,12000,HTP
2007-01-22,3786,3786,3554,3748,11600,HTP
2007-01-23,4006,4006,3373,3554,4700,HTP
2007-01-24,3631,3631,3386,3489,4300,HTP
2007-01-25,3618,3618,3360,3425,5800,HTP
2007-01-26,3437,3489,3360,3360,4200,HTP
2007-01-29,3231,3360,3231,3360,3400,HTP
2007-01-30,3360,3360,3166,3231,3900,HTP
2007-01-31,3231,3489,3231,3425,2500,HTP
2007-02-01,3257,3489,3166,3489,4800,HTP
2007-02-02,3425,3425,3360,3360,3300,HTP
2007-02-05,3334,3425,3334,3425,5000,HTP
2007-02-06,3257,3360,3166,3360,2800,HTP
2007-02-07,3347,3360,3347,3360,1100,HTP
2007-02-08,3334,3360,3334,3360,2700,HTP
2007-02-09,3360,3618,3360,3360,6500,HTP
2007-02-12,3399,3425,3166,3360,3300,HTP
2007-02-13,3295,3360,3295,3360,1500,HTP
2007-02-14,3373,3437,3360,3425,3100,HTP
2007-02-15,3502,3502,3489,3489,2000,HTP
2007-02-26,3838,3838,3618,3812,7300,HTP
2007-02-27,4187,4187,3618,3942,25500,HTP
2007-02-28,4265,4265,4006,4265,17100,HTP
2007-03-01,4368,4588,4071,4523,17300,HTP
2007-03-02,4872,4872,4627,4627,17900,HTP
2007-03-05,5221,5221,5182,5221,10200,HTP
2007-03-06,5738,5738,5738,5738,6800,HTP
2007-03-07,6307,6307,6307,6307,13800,HTP
2007-03-08,6927,6927,6927,6927,12400,HTP
2007-03-09,7612,7612,7612,7612,18800,HTP
2007-03-12,8362,8362,7754,7754,22000,HTP
2007-03-13,8271,8271,7496,7496,10200,HTP
2007-03-14,7367,7496,6927,6927,12600,HTP
2007-03-15,6307,6307,6307,6307,1900,HTP
2007-03-16,5686,6927,5686,6927,31800,HTP
2007-03-19,7031,7031,7031,7031,10600,HTP
2007-03-20,7728,7728,7728,7728,26100,HTP
2007-03-21,8491,8491,8491,8491,17000,HTP
2007-03-22,8491,8491,7754,7754,1000,HTP
2007-03-23,7211,7367,7211,7211,4100,HTP
2007-03-26,6552,6552,6552,6552,1500,HTP
2007-03-27,5906,5906,5906,5906,200,HTP
2007-03-28,5324,5816,5324,5816,21100,HTP
2007-03-29,5880,5880,5880,5880,700,HTP
2007-03-30,6462,6462,6268,6397,7700,HTP
2007-04-02,6436,6436,5945,5945,2300,HTP
2007-04-03,6617,6617,5609,5609,5600,HTP
2007-04-04,6074,6074,5816,5816,1100,HTP
2007-04-05,5945,5945,5816,5816,1900,HTP
2007-04-06,5686,5751,5686,5751,400,HTP
2007-04-09,5622,5622,5622,5622,700,HTP
2007-04-10,5622,5622,5079,5079,2400,HTP
2007-04-11,5105,5105,5014,5066,4100,HTP
2007-04-12,4911,4911,4536,4911,2300,HTP
2007-04-13,4924,4924,4691,4717,1300,HTP
2007-04-16,4523,4523,4252,4252,4400,HTP
2007-04-17,4084,4084,3916,3916,7900,HTP
2007-04-18,4006,4329,4006,4329,31100,HTP
2007-04-19,4743,4743,4743,4743,10400,HTP
2007-04-20,4652,4743,4652,4717,1100,HTP
2007-04-23,4652,4691,4652,4691,900,HTP
2007-04-24,4523,4523,4265,4394,9700,HTP
2007-04-25,4523,4588,4394,4394,3500,HTP
2007-05-02,4717,4756,4523,4523,7600,HTP
2007-05-03,4652,4691,4523,4523,2600,HTP
2007-05-04,4614,4691,4523,4523,4600,HTP
2007-05-07,4122,4717,4122,4652,500,HTP
2007-05-08,4756,4807,4717,4717,900,HTP
2007-05-09,4743,4782,4459,4523,4600,HTP
2007-05-10,4652,4652,4523,4549,1200,HTP
2007-05-11,4652,4652,4523,4523,600,HTP
2007-05-14,4652,4652,4523,4523,1500,HTP
2007-05-15,4394,4588,4394,4588,2400,HTP
2007-05-16,4523,4523,4523,4523,800,HTP
2007-05-17,4717,4717,4523,4523,800,HTP
2007-05-18,4782,5001,4717,5001,13400,HTP
2007-05-21,5363,5363,5363,5363,1700,HTP
2007-05-22,5893,5893,5893,5893,4800,HTP
2007-05-23,6475,6475,6009,6203,17200,HTP
2007-05-24,6940,6940,6320,6565,30100,HTP
2007-05-25,6565,6850,6462,6617,26900,HTP
