time,open,high,low,close,volume,ticker
2019-02-26,11185,11632,8948,8948,65860,HUB
2019-02-27,8366,8500,8321,8321,19140,HUB
2019-02-28,7740,7740,7740,7740,1390,HUB
2019-03-01,7203,7605,7203,7203,26370,HUB
2019-03-04,6800,7382,6800,6890,5050,HUB
2019-03-05,7158,7359,6845,7359,17170,HUB
2019-03-06,7784,7874,7784,7874,6980,HUB
2019-03-07,8030,8411,8030,8277,6820,HUB
2019-03-08,8366,8366,7829,8254,2770,HUB
2019-03-11,8187,8187,7695,8187,6880,HUB
2019-03-12,8053,8142,8053,8142,4000,HUB
2019-03-13,7628,8053,7605,7740,8170,HUB
2019-03-14,7829,7963,7605,7605,18170,HUB
2019-03-15,7605,7874,7605,7807,2790,HUB
2019-03-18,7605,8344,7605,8142,17230,HUB
2019-03-19,8142,8142,7919,8120,1730,HUB
2019-03-20,8165,8679,8053,8500,3200,HUB
2019-03-21,8500,8679,8500,8500,4070,HUB
2019-03-22,8590,8948,8500,8545,5650,HUB
2019-03-25,8098,8545,8008,8053,2900,HUB
2019-03-26,8500,8500,8277,8411,940,HUB
2019-03-27,8053,8411,8053,8277,410,HUB
2019-03-28,8500,8500,8053,8053,1550,HUB
2019-03-29,8411,8411,8411,8411,10,HUB
2019-04-01,8187,8411,8053,8187,10340,HUB
2019-04-02,8187,8187,8187,8187,150,HUB
2019-04-03,8277,8277,7628,8187,8530,HUB
2019-04-04,8277,8321,7650,7762,8710,HUB
2019-04-05,8187,8187,8187,8187,840,HUB
2019-04-08,7695,8187,7695,8187,2130,HUB
2019-04-09,8053,8053,7963,7963,1230,HUB
2019-04-10,7963,7963,7963,7963,10,HUB
2019-04-11,7941,8120,7874,8120,8040,HUB
2019-04-12,8120,8120,8120,8120,0,HUB
2019-04-16,7852,7852,7852,7852,3930,HUB
2019-04-17,7852,7852,7852,7852,0,HUB
2019-04-18,8030,8030,8030,8030,10,HUB
2019-04-19,7829,8030,7829,8030,3970,HUB
2019-04-22,7829,8030,7829,8030,30,HUB
2019-04-23,8030,8030,8030,8030,0,HUB
2019-04-24,8030,8030,8030,8030,0,HUB
2019-04-25,7628,7829,7471,7829,3030,HUB
