time,open,high,low,close,volume,ticker
2015-07-30,7129,9253,7125,7125,190300,HVA
2015-07-31,6481,6477,6477,6477,87200,HVA
2015-08-03,5832,6014,5829,5829,92300,HVA
2015-08-04,5277,6385,5274,6107,265700,HVA
2015-08-05,6111,6662,5829,6662,255600,HVA
2015-08-06,6573,6847,6385,6755,313100,HVA
2015-08-07,6481,7402,6292,6847,395900,HVA
2015-08-10,6573,6755,6199,6570,150700,HVA
2015-08-11,6481,6570,6199,6385,65400,HVA
2015-08-12,6295,6477,6107,6292,275400,HVA
2015-08-13,6295,6385,6014,6107,222300,HVA
2015-08-14,6110,6385,6014,6107,236900,HVA
2015-08-17,6017,6477,6014,6199,204200,HVA
2015-08-18,6017,6292,6014,6107,178200,HVA
2015-08-19,6111,6107,5552,5552,268500,HVA
2015-08-20,5463,5459,4997,4997,57600,HVA
2015-08-21,4536,4534,4534,4534,306500,HVA
2015-08-24,4166,4164,4164,4164,23800,HVA
2015-08-25,3889,3979,3794,3886,362900,HVA
2015-08-26,3518,4256,3516,4256,185200,HVA
2015-08-27,4258,4534,4164,4441,188300,HVA
2015-08-28,4352,4441,4071,4164,221500,HVA
2015-08-31,4166,4164,3794,3794,176400,HVA
2015-09-01,3795,4164,3794,4164,253400,HVA
2015-09-03,4258,4534,3979,4534,287200,HVA
2015-09-04,4443,4719,4349,4626,274200,HVA
2015-09-07,4258,4719,4164,4534,231200,HVA
2015-09-08,4536,4534,4256,4534,335600,HVA
2015-09-09,4352,4811,4349,4811,419100,HVA
2015-09-10,4814,4997,4626,4904,316000,HVA
2015-09-11,4907,4997,4719,4997,329900,HVA
2015-09-14,4907,5089,4811,4997,209100,HVA
2015-09-15,4722,4997,4719,4719,279900,HVA
2015-09-16,4352,4904,4349,4719,316700,HVA
2015-09-17,4629,4811,4349,4626,328600,HVA
2015-09-18,4536,5089,4534,5089,285600,HVA
2015-09-21,4907,5182,4811,4997,323600,HVA
2015-09-22,4722,5089,4719,5089,572400,HVA
2015-09-23,4998,5367,4904,5274,402900,HVA
2015-09-24,4998,5367,4904,5274,416500,HVA
2015-09-25,4998,5182,4811,5089,346000,HVA
2015-09-28,4999,5182,4997,4997,332600,HVA
2015-09-29,4907,4997,4719,4997,296800,HVA
2015-09-30,4999,5089,4904,4997,125000,HVA
2015-10-01,4907,5459,4904,5182,425500,HVA
2015-10-02,4998,5182,4904,5182,351900,HVA
2015-10-05,4998,5182,4997,5089,236900,HVA
2015-10-06,4998,5274,4997,5182,364200,HVA
2015-10-07,5092,5182,4997,5089,276300,HVA
2015-10-08,4999,5089,4811,4904,295500,HVA
2015-10-09,4907,4997,4811,4904,242700,HVA
2015-10-12,4722,5089,4719,5089,363200,HVA
2015-10-13,4998,5089,4904,5089,297200,HVA
2015-10-14,4907,5182,4904,5182,330900,HVA
2015-10-15,4998,5182,4811,5089,249100,HVA
2015-10-16,4907,5089,4811,5089,269300,HVA
2015-10-19,4907,5182,4904,5089,296700,HVA
2015-10-20,5093,5089,4904,4997,271900,HVA
2015-10-21,5092,5089,4904,5089,305700,HVA
2015-10-22,4907,5089,4904,5089,218400,HVA
2015-10-23,4907,5089,4904,4997,284900,HVA
2015-10-26,4814,4904,4719,4811,229600,HVA
2015-10-27,4722,4904,4719,4904,276900,HVA
2015-10-28,4722,4997,4626,4904,356300,HVA
2015-10-29,4907,5367,4904,5367,398800,HVA
2015-10-30,5463,5829,5459,5829,456700,HVA
2015-11-02,6387,6385,5829,6385,625900,HVA
