time,open,high,low,close,volume,ticker
2010-09-28,7625,8065,7625,7625,158600,HVX
2010-09-29,7331,7625,7258,7258,74130,HVX
2010-09-30,6965,6965,6965,6965,27370,HVX
2010-10-01,6672,6818,6672,6672,17910,HVX
2010-10-04,6672,6672,6378,6378,23160,HVX
2010-10-05,6085,6085,6085,6085,11100,HVX
2010-10-06,6012,6378,6012,6378,33670,HVX
2010-10-07,6378,6598,6305,6598,16240,HVX
2010-10-08,6452,6598,6305,6305,2360,HVX
2010-10-11,6012,6598,6012,6598,5450,HVX
2010-10-12,6305,6598,6305,6305,16170,HVX
2010-10-13,6158,6305,6012,6305,48680,HVX
2010-10-14,6012,6305,6012,6012,54670,HVX
2010-10-15,5865,6012,5792,5792,13990,HVX
2010-10-18,5938,5938,5572,5572,10820,HVX
2010-10-19,5572,5572,5352,5425,25270,HVX
2010-10-20,5425,5425,5205,5205,33610,HVX
2010-10-21,5205,5205,4985,5132,17620,HVX
2010-10-22,5132,5205,5132,5132,5260,HVX
2010-10-25,5132,5278,5059,5132,9530,HVX
2010-10-26,5205,5352,5132,5352,28270,HVX
2010-10-27,5352,5498,5132,5205,4690,HVX
2010-10-28,5059,5205,5059,5205,5630,HVX
2010-10-29,5132,5205,4985,4985,26010,HVX
2010-11-01,4839,4985,4765,4839,8520,HVX
2010-11-02,4839,4839,4765,4765,8620,HVX
2010-11-03,4692,4765,4545,4545,14030,HVX
2010-11-04,4545,4692,4545,4692,4100,HVX
2010-11-05,4692,4912,4692,4839,14810,HVX
2010-11-08,4839,4839,4619,4619,11960,HVX
2010-11-09,4619,4619,4545,4545,6890,HVX
2010-11-10,4472,4545,4399,4399,5600,HVX
2010-11-11,4545,4545,4399,4472,2920,HVX
2010-11-12,4472,4472,4252,4252,30840,HVX
2010-11-15,4252,4325,4105,4325,16380,HVX
2010-11-16,4325,4325,4179,4179,9960,HVX
2010-11-17,4325,4325,4105,4105,9690,HVX
2010-11-18,4105,4252,4105,4252,5460,HVX
2010-11-19,4399,4399,4252,4399,42470,HVX
2010-11-22,4399,4472,4325,4472,22230,HVX
2010-11-23,4399,4692,4399,4692,26710,HVX
2010-11-24,4765,4912,4692,4912,16600,HVX
2010-11-25,5059,5132,4912,4985,15830,HVX
2010-11-26,5059,5059,4765,4839,16310,HVX
2010-11-29,4839,4912,4839,4839,8000,HVX
2010-11-30,5059,5059,4912,4985,34300,HVX
2010-12-01,4985,5132,4985,4985,21020,HVX
2010-12-02,4985,5132,4912,4985,21140,HVX
2010-12-03,5059,5205,4985,5205,45130,HVX
2010-12-06,5205,5278,4985,5205,30760,HVX
2010-12-07,5352,5352,5132,5205,10730,HVX
2010-12-08,4985,5205,4985,4985,16980,HVX
2010-12-09,4985,4985,4985,4985,200,HVX
2010-12-10,5132,5132,4912,4912,10410,HVX
2010-12-13,5059,5132,5059,5132,69030,HVX
2010-12-14,5132,5132,4985,5059,8170,HVX
2010-12-15,5059,5059,4839,4839,31320,HVX
2010-12-16,4619,4985,4619,4692,5120,HVX
2010-12-17,4545,4912,4545,4912,2230,HVX
2010-12-20,5132,5132,4765,4765,4590,HVX
2010-12-21,4765,4912,4765,4912,16220,HVX
2010-12-22,4912,4912,4912,4912,31580,HVX
2010-12-23,4912,4912,4839,4839,22130,HVX
2010-12-24,4912,4912,4839,4912,57830,HVX
2010-12-27,5132,5132,4839,4912,5260,HVX
2010-12-28,4839,4985,4839,4985,17610,HVX
2010-12-29,4912,5059,4912,4985,73020,HVX
2010-12-30,4765,5059,4765,4839,16920,HVX
2010-12-31,4912,5059,4765,5059,1720,HVX
2011-01-04,4985,5132,4985,5059,37530,HVX
2011-01-05,4985,5059,4985,5059,54900,HVX
2011-01-06,4839,5059,4839,4985,87380,HVX
2011-01-07,5059,5059,4765,4765,19540,HVX
2011-01-10,4839,4985,4692,4985,10580,HVX
2011-01-11,4839,4985,4839,4985,3210,HVX
2011-01-12,4765,5059,4765,4985,32930,HVX
2011-01-13,4985,5059,4985,5059,630,HVX
2011-01-14,5059,5059,4839,4912,5260,HVX
2011-01-17,4985,4985,4839,4985,2730,HVX
2011-01-18,4985,4985,4839,4839,14210,HVX
2011-01-19,4839,4912,4765,4912,5890,HVX
2011-01-20,4912,4912,4839,4839,420,HVX
2011-01-21,4692,4839,4692,4765,11590,HVX
2011-01-24,4765,4765,4619,4619,54620,HVX
2011-01-25,4839,4839,4472,4839,2630,HVX
2011-01-26,4765,4839,4765,4839,210,HVX
2011-01-27,4839,4839,4692,4692,70,HVX
2011-01-28,4619,4765,4545,4619,1870,HVX
2011-02-08,4619,4765,4619,4765,8010,HVX
2011-02-09,4545,4912,4545,4912,600,HVX
2011-02-10,4765,4912,4692,4692,1880,HVX
2011-02-11,4912,4912,4545,4839,11760,HVX
2011-02-14,4985,4985,4619,4765,11610,HVX
2011-02-15,4692,4765,4692,4692,200,HVX
2011-02-16,4619,4692,4619,4692,270,HVX
2011-02-17,4692,4692,4619,4619,11950,HVX
2011-02-18,4545,4619,4545,4545,10000,HVX
2011-02-21,4765,4765,4325,4325,1150,HVX
2011-02-22,4399,4472,4179,4472,7420,HVX
2011-02-23,4472,4692,4472,4472,2430,HVX
2011-02-24,4472,4545,4399,4399,5170,HVX
2011-02-25,4399,4399,4399,4399,900,HVX
2011-02-28,4252,4399,4179,4325,6480,HVX
2011-03-01,4325,4325,4325,4325,1710,HVX
2011-03-02,4179,4325,4179,4325,4100,HVX
2011-03-03,4179,4325,4179,4325,110,HVX
2011-03-04,4399,4399,4325,4399,660,HVX
2011-03-07,4472,4472,4399,4399,80,HVX
2011-03-08,4399,4399,4399,4399,0,HVX
2011-03-09,4179,4399,4179,4325,190,HVX
2011-03-10,4252,4399,4252,4399,2200,HVX
2011-03-11,4472,4545,4399,4545,11180,HVX
2011-03-14,4692,4692,4399,4399,8680,HVX
