time,open,high,low,close,volume,ticker
2006-10-17,46635,46635,46635,46635,132580,IFS
2006-10-18,44303,44303,44303,44303,76330,IFS
2006-10-19,44303,44769,44303,44769,140620,IFS
2006-10-20,44769,45329,44769,45329,60500,IFS
2006-10-23,45329,45329,44769,44769,60620,IFS
2006-10-24,44210,44210,43836,43836,25990,IFS
2006-10-25,43836,43836,42904,42904,28900,IFS
2006-10-26,41971,41971,41971,41971,87390,IFS
2006-10-27,42344,42344,41971,41971,11370,IFS
2006-10-30,41971,41971,41505,41505,41920,IFS
2006-10-31,41971,41971,41505,41505,16800,IFS
2006-11-01,41505,41505,41411,41411,19540,IFS
2006-11-02,41318,41318,41038,41038,32970,IFS
2006-11-03,40572,40572,40292,40292,23800,IFS
2006-11-06,40106,40106,40106,40106,37690,IFS
2006-11-07,40572,40852,40572,40852,40400,IFS
2006-11-08,40945,40945,40665,40665,16740,IFS
2006-11-09,40199,40665,40199,40665,23300,IFS
2006-11-10,40106,40385,40106,40385,18760,IFS
2006-11-13,40106,40106,40012,40012,1920,IFS
2006-11-14,39173,40106,39173,40106,68080,IFS
2006-11-15,42064,42064,41038,41038,79280,IFS
2006-11-16,41038,41038,40572,41038,17400,IFS
2006-11-17,41038,41038,41038,41038,8600,IFS
2006-11-20,41038,41038,40106,40106,20000,IFS
2006-11-21,38800,38800,38707,38707,51090,IFS
2006-11-22,38240,38986,38240,38986,18350,IFS
2006-11-23,38707,40759,38707,40759,37430,IFS
2006-11-24,42531,42531,41971,41971,47600,IFS
2006-11-27,41038,41038,40106,40106,17340,IFS
2006-11-28,40199,40199,40106,40106,27410,IFS
2006-11-29,40106,40106,39173,39173,21170,IFS
2006-11-30,38707,39173,38707,39173,18050,IFS
2006-12-01,40012,40012,39639,39639,11400,IFS
2006-12-04,39639,39639,39173,39173,52810,IFS
2006-12-05,38707,38707,38707,38707,19280,IFS
2006-12-06,39173,39173,38240,38240,25980,IFS
2006-12-07,38240,39173,38240,39173,51020,IFS
2006-12-08,41038,41038,41038,41038,7600,IFS
2006-12-11,41505,41505,40106,40106,36360,IFS
2006-12-12,39173,40106,39173,40106,57300,IFS
2006-12-13,40106,40106,38800,38800,45690,IFS
2006-12-14,38893,38893,38893,38893,39030,IFS
2006-12-15,39173,39639,39173,39639,46090,IFS
2006-12-18,40572,40572,39826,39826,41100,IFS
2006-12-19,39826,39826,39639,39639,13370,IFS
2006-12-20,39173,39173,39173,39173,17320,IFS
2006-12-21,38893,38893,37214,37214,28370,IFS
2006-12-22,36841,38893,36841,38893,33820,IFS
2006-12-25,38893,40106,38893,40106,25270,IFS
2006-12-26,40106,40106,39919,39919,27120,IFS
2006-12-27,39919,39919,39173,39173,14020,IFS
