time,open,high,low,close,volume,ticker
2010-06-03,3631,3631,3631,3631,0,IHK
2010-06-04,3631,3631,3631,3631,0,IHK
2010-06-07,3631,3631,3631,3631,0,IHK
2010-06-08,3631,3631,3631,3631,0,IHK
2010-06-09,3631,3631,3631,3631,0,IHK
2010-06-10,3631,3631,3631,3631,0,IHK
2010-06-11,3631,3631,3631,3631,0,IHK
2010-06-14,3631,3631,3631,3631,0,IHK
2010-06-15,3631,3631,3631,3631,0,IHK
2010-06-16,3631,3631,3631,3631,0,IHK
2010-06-17,3631,3631,3631,3631,0,IHK
2010-06-18,3631,3631,3631,3631,0,IHK
2010-06-21,3631,3631,3631,3631,0,IHK
2010-06-22,3631,3631,3631,3631,0,IHK
2010-06-23,3631,3631,3631,3631,0,IHK
2010-06-24,3631,3631,3631,3631,0,IHK
2010-06-25,3631,3631,3631,3631,0,IHK
2010-06-28,3631,3631,3631,3631,0,IHK
2010-06-29,3631,3631,3631,3631,0,IHK
2010-06-30,3631,3631,3631,3631,0,IHK
2010-07-01,3631,3631,3631,3631,0,IHK
2010-07-02,3631,3631,3631,3631,0,IHK
2010-07-05,3279,3411,3279,3367,17000,IHK
2010-07-06,3058,3301,3058,3301,22700,IHK
2010-07-07,3191,3191,3191,3191,1800,IHK
2010-07-08,3213,3213,2882,2882,3100,IHK
2010-07-09,3191,3191,3191,3191,0,IHK
2010-07-12,3499,3499,3499,3499,1810,IHK
2010-07-13,3521,3807,3521,3741,2290,IHK
2010-07-14,3961,3961,3961,3961,100,IHK
2010-07-15,3961,4357,3631,3631,940,IHK
2010-07-16,4313,4313,4313,4313,160,IHK
2010-07-19,3895,3895,3895,3895,9600,IHK
2010-07-20,3851,3851,3741,3741,2500,IHK
2010-07-21,3829,3829,3741,3741,700,IHK
2010-07-22,3719,3719,3719,3719,4100,IHK
2010-07-23,3543,3543,3521,3521,500,IHK
2010-07-26,3521,3521,3521,3521,1300,IHK
2010-07-27,3521,3521,3521,3521,500,IHK
2010-07-28,3521,3521,3521,3521,900,IHK
2010-07-29,3521,3521,3411,3411,1100,IHK
2010-07-30,3477,3477,3389,3389,600,IHK
2010-08-02,3433,3433,3433,3433,0,IHK
2010-08-03,3301,3301,3103,3103,2200,IHK
2010-08-04,3169,3389,3191,3389,2500,IHK
2010-08-05,3521,3521,3499,3499,1100,IHK
2010-08-06,3521,3521,3521,3521,0,IHK
2010-08-09,3741,3741,3741,3741,1000,IHK
2010-08-10,4071,4071,4071,4071,1000,IHK
2010-08-11,4467,4467,3675,3675,4700,IHK
2010-08-12,3477,3851,3851,3851,0,IHK
2010-08-13,3807,3807,3477,3477,4000,IHK
2010-08-16,3323,3323,3301,3301,1100,IHK
2010-08-17,3301,3301,3301,3301,0,IHK
2010-08-18,3301,3301,3301,3301,0,IHK
2010-08-19,3301,3301,3301,3301,0,IHK
2010-08-20,3301,3521,3499,3499,2100,IHK
2010-08-23,3586,3586,3586,3586,100,IHK
2010-08-24,3898,3898,3898,3898,100,IHK
2010-08-25,4262,4262,4262,4262,100,IHK
2010-08-26,4262,4262,4262,4262,0,IHK
2010-08-27,4262,4262,4262,4262,0,IHK
2010-08-30,4262,4262,4262,4262,0,IHK
2010-08-31,4262,4262,4262,4262,0,IHK
2010-09-01,3846,3846,3846,3846,100,IHK
2010-09-06,3483,3483,3483,3483,100,IHK
2010-09-07,3820,3820,3379,3379,6600,IHK
2010-09-08,3093,3353,3041,3353,900,IHK
2010-09-09,3379,3379,3119,3119,5100,IHK
2010-09-10,3171,3171,3171,3171,0,IHK
2010-09-13,2885,2885,2859,2859,400,IHK
2010-09-14,2729,2729,2729,2729,500,IHK
2010-09-15,2625,2729,2625,2729,500,IHK
2010-09-16,2677,2677,2677,2677,0,IHK
2010-09-17,2417,2937,2417,2937,3100,IHK
2010-09-20,2599,2599,2599,2599,4100,IHK
2010-09-21,2859,2859,2729,2729,300,IHK
2010-09-22,2781,2781,2781,2781,0,IHK
2010-09-23,2781,2781,2781,2781,0,IHK
2010-09-24,2729,2729,2729,2729,1900,IHK
2010-09-27,2729,2729,2729,2729,1300,IHK
2010-09-28,2729,2729,2729,2729,0,IHK
2010-09-29,2729,2729,2729,2729,0,IHK
2010-09-30,2729,2729,2729,2729,0,IHK
2010-10-01,2729,2729,2729,2729,0,IHK
2010-10-04,2729,2729,2729,2729,0,IHK
2010-10-05,2729,2729,2729,2729,0,IHK
2010-10-06,2625,2625,2625,2625,100,IHK
2010-10-07,2625,2625,2625,2625,0,IHK
2010-10-08,2599,2599,2599,2599,200,IHK
2010-10-11,2599,2599,2599,2599,0,IHK
2010-10-12,2495,2495,2495,2495,100,IHK
2010-10-13,2261,2261,2261,2261,100,IHK
2010-10-14,2469,2469,2469,2469,100,IHK
2010-10-15,2469,2469,2235,2235,300,IHK
2010-10-18,2105,2105,2105,2105,100,IHK
2010-10-19,2313,2313,2313,2313,1300,IHK
2010-10-20,2339,2339,2339,2339,700,IHK
2010-10-21,2105,2105,2105,2105,100,IHK
2010-10-22,2105,2105,2105,2105,0,IHK
2010-10-25,2313,2313,2313,2313,3600,IHK
2010-10-26,2105,2521,2105,2339,1500,IHK
2010-10-27,2235,2677,2235,2599,300,IHK
2010-10-28,2365,2365,2365,2365,100,IHK
