time,open,high,low,close,volume,ticker
2017-11-28,12202,12202,12202,12202,40000,ILA
2017-11-29,13978,13978,13978,13978,100,ILA
2017-11-30,16063,16063,12202,12202,49600,ILA
2017-12-01,13901,13901,12279,12279,45300,ILA
2017-12-04,12202,12202,12125,12125,3500,ILA
2017-12-05,12125,12125,12047,12047,2600,ILA
2017-12-06,12047,12047,11893,11970,8100,ILA
2017-12-07,11970,11970,11970,11970,1000,ILA
2017-12-08,12047,12279,12047,12047,107000,ILA
2017-12-11,12125,12279,12047,12125,84900,ILA
2017-12-12,11970,12202,11970,12202,26000,ILA
2017-12-13,12202,13592,12125,12202,74210,ILA
2017-12-14,12125,12125,12047,12125,11800,ILA
2017-12-15,12125,12125,11893,12047,90000,ILA
2017-12-18,11970,12202,11893,12202,133200,ILA
2017-12-19,12047,12279,11970,12125,83700,ILA
2017-12-20,12202,12202,12202,12202,3500,ILA
2017-12-21,12047,12202,12047,12125,52000,ILA
2017-12-22,12202,12202,12202,12202,10400,ILA
2017-12-25,12125,12202,12125,12125,8100,ILA
2017-12-26,12125,12125,12047,12047,19900,ILA
2017-12-27,12125,12279,11970,12279,18300,ILA
2017-12-28,12125,12125,12125,12125,7800,ILA
2017-12-29,12047,12125,11893,12125,11100,ILA
2018-01-02,12047,12047,11893,11970,10600,ILA
2018-01-03,11970,11970,11738,11816,12800,ILA
2018-01-04,12047,12047,11584,12047,20800,ILA
2018-01-05,11738,11738,11738,11738,0,ILA
2018-01-08,11738,11738,11738,11738,0,ILA
2018-01-09,11893,11893,10039,10117,137500,ILA
2018-01-10,10194,10348,10194,10348,14200,ILA
2018-01-11,10271,10271,10271,10271,13500,ILA
2018-01-12,10271,10271,9267,10271,3100,ILA
2018-01-15,9730,10425,9730,10425,4900,ILA
2018-01-16,10271,10271,10271,10271,100,ILA
2018-01-17,9267,11198,9267,11198,3680,ILA
2018-01-18,9421,9653,9421,9653,14500,ILA
2018-01-19,9421,9421,9421,9421,0,ILA
2018-01-22,10812,10812,9808,9808,5200,ILA
2018-01-23,10657,10657,9808,9808,410,ILA
2018-01-24,10425,10425,10425,10425,109,ILA
2018-01-25,10425,10425,10425,10425,0,ILA
2018-01-26,9885,9885,9885,9885,502,ILA
2018-01-29,9885,10425,9885,10425,1710,ILA
2018-01-30,10194,10194,10194,10194,5,ILA
2018-01-31,10425,10425,10425,10425,1100,ILA
2018-02-01,9885,9885,9885,9885,1500,ILA
2018-02-02,10194,10194,10194,10194,110,ILA
2018-02-05,10194,10194,10194,10194,0,ILA
2018-02-06,10194,10194,10194,10194,10,ILA
2018-02-07,10194,10194,10194,10194,41,ILA
2018-02-08,10194,10194,10194,10194,30,ILA
2018-02-09,10194,10194,10194,10194,1500,ILA
2018-02-12,10194,10194,10194,10194,0,ILA
2018-02-13,10348,10425,10348,10348,3030,ILA
2018-02-21,10580,10580,8881,10580,6200,ILA
2018-02-22,10503,10503,8881,9267,18110,ILA
2018-02-23,10425,10425,10348,10348,200,ILA
2018-02-26,10425,10425,10425,10425,0,ILA
2018-02-27,10039,10039,10039,10039,3000,ILA
2018-02-28,10425,10425,9885,9885,7200,ILA
2018-03-01,9267,9267,8804,8881,8200,ILA
2018-03-02,7722,7722,7722,7722,15010,ILA
2018-03-05,7722,7722,6950,6950,12100,ILA
2018-03-06,6950,8881,6950,8881,20400,ILA
2018-03-07,8881,8881,8881,8881,210,ILA
2018-03-08,10039,10039,10039,10039,200,ILA
2018-03-09,8572,8572,8572,8572,200,ILA
2018-03-12,9808,9808,9808,9808,100,ILA
2018-03-13,9808,9808,9808,9808,0,ILA
2018-03-14,9808,9808,9808,9808,0,ILA
2018-03-15,9885,9885,9808,9808,2600,ILA
2018-03-16,9885,9885,9885,9885,0,ILA
2018-03-19,9885,9885,9885,9885,0,ILA
2018-03-20,9885,9885,9885,9885,0,ILA
2018-03-21,8418,8495,8418,8418,4400,ILA
2018-03-22,9576,9576,9576,9576,130,ILA
2018-03-23,9576,9576,9576,9576,0,ILA
2018-03-26,9576,9576,9576,9576,0,ILA
2018-03-27,9576,9576,9576,9576,10,ILA
2018-03-28,9267,10039,9267,10039,200,ILA
2018-03-29,9653,9653,9653,9653,0,ILA
2018-03-30,9653,9653,9653,9653,0,ILA
2018-04-02,8263,9962,8263,9962,10100,ILA
2018-04-03,8263,8263,8263,8263,7000,ILA
2018-04-04,8263,8263,8263,8263,0,ILA
2018-04-05,7259,9499,7182,9499,3500,ILA
2018-04-06,8418,8418,8418,8418,1000,ILA
2018-04-09,7877,9267,7800,9267,600,ILA
2018-04-10,7722,8109,7722,8109,800,ILA
2018-04-11,7877,9035,7877,9035,300,ILA
2018-04-12,8263,8263,8263,8263,0,ILA
2018-04-13,7105,7568,7027,7027,23500,ILA
2018-04-16,7645,7645,7645,7645,500,ILA
2018-04-17,7568,8726,7568,8109,2400,ILA
2018-04-18,7568,9344,7568,9344,700,ILA
2018-04-19,7722,8186,7722,8186,200,ILA
2018-04-20,7954,7954,7954,7954,0,ILA
2018-04-23,6873,6873,6796,6796,4200,ILA
2018-04-24,7568,7722,7568,7722,400,ILA
2018-04-26,7722,7722,7722,7722,0,ILA
2018-04-27,6641,6873,6564,6564,3800,ILA
2018-05-02,5714,7491,5714,7182,56800,ILA
2018-05-03,5097,6410,5019,6410,57900,ILA
2018-05-04,5714,5792,5714,5792,9200,ILA
2018-05-07,6564,6641,6255,6641,13000,ILA
2018-05-08,7414,7414,6796,6796,5000,ILA
2018-05-09,7336,7414,6873,7336,2600,ILA
2018-05-10,6564,6564,6564,6564,2500,ILA
2018-05-11,6564,6564,6487,6487,1300,ILA
2018-05-14,7105,7105,7105,7105,100,ILA
2018-05-15,7336,7722,7259,7491,3000,ILA
2018-05-16,7722,7722,7722,7722,100,ILA
2018-05-17,8109,8109,8109,8109,100,ILA
2018-05-18,8418,8418,8186,8186,400,ILA
2018-05-21,7027,7027,7027,7027,65400,ILA
2018-05-22,6950,7027,6950,7027,1600,ILA
2018-05-23,6178,6950,6023,6950,1500,ILA
2018-05-24,6564,6564,6564,6564,0,ILA
2018-05-25,5637,6873,5637,6873,200,ILA
2018-05-28,6023,6023,5869,5869,2000,ILA
2018-05-29,6796,6796,6796,6796,100,ILA
2018-05-30,7645,7645,7645,7645,100,ILA
2018-05-31,7722,7722,6950,6950,2300,ILA
2018-06-01,7027,7027,7027,7027,0,ILA
2018-06-04,7027,7027,7027,7027,0,ILA
2018-06-05,6178,6178,6023,6023,2100,ILA
2018-06-06,6564,6564,6564,6564,100,ILA
2018-06-07,7414,7414,7414,7414,100,ILA
2018-06-08,8263,8263,8186,8186,200,ILA
2018-06-11,8263,8263,8263,8263,0,ILA
2018-06-12,8263,8263,8263,8263,0,ILA
2018-06-13,7027,7027,7027,7027,100,ILA
2018-06-14,7645,8031,6178,6178,1500,ILA
2018-06-15,6564,6564,6564,6564,0,ILA
2018-06-18,6101,6101,5869,5869,151700,ILA
2018-06-19,6487,6487,6487,6487,100,ILA
2018-06-20,7182,7182,7182,7182,100,ILA
2018-06-21,6178,6178,6178,6178,41200,ILA
2018-06-22,6564,6564,5483,5483,14000,ILA
2018-06-25,5483,6487,4865,5714,62800,ILA
2018-06-26,6564,6564,5406,5406,1900,ILA
2018-06-27,6101,6101,6101,6101,100,ILA
2018-06-28,5406,5406,5251,5251,5500,ILA
2018-06-29,5560,5560,5406,5406,3300,ILA
2018-07-02,5019,5019,4788,4788,11100,ILA
2018-07-03,5328,5406,5328,5406,200,ILA
2018-07-04,4710,5406,4633,4633,14900,ILA
2018-07-05,4093,5097,4093,5097,17500,ILA
2018-07-06,4942,4942,4942,4942,0,ILA
2018-07-09,5251,5251,4247,4247,10900,ILA
2018-07-10,4633,4633,4633,4633,100,ILA
2018-07-11,4633,4942,3938,3938,12000,ILA
2018-07-12,4479,4479,4479,4479,100,ILA
2018-07-13,4479,4479,4479,4479,1400,ILA
2018-07-16,4170,4170,4170,4170,800,ILA
2018-07-17,4324,4402,4324,4402,200,ILA
2018-07-18,4402,4402,3861,3861,9000,ILA
2018-07-19,3861,3861,3861,3861,1200,ILA
2018-07-20,3861,4402,3861,4402,2700,ILA
2018-07-23,4247,4402,3861,4402,46300,ILA
2018-07-24,4015,4633,3861,4633,51300,ILA
2018-07-25,4015,4324,3552,3552,55100,ILA
2018-07-26,3861,4247,3552,3861,57900,ILA
2018-07-27,4015,4247,3861,4093,18400,ILA
2018-07-30,3938,4093,3938,3938,31600,ILA
2018-07-31,3938,3938,3861,3861,14500,ILA
2018-08-01,3861,3861,3861,3861,4500,ILA
2018-08-02,3784,3861,3707,3707,15600,ILA
2018-08-03,3552,3938,3475,3938,12400,ILA
2018-08-06,3629,3938,3629,3938,13300,ILA
2018-08-07,4015,4093,4015,4093,2700,ILA
2018-08-08,3861,4093,3784,4093,14100,ILA
2018-08-09,3861,4247,3861,4170,2220,ILA
2018-08-10,4247,4247,4093,4247,4500,ILA
2018-08-13,3861,4170,3784,4170,1400,ILA
2018-08-14,4093,4170,3784,4170,8800,ILA
2018-08-15,4015,4093,3938,4093,11300,ILA
2018-08-16,4324,4324,3861,3861,2000,ILA
2018-08-17,4093,4170,4093,4170,2240,ILA
2018-08-20,3861,3861,3784,3784,4700,ILA
2018-08-21,3861,3861,3784,3861,900,ILA
2018-08-22,3861,3861,3861,3861,23800,ILA
2018-08-23,3861,3861,3629,3629,16300,ILA
2018-08-24,3861,3861,3784,3784,10000,ILA
2018-08-27,3784,3861,3707,3861,4000,ILA
2018-08-28,3938,3938,3938,3938,200,ILA
2018-08-29,3861,3938,3861,3938,6900,ILA
2018-08-30,3938,3938,3938,3938,100,ILA
2018-08-31,3938,3938,3938,3938,100,ILA
2018-09-04,3707,3707,3707,3707,15000,ILA
2018-09-05,3861,3861,3707,3707,13700,ILA
2018-09-06,3475,3707,3166,3707,8000,ILA
2018-09-07,3707,3784,3552,3784,27400,ILA
2018-09-10,4247,4247,4247,4247,4000,ILA
2018-09-11,4865,4865,4865,4865,8800,ILA
2018-09-12,5560,5560,5560,5560,700,ILA
2018-09-13,6332,6332,6332,6332,110210,ILA
2018-09-14,6873,6873,5560,6101,33720,ILA
2018-09-17,5946,5946,5251,5251,13500,ILA
2018-09-18,5792,5946,5097,5869,33206,ILA
2018-09-19,5097,5792,5097,5251,22200,ILA
2018-09-20,5406,5406,5019,5406,2500,ILA
2018-09-21,5328,5328,4633,4710,17200,ILA
2018-09-24,4865,5406,4865,5406,24100,ILA
2018-09-25,5560,5792,5560,5792,4000,ILA
2018-09-26,5869,5869,5637,5637,37500,ILA
2018-09-27,5637,5714,5328,5328,25500,ILA
2018-09-28,5328,5714,5328,5714,33604,ILA
2018-10-01,5483,5869,5483,5483,6502,ILA
2018-10-02,5714,5869,5406,5406,15900,ILA
2018-10-03,5406,5637,5406,5560,25520,ILA
2018-10-04,5560,5714,5097,5097,77909,ILA
2018-10-05,5560,5560,5560,5560,3000,ILA
2018-10-08,5406,5483,5406,5406,9400,ILA
2018-10-09,5560,5560,5097,5406,59800,ILA
2018-10-10,5406,5406,5328,5328,4300,ILA
2018-10-11,5328,5328,4865,5328,73720,ILA
2018-10-12,5962,5962,5045,5412,8000,ILA
2018-10-15,5320,5962,5320,5962,3300,ILA
2018-10-16,5687,5687,5687,5687,208,ILA
2018-10-17,5962,5962,5595,5595,300,ILA
2018-10-18,5136,5136,5045,5045,3500,ILA
2018-10-19,5503,5503,4494,5503,3500,ILA
2018-10-22,4861,4861,4861,4861,300,ILA
2018-10-23,4861,4861,4769,4861,2100,ILA
2018-10-24,4861,4861,4861,4861,510,ILA
2018-10-25,4311,4311,4219,4219,6000,ILA
2018-10-26,4219,4769,4127,4127,7000,ILA
2018-10-29,4311,4311,4311,4311,500,ILA
2018-10-30,3852,4678,3852,4678,13400,ILA
2018-10-31,4311,4586,4311,4586,13600,ILA
2018-11-01,3944,3944,3944,3944,700,ILA
2018-11-02,3852,4403,3669,3669,3700,ILA
2018-11-05,4403,4403,3944,3944,2600,ILA
2018-11-06,4586,4586,4311,4494,800,ILA
2018-11-07,4311,4586,4219,4219,2600,ILA
2018-11-08,4219,4494,4219,4494,700,ILA
2018-11-09,4586,4586,3852,4311,7000,ILA
2018-11-12,3944,4219,3669,3669,20100,ILA
2018-11-13,3944,3944,3669,3669,7100,ILA
2018-11-14,3760,3760,3760,3760,4000,ILA
2018-11-15,3760,3944,3760,3852,1500,ILA
2018-11-16,3852,3852,3852,3852,810,ILA
2018-11-19,3852,3852,3760,3852,2000,ILA
2018-11-20,3852,3852,3669,3669,3300,ILA
2018-11-21,3944,4127,3852,4127,3500,ILA
2018-11-22,4036,4036,4036,4036,1700,ILA
2018-11-23,4127,4127,4127,4127,400,ILA
2018-11-26,4127,4127,4127,4127,0,ILA
2018-11-27,3852,4127,3852,4127,600,ILA
2018-11-28,3760,3852,3760,3852,5400,ILA
2018-11-29,3944,4036,3944,4036,400,ILA
2018-11-30,4036,4036,3760,3760,500,ILA
2018-12-03,3944,4127,3944,4036,1300,ILA
2018-12-04,4036,4036,4036,4036,216,ILA
2018-12-05,4036,4036,4036,4036,0,ILA
2018-12-06,4127,4219,3760,3760,2900,ILA
2018-12-07,3944,3944,3944,3944,900,ILA
2018-12-10,3944,3944,3944,3944,0,ILA
2018-12-11,4127,4127,3760,3760,1800,ILA
2018-12-12,3852,3852,3760,3852,2400,ILA
2018-12-13,3852,3852,3852,3852,0,ILA
2018-12-14,3944,3944,3577,3760,37660,ILA
2018-12-17,3669,3852,3577,3669,9128,ILA
2018-12-18,3669,3669,3485,3577,16210,ILA
2018-12-19,3485,3577,3485,3577,900,ILA
2018-12-20,3577,3577,3577,3577,0,ILA
2018-12-21,3577,3577,3118,3302,2900,ILA
2018-12-24,3485,3577,3210,3302,14900,ILA
2018-12-25,3302,3302,2935,3302,9210,ILA
2018-12-26,3210,3210,2843,2843,5238,ILA
2018-12-27,3210,3302,3210,3210,2100,ILA
2018-12-28,3027,3118,2935,3118,10000,ILA
2019-01-02,2935,2935,2751,2751,19661,ILA
2019-01-03,2751,2751,2660,2751,22400,ILA
2019-01-04,2660,2751,2660,2751,8000,ILA
2019-01-07,2751,3118,2751,3027,10700,ILA
2019-01-08,3118,3210,3118,3210,62537,ILA
2019-01-09,3302,3302,2751,3118,15462,ILA
2019-01-10,3302,3302,3118,3302,7400,ILA
2019-01-11,3210,3302,3210,3210,10400,ILA
2019-01-14,3210,3302,2751,2843,27040,ILA
2019-01-15,3118,3210,3118,3210,2100,ILA
2019-01-16,3118,3118,3118,3118,0,ILA
2019-01-17,3118,3118,2935,3027,6680,ILA
2019-01-18,3027,3027,3027,3027,400,ILA
2019-01-21,3027,3027,2935,2935,9100,ILA
2019-01-22,2843,3118,2660,3027,40100,ILA
2019-01-23,2935,3027,2751,2751,7100,ILA
2019-01-24,3027,3118,2935,3118,14600,ILA
2019-01-25,2935,2935,2935,2935,13700,ILA
2019-01-28,3027,3027,2935,2935,33800,ILA
2019-01-29,2935,2935,2935,2935,0,ILA
2019-01-30,2843,2843,2843,2843,3000,ILA
2019-01-31,3027,3118,3027,3118,1600,ILA
2019-02-01,3027,3027,2935,2935,4600,ILA
2019-02-11,2935,2935,2935,2935,1100,ILA
2019-02-12,3118,3118,2935,2935,10164,ILA
2019-02-13,3118,3118,2843,2935,34500,ILA
2019-02-14,2843,2843,2751,2751,24100,ILA
2019-02-15,2935,2935,2843,2843,7100,ILA
2019-02-18,2935,2935,2660,2660,3800,ILA
2019-02-19,2935,2935,2660,2660,22500,ILA
2019-02-20,2843,2935,2843,2935,10700,ILA
2019-02-21,2935,2935,2935,2935,0,ILA
