time,open,high,low,close,volume,ticker
2017-01-05,12478,12478,8982,8982,14300,IST
2017-01-06,9344,9645,9344,9645,5400,IST
2017-01-09,9645,10730,9645,10730,400,IST
2017-01-10,9705,9705,9645,9645,6000,IST
2017-01-11,9705,9766,9645,9766,5000,IST
2017-01-12,9705,9705,9705,9705,0,IST
2017-01-13,9645,9766,9645,9766,1300,IST
2017-01-16,9705,9705,9705,9705,0,IST
2017-01-17,9766,9946,9766,9946,1000,IST
2017-01-18,9886,9886,9886,9886,0,IST
2017-01-19,9886,9886,9886,9886,0,IST
2017-01-20,9886,9886,9886,9886,0,IST
2017-01-23,9886,9886,9886,9886,0,IST
2017-01-24,11333,11333,11333,11333,500,IST
2017-01-25,9645,9705,9645,9645,1100,IST
2017-02-02,9645,9645,9645,9645,0,IST
2017-02-03,9645,9645,9645,9645,2000,IST
2017-02-06,9585,9585,9585,9585,100,IST
2017-02-07,9645,9645,9524,9524,6900,IST
2017-02-08,9524,9524,9524,9524,0,IST
2017-02-09,9524,9524,9524,9524,0,IST
2017-02-10,9524,9524,9524,9524,0,IST
2017-02-13,9524,9524,9524,9524,0,IST
2017-02-14,9524,9645,9524,9645,3300,IST
2017-02-15,9946,9946,9946,9946,100,IST
2017-02-16,9946,9946,9946,9946,0,IST
2017-02-17,9946,9946,9946,9946,0,IST
2017-02-20,9946,9946,9946,9946,0,IST
2017-02-21,9946,9946,9946,9946,0,IST
2017-02-22,9946,9946,9946,9946,1600,IST
2017-02-23,9946,9946,9946,9946,0,IST
2017-02-24,9946,9946,9946,9946,0,IST
2017-02-27,9946,9946,9946,9946,0,IST
2017-02-28,9946,9946,9946,9946,0,IST
2017-03-01,9946,9946,9946,9946,0,IST
2017-03-02,9946,9946,9946,9946,0,IST
2017-03-03,9946,9946,9946,9946,0,IST
2017-03-06,9946,9946,9946,9946,0,IST
2017-03-07,9946,9946,9946,9946,0,IST
2017-03-08,9946,9946,9946,9946,0,IST
2017-03-09,9946,9946,9946,9946,0,IST
2017-03-10,9946,9946,9946,9946,0,IST
2017-03-13,9946,9946,9946,9946,0,IST
2017-03-14,9946,9946,9946,9946,0,IST
2017-03-15,9946,9946,9946,9946,0,IST
2017-03-16,9946,9946,9946,9946,0,IST
2017-03-17,9946,9946,9946,9946,0,IST
2017-03-20,9946,9946,9946,9946,0,IST
2017-03-21,9946,9946,9946,9946,0,IST
2017-03-22,9946,9946,9946,9946,0,IST
2017-03-23,9946,9946,9946,9946,0,IST
2017-03-24,9946,9946,9946,9946,0,IST
2017-03-27,9946,9946,9946,9946,0,IST
2017-03-28,9886,9886,9886,9886,100,IST
2017-03-29,9886,9886,9886,9886,0,IST
2017-03-30,9404,9404,9404,9404,100,IST
2017-03-31,9404,9404,9404,9404,0,IST
2017-04-03,9404,9404,9404,9404,2300,IST
2017-04-04,9404,9404,9404,9404,0,IST
2017-04-05,9404,9404,9404,9404,0,IST
2017-04-07,9404,9404,9404,9404,0,IST
2017-04-10,9404,9404,9404,9404,0,IST
2017-04-11,9404,9404,9404,9404,0,IST
2017-04-12,9404,9404,9404,9404,0,IST
2017-04-13,9404,9404,9404,9404,0,IST
2017-04-14,9404,9404,9404,9404,0,IST
2017-04-17,9404,9404,9404,9404,0,IST
2017-04-18,9404,9404,9404,9404,0,IST
2017-04-19,9404,9404,9404,9404,0,IST
2017-04-20,9404,9404,9404,9404,0,IST
2017-04-21,9404,9404,9404,9404,0,IST
2017-04-24,9404,9404,9404,9404,0,IST
2017-04-25,9404,9404,9404,9404,0,IST
2017-04-26,9404,9404,9404,9404,0,IST
2017-04-27,9404,9404,9404,9404,0,IST
2017-04-28,9404,9404,9404,9404,0,IST
2017-05-03,9404,9404,9404,9404,0,IST
2017-05-04,9404,9404,9404,9404,0,IST
2017-05-05,9404,9404,9404,9404,0,IST
2017-05-08,9404,9404,9404,9404,100,IST
2017-05-09,9766,9766,9766,9766,1000,IST
2017-05-10,9766,9766,9766,9766,0,IST
2017-05-11,9766,9766,9766,9766,0,IST
2017-05-12,9766,9766,9766,9766,0,IST
2017-05-15,9766,9766,9766,9766,0,IST
2017-05-16,9766,9766,9766,9766,0,IST
2017-05-17,9766,9766,9766,9766,0,IST
2017-05-18,9766,9766,9766,9766,0,IST
2017-05-19,9766,9766,9766,9766,0,IST
2017-05-22,10212,10212,10212,10212,200,IST
2017-05-23,10212,10212,10212,10212,0,IST
2017-05-24,10212,10212,10212,10212,0,IST
2017-05-25,10212,10212,10212,10212,0,IST
2017-05-26,10212,10212,10212,10212,0,IST
2017-05-29,10212,10212,10212,10212,100,IST
2017-05-30,10212,10212,10212,10212,0,IST
2017-05-31,10212,10212,10212,10212,0,IST
2017-06-01,10212,10212,10212,10212,200,IST
2017-06-02,10212,10212,10212,10212,0,IST
2017-06-05,10212,10212,10212,10212,0,IST
2017-06-06,10212,10212,9574,9574,1100,IST
2017-06-07,9702,9702,9702,9702,0,IST
