time,open,high,low,close,volume,ticker
2010-06-03,3749,3749,3749,3749,20,ITD
2010-06-04,3749,3749,3749,3749,0,ITD
2010-06-07,3749,3749,3749,3749,0,ITD
2010-06-08,3388,3388,3388,3388,2000,ITD
2010-06-09,3059,3667,3059,3667,20,ITD
2010-06-10,3371,3371,3371,3371,100,ITD
2010-06-11,3700,3700,3700,3700,10,ITD
2010-06-14,3338,4062,3338,4062,1300,ITD
2010-06-15,3404,3404,3404,3404,2050,ITD
2010-06-16,3207,3289,3207,3207,6896,ITD
2010-06-17,3207,3207,3207,3207,3000,ITD
2010-06-18,3207,3207,3207,3207,0,ITD
2010-06-21,3240,3371,3240,3371,110,ITD
2010-06-22,3453,3684,3289,3684,130,ITD
2010-06-23,3980,3980,3289,3980,130,ITD
2010-06-24,4259,4259,3503,4259,1060,ITD
2010-06-25,3815,4638,3815,3815,1520,ITD
2010-06-28,3930,4786,3930,3930,2030,ITD
2010-06-29,4292,4292,4292,4292,20,ITD
2010-06-30,3865,3865,3865,3865,20,ITD
2010-07-01,4128,4128,4128,4128,6110,ITD
2010-07-02,3733,4539,3717,3782,137570,ITD
2010-07-05,3947,4029,3717,3947,87336,ITD
2010-07-06,3947,3947,3782,3865,11076,ITD
2010-07-07,3865,3865,3651,3651,7000,ITD
2010-07-08,3717,4078,3355,4078,31011,ITD
2010-07-09,3782,4111,3618,4111,8000,ITD
2010-07-12,3634,3700,3552,3700,34569,ITD
2010-07-13,3618,3684,3618,3618,2010,ITD
2010-07-14,3717,3782,3717,3782,26730,ITD
2010-07-15,3371,3749,3371,3651,44356,ITD
2010-07-16,3618,3766,3207,3585,58074,ITD
2010-07-19,3585,3585,3536,3585,12500,ITD
2010-07-20,3914,3914,3782,3865,107300,ITD
2010-07-21,3865,3865,3832,3832,37500,ITD
2010-07-22,3700,3782,3700,3749,85000,ITD
2010-07-23,3865,3865,3782,3782,13300,ITD
2010-07-26,3700,3766,3700,3749,27000,ITD
2010-07-27,3799,3799,3782,3782,18300,ITD
2010-07-28,3832,3848,3618,3782,143800,ITD
2010-07-29,3766,3782,3766,3782,42300,ITD
2010-07-30,3782,3782,3766,3782,6000,ITD
2010-08-02,3749,3782,3634,3634,24200,ITD
2010-08-03,3700,3700,3700,3700,0,ITD
2010-08-04,3618,3618,3453,3453,18001,ITD
2010-08-05,3453,3453,3453,3453,229202,ITD
2010-08-06,3289,3618,3289,3618,19600,ITD
2010-08-09,3766,3782,3749,3782,209100,ITD
2010-08-10,3453,3536,3453,3536,2000,ITD
2010-08-11,3388,3388,3371,3371,30803,ITD
2010-08-12,3124,3207,3059,3059,19200,ITD
2010-08-13,3157,3157,3157,3157,0,ITD
2010-08-16,3519,3519,3519,3519,42500,ITD
2010-08-17,3634,3634,3207,3453,3800,ITD
2010-08-18,3305,3305,3305,3305,0,ITD
2010-08-19,3289,3289,3289,3289,100,ITD
2010-08-20,2960,2960,2960,2960,10000,ITD
2010-08-23,3618,3618,3618,3618,2200,ITD
2010-08-24,3380,3380,3271,3271,12500,ITD
2010-08-25,3106,3106,2978,3015,37600,ITD
2010-08-26,3271,3271,3271,3271,500,ITD
2010-08-27,3362,3362,3289,3289,600,ITD
2010-08-30,3563,3563,3380,3380,0,ITD
2010-08-31,3563,3563,3508,3527,1000,ITD
2010-09-01,3508,3508,3508,3508,0,ITD
2010-09-06,3289,3289,3289,3289,500,ITD
2010-09-07,3289,3289,3289,3289,0,ITD
2010-09-08,3070,3106,3070,3070,8100,ITD
2010-09-09,3271,3271,3271,3271,100,ITD
2010-09-10,3070,3070,3051,3051,800,ITD
2010-09-13,2832,3289,2796,3289,26100,ITD
2010-09-14,3362,3362,3362,3362,5000,ITD
2010-09-15,3051,3307,3051,3307,5100,ITD
2010-09-16,3325,3325,3307,3307,5800,ITD
2010-09-17,2997,3289,2997,3289,20700,ITD
2010-09-20,3106,3106,2960,2960,16100,ITD
2010-09-21,3198,3198,3198,3198,100,ITD
2010-09-22,3472,3472,3472,3472,100,ITD
2010-09-23,3124,3289,3124,3289,54000,ITD
2010-09-24,3362,3362,3289,3307,28300,ITD
2010-09-27,2978,3289,2978,3289,12500,ITD
2010-09-28,3252,3252,3252,3252,8000,ITD
2010-09-29,3234,3234,2942,2942,27347,ITD
2010-09-30,2978,2978,2978,2978,16100,ITD
2010-10-01,3124,3143,3124,3143,30900,ITD
2010-10-04,3143,3143,3143,3143,0,ITD
2010-10-05,3143,3143,3143,3143,0,ITD
2010-10-06,3124,3124,3124,3124,5600,ITD
2010-10-07,3124,3179,3124,3179,23300,ITD
2010-10-08,3161,3179,3161,3179,11000,ITD
2010-10-11,3325,3325,3252,3252,41100,ITD
2010-10-12,3600,3600,3106,3106,3400,ITD
2010-10-13,3307,3307,3307,3307,0,ITD
2010-10-14,3545,3545,3545,3545,6000,ITD
2010-10-15,3198,3417,3198,3417,10100,ITD
2010-10-18,2960,3234,2960,3234,2700,ITD
2010-10-19,3015,3179,3015,3179,4800,ITD
2010-10-20,2887,3234,2887,2887,14700,ITD
2010-10-21,2832,3070,2832,3070,4300,ITD
2010-10-22,3106,3106,3088,3088,1100,ITD
2010-10-25,3051,3051,3051,3051,22100,ITD
2010-10-26,3070,3088,3070,3088,7700,ITD
2010-10-27,3143,3143,3143,3143,9000,ITD
2010-10-28,3399,3399,3051,3106,31000,ITD
2010-10-29,2960,3088,2960,3088,35000,ITD
2010-11-01,2832,2832,2796,2832,24500,ITD
2010-11-02,2741,3015,2704,2942,22500,ITD
2010-11-03,2960,2960,2887,2887,500,ITD
