time,open,high,low,close,volume,ticker
2015-12-18,12218,12297,12218,12297,20000,ITS
2015-12-21,12297,12297,12297,12297,0,ITS
2015-12-22,12297,12297,12297,12297,0,ITS
2015-12-23,12297,12297,12297,12297,0,ITS
2015-12-24,12297,12297,12297,12297,0,ITS
2015-12-25,10472,10472,10472,10472,100,ITS
2015-12-28,8965,8965,8965,8965,100,ITS
2015-12-29,7695,7695,7695,7695,100,ITS
2015-12-30,6585,6585,6585,6585,100,ITS
2015-12-31,5633,5633,5633,5633,100,ITS
2016-01-04,4839,4839,4839,4839,100,ITS
2016-01-05,4125,4125,4125,4125,6000,ITS
2016-01-06,3570,4601,3570,4601,200,ITS
2016-01-07,3570,3570,3570,3570,200,ITS
2016-01-08,4046,4046,3490,3490,600,ITS
2016-01-11,4046,4046,3173,3173,300,ITS
2016-01-12,3570,3570,3570,3570,1500,ITS
2016-01-13,3570,3570,3570,3570,0,ITS
2016-01-14,3570,3570,3570,3570,0,ITS
2016-01-15,3887,3887,3173,3173,200,ITS
2016-01-18,3570,3570,3570,3570,0,ITS
2016-01-19,3490,3490,3490,3490,100,ITS
2016-01-20,3490,3490,3490,3490,0,ITS
2016-01-21,3490,3490,3490,3490,0,ITS
2016-01-22,3490,3490,3490,3490,0,ITS
2016-01-25,3490,3490,3490,3490,0,ITS
2016-01-26,3490,3490,3490,3490,0,ITS
2016-01-27,3490,3490,3490,3490,0,ITS
2016-01-28,3887,3966,3094,3094,20500,ITS
2016-01-29,3490,3570,3490,3490,9000,ITS
2016-02-01,3490,3490,3490,3490,100,ITS
2016-02-02,3490,3490,3490,3490,0,ITS
2016-02-03,3490,3490,3490,3490,4500,ITS
2016-02-04,3966,3966,3094,3094,200,ITS
2016-02-05,3570,3570,3570,3570,0,ITS
2016-02-15,3570,3570,3570,3570,0,ITS
2016-02-16,3570,3570,3570,3570,0,ITS
2016-02-17,3490,3490,3490,3490,100,ITS
2016-02-18,3490,3490,3490,3490,0,ITS
2016-02-19,3490,3490,3490,3490,0,ITS
2016-02-22,3490,3490,3490,3490,0,ITS
2016-02-23,3490,3490,3490,3490,0,ITS
2016-02-24,3490,3490,3490,3490,0,ITS
2016-02-25,3490,3490,3490,3490,0,ITS
2016-02-26,3649,3649,3649,3649,100,ITS
2016-02-29,3808,4125,3173,3490,1600,ITS
2016-03-01,3570,3570,3570,3570,0,ITS
2016-03-02,3649,3728,3173,3728,500,ITS
2016-03-03,3490,3490,3490,3490,0,ITS
2016-03-04,3808,3966,3808,3966,2000,ITS
2016-03-07,3490,4125,3490,4125,1800,ITS
2016-03-08,3570,4125,3570,3728,3200,ITS
2016-03-09,3490,4046,3490,4046,2300,ITS
2016-03-10,3649,3966,3649,3966,400,ITS
2016-03-11,3808,3808,3808,3808,0,ITS
2016-03-14,4046,4125,4046,4125,400,ITS
2016-03-15,3649,4046,3649,3966,21300,ITS
2016-03-16,3649,3887,3649,3887,300,ITS
2016-03-17,3411,3966,3411,3966,5500,ITS
2016-03-18,3966,4125,3966,4125,2500,ITS
2016-03-21,3570,4125,3570,4046,800,ITS
2016-03-22,4046,4046,4046,4046,1700,ITS
2016-03-23,3570,4601,3570,4601,10800,ITS
2016-03-24,4681,4760,4681,4760,35600,ITS
2016-03-25,5077,5315,4919,5315,14000,ITS
2016-03-28,5871,5871,5871,5871,35500,ITS
2016-03-29,6743,6743,6743,6743,133620,ITS
2016-03-30,7695,7695,7616,7695,234280,ITS
2016-03-31,8806,8806,8727,8806,209286,ITS
2016-04-01,8727,8727,7537,7537,130754,ITS
2016-04-04,6585,7616,6585,7140,115500,ITS
2016-04-05,7140,8092,7140,8092,172940,ITS
2016-04-06,8727,8965,8727,8965,196128,ITS
2016-04-07,10234,10234,8330,9520,296008,ITS
2016-04-08,9203,9520,8727,8965,172400,ITS
2016-04-11,8727,8727,7933,7933,115174,ITS
2016-04-12,7537,7933,7061,7061,203550,ITS
2016-04-13,6664,7299,6664,7061,60300,ITS
2016-04-14,7219,7219,6585,6664,55450,ITS
2016-04-15,6505,6823,6109,6267,114624,ITS
2016-04-19,6505,7061,6347,6743,70500,ITS
2016-04-20,6743,7378,6743,7299,57400,ITS
2016-04-21,7140,7457,6743,7061,29024,ITS
2016-04-22,6981,6981,6188,6505,39300,ITS
2016-04-25,6347,6347,6029,6188,51000,ITS
2016-04-26,6188,6585,6188,6426,97750,ITS
2016-04-27,6267,6505,6109,6109,87300,ITS
2016-04-28,6347,6426,6267,6267,39700,ITS
2016-04-29,6267,6426,6188,6188,54700,ITS
2016-05-04,6347,6347,5712,6029,99900,ITS
2016-05-05,6029,6029,5712,5712,35306,ITS
2016-05-06,5553,5553,5236,5395,38300,ITS
2016-05-09,5791,5871,4998,5395,48000,ITS
