time,open,high,low,close,volume,ticker
2011-08-01,5504,5504,5504,5504,5300,IVS
2011-08-02,5189,5189,5189,5189,10200,IVS
2011-08-03,4875,4875,4875,4875,3800,IVS
2011-08-04,4560,4560,4560,4560,200,IVS
2011-08-05,4246,4482,4246,4482,284000,IVS
2011-08-08,4246,4482,4089,4403,5900,IVS
2011-08-09,4324,4324,4010,4010,12500,IVS
2011-08-10,4324,4324,3853,3853,5800,IVS
2011-08-11,3617,3617,3617,3617,5500,IVS
2011-08-12,3538,3538,3381,3459,20400,IVS
2011-08-15,3381,3459,3302,3381,30200,IVS
2011-08-16,3302,3459,3224,3381,19500,IVS
2011-08-17,3302,3459,3302,3381,22600,IVS
2011-08-18,3617,3617,3224,3381,19400,IVS
2011-08-19,3224,3302,3224,3302,6100,IVS
2011-08-22,3224,3381,3224,3302,44200,IVS
2011-08-23,3381,3459,3381,3459,139100,IVS
2011-08-24,3538,3695,3381,3538,65500,IVS
2011-08-25,3459,3695,3459,3459,28100,IVS
2011-08-26,3774,3774,3538,3774,39900,IVS
2011-08-29,3931,3931,3931,3931,600,IVS
2011-08-30,4167,4167,4167,4167,28300,IVS
2011-08-31,4403,4403,4403,4403,47200,IVS
2011-09-01,4639,4639,4639,4639,21700,IVS
2011-09-05,4954,4954,4954,4954,7500,IVS
2011-09-06,5268,5268,4639,4954,77700,IVS
2011-09-07,5189,5189,4875,5189,103500,IVS
2011-09-08,5032,5347,5032,5032,30900,IVS
2011-09-09,4954,5111,4954,5032,22200,IVS
2011-09-12,4954,5111,4718,5032,129600,IVS
2011-09-13,5111,5189,5032,5111,85100,IVS
2011-09-14,4954,5425,4954,5189,112400,IVS
2011-09-15,5032,5032,4954,5032,9900,IVS
2011-09-16,5189,5189,4718,4954,2600,IVS
2011-09-19,4875,5111,4875,5111,79200,IVS
2011-09-20,5268,5347,5189,5347,108300,IVS
2011-09-21,5583,5661,5425,5504,141300,IVS
2011-09-22,5897,5897,5740,5897,142800,IVS
2011-09-23,6133,6212,6054,6212,237700,IVS
2011-09-26,6460,6542,5806,5806,223100,IVS
2011-09-27,6460,6460,5969,5969,102000,IVS
2011-09-28,6378,6378,5969,5969,187900,IVS
2011-09-29,6297,6297,5642,5642,133200,IVS
2011-09-30,6133,6133,5724,5888,202400,IVS
2011-10-03,5969,5969,5561,5561,40300,IVS
2011-10-04,5479,5479,5397,5397,154300,IVS
2011-10-05,5479,5642,5152,5152,179700,IVS
2011-10-06,5479,5479,5233,5233,196000,IVS
2011-10-07,5397,5479,5070,5070,127700,IVS
2011-10-10,5233,5233,5070,5070,50500,IVS
2011-10-11,5315,5315,4825,4825,45600,IVS
2011-10-12,4825,4825,4825,4825,100,IVS
2011-10-13,4497,4661,4497,4497,67300,IVS
2011-10-14,4579,4825,4416,4416,94500,IVS
2011-10-17,4743,4743,4743,4743,0,IVS
2011-10-18,4825,4825,4416,4416,38300,IVS
2011-10-19,4825,4825,4497,4497,42600,IVS
2011-10-20,4743,4743,4743,4743,0,IVS
2011-10-21,4579,4579,4579,4579,300,IVS
2011-10-24,4334,4334,4334,4334,100,IVS
2011-10-25,4089,4089,4089,4089,3700,IVS
2011-10-26,4007,4089,3843,3843,99800,IVS
2011-10-27,4089,4089,4007,4089,69400,IVS
2011-10-28,4252,4334,4170,4334,96400,IVS
2011-10-31,4497,4497,4252,4334,64100,IVS
