time,open,high,low,close,volume,ticker
2015-12-01,9400,9400,9400,9400,100,KCB
2015-12-02,9400,9400,9400,9400,0,KCB
2015-12-03,9400,9400,9400,9400,0,KCB
2015-12-04,9400,9400,9400,9400,0,KCB
2015-12-07,9400,9400,9400,9400,0,KCB
2015-12-08,9400,9400,9400,9400,0,KCB
2015-12-09,9400,9400,9400,9400,0,KCB
2015-12-10,9400,9400,9400,9400,0,KCB
2015-12-11,9400,9400,9400,9400,0,KCB
2015-12-14,9400,9400,9400,9400,0,KCB
2015-12-15,8000,8000,8000,8000,100,KCB
2015-12-16,8000,8000,8000,8000,0,KCB
2015-12-17,8000,8000,8000,8000,0,KCB
2015-12-18,8000,8000,8000,8000,0,KCB
2015-12-21,8000,8000,8000,8000,0,KCB
2015-12-22,8000,8000,8000,8000,0,KCB
2015-12-23,6800,6800,6800,6800,100,KCB
2015-12-24,6800,6800,6800,6800,0,KCB
2015-12-25,6800,6800,6800,6800,0,KCB
2015-12-28,6800,6800,6800,6800,0,KCB
2015-12-29,6800,6800,6800,6800,0,KCB
2015-12-30,6800,6800,6800,6800,0,KCB
2015-12-31,5800,5800,5800,5800,100,KCB
2016-01-04,5800,5800,5800,5800,0,KCB
2016-01-05,5000,5000,5000,5000,100,KCB
2016-01-06,5000,5000,5000,5000,0,KCB
2016-01-07,5000,5000,5000,5000,0,KCB
2016-01-08,5000,5000,5000,5000,0,KCB
2016-01-11,4300,4300,4300,4300,5000,KCB
2016-01-12,4300,4300,4300,4300,0,KCB
2016-01-13,4300,4300,4300,4300,1100,KCB
2016-01-14,4300,4500,4300,4500,16900,KCB
2016-01-15,4500,4500,4500,4500,0,KCB
2016-01-18,4500,4500,4500,4500,100,KCB
2016-01-19,4200,4200,4200,4200,11700,KCB
2016-01-20,4200,4200,4200,4200,0,KCB
2016-01-21,4200,4200,4200,4200,0,KCB
2016-01-22,4200,4200,4200,4200,0,KCB
2016-01-25,4200,4200,4200,4200,0,KCB
2016-01-26,4200,4200,4200,4200,0,KCB
2016-01-27,4200,4200,4200,4200,0,KCB
2016-01-28,4200,4200,4200,4200,0,KCB
2016-01-29,3700,3700,3700,3700,100,KCB
2016-02-01,3700,3700,3700,3700,0,KCB
2016-02-02,3700,3700,3700,3700,0,KCB
2016-02-03,3700,3700,3700,3700,0,KCB
2016-02-04,3700,3700,3700,3700,0,KCB
2016-02-05,3700,3700,3700,3700,0,KCB
2016-02-15,3700,3700,3700,3700,0,KCB
2016-02-16,3700,3700,3700,3700,0,KCB
2016-02-17,3700,3700,3700,3700,0,KCB
2016-02-18,3700,3700,3700,3700,0,KCB
2016-02-19,3700,3700,3700,3700,0,KCB
2016-02-22,3700,3700,3700,3700,0,KCB
2016-02-23,3700,3700,3700,3700,0,KCB
2016-02-24,3700,3700,3700,3700,0,KCB
2016-02-25,3700,3700,3700,3700,0,KCB
2016-02-26,3700,3700,3700,3700,0,KCB
2016-02-29,3700,3700,3700,3700,0,KCB
2016-03-01,3700,3700,3700,3700,0,KCB
2016-03-02,3700,3700,3700,3700,0,KCB
2016-03-03,3700,3700,3700,3700,0,KCB
2016-03-04,3700,3700,3700,3700,0,KCB
2016-03-07,3500,3500,3500,3500,500,KCB
2016-03-08,3500,3500,3500,3500,0,KCB
2016-03-09,3500,3500,3500,3500,0,KCB
2016-03-10,3500,3500,3500,3500,0,KCB
2016-03-11,3100,3100,3000,3000,1000,KCB
2016-03-14,3100,3100,3100,3100,0,KCB
2016-03-15,3100,3100,3100,3100,0,KCB
2016-03-16,3100,3300,3100,3300,1500,KCB
2016-03-17,3200,3200,3200,3200,0,KCB
2016-03-18,3200,3200,3200,3200,0,KCB
2016-03-21,3200,3200,3200,3200,0,KCB
2016-03-22,3200,3200,3200,3200,0,KCB
2016-03-23,3200,3200,3200,3200,0,KCB
2016-03-24,3200,3200,3200,3200,0,KCB
