time,open,high,low,close,volume,ticker
2017-12-26,8259,8509,7258,7658,184000,KHS
2017-12-27,7959,8409,7959,8409,124410,KHS
2017-12-28,8660,9210,8660,9010,121051,KHS
2017-12-29,9110,9511,8409,9511,138843,KHS
2018-01-02,9360,9360,8710,8810,22637,KHS
2018-01-03,8259,8610,8259,8309,34040,KHS
2018-01-04,8259,8359,7708,8359,34347,KHS
2018-01-05,8159,8159,8109,8159,13443,KHS
2018-01-08,8159,8209,8059,8159,48100,KHS
2018-01-09,8059,8209,8009,8159,29442,KHS
2018-01-10,8159,8159,8059,8059,13000,KHS
2018-01-11,8009,8109,7859,8009,7510,KHS
2018-01-12,7959,7959,7708,7909,31000,KHS
2018-01-15,7909,7909,7708,7759,4070,KHS
2018-01-16,7759,7759,7608,7759,34100,KHS
2018-01-17,7759,7759,7708,7759,9601,KHS
2018-01-18,7558,7608,7558,7608,500,KHS
2018-01-19,7608,7759,7608,7658,14000,KHS
2018-01-22,7708,7759,7708,7759,10000,KHS
2018-01-23,8509,8509,8259,8259,200,KHS
2018-01-24,8259,8259,8259,8259,0,KHS
2018-01-25,8009,8009,7608,7608,18119,KHS
2018-01-26,7658,7708,7608,7658,5400,KHS
2018-01-29,7658,7658,7508,7508,1500,KHS
2018-01-30,7508,7508,7058,7058,4250,KHS
2018-01-31,7058,7158,7058,7058,24100,KHS
2018-02-01,7008,7008,6807,6807,9200,KHS
2018-02-02,6807,6908,6757,6908,17300,KHS
2018-02-05,7458,7508,7458,7508,3150,KHS
2018-02-06,7508,7508,7508,7508,0,KHS
2018-02-07,6857,7308,6757,7308,10813,KHS
2018-02-08,6807,7108,6757,7108,5200,KHS
2018-02-09,6807,7058,6707,7058,3100,KHS
2018-02-12,7058,7058,7058,7058,0,KHS
2018-02-13,6908,6908,6908,6908,200,KHS
2018-02-21,7358,7358,7358,7358,100,KHS
2018-02-22,7358,7358,7358,7358,0,KHS
2018-02-23,7058,7058,7008,7008,11700,KHS
2018-02-26,7008,7008,6958,6958,1500,KHS
2018-02-27,6958,6958,6958,6958,0,KHS
2018-02-28,6707,6908,6607,6908,4600,KHS
2018-03-01,7358,7358,6757,6807,5700,KHS
2018-03-02,6507,6807,6507,6807,5500,KHS
2018-03-05,6657,6757,6657,6757,4400,KHS
2018-03-06,6807,6807,6807,6807,2000,KHS
2018-03-07,6807,6807,6807,6807,100,KHS
2018-03-08,6707,6707,6557,6557,25000,KHS
2018-03-09,6607,6607,6507,6507,5200,KHS
2018-03-12,6507,7158,6507,7158,1500,KHS
2018-03-13,7158,7158,6807,6807,1900,KHS
2018-03-14,6807,6958,6807,6958,200,KHS
2018-03-15,6807,6807,6757,6757,5800,KHS
2018-03-16,6707,6757,6657,6757,2600,KHS
2018-03-19,6807,6807,6707,6807,7600,KHS
2018-03-20,6807,6807,6757,6757,2700,KHS
2018-03-21,6757,6757,6707,6707,2600,KHS
2018-03-22,6707,6707,6707,6707,0,KHS
2018-03-23,6757,6757,6757,6757,1000,KHS
2018-03-26,6607,6657,6557,6657,5500,KHS
2018-03-27,7208,7208,7108,7108,2100,KHS
2018-03-28,6857,6908,6707,6908,3200,KHS
2018-03-29,7525,7525,7020,7357,7100,KHS
2018-03-30,7301,7301,7245,7301,2600,KHS
2018-04-02,7301,7301,7245,7301,25100,KHS
2018-04-03,7301,7301,7301,7301,0,KHS
2018-04-04,7301,7301,6964,7076,5700,KHS
2018-04-05,7076,7076,7076,7076,0,KHS
2018-04-06,7076,7132,7076,7132,15400,KHS
2018-04-09,7132,7132,7076,7076,2700,KHS
2018-04-10,7076,7076,7076,7076,0,KHS
2018-04-11,7076,7188,7076,7188,5200,KHS
2018-04-12,7076,7076,7076,7076,2300,KHS
2018-04-13,7076,7245,7076,7076,5900,KHS
2018-04-16,7132,7132,7132,7132,1000,KHS
2018-04-17,7188,7188,7132,7132,2300,KHS
2018-04-18,7245,7245,7132,7132,24200,KHS
2018-04-19,7132,7132,7132,7132,100,KHS
2018-04-20,6908,6908,6908,6908,200,KHS
2018-04-23,6908,6908,6908,6908,0,KHS
2018-04-24,7020,7020,6908,6908,4200,KHS
2018-04-26,6908,6908,6908,6908,100,KHS
2018-04-27,7132,7132,6795,7132,600,KHS
2018-05-02,7132,7132,7132,7132,0,KHS
2018-05-03,6964,7301,6739,7301,2900,KHS
2018-05-04,7301,7301,7301,7301,0,KHS
2018-05-07,7020,7301,6964,7301,2100,KHS
2018-05-08,7020,7245,6683,7245,10200,KHS
2018-05-09,7245,7245,7245,7245,0,KHS
2018-05-10,7245,7245,7245,7245,3000,KHS
2018-05-11,6795,6795,6795,6795,400,KHS
2018-05-14,7020,7020,6964,6964,4700,KHS
2018-05-15,6964,6964,6964,6964,651,KHS
2018-05-16,6964,7076,6964,6964,91400,KHS
2018-05-17,6908,7020,6908,7020,9100,KHS
2018-05-18,7188,7188,7188,7188,100,KHS
2018-05-21,6851,7076,6851,7076,600,KHS
2018-05-22,6795,7020,6795,7020,3600,KHS
2018-05-23,6795,7020,6795,7020,1100,KHS
2018-05-24,7020,7020,7020,7020,0,KHS
2018-05-25,7020,7020,7020,7020,0,KHS
2018-05-28,6739,6739,6683,6683,800,KHS
2018-05-29,7245,7245,7245,7245,149,KHS
2018-05-30,7245,7245,7245,7245,0,KHS
2018-05-31,7581,7581,6795,6851,6700,KHS
2018-06-01,6851,6851,6851,6851,100,KHS
2018-06-04,6851,6851,6851,6851,0,KHS
2018-06-05,6908,6908,6908,6908,500,KHS
2018-06-06,6739,6739,6739,6739,1300,KHS
2018-06-07,6739,6795,6739,6795,2500,KHS
2018-06-08,6795,6795,6795,6795,0,KHS
2018-06-11,6795,6795,6795,6795,0,KHS
2018-06-12,6795,6795,6795,6795,0,KHS
2018-06-13,6683,6683,6683,6683,700,KHS
2018-06-14,6683,6683,6683,6683,0,KHS
2018-06-15,6683,6683,6683,6683,0,KHS
2018-06-18,6683,6683,6683,6683,0,KHS
2018-06-19,6683,6683,6683,6683,90,KHS
2018-06-20,6627,6627,6571,6571,15000,KHS
2018-06-21,6571,6571,6571,6571,0,KHS
2018-06-22,6571,6571,6571,6571,0,KHS
2018-06-25,6571,6571,6571,6571,0,KHS
2018-06-26,6571,6571,6571,6571,0,KHS
2018-06-27,6571,6571,6571,6571,400,KHS
2018-06-28,6571,6571,6571,6571,0,KHS
2018-06-29,6964,6964,6964,6964,100,KHS
2018-07-02,6739,6739,6739,6739,700,KHS
2018-07-03,6739,6739,6739,6739,0,KHS
2018-07-04,6739,6739,6739,6739,0,KHS
2018-07-05,6739,6739,6739,6739,0,KHS
2018-07-06,6739,6739,6739,6739,0,KHS
2018-07-09,6739,6739,6739,6739,0,KHS
2018-07-10,6739,6739,6739,6739,0,KHS
2018-07-11,6739,6739,6739,6739,0,KHS
2018-07-12,6739,6739,6739,6739,0,KHS
2018-07-13,6739,6739,6739,6739,0,KHS
2018-07-16,6739,6739,6739,6739,0,KHS
2018-07-17,7020,7020,7020,7020,100,KHS
2018-07-18,7638,7638,7638,7638,100,KHS
2018-07-19,7020,7020,7020,7020,9000,KHS
2018-07-20,7020,7020,7020,7020,0,KHS
2018-07-23,7020,7020,7020,7020,0,KHS
2018-07-24,6514,6514,6458,6458,6000,KHS
2018-07-25,6346,6346,6346,6346,200,KHS
2018-07-26,6402,6402,6402,6402,2000,KHS
2018-07-27,6402,6402,6346,6346,6300,KHS
2018-07-30,6402,6402,6346,6346,4000,KHS
2018-07-31,6402,6627,6402,6627,1200,KHS
2018-08-01,6627,6627,6627,6627,700,KHS
2018-08-02,6627,6627,6627,6627,0,KHS
2018-08-03,6739,6739,6739,6739,100,KHS
2018-08-06,7188,7188,7188,7188,100,KHS
2018-08-07,6514,6908,6514,6908,3100,KHS
2018-08-08,6908,6908,6908,6908,0,KHS
2018-08-09,6458,6458,6458,6458,5000,KHS
2018-08-10,6458,6458,5897,6121,23900,KHS
2018-08-13,6121,6121,6121,6121,0,KHS
2018-08-14,5784,6121,5616,6121,5200,KHS
2018-08-15,6121,6121,6121,6121,0,KHS
2018-08-16,6121,6402,6121,6402,440,KHS
2018-08-17,6402,6402,6402,6402,0,KHS
2018-08-20,6402,6402,6402,6402,68,KHS
2018-08-21,6402,6402,6402,6402,8,KHS
2018-08-22,6402,6402,6402,6402,0,KHS
2018-08-23,6402,6402,6402,6402,0,KHS
2018-08-24,6402,6402,6402,6402,0,KHS
2018-08-27,6121,6121,5953,5953,8500,KHS
2018-08-28,5953,5953,5953,5953,0,KHS
2018-08-29,6009,6402,5953,6402,1700,KHS
2018-08-30,6402,6402,6402,6402,0,KHS
2018-08-31,6346,7020,6346,6458,1100,KHS
2018-09-04,6458,6458,6458,6458,0,KHS
2018-09-05,6458,6458,6458,6458,0,KHS
2018-09-06,6402,6402,6177,6177,200,KHS
2018-09-07,6177,6177,6177,6177,0,KHS
2018-09-10,6177,6177,6177,6177,0,KHS
2018-09-11,5840,6290,5672,6290,2100,KHS
2018-09-12,6290,6290,6290,6290,0,KHS
2018-09-13,6290,6290,6290,6290,0,KHS
