time,open,high,low,close,volume,ticker
2015-04-14,15097,19655,15119,19655,2085500,KVC
2015-04-15,19815,21544,19655,21544,1730400,KVC
2015-04-16,21513,23623,21544,23623,1956400,KVC
2015-04-17,23118,23151,21261,21261,68300,KVC
2015-04-20,21261,21261,21261,21261,0,KVC
2015-04-21,19155,19182,19182,19182,100,KVC
2015-04-22,17268,17292,17292,17292,100,KVC
2015-04-23,15569,15591,15591,15591,200,KVC
2015-04-24,14059,15497,14079,15402,282000,KVC
2015-04-27,15381,15591,15024,15119,88300,KVC
2015-05-04,15190,15497,14930,15024,243600,KVC
2015-05-05,15095,15308,14835,15308,217900,KVC
2015-05-06,15285,16820,15308,16820,1204200,KVC
2015-05-07,16982,18426,16536,18143,996300,KVC
2015-05-08,18114,18237,16347,16914,899600,KVC
2015-05-11,16793,16820,15308,15497,968400,KVC
2015-05-12,15285,15497,14646,15213,376000,KVC
2015-05-13,15095,15497,14930,15497,318200,KVC
2015-05-14,15472,15969,15119,15780,290900,KVC
2015-05-15,15472,15591,15213,15308,210700,KVC
2015-05-18,15095,15308,14835,15308,125300,KVC
2015-05-19,15285,16820,14741,16820,1212400,KVC
2015-05-20,16982,17009,15497,15497,122000,KVC
2015-05-21,15568,15875,15119,15780,274100,KVC
2015-05-22,15757,16253,15686,16253,319900,KVC
2015-05-25,16136,16536,15969,16158,429900,KVC
2015-05-26,16136,17009,16064,17009,837900,KVC
2015-05-27,16982,17387,16064,16442,407900,KVC
2015-05-28,16324,16536,15969,16158,361500,KVC
2015-05-29,15947,16253,15402,16064,811500,KVC
2015-06-01,15947,16442,15969,16158,545700,KVC
2015-06-02,16040,16347,15875,16064,392300,KVC
2015-06-03,15945,16158,15591,15780,400500,KVC
2015-06-04,15852,16158,15875,16064,483000,KVC
2015-06-05,15947,16347,15969,16158,573900,KVC
2015-06-08,16136,16725,15969,16347,620800,KVC
2015-06-09,16323,16536,16158,16253,481400,KVC
2015-06-10,16229,16631,16064,16158,489500,KVC
2015-06-11,16040,16725,16064,16347,596500,KVC
2015-06-12,16229,16442,15969,16347,525500,KVC
2015-06-15,16229,16631,16253,16347,545500,KVC
2015-06-16,16323,17009,16064,16725,946300,KVC
2015-06-17,16700,18332,16442,18332,2205000,KVC
2015-06-18,18305,20127,18048,20127,2246000,KVC
2015-06-19,20190,21166,19371,19560,1124400,KVC
2015-06-22,19533,19749,18237,18426,1731800,KVC
2015-06-23,18398,18993,18426,18615,1038600,KVC
2015-06-24,18589,18710,18426,18521,626900,KVC
2015-06-25,18492,19560,18426,19088,1471300,KVC
2015-06-26,19058,20977,18899,20977,2451400,KVC
2015-06-29,21418,23056,21166,23056,1947500,KVC
2015-06-30,23023,25324,22489,25041,2458500,KVC
2015-07-01,25005,25513,23623,24096,1236600,KVC
2015-07-02,24062,24285,23529,23907,1674600,KVC
2015-07-03,23873,24001,23529,23623,686500,KVC
2015-07-06,23589,24096,23529,23718,872800,KVC
2015-07-07,23684,24001,23529,23718,647700,KVC
2015-07-08,23684,24568,23529,23718,786900,KVC
2015-07-09,23684,24285,23529,23623,843600,KVC
2015-07-10,23587,24474,23529,24001,657400,KVC
2015-07-13,23966,24190,23812,24096,676000,KVC
2015-07-14,24062,24946,24001,24568,1173300,KVC
2015-07-15,24533,27025,24285,27025,2817600,KVC
2015-07-16,26984,29671,26458,29671,2732200,KVC
2015-07-17,29629,30238,26742,26931,1596100,KVC
2015-07-20,24248,27025,24285,26836,2624000,KVC
2015-07-21,26795,28821,26553,28726,1599700,KVC
2015-07-22,28682,31561,28348,31561,2897500,KVC
2015-07-23,31513,34679,31183,34679,2684400,KVC
2015-07-24,34626,37325,34301,37231,1637000,KVC
2015-07-27,37178,38365,33545,33545,2992800,KVC
