time,open,high,low,close,volume,ticker
2000-12-15,3497,3497,3497,3497,500,LAF
2000-12-18,3559,3559,3559,3559,500,LAF
2000-12-20,3621,3621,3621,3621,200,LAF
2000-12-22,3682,3682,3682,3682,800,LAF
2000-12-25,3744,3744,3744,3744,400,LAF
2000-12-27,3806,3806,3806,3806,400,LAF
2000-12-29,3868,3868,3868,3868,500,LAF
2001-01-03,3929,3929,3929,3929,900,LAF
2001-01-08,4053,4053,4053,4053,900,LAF
2001-01-10,4114,4114,4114,4114,900,LAF
2001-01-12,3929,3929,3929,3929,800,LAF
2001-01-15,3991,3991,3991,3991,900,LAF
2001-01-17,4053,4053,4053,4053,800,LAF
2001-01-19,4114,4114,4114,4114,900,LAF
2001-01-29,4197,4197,4197,4197,800,LAF
2001-01-31,4279,4279,4279,4279,800,LAF
2001-02-02,4361,4361,4361,4361,800,LAF
2001-02-05,4444,4444,4444,4444,800,LAF
2001-02-09,4608,4608,4608,4608,600,LAF
2001-02-12,4691,4691,4691,4691,700,LAF
2001-02-14,4773,4773,4773,4773,700,LAF
2001-02-16,4855,4855,4855,4855,700,LAF
2001-02-23,5102,5102,5102,5102,600,LAF
2001-02-26,5184,5184,5184,5184,700,LAF
2001-02-28,5287,5287,5287,5287,700,LAF
2001-03-02,5390,5390,5390,5390,600,LAF
2001-03-05,5493,5493,5493,5493,600,LAF
2001-03-07,5596,5596,5596,5596,700,LAF
2001-03-09,5699,5699,5699,5699,500,LAF
2001-03-12,5802,5802,5802,5802,200,LAF
2001-03-14,5904,5904,5904,5904,400,LAF
2001-03-16,6007,6007,6007,6007,400,LAF
2001-03-19,6110,6110,6110,6110,400,LAF
2001-03-21,6213,6213,6213,6213,300,LAF
2001-03-23,6337,6337,6337,6337,300,LAF
2001-03-26,6460,6460,6460,6460,400,LAF
2001-03-28,6583,6583,6583,6583,300,LAF
2001-03-30,6707,6707,6707,6707,300,LAF
2001-04-02,6830,6830,6830,6830,400,LAF
2001-04-04,6954,6954,6954,6954,500,LAF
2001-04-06,7077,7077,7077,7077,300,LAF
2001-04-09,7201,7201,7201,7201,300,LAF
2001-04-11,7345,7345,7345,7345,300,LAF
2001-04-13,7489,7489,7489,7489,300,LAF
2001-04-16,7633,7633,7633,7633,500,LAF
2001-04-18,7777,7777,7777,7777,700,LAF
2001-04-20,7921,7921,7921,7921,600,LAF
2001-04-23,8065,8065,8065,8065,700,LAF
2001-04-25,8209,8209,8209,8209,3900,LAF
2001-04-27,8353,8353,8353,8353,700,LAF
2001-05-02,8517,8517,8517,8517,3500,LAF
2001-05-04,8682,8682,8682,8682,3500,LAF
2001-05-07,8847,8847,8847,8847,3500,LAF
2001-05-09,9011,9011,9011,9011,500,LAF
2001-05-11,9176,9176,9176,9176,500,LAF
2001-05-14,9340,9340,9340,9340,500,LAF
2001-05-16,9526,9526,9526,9526,600,LAF
2001-05-18,9711,9711,9711,9711,500,LAF
2001-05-21,9896,9896,9896,9896,10400,LAF
2001-05-23,10081,10081,10081,10081,500,LAF
2001-05-25,10266,10266,10266,10266,10400,LAF
2001-05-28,10390,10390,10390,10390,1200,LAF
2001-05-30,10596,10596,10596,10596,200,LAF
2001-06-01,10801,10801,10801,10801,200,LAF
2001-06-04,11007,11007,11007,11007,5300,LAF
2001-06-06,11213,11213,11213,11213,5700,LAF
2001-06-08,11419,11419,11419,11419,5500,LAF
2001-06-11,11624,11624,11624,11624,6200,LAF
2001-06-13,12344,12344,12344,12344,5700,LAF
2001-06-15,13167,13167,13167,13167,1200,LAF
2001-06-18,13990,13990,13990,13990,200,LAF
2001-06-20,14916,14916,14916,14916,1000,LAF
2001-06-22,15945,15945,15945,15945,700,LAF
2001-06-25,16974,16974,16974,16974,7000,LAF
2001-06-29,16871,16871,16871,16871,56000,LAF
2001-07-02,16871,16871,16871,16871,13800,LAF
2001-07-04,16871,16871,16871,16871,33300,LAF
2001-07-06,16871,16871,16871,16871,14600,LAF
2001-07-09,15739,15739,15739,15739,11700,LAF
2001-07-11,14710,14710,14710,14710,1900,LAF
2001-07-13,13682,13682,13682,13682,8200,LAF
2001-07-16,12756,12756,12756,12756,6700,LAF
2001-07-18,13579,13579,13579,13579,14100,LAF
2001-07-20,14505,14505,14505,14505,5000,LAF
2001-07-23,13785,13785,13785,13785,32800,LAF
