time,open,high,low,close,volume,ticker
2008-11-18,5384,5384,5384,5384,20,LCG
2008-11-19,5115,5115,5115,5115,10,LCG
2008-11-20,4868,4868,4868,4868,10,LCG
2008-11-21,4633,4633,4633,4633,10,LCG
2008-11-24,4408,4408,4408,4408,3410,LCG
2008-11-25,4195,4195,4195,4195,3110,LCG
2008-11-26,3993,3993,3993,3993,8110,LCG
2008-11-27,3802,3802,3802,3802,2010,LCG
2008-11-28,3623,3623,3623,3623,2110,LCG
2008-12-01,3443,3443,3443,3443,2500,LCG
2008-12-02,3275,3275,3275,3275,4010,LCG
2008-12-03,3118,3152,3118,3118,205250,LCG
2008-12-04,2967,3025,2967,2967,358620,LCG
2008-12-05,2839,2897,2827,2839,340450,LCG
2008-12-08,2978,2978,2978,2978,41980,LCG
2008-12-09,3118,3118,3118,3118,17600,LCG
2008-12-10,3037,3118,3002,3118,138430,LCG
2008-12-11,3211,3269,3211,3269,141980,LCG
2008-12-12,3432,3432,3432,3432,26950,LCG
2008-12-15,3595,3595,3595,3595,4110,LCG
2008-12-16,3770,3770,3607,3770,367980,LCG
2008-12-17,3607,3921,3607,3712,54180,LCG
2008-12-18,3712,3781,3607,3712,28280,LCG
2008-12-19,3886,3886,3886,3886,23970,LCG
2008-12-22,4072,4072,4072,4072,28460,LCG
2008-12-23,4270,4270,3956,4270,120790,LCG
2008-12-24,4084,4363,4084,4189,84960,LCG
2008-12-25,4189,4305,4072,4282,26100,LCG
2008-12-26,4421,4491,4328,4421,136580,LCG
2008-12-29,4515,4515,4340,4515,49470,LCG
2008-12-30,4515,4654,4363,4654,89600,LCG
2008-12-31,4596,4887,4538,4887,214730,LCG
2009-01-02,5131,5131,5096,5131,92860,LCG
2009-01-05,5341,5341,4875,4910,129310,LCG
2009-01-06,4922,5003,4736,4829,83890,LCG
2009-01-07,5003,5015,4666,4666,62310,LCG
2009-01-08,4480,4666,4433,4666,145290,LCG
2009-01-09,4643,4771,4643,4771,34710,LCG
2009-01-12,4771,4887,4771,4817,22270,LCG
2009-01-13,4817,4817,4584,4584,37270,LCG
2009-01-14,4456,4759,4398,4421,89440,LCG
2009-01-15,4398,4480,4398,4421,47780,LCG
2009-01-16,4596,4643,4538,4643,121950,LCG
2009-01-19,4771,4771,4654,4747,42500,LCG
2009-01-20,4887,4887,4759,4782,98520,LCG
2009-01-21,4689,4771,4643,4643,21580,LCG
2009-01-22,4631,4701,4631,4654,60740,LCG
2009-01-23,4643,4677,4631,4654,28410,LCG
2009-02-02,4643,4654,4573,4573,43650,LCG
2009-02-03,4456,4456,4352,4352,63970,LCG
2009-02-04,4270,4375,4142,4142,41550,LCG
2009-02-05,3944,3944,3944,3944,18000,LCG
2009-02-06,3758,4119,3758,4072,121010,LCG
2009-02-09,4177,4189,4072,4177,27800,LCG
2009-02-10,4177,4177,3979,3979,20780,LCG
2009-02-11,3816,3898,3816,3816,22790,LCG
2009-02-12,3665,3781,3653,3653,31900,LCG
2009-02-13,3665,3781,3607,3607,28300,LCG
2009-02-16,3770,3770,3467,3467,28990,LCG
2009-02-17,3362,3397,3304,3316,83190,LCG
2009-02-18,3258,3432,3258,3328,50800,LCG
2009-02-19,3467,3467,3374,3467,76230,LCG
2009-02-20,3374,3537,3374,3537,24190,LCG
2009-02-23,3537,3537,3362,3362,47540,LCG
2009-02-24,3258,3258,3200,3200,47480,LCG
2009-02-25,3316,3351,3211,3351,53460,LCG
2009-02-26,3258,3351,3223,3351,8710,LCG
2009-02-27,3258,3432,3258,3328,25980,LCG
2009-03-02,3258,3339,3258,3328,15610,LCG
2009-03-03,3328,3328,3223,3316,17130,LCG
2009-03-04,3374,3374,3351,3351,13560,LCG
2009-03-05,3467,3502,3281,3502,59020,LCG
2009-03-06,3502,3502,3444,3490,17850,LCG
2009-03-09,3549,3607,3397,3409,85180,LCG
2009-03-10,3502,3572,3362,3572,211070,LCG
2009-03-11,3746,3746,3746,3746,89720,LCG
2009-03-12,3746,3933,3677,3933,243980,LCG
2009-03-13,4107,4119,3956,4096,265280,LCG
2009-03-16,3921,4072,3898,4061,208600,LCG
2009-03-17,4072,4200,4072,4200,211100,LCG
2009-03-18,4282,4282,4014,4189,142710,LCG
2009-03-19,4072,4131,3979,3979,128720,LCG
2009-03-20,3863,3979,3781,3828,203630,LCG
2009-03-23,3793,3793,3677,3677,52760,LCG
2009-03-24,3851,3851,3805,3851,166230,LCG
2009-03-25,3723,4037,3723,4003,89310,LCG
2009-03-26,3979,4014,3898,3979,179850,LCG
2009-03-27,3991,4003,3874,3874,174300,LCG
2009-03-30,3723,3874,3723,3781,30210,LCG
2009-03-31,3712,3770,3653,3677,51980,LCG
2009-04-01,3723,3793,3642,3770,130790,LCG
2009-04-02,3956,3956,3921,3956,493780,LCG
2009-04-03,4154,4154,4154,4154,123550,LCG
2009-04-07,4352,4352,4305,4352,579330,LCG
2009-04-08,4421,4561,4352,4421,578220,LCG
2009-04-09,4515,4538,4363,4456,290310,LCG
2009-04-10,4677,4677,4677,4677,279060,LCG
2009-04-13,4910,4910,4910,4910,18620,LCG
2009-04-14,5155,5155,5155,5155,37420,LCG
2009-04-15,5411,5411,5411,5411,247420,LCG
2009-04-16,5678,5678,5411,5678,584210,LCG
2009-04-17,5399,5573,5399,5399,644050,LCG
2009-04-20,5131,5131,5131,5131,27710,LCG
2009-04-21,4875,5294,4875,4875,435520,LCG
2009-04-22,4875,4992,4643,4887,454650,LCG
2009-04-23,5131,5131,5120,5131,790100,LCG
2009-04-24,5387,5387,5236,5387,374780,LCG
2009-04-27,5643,5643,5236,5248,196550,LCG
2009-04-28,5213,5294,5143,5259,291140,LCG
2009-04-29,5189,5515,5166,5515,381920,LCG
2009-05-04,5783,5783,5783,5783,22370,LCG
2009-05-05,6051,6051,6051,6051,7900,LCG
2009-05-06,6341,6341,6283,6341,827920,LCG
2009-05-07,6632,6632,6632,6632,383950,LCG
2009-05-08,6691,6923,6691,6923,412050,LCG
2009-05-11,6923,7214,6632,7040,376360,LCG
2009-05-12,7214,7389,6807,7389,263450,LCG
2009-05-13,7418,7710,7243,7418,489100,LCG
2009-05-14,7126,7360,7067,7067,368780,LCG
2009-05-15,7360,7418,7184,7418,237070,LCG
2009-05-18,7243,7476,7184,7184,679270,LCG
2009-05-19,7476,7535,7243,7476,395560,LCG
2009-05-20,7476,7535,7360,7418,345380,LCG
2009-05-21,7418,7768,7243,7418,395230,LCG
2009-05-22,7184,7476,7184,7418,272490,LCG
2009-05-25,7535,7768,7476,7768,232530,LCG
2009-05-26,7885,8119,7652,8119,271080,LCG
2009-05-27,8469,8469,8236,8469,636430,LCG
2009-05-28,8761,8878,8645,8878,517690,LCG
2009-05-29,9229,9229,8586,9112,286680,LCG
2009-06-01,9229,9287,9112,9170,247920,LCG
2009-06-02,9579,9579,9287,9287,243230,LCG
