time,open,high,low,close,volume,ticker
2015-08-12,7577,7577,7577,7577,1197100,LDG
2015-08-13,7080,7847,7080,7577,1032160,LDG
2015-08-14,7577,7577,7080,7080,43220,LDG
2015-08-17,6675,7080,6629,6629,233640,LDG
2015-08-18,6269,6539,6178,6359,192470,LDG
2015-08-19,6043,6224,5953,5953,199870,LDG
2015-08-20,5773,5863,5547,5773,559440,LDG
2015-08-21,5953,6088,5412,5773,186130,LDG
2015-08-24,5592,5592,5412,5412,129560,LDG
2015-08-25,5412,5412,5051,5231,256450,LDG
2015-08-26,5006,5502,5006,5276,146730,LDG
2015-08-27,5502,5637,5367,5412,84660,LDG
2015-08-28,5412,5547,5276,5367,139320,LDG
2015-08-31,5367,5502,5276,5367,161890,LDG
2015-09-01,5276,5727,5276,5592,220520,LDG
2015-09-03,5457,5863,5457,5592,475110,LDG
2015-09-04,5773,5953,5502,5953,2061900,LDG
2015-09-07,6178,6314,6088,6224,416610,LDG
2015-09-08,6133,6449,6043,6449,319070,LDG
2015-09-09,6449,6449,6178,6224,441160,LDG
2015-09-10,6133,6404,6088,6088,496090,LDG
2015-09-11,6133,6494,5953,6449,2194520,LDG
2015-09-14,6494,6494,6224,6314,397890,LDG
2015-09-15,6133,6314,6133,6269,168850,LDG
2015-09-16,6269,6314,6224,6269,189730,LDG
2015-09-17,6314,6539,6314,6404,613460,LDG
2015-09-18,6584,6765,6494,6765,942230,LDG
2015-09-21,6765,6765,6629,6720,416000,LDG
2015-09-22,6720,6990,6720,6990,904780,LDG
2015-09-23,6855,7126,6855,7126,623070,LDG
2015-09-24,7035,7035,6855,6900,1198320,LDG
2015-09-25,6720,6855,6675,6810,561830,LDG
2015-09-28,6720,6720,6494,6494,1034650,LDG
2015-09-29,6449,6629,6314,6494,439480,LDG
2015-09-30,6539,6675,6314,6314,2968690,LDG
2015-10-01,6494,6720,6494,6539,968220,LDG
2015-10-02,6675,6675,6584,6629,375940,LDG
2015-10-05,6629,6765,6539,6765,482710,LDG
2015-10-06,6855,6945,6720,6855,932880,LDG
2015-10-07,6945,6945,6810,6855,708050,LDG
2015-10-08,6900,7035,6900,6945,500050,LDG
2015-10-09,6990,7080,6900,6900,546060,LDG
2015-10-12,6945,6945,6720,6810,2103380,LDG
2015-10-13,6765,6855,6629,6629,487570,LDG
2015-10-14,6629,6765,6629,6720,275170,LDG
2015-10-15,6720,6855,6675,6765,327270,LDG
2015-10-16,6855,6855,6765,6810,633950,LDG
2015-10-19,6810,6810,6720,6720,205130,LDG
2015-10-20,6720,6720,6539,6675,451490,LDG
2015-10-21,6675,6765,6629,6765,505920,LDG
2015-10-22,6765,6855,6584,6855,336560,LDG
2015-10-23,6855,7035,6765,7035,1831390,LDG
2015-10-26,7171,7171,6945,7035,782880,LDG
2015-10-27,7035,7035,6945,7035,382930,LDG
2015-10-28,7080,7080,6900,6990,857450,LDG
2015-10-29,6990,7441,6945,7441,440130,LDG
2015-10-30,7306,7396,7171,7306,551100,LDG
2015-11-02,7306,7577,7306,7486,2631200,LDG
2015-11-03,7441,7667,7351,7667,1062440,LDG
2015-11-04,7667,7757,7622,7757,614030,LDG
2015-11-05,7712,7802,7577,7622,791260,LDG
2015-11-06,7622,7622,7351,7351,1209300,LDG
2015-11-09,7351,7486,7261,7396,1479620,LDG
2015-11-10,7396,7396,6900,6900,1522750,LDG
2015-11-11,6449,6675,6449,6449,1572850,LDG
