time,open,high,low,close,volume,ticker
2010-07-20,6138,8184,6138,8184,27900,LDP
2010-07-21,7744,7744,7724,7744,4200,LDP
2010-07-22,8276,8276,8082,8082,1000,LDP
2010-07-23,8184,8184,7621,8031,5000,LDP
2010-07-26,7212,7212,7212,7212,1600,LDP
2010-07-27,6711,6711,6711,6711,24200,LDP
2010-07-28,6250,6261,6250,6250,800,LDP
2010-07-29,6690,6690,6261,6445,3000,LDP
2010-07-30,6302,6465,6302,6302,2800,LDP
2010-08-02,6506,6506,6506,6506,100,LDP
2010-08-03,6087,6486,6087,6486,400,LDP
2010-08-04,6486,6486,6486,6486,100,LDP
2010-08-05,6138,6138,6036,6036,1600,LDP
2010-08-06,5933,6036,5933,6036,1500,LDP
2010-08-09,5729,5729,5729,5729,100,LDP
2010-08-10,5350,5350,5330,5330,1300,LDP
2010-08-11,5524,5524,5340,5340,700,LDP
2010-08-12,5411,5411,5411,5411,100,LDP
2010-08-13,5371,5626,5371,5626,300,LDP
2010-08-16,5626,5626,5473,5473,600,LDP
2010-08-17,5821,5821,5821,5821,100,LDP
2010-08-18,5422,5422,5422,5422,200,LDP
2010-08-19,5575,5575,5422,5422,200,LDP
2010-08-20,5217,5217,5125,5125,4000,LDP
2010-08-23,5115,5115,4808,4808,2500,LDP
2010-08-24,5238,5238,4634,4634,900,LDP
2010-08-25,4399,4501,4399,4501,5300,LDP
2010-08-26,4187,4292,4187,4292,2200,LDP
2010-08-27,4501,4501,4208,4292,400,LDP
2010-08-30,4606,4606,4606,4606,3400,LDP
2010-08-31,4816,4816,4711,4711,900,LDP
2010-09-01,4742,4742,4669,4669,1500,LDP
2010-09-06,5014,5014,5014,5014,2500,LDP
2010-09-07,4816,5360,4816,5360,6900,LDP
2010-09-08,5444,5444,5339,5339,500,LDP
2010-09-09,5360,5360,5360,5360,0,LDP
2010-09-10,5025,5025,4994,4994,1200,LDP
2010-09-13,5130,5130,4816,4816,2100,LDP
2010-09-14,5130,5130,5130,5130,100,LDP
2010-09-15,5025,5025,4774,4774,1000,LDP
2010-09-16,5014,5014,4501,4501,1500,LDP
2010-09-17,4711,4711,4711,4711,100,LDP
2010-09-20,5025,5025,4711,4711,800,LDP
2010-09-21,4711,4711,4606,4606,4000,LDP
2010-09-22,4501,4501,4397,4397,1800,LDP
2010-09-23,4460,4460,4460,4460,0,LDP
2010-09-24,4522,4763,4522,4763,2400,LDP
2010-09-27,4721,4721,4721,4721,0,LDP
2010-09-28,4721,4721,4721,4721,0,LDP
2010-09-29,4721,4721,4721,4721,0,LDP
2010-09-30,5014,5014,5014,5014,100,LDP
2010-10-01,5287,5287,4669,4669,200,LDP
2010-10-04,4648,4648,4638,4638,2000,LDP
2010-10-05,4920,4920,4920,4920,100,LDP
2010-10-06,5182,5182,5182,5182,100,LDP
2010-10-07,4826,4826,4826,4826,100,LDP
2010-10-08,4491,4816,4491,4491,1800,LDP
2010-10-11,4512,4512,4512,4512,0,LDP
2010-10-12,4826,4826,4512,4659,2100,LDP
2010-10-13,4659,4659,4659,4659,100,LDP
2010-10-14,4501,4711,4501,4711,800,LDP
2010-10-15,4816,4816,4816,4816,100,LDP
2010-10-18,4501,4501,4501,4501,1500,LDP
2010-10-19,4501,4501,4501,4501,0,LDP
2010-10-20,4198,4711,4187,4711,2000,LDP
2010-10-21,4512,4512,4397,4397,1800,LDP
2010-10-22,4659,4659,4659,4659,100,LDP
2010-10-25,4659,4659,4659,4659,0,LDP
2010-10-26,4659,4659,4659,4659,0,LDP
2010-10-27,4920,4920,4920,4920,100,LDP
2010-10-28,4816,4816,4816,4816,100,LDP
2010-10-29,4816,4816,4816,4816,500,LDP
2010-11-01,4816,4816,4816,4816,0,LDP
2010-11-02,4481,4481,4481,4481,100,LDP
2010-11-03,4481,4481,4481,4481,1700,LDP
2010-11-04,4481,4481,4481,4481,0,LDP
2010-11-05,4774,4784,4763,4784,1200,LDP
