time,open,high,low,close,volume,ticker
2010-11-15,6477,6477,6050,6050,810,LM8
2010-11-16,5765,6085,5765,5978,2240,LM8
2010-11-17,6156,6156,5978,6156,320,LM8
2010-11-18,5872,6156,5872,6050,2570,LM8
2010-11-19,5765,6050,5765,5907,1010,LM8
2010-11-22,6192,6192,5623,5623,40,LM8
2010-11-23,5694,5694,5373,5373,1650,LM8
2010-11-24,5373,5373,5124,5373,60,LM8
2010-11-25,5373,5373,5124,5373,4050,LM8
2010-11-26,5160,5373,5124,5124,4840,LM8
2010-11-29,5267,5302,4875,4875,2680,LM8
2010-11-30,5089,5089,4982,5053,5190,LM8
2010-12-01,5160,5160,5053,5053,2900,LM8
2010-12-02,5089,5089,4946,5089,2190,LM8
2010-12-03,5124,5338,4875,5338,7530,LM8
2010-12-06,5338,5409,5124,5409,3820,LM8
2010-12-07,5480,5516,5160,5160,740,LM8
2010-12-08,5338,5338,4911,5160,2580,LM8
2010-12-09,4911,5338,4911,4911,7310,LM8
2010-12-10,5089,5124,5053,5124,9840,LM8
2010-12-13,5373,5373,5373,5373,5950,LM8
2010-12-14,5623,5623,5587,5587,4010,LM8
2010-12-15,5836,5836,5801,5836,18100,LM8
2010-12-16,5836,6050,5694,5978,4110,LM8
2010-12-17,5694,6050,5694,5694,8000,LM8
2010-12-20,5445,5943,5445,5836,3080,LM8
2010-12-21,5836,6014,5551,5801,8820,LM8
2010-12-22,5658,5801,5658,5658,1060,LM8
2010-12-23,5389,5928,5389,5889,2460,LM8
2010-12-24,5620,5889,5620,5620,1030,LM8
2010-12-27,5851,5851,5620,5735,3150,LM8
2010-12-28,5774,5774,5466,5504,5570,LM8
2010-12-29,5735,5735,5235,5235,3130,LM8
2010-12-30,5389,5466,5004,5466,2090,LM8
2010-12-31,5466,5466,5466,5466,0,LM8
2011-01-04,5466,5466,5196,5196,650,LM8
2011-01-05,5389,5389,5196,5389,1260,LM8
2011-01-06,5504,5581,5119,5543,5070,LM8
2011-01-07,5581,5581,5312,5312,2210,LM8
2011-01-10,5466,5466,5081,5427,2230,LM8
2011-01-11,5543,5543,5158,5427,220,LM8
2011-01-12,5158,5389,5158,5389,1710,LM8
2011-01-13,5427,5427,5389,5389,370,LM8
2011-01-14,5389,5543,5389,5543,1810,LM8
2011-01-17,5581,5581,5273,5273,1750,LM8
2011-01-18,5389,5389,5389,5389,50,LM8
2011-01-19,5389,5389,5235,5312,950,LM8
2011-01-20,5119,5312,5081,5235,4670,LM8
2011-01-21,5042,5389,5004,5389,7740,LM8
2011-01-24,5466,5466,5119,5312,1030,LM8
2011-01-25,5119,5389,5119,5389,1420,LM8
2011-01-26,5389,5389,5389,5389,310,LM8
2011-01-27,5389,5389,5389,5389,10,LM8
2011-01-28,5389,5389,5389,5389,230,LM8
2011-02-08,5658,5658,5119,5427,1100,LM8
2011-02-09,5196,5543,5196,5543,210,LM8
2011-02-10,5273,5543,5273,5273,1000,LM8
2011-02-11,5042,5427,5042,5273,820,LM8
2011-02-14,5350,5350,5119,5273,1170,LM8
2011-02-15,5042,5273,5042,5042,590,LM8
2011-02-16,5042,5235,5042,5158,2080,LM8
2011-02-17,5158,5158,5158,5158,0,LM8
2011-02-18,5158,5158,4927,5004,4580,LM8
2011-02-21,5004,5196,4773,5004,2550,LM8
2011-02-22,5196,5235,5004,5004,250,LM8
2011-02-23,4773,5004,4773,5004,1010,LM8
2011-02-24,4811,4965,4773,4773,4630,LM8
2011-02-25,4619,4850,4619,4850,3720,LM8
2011-02-28,5081,5081,4850,4965,400,LM8
2011-03-01,5004,5042,4734,5004,1240,LM8
2011-03-02,5081,5081,4773,4773,530,LM8
2011-03-03,4850,4850,4542,4542,130,LM8
2011-03-04,4349,4734,4349,4734,4860,LM8
2011-03-07,4734,4965,4734,4927,140,LM8
2011-03-08,5158,5158,4850,5119,150,LM8
2011-03-09,5273,5273,5119,5273,100,LM8
2011-03-10,5273,5466,5235,5235,600,LM8
2011-03-11,5235,5389,5196,5389,1050,LM8
2011-03-14,5119,5389,5119,5235,300,LM8
2011-03-15,5312,5312,5004,5004,20,LM8
2011-03-16,5235,5235,4773,5158,780,LM8
2011-03-17,5312,5312,5312,5312,10,LM8
2011-03-18,5196,5350,5196,5196,20,LM8
2011-03-21,5196,5196,4965,5081,1390,LM8
2011-03-22,4850,5081,4850,4850,1740,LM8
2011-03-23,4619,5042,4619,4619,5170,LM8
2011-03-24,4850,4850,4388,4503,420,LM8
2011-03-25,4503,4696,4503,4580,620,LM8
2011-03-28,4773,4773,4388,4773,4050,LM8
2011-03-29,4965,4965,4542,4927,1200,LM8
2011-03-30,5158,5158,4965,4965,40,LM8
2011-03-31,4734,4965,4734,4927,230,LM8
2011-04-01,4696,4888,4696,4888,50,LM8
2011-04-04,4657,5004,4657,4927,740,LM8
2011-04-05,4965,4965,4696,4696,1290,LM8
2011-04-06,4888,4927,4580,4888,550,LM8
2011-04-07,5081,5081,4773,4773,550,LM8
2011-04-08,4850,4850,4542,4542,30,LM8
2011-04-13,4696,4734,4542,4734,1310,LM8
2011-04-14,4811,4811,4619,4619,3450,LM8
2011-04-15,4619,4850,4619,4811,5750,LM8
2011-04-18,5004,5004,4811,4850,4860,LM8
2011-04-19,4888,4927,4773,4888,5360,LM8
2011-04-20,4734,5004,4734,5004,3880,LM8
2011-04-21,5042,5196,4927,5004,11100,LM8
2011-04-22,4811,5158,4811,5119,4000,LM8
2011-04-25,5235,5235,5081,5196,5210,LM8
2011-04-26,5196,5196,5004,5004,6580,LM8
2011-04-27,5158,5235,5004,5196,5100,LM8
2011-04-28,5196,5196,4965,4965,1050,LM8
2011-04-29,5196,5196,4965,5158,4600,LM8
2011-05-04,5119,5158,5119,5158,1600,LM8
