time,open,high,low,close,volume,ticker
2018-01-10,13247,13247,13247,13247,100,M10
2018-01-11,15199,15199,15199,15199,170,M10
2018-01-12,17441,17441,17441,17441,8600,M10
2018-01-15,20057,20057,15822,17856,7100,M10
2018-01-16,17441,17441,15074,16611,5000,M10
2018-01-17,14368,14949,14327,14534,4811,M10
2018-01-18,16528,16569,16528,16569,609,M10
2018-01-19,16569,16569,16569,16569,200,M10
2018-01-22,16569,16569,15780,15780,400,M10
2018-01-23,14534,16195,14534,15365,3988,M10
2018-01-24,15572,15572,15572,15572,100,M10
2018-01-25,14949,14949,14949,14949,200,M10
2018-01-26,14949,14991,14949,14991,300,M10
2018-01-29,14949,14949,14327,14327,968,M10
2018-01-30,14534,14534,14534,14534,200,M10
2018-01-31,14534,14534,12458,14534,1900,M10
2018-02-01,13122,13122,13122,13122,0,M10
2018-02-02,13122,13122,13122,13122,0,M10
2018-02-05,13413,13413,13413,13413,900,M10
2018-02-06,11420,11420,11420,11420,1600,M10
2018-02-07,10797,10797,10797,10797,100,M10
2018-02-08,12416,12416,12416,12416,1000,M10
2018-02-09,14243,14243,14243,14243,100,M10
2018-02-12,14243,14243,14243,14243,0,M10
2018-02-13,14243,14243,14243,14243,600,M10
2018-02-21,15905,15905,15905,15905,100,M10
2018-02-22,15905,15905,15905,15905,0,M10
2018-02-23,14160,14202,14160,14202,720,M10
2018-02-26,14160,14160,14160,14160,0,M10
2018-02-27,14160,14160,14160,14160,0,M10
2018-02-28,14160,14160,14160,14160,0,M10
2018-03-01,14534,14949,14534,14949,300,M10
2018-03-02,13704,15365,13704,15365,200,M10
2018-03-05,16569,16569,16569,16569,100,M10
2018-03-06,14949,14949,14534,14534,600,M10
2018-03-07,14617,14617,14617,14617,200,M10
2018-03-08,14617,14617,14617,14617,0,M10
2018-03-09,14617,14617,14617,14617,0,M10
2018-03-12,14534,14534,14534,14534,100,M10
2018-03-13,14534,14534,14534,14534,0,M10
2018-03-14,14534,14534,14534,14534,0,M10
2018-03-15,14534,14534,14534,14534,0,M10
2018-03-16,14534,14534,14534,14534,0,M10
2018-03-19,14534,14534,14534,14534,0,M10
2018-03-20,14534,15780,14534,15780,500,M10
2018-03-21,15282,15282,15282,15282,0,M10
2018-03-22,15282,15282,15282,15282,0,M10
2018-03-23,15282,15282,13288,13288,400,M10
2018-03-26,15199,15199,13953,13953,2700,M10
2018-03-27,14327,15697,14327,15697,2500,M10
2018-03-28,15365,15365,15365,15365,3800,M10
2018-03-29,15365,15365,15365,15365,800,M10
2018-03-30,15365,15365,15365,15365,0,M10
2018-04-02,15365,15365,15365,15365,0,M10
2018-04-03,15365,15365,15365,15365,0,M10
2018-04-04,14949,15780,14949,15365,3500,M10
2018-04-05,14949,14949,14949,14949,2400,M10
2018-04-06,15033,15033,14949,14949,5400,M10
2018-04-09,14534,14949,14534,14949,600,M10
2018-04-10,14866,14866,14866,14866,0,M10
2018-04-11,14866,14866,14866,14866,0,M10
2018-04-12,14534,14534,14534,14534,400,M10
2018-04-13,14534,14534,14534,14534,0,M10
2018-04-16,14534,14534,14534,14534,0,M10
2018-04-17,14534,14534,14534,14534,0,M10
2018-04-18,14534,14534,14534,14534,0,M10
2018-04-19,14534,14534,14534,14534,0,M10
2018-04-20,15655,15655,15655,15655,100,M10
2018-04-23,17649,17649,17649,17649,110,M10
2018-04-24,17649,17649,17649,17649,0,M10
2018-04-26,17649,17649,17649,17649,0,M10
2018-04-27,17649,17649,17649,17649,0,M10
2018-05-02,17649,17649,17649,17649,0,M10
2018-05-03,17649,17649,17649,17649,0,M10
2018-05-04,17649,17649,17649,17649,0,M10
2018-05-07,17649,17649,17649,17649,10,M10
2018-05-08,17649,17649,17649,17649,0,M10
2018-05-09,17649,17649,17649,17649,0,M10
2018-05-10,17649,17649,17649,17649,0,M10
2018-05-11,15780,15780,15780,15780,100,M10
2018-05-14,15780,15780,15780,15780,0,M10
2018-05-15,15780,15780,15780,15780,0,M10
2018-05-16,15780,15780,15780,15780,0,M10
2018-05-17,15780,15780,15780,15780,0,M10
2018-05-18,14821,14821,14821,14821,1000,M10
2018-05-21,14821,14821,14821,14821,0,M10
2018-05-22,14821,14821,14821,14821,0,M10
2018-05-23,14821,14821,14821,14821,0,M10
2018-05-24,14821,14821,14821,14821,0,M10
2018-05-25,13949,13949,13949,13949,100,M10
2018-05-28,13077,13077,12641,12641,500,M10
2018-05-29,14385,14385,14385,14385,100,M10
2018-05-30,16521,16521,16521,16521,100,M10
2018-05-31,15257,16565,15257,16565,2200,M10
2018-06-01,15388,15388,15388,15388,0,M10
2018-06-04,15388,15388,15388,15388,0,M10
2018-06-05,17611,17611,17611,17611,100,M10
2018-06-06,17611,17611,17611,17611,0,M10
2018-06-07,17611,17611,17611,17611,0,M10
2018-06-08,17611,17611,17611,17611,0,M10
2018-06-11,17611,17611,17611,17611,0,M10
2018-06-12,17611,17611,17611,17611,0,M10
2018-06-13,15039,16129,15039,16129,1000,M10
2018-06-14,15170,15170,15170,15170,0,M10
2018-06-15,15170,15170,15170,15170,0,M10
2018-06-18,16129,16129,16129,16129,100,M10
2018-06-19,16129,16129,16129,16129,0,M10
2018-06-20,16129,16129,16129,16129,0,M10
2018-06-21,16129,16129,16129,16129,0,M10
2018-06-22,16129,16129,16129,16129,0,M10
2018-06-25,16129,16129,16129,16129,0,M10
2018-06-26,16129,16129,16129,16129,0,M10
2018-06-27,16129,16129,16129,16129,0,M10
2018-06-28,16129,16129,16129,16129,0,M10
2018-06-29,16129,16129,16129,16129,0,M10
2018-07-02,16129,16129,16129,16129,0,M10
2018-07-03,16129,16129,16129,16129,0,M10
2018-07-04,16129,16129,16129,16129,0,M10
2018-07-05,16129,16129,16129,16129,0,M10
2018-07-06,16129,16129,16129,16129,0,M10
2018-07-09,16129,16129,16129,16129,0,M10
2018-07-10,16129,16129,16129,16129,0,M10
2018-07-11,16129,16129,16129,16129,0,M10
2018-07-12,16129,16129,16129,16129,0,M10
2018-07-13,16129,16129,16129,16129,0,M10
2018-07-16,16129,16129,16129,16129,0,M10
2018-07-17,16129,16129,16129,16129,0,M10
2018-07-18,16129,16129,16129,16129,0,M10
2018-07-19,16129,16129,16129,16129,0,M10
2018-07-20,15213,15213,15213,15213,100,M10
2018-07-23,15213,15213,15213,15213,0,M10
2018-07-24,15213,15213,15213,15213,0,M10
2018-07-25,15213,15213,15213,15213,0,M10
2018-07-26,15213,15213,15213,15213,0,M10
2018-07-27,15213,15213,15213,15213,0,M10
2018-07-30,15213,15213,15213,15213,0,M10
2018-07-31,15213,15213,15213,15213,0,M10
2018-08-01,15213,15213,15213,15213,0,M10
2018-08-02,15213,15213,15213,15213,0,M10
2018-08-03,15213,15213,15213,15213,0,M10
2018-08-06,15213,15213,15213,15213,0,M10
2018-08-07,15213,15213,15213,15213,0,M10
2018-08-08,15213,15213,15213,15213,0,M10
2018-08-09,14821,14821,14821,14821,100,M10
2018-08-10,14821,14821,14821,14821,0,M10
2018-08-13,14821,14821,14821,14821,0,M10
2018-08-14,13164,13164,13164,13164,1600,M10
2018-08-15,13164,13164,13164,13164,100,M10
2018-08-16,13077,13077,12729,12729,300,M10
2018-08-17,14777,14777,14777,14777,100,M10
2018-08-20,15257,16957,14777,16957,19908,M10
2018-08-21,16957,19311,16957,18352,14238,M10
2018-08-22,18526,21273,18526,19398,6000,M10
2018-08-23,19834,19834,17567,17567,3950,M10
2018-08-24,18818,18818,18678,18678,2330,M10
2018-08-27,18678,18818,18678,18748,1400,M10
2018-08-28,16169,16169,16169,16169,238,M10
2018-08-29,16866,17075,16866,16936,500,M10
2018-08-30,16936,16936,16936,16936,0,M10
2018-08-31,17075,17215,17075,17215,538,M10
2018-09-04,17215,17215,17215,17215,0,M10
2018-09-05,17424,17424,17424,17424,100,M10
2018-09-06,17424,17424,17424,17424,0,M10
2018-09-07,17424,17424,17424,17424,200,M10
