time,open,high,low,close,volume,ticker
2020-06-29,28833,29283,28833,29283,2000,MA1
2020-06-30,29103,29103,29103,29103,0,MA1
2020-07-01,29103,29103,29103,29103,0,MA1
2020-07-02,29103,29103,29103,29103,0,MA1
2020-07-03,29103,29103,29103,29103,0,MA1
2020-07-06,27031,27031,27031,27031,500,MA1
2020-07-07,26129,27031,26129,27031,500,MA1
2020-07-08,27031,27031,27031,27031,200,MA1
2020-07-09,27031,27211,27031,27211,600,MA1
2020-07-10,27031,27932,27031,27932,400,MA1
2020-07-13,27932,27932,27932,27932,200,MA1
2020-07-14,23787,27932,23787,27932,5500,MA1
2020-07-15,23516,23516,23516,23516,700,MA1
2020-07-16,21624,21624,20723,20723,200,MA1
2020-07-17,21174,21174,21174,21174,0,MA1
2020-07-20,21174,21174,21174,21174,0,MA1
2020-07-21,21174,21174,21174,21174,0,MA1
2020-07-22,21174,21174,21174,21174,200,MA1
2020-07-23,21174,21174,21174,21174,0,MA1
2020-07-24,21174,21174,21174,21174,0,MA1
2020-07-27,21174,21174,21174,21174,0,MA1
2020-07-28,21174,21174,21174,21174,0,MA1
2020-07-29,21174,21174,21174,21174,0,MA1
2020-07-30,21174,21174,21174,21174,0,MA1
2020-07-31,21174,21174,21174,21174,0,MA1
2020-08-03,21174,21174,21174,21174,0,MA1
2020-08-04,22525,22525,20723,20723,12000,MA1
2020-08-05,22525,22525,22525,22525,0,MA1
2020-08-06,22525,22525,22525,22525,0,MA1
2020-08-07,21174,21174,21174,21174,500,MA1
2020-08-10,21174,21174,21174,21174,0,MA1
2020-08-11,21174,21174,21174,21174,0,MA1
2020-08-12,21174,21174,21174,21174,0,MA1
2020-08-13,21174,21174,21174,21174,0,MA1
2020-08-14,21174,21174,21174,21174,0,MA1
2020-08-17,21174,21174,21174,21174,0,MA1
2020-08-18,21174,21174,21174,21174,0,MA1
2020-08-19,21174,21174,21174,21174,500,MA1
2020-08-20,18110,18110,18110,18110,100,MA1
2020-08-21,15497,15497,15497,15497,100,MA1
2020-08-24,17750,17750,17750,17750,100,MA1
2020-08-25,20273,20273,19822,19822,700,MA1
2020-08-26,21624,21624,20723,20723,1600,MA1
2020-08-27,21624,21624,21624,21624,500,MA1
2020-08-28,21714,21714,21714,21714,1000,MA1
2020-08-31,21805,21805,21805,21805,300,MA1
2020-09-01,21895,21895,21895,21895,100,MA1
2020-09-03,21895,21895,21895,21895,500,MA1
2020-09-04,22525,22525,22525,22525,1000,MA1
2020-09-07,22525,22525,22525,22525,100,MA1
2020-09-08,22525,22525,22525,22525,1,MA1
2020-09-09,22525,22525,22525,22525,0,MA1
2020-09-10,22525,22525,22525,22525,2100,MA1
2020-09-11,22525,22525,22525,22525,400,MA1
2020-09-14,22525,22525,22525,22525,0,MA1
2020-09-15,22525,22525,22525,22525,0,MA1
2020-09-16,22525,22525,22525,22525,0,MA1
2020-09-17,22525,22525,22525,22525,100,MA1
2020-09-18,22525,22525,22525,22525,0,MA1
2020-09-21,22525,22525,22525,22525,0,MA1
2020-09-22,22525,22525,22525,22525,500,MA1
2020-09-23,19282,25859,19282,25859,200,MA1
2020-09-24,22615,22615,22615,22615,0,MA1
2020-09-25,19282,19282,19282,19282,100,MA1
2020-09-28,16488,22165,16488,22165,200,MA1
2020-09-29,19372,19372,19372,19372,0,MA1
2020-09-30,19372,19372,19372,19372,0,MA1
2020-10-01,22255,22255,22255,22255,100,MA1
2020-10-02,22255,22255,22255,22255,0,MA1
2020-10-05,22976,22976,22976,22976,100,MA1
2020-10-06,22976,22976,22976,22976,100,MA1
2020-10-07,22976,22976,22976,22976,0,MA1
2020-10-08,22976,22976,22976,22976,0,MA1
2020-10-09,22976,22976,22976,22976,0,MA1
2020-10-12,22976,22976,22976,22976,0,MA1
2020-10-13,22976,22976,22976,22976,0,MA1
2020-10-14,22976,22976,22976,22976,0,MA1
2020-10-15,22976,22976,22976,22976,0,MA1
2020-10-16,22976,22976,22976,22976,0,MA1
2020-10-19,22976,22976,22976,22976,0,MA1
2020-10-20,22976,22976,22976,22976,0,MA1
2020-10-21,22976,22976,22976,22976,0,MA1
2020-10-22,22976,22976,22976,22976,500,MA1
2020-10-23,22976,22976,22976,22976,500,MA1
2020-10-26,23877,23877,23877,23877,100,MA1
2020-10-27,23877,23877,23877,23877,0,MA1
2020-10-28,23877,23877,23877,23877,0,MA1
2020-10-29,23877,23877,23877,23877,0,MA1
2020-10-30,23877,23877,23877,23877,700,MA1
2020-11-02,23877,23877,23877,23877,0,MA1
2020-11-03,23877,23877,23877,23877,0,MA1
2020-11-04,23877,23877,23877,23877,5000,MA1
2020-11-05,23877,23877,23877,23877,2000,MA1
2020-11-06,23426,23426,23426,23426,100,MA1
2020-11-09,23426,23426,23426,23426,0,MA1
2020-11-10,23426,23426,23426,23426,0,MA1
2020-11-11,23426,23426,23426,23426,0,MA1
2020-11-12,23426,23426,23426,23426,0,MA1
2020-11-13,23426,23426,23426,23426,0,MA1
2020-11-16,23426,23426,23426,23426,0,MA1
2020-11-17,23426,23426,23426,23426,0,MA1
2020-11-18,23426,23426,23426,23426,0,MA1
2020-11-19,23426,23426,23426,23426,0,MA1
2020-11-20,23426,23426,23426,23426,0,MA1
2020-11-23,23426,23426,23426,23426,0,MA1
2020-11-24,21552,21552,21552,21552,1300,MA1
2020-11-25,21552,21552,21552,21552,0,MA1
2020-11-26,21552,21552,21552,21552,0,MA1
2020-11-27,21552,21552,21552,21552,0,MA1
2020-11-30,21552,21552,21552,21552,0,MA1
2020-12-01,21552,21552,21552,21552,0,MA1
2020-12-02,21552,21552,21552,21552,0,MA1
2020-12-03,21552,21552,21552,21552,0,MA1
2020-12-04,21552,21552,21552,21552,0,MA1
2020-12-07,21552,21552,21552,21552,0,MA1
2020-12-08,21552,21552,21552,21552,0,MA1
2020-12-09,21552,21552,21552,21552,0,MA1
2020-12-10,21552,21552,21552,21552,0,MA1
2020-12-11,21552,21552,21552,21552,0,MA1
2020-12-14,21552,21552,21552,21552,0,MA1
2020-12-15,21552,21552,21552,21552,0,MA1
2020-12-16,21552,21552,21552,21552,0,MA1
2020-12-17,21552,21552,21552,21552,0,MA1
2020-12-18,21552,21552,21552,21552,0,MA1
2020-12-21,21552,21552,21552,21552,0,MA1
2020-12-22,24645,24645,24645,24645,100,MA1
2020-12-23,24645,24645,24645,24645,0,MA1
2020-12-24,24645,24645,24645,24645,0,MA1
2020-12-25,24645,24645,24645,24645,0,MA1
2020-12-28,24645,24645,24645,24645,0,MA1
2020-12-29,24645,24645,24645,24645,0,MA1
2020-12-30,24645,24645,24645,24645,0,MA1
2020-12-31,24645,24645,24645,24645,0,MA1
2021-01-04,24645,24645,24645,24645,0,MA1
2021-01-05,24645,24645,24645,24645,0,MA1
2021-01-06,24645,24645,24645,24645,0,MA1
2021-01-07,26238,26238,26238,26238,100,MA1
2021-01-08,26238,26238,26238,26238,0,MA1
2021-01-11,26238,26238,26238,26238,0,MA1
2021-01-12,26238,26238,26238,26238,0,MA1
2021-01-13,26238,26238,26238,26238,0,MA1
2021-01-14,26238,26238,26238,26238,0,MA1
2021-01-15,26238,26238,26238,26238,0,MA1
2021-01-18,26238,26238,26238,26238,0,MA1
2021-01-19,26238,26238,26238,26238,0,MA1
2021-01-20,26238,26238,26238,26238,0,MA1
2021-01-21,26238,26238,26238,26238,0,MA1
2021-01-22,26238,26238,26238,26238,0,MA1
2021-01-25,26238,26238,26238,26238,0,MA1
2021-01-26,26238,26238,26238,26238,0,MA1
2021-01-27,26238,26238,26238,26238,0,MA1
2021-01-28,26238,26238,26238,26238,0,MA1
2021-01-29,26238,26238,26238,26238,0,MA1
2021-02-01,26238,26238,26238,26238,0,MA1
2021-02-02,26238,26238,26238,26238,0,MA1
2021-02-03,26238,26238,26238,26238,0,MA1
2021-02-04,26238,26238,26238,26238,0,MA1
2021-02-05,26238,26238,26238,26238,0,MA1
2021-02-08,26238,26238,26238,26238,200,MA1
2021-02-09,26238,26238,26238,26238,0,MA1
2021-02-17,26238,26238,26238,26238,0,MA1
2021-02-18,26238,26238,26238,26238,0,MA1
2021-02-19,26238,26238,26238,26238,0,MA1
2021-02-22,26238,26238,26238,26238,0,MA1
2021-02-23,26238,26238,26238,26238,0,MA1
2021-02-24,22302,22302,22302,22302,100,MA1
2021-02-25,24832,24832,19678,19678,200,MA1
2021-02-26,22489,22489,22489,22489,1500,MA1
2021-03-01,22489,22489,19772,19772,1100,MA1
2021-03-02,22489,23426,22489,23426,2400,MA1
2021-03-03,22489,22489,22489,22489,1500,MA1
2021-03-04,22489,22489,22489,22489,0,MA1
2021-03-05,19866,19866,19866,19866,100,MA1
2021-03-08,22770,22770,22770,22770,500,MA1
2021-03-09,19959,19959,19959,19959,100,MA1
2021-03-10,22864,22864,22864,22864,1500,MA1
2021-03-11,20615,20615,20615,20615,100,MA1
2021-03-12,18741,23708,18741,22770,1400,MA1
2021-03-15,25301,25301,25301,25301,400,MA1
2021-03-16,25301,25301,25301,25301,500,MA1
2021-03-17,25301,25301,25301,25301,600,MA1
2021-03-18,25301,25769,25301,25769,1000,MA1
2021-03-19,25582,25582,25582,25582,0,MA1
2021-03-22,25582,25582,25582,25582,500,MA1
2021-03-23,25769,25769,25769,25769,500,MA1
2021-03-24,25769,25769,25769,25769,0,MA1
2021-03-25,25769,25769,25769,25769,0,MA1
2021-03-26,25769,25769,25769,25769,500,MA1
2021-03-29,22114,22114,22114,22114,100,MA1
2021-03-30,25394,25394,25394,25394,100,MA1
2021-03-31,22114,23426,22114,22302,3300,MA1
2021-04-01,22114,25301,22114,25301,1100,MA1
2021-04-02,21459,21459,21459,21459,200,MA1
2021-04-05,20521,24645,20521,24645,300,MA1
2021-04-06,23426,23426,23426,23426,1000,MA1
2021-04-07,23426,23426,23426,23426,0,MA1
2021-04-08,23520,23520,23520,23520,700,MA1
2021-04-09,23520,23520,23520,23520,0,MA1
2021-04-12,23520,23520,23520,23520,0,MA1
2021-04-13,21552,24363,21552,24363,1100,MA1
2021-04-14,24363,24363,24363,24363,1000,MA1
2021-04-15,24363,24363,24363,24363,0,MA1
2021-04-16,24363,24363,24363,24363,1100,MA1
2021-04-19,24363,24363,24363,24363,0,MA1
2021-04-20,24363,24363,24363,24363,1000,MA1
2021-04-22,21646,24363,21646,24363,1100,MA1
2021-04-23,24363,24363,24363,24363,4000,MA1
2021-04-26,24457,24832,24363,24363,8300,MA1
2021-04-27,24551,24551,24551,24551,1400,MA1
2021-04-28,24551,24551,24551,24551,0,MA1
2021-04-29,25301,25301,25301,25301,2096,MA1
2021-05-04,25301,25301,25301,25301,0,MA1
2021-05-05,25301,25301,25301,25301,2000,MA1
2021-05-06,25394,25394,25394,25394,1000,MA1
2021-05-07,25394,25394,25394,25394,96,MA1
2021-05-10,22302,22302,22302,22302,100,MA1
2021-05-11,22302,22302,22302,22302,0,MA1
2021-05-12,22302,22302,22302,22302,0,MA1
2021-05-13,24363,24363,24363,24363,1000,MA1
2021-05-14,24363,24363,24363,24363,0,MA1
2021-05-17,21646,21646,21646,21646,100,MA1
2021-05-18,20147,20147,20147,20147,5439,MA1
2021-05-19,23145,23145,23145,23145,100,MA1
2021-05-20,20240,20240,20240,20240,100,MA1
2021-05-21,22864,23239,21177,21177,3600,MA1
2021-05-24,21552,24270,21552,21740,500,MA1
2021-05-25,24270,24270,24270,24270,100,MA1
2021-05-26,24270,24270,24270,24270,0,MA1
2021-05-27,24270,24270,24270,24270,0,MA1
2021-05-28,24270,24270,24270,24270,0,MA1
2021-05-31,23145,23145,21740,21740,600,MA1
2021-06-01,22958,22958,22958,22958,0,MA1
2021-06-02,23801,23801,23801,23801,135,MA1
2021-06-03,27362,27362,27362,27362,100,MA1
2021-06-04,23333,23333,23333,23333,100,MA1
2021-06-07,23333,23333,20521,20521,2600,MA1
2021-06-08,21552,22396,21552,22396,4800,MA1
2021-06-09,22021,22021,21646,21646,200,MA1
2021-06-10,22489,22489,22489,22489,400,MA1
2021-06-11,22396,22396,22396,22396,500,MA1
2021-06-14,20240,21927,20240,20334,800,MA1
2021-06-15,21271,21271,21271,21271,0,MA1
2021-06-16,21271,21271,21271,21271,0,MA1
2021-06-17,19303,21927,19022,19022,300,MA1
2021-06-18,21833,21833,21833,21833,1000,MA1
2021-06-21,21740,21740,21552,21552,300,MA1
2021-06-22,21646,21646,21646,21646,0,MA1
2021-06-23,21646,21646,21646,21646,0,MA1
2021-06-24,21646,21646,21646,21646,0,MA1
2021-06-25,21646,21646,21646,21646,0,MA1
2021-06-28,18928,18928,18928,18928,100,MA1
2021-06-29,18928,18928,18928,18928,0,MA1
2021-06-30,18928,18928,18928,18928,0,MA1
2021-07-01,20240,20240,20147,20147,1500,MA1
2021-07-02,21271,21365,21271,21365,2700,MA1
2021-07-05,21365,21365,21365,21365,0,MA1
2021-07-06,24551,24551,21552,21552,900,MA1
2021-07-07,20240,20240,20240,20240,100,MA1
2021-07-08,21552,21552,21552,21552,3000,MA1
2021-07-09,22021,22021,21833,22021,6000,MA1
2021-07-12,20709,20709,20709,20709,100,MA1
2021-07-13,20709,20709,20709,20709,0,MA1
2021-07-14,20709,20709,20709,20709,0,MA1
2021-07-15,20709,20709,20709,20709,0,MA1
2021-07-16,20709,20709,20709,20709,0,MA1
2021-07-19,22021,22021,22021,22021,2000,MA1
2021-07-20,19303,19303,19303,19303,101,MA1
2021-07-21,22114,22114,19959,19959,2300,MA1
2021-07-22,18741,18741,18741,18741,100,MA1
2021-07-23,21552,21552,21552,21552,100,MA1
2021-07-26,22021,22021,22021,22021,121,MA1
