time,open,high,low,close,volume,ticker
2017-01-05,73293,73293,51770,52352,163300,MCH
2017-01-06,52643,52643,49385,52352,53837,MCH
2017-01-09,49443,50316,48862,50025,22410,MCH
2017-01-10,49152,49152,45953,47349,56670,MCH
2017-01-11,46535,47116,44208,46535,49520,MCH
2017-01-12,46535,48862,46535,48803,15987,MCH
2017-01-13,48047,49385,47233,47233,12333,MCH
2017-01-16,46535,47058,44790,46535,5400,MCH
2017-01-17,45953,46535,45081,46011,15250,MCH
2017-01-18,46418,46418,45662,46244,11137,MCH
2017-01-19,45953,46477,44790,46477,26545,MCH
2017-01-20,46244,46535,45371,46535,11300,MCH
2017-01-23,45430,46535,45022,46535,39100,MCH
2017-01-24,45371,46244,45371,46244,4000,MCH
2017-01-25,45953,46535,45371,46535,9700,MCH
2017-02-02,46826,48396,46826,47698,5208,MCH
2017-02-03,47407,47524,46069,46477,12617,MCH
2017-02-06,45662,46535,45371,45546,3010,MCH
2017-02-07,46535,46535,44092,46069,68435,MCH
2017-02-08,45081,45371,45081,45371,400,MCH
2017-02-09,44790,46244,44790,45022,13900,MCH
2017-02-10,44790,45081,44208,44208,13920,MCH
2017-02-13,43684,43917,43335,43335,25000,MCH
2017-02-14,42754,43626,42754,43626,18191,MCH
2017-02-15,43335,43335,41881,43335,34609,MCH
2017-02-16,41881,43045,41881,42986,4830,MCH
2017-02-17,42579,42986,41939,41939,6958,MCH
2017-02-20,41881,41881,37809,40718,14495,MCH
2017-02-21,41823,41823,40485,40543,7960,MCH
2017-02-22,40718,41241,40427,41183,22730,MCH
2017-02-23,41125,42579,40718,42463,19200,MCH
2017-02-24,42347,42347,41125,42172,6900,MCH
2017-02-27,41009,42230,41009,41881,10346,MCH
2017-02-28,42172,42405,40660,40718,8627,MCH
2017-03-01,41881,42172,40485,41358,8740,MCH
2017-03-02,41532,41707,40602,40602,20921,MCH
2017-03-03,40718,40718,40427,40427,14742,MCH
2017-03-06,41241,41241,39554,39554,10240,MCH
2017-03-07,40543,40660,40543,40660,11100,MCH
2017-03-08,40660,40834,40136,40834,24130,MCH
