time,open,high,low,close,volume,ticker
2011-01-12,8751,8751,8751,8751,105230,MDG
2011-01-13,8313,8751,8313,8313,110,MDG
2011-01-14,7920,8313,7920,7963,162550,MDG
2011-01-17,8313,8313,7963,8313,1010,MDG
2011-01-18,8007,8313,7920,7920,4320,MDG
2011-01-19,7613,8313,7613,8051,284980,MDG
2011-01-20,7920,8051,7788,7788,123450,MDG
2011-01-21,7569,7876,7569,7832,22880,MDG
2011-01-24,7482,7876,7482,7876,10300,MDG
2011-01-25,7482,7876,7482,7482,28890,MDG
2011-01-26,7482,7482,7176,7176,18980,MDG
2011-01-27,7482,7482,6913,6913,44810,MDG
2011-01-28,7001,7219,6913,7219,14710,MDG
2011-02-08,7569,7569,7219,7569,12920,MDG
2011-02-09,7657,7657,7569,7613,2000,MDG
2011-02-10,7351,7613,7351,7482,7000,MDG
2011-02-11,7482,7482,7176,7176,1350,MDG
2011-02-14,7219,7438,7176,7438,7570,MDG
2011-02-15,7132,7438,7088,7088,39330,MDG
2011-02-16,7176,7176,6869,7132,1400,MDG
2011-02-17,6913,7132,6782,6782,41260,MDG
2011-02-18,6651,6651,6476,6476,16300,MDG
2011-02-21,6169,6169,6169,6169,54630,MDG
2011-02-22,5863,5863,5863,5863,5600,MDG
2011-02-23,5600,5819,5600,5644,198470,MDG
2011-02-24,5775,5775,5382,5425,28640,MDG
2011-02-25,5644,5688,5425,5688,29350,MDG
2011-02-28,5863,5863,5600,5644,2920,MDG
2011-03-01,5688,5688,5425,5600,42050,MDG
2011-03-02,5513,5600,5338,5338,78300,MDG
2011-03-03,5207,5469,5163,5250,32600,MDG
2011-03-04,5469,5469,5163,5250,22370,MDG
2011-03-07,5250,5250,5163,5250,34520,MDG
2011-03-08,5119,5294,5119,5207,31170,MDG
2011-03-09,5250,5250,5119,5163,7000,MDG
2011-03-10,5207,5382,5163,5382,4090,MDG
2011-03-11,5425,5600,5382,5600,23080,MDG
2011-03-14,5425,5600,5338,5338,13010,MDG
2011-03-15,5250,5338,5250,5250,6330,MDG
2011-03-16,5250,5250,5250,5250,7740,MDG
2011-03-17,5338,5513,5250,5469,2670,MDG
2011-03-18,5338,5600,5338,5600,5520,MDG
2011-03-21,5600,5600,5469,5469,26230,MDG
2011-03-22,5425,5732,5425,5732,102560,MDG
2011-03-23,5994,5994,5819,5994,78670,MDG
2011-03-24,5950,6257,5950,6038,50030,MDG
2011-03-25,5819,6082,5775,5907,51260,MDG
2011-03-28,5907,5994,5688,5688,49900,MDG
2011-03-29,5863,5863,5600,5600,21880,MDG
2011-03-30,5557,5863,5557,5775,53680,MDG
2011-03-31,5819,6038,5775,6038,116640,MDG
2011-04-01,6038,6301,6038,6257,128530,MDG
2011-04-04,6169,6257,5950,5950,32800,MDG
2011-04-05,5732,6038,5732,5994,27010,MDG
2011-04-06,6038,6169,5950,6125,37400,MDG
2011-04-07,6125,6125,5819,5819,106690,MDG
2011-04-08,5907,5994,5863,5863,47860,MDG
2011-04-13,5907,5907,5775,5863,58040,MDG
2011-04-14,5819,5907,5775,5863,53360,MDG
2011-04-15,5819,5950,5644,5644,71840,MDG
2011-04-18,5600,5688,5425,5513,88600,MDG
2011-04-19,5469,5644,5250,5250,99470,MDG
2011-04-20,5469,5469,5207,5250,85660,MDG
2011-04-21,5294,5382,5250,5382,61030,MDG
2011-04-22,5425,5425,5250,5338,24520,MDG
2011-04-25,5513,5557,5338,5557,94530,MDG
2011-04-26,5557,5557,5294,5294,52750,MDG
2011-04-27,5338,5469,5250,5250,63900,MDG
2011-04-28,5250,5338,5250,5338,110730,MDG
2011-04-29,5338,5382,5338,5338,46360,MDG
2011-05-04,5382,5513,5382,5469,93300,MDG
2011-05-05,5469,5469,5382,5469,27010,MDG
2011-05-06,5557,5557,5294,5338,16900,MDG
2011-05-09,5294,5338,5294,5338,23550,MDG
2011-05-10,5425,5425,5338,5425,12100,MDG
2011-05-11,5382,5425,5338,5338,5890,MDG
2011-05-12,5425,5425,5294,5294,1100,MDG
2011-05-13,5425,5425,5163,5338,2360,MDG
2011-05-16,5250,5338,5075,5075,19130,MDG
2011-05-17,4900,5075,4857,4857,7620,MDG
2011-05-18,4900,4944,4638,4638,6010,MDG
2011-05-19,4419,4857,4419,4813,5220,MDG
2011-05-20,4813,4988,4813,4988,60,MDG
2011-05-23,4769,4988,4769,4769,500,MDG
2011-05-24,4550,4813,4550,4550,12200,MDG
2011-05-25,4375,4550,4331,4331,8620,MDG
2011-05-26,4156,4375,4156,4200,8610,MDG
2011-05-27,4069,4375,4025,4200,15220,MDG
2011-05-30,4331,4331,4025,4025,2520,MDG
2011-05-31,3850,4025,3850,3850,6160,MDG
2011-06-01,3675,3938,3675,3675,29920,MDG
2011-06-02,3544,3850,3544,3850,43430,MDG
2011-06-03,4025,4025,3806,3938,35390,MDG
2011-06-06,3806,3938,3806,3938,11360,MDG
2011-06-07,3938,3938,3850,3894,20640,MDG
2011-06-08,3850,3894,3719,3719,10560,MDG
2011-06-09,3631,3894,3631,3894,90270,MDG
2011-06-10,4069,4069,4069,4069,100190,MDG
2011-06-13,4200,4244,4069,4244,25350,MDG
2011-06-14,4331,4419,4156,4156,110560,MDG
2011-06-15,4025,4156,3981,3981,42840,MDG
2011-06-16,3894,4025,3850,4025,37210,MDG
2011-06-17,3938,4025,3850,3938,36450,MDG
2011-06-20,3806,3850,3806,3806,14770,MDG
2011-06-21,3894,3894,3806,3894,1830,MDG
2011-06-22,3894,3894,3850,3850,10700,MDG
2011-06-23,3763,3938,3675,3675,12070,MDG
2011-06-24,3675,3719,3544,3675,13750,MDG
2011-06-27,3675,3675,3588,3675,16000,MDG
2011-06-28,3806,3806,3588,3588,24170,MDG
2011-06-29,3631,3675,3413,3588,61760,MDG
2011-06-30,3631,3631,3456,3500,18070,MDG
2011-07-01,3413,3588,3413,3588,8510,MDG
2011-07-04,3588,3631,3500,3500,15400,MDG
2011-07-05,3500,3588,3456,3544,14620,MDG
2011-07-06,3544,3544,3500,3500,330,MDG
2011-07-07,3500,3500,3413,3500,3240,MDG
2011-07-08,3544,3544,3369,3369,16050,MDG
2011-07-11,3456,3456,3281,3456,5270,MDG
2011-07-12,3413,3413,3325,3325,10120,MDG
2011-07-13,3238,3369,3238,3238,17340,MDG
2011-07-14,3281,3281,3281,3281,20,MDG
2011-07-15,3238,3281,3150,3150,11510,MDG
2011-07-18,3019,3238,3019,3019,51130,MDG
2011-07-19,3062,3062,2975,3062,1100,MDG
2011-07-20,3019,3062,2931,3062,16040,MDG
2011-07-21,2975,2975,2931,2931,19460,MDG
2011-07-22,3019,3019,2844,2931,2060,MDG
2011-07-25,3019,3019,2844,2887,7730,MDG
2011-07-26,2844,2931,2844,2931,4020,MDG
2011-07-27,3062,3062,2844,2844,60,MDG
2011-07-28,2931,2975,2931,2975,1620,MDG
2011-07-29,3062,3062,3062,3062,20,MDG
2011-08-01,3019,3019,2931,2975,5250,MDG
2011-08-02,2844,2975,2844,2844,4790,MDG
2011-08-03,2844,2844,2800,2800,7290,MDG
2011-08-04,2931,2931,2712,2931,4950,MDG
