time,open,high,low,close,volume,ticker
2009-11-26,8331,11571,7405,8331,14300,MHL
2009-11-27,8794,8794,8423,8423,8000,MHL
2009-11-30,9118,9118,8238,8562,60000,MHL
2009-12-01,8562,9025,8562,9025,78300,MHL
2009-12-02,8979,9580,8794,9534,86400,MHL
2009-12-03,9719,9997,9719,9997,82200,MHL
2009-12-04,10552,10552,10414,10552,92400,MHL
2009-12-07,11062,11200,10552,10552,86600,MHL
2009-12-08,10552,10738,9997,10182,98100,MHL
2009-12-09,9488,9488,9488,9488,32700,MHL
2009-12-10,8840,8840,8840,8840,16000,MHL
2009-12-11,8238,8794,8238,8794,71100,MHL
2009-12-14,8840,8840,8747,8840,83900,MHL
2009-12-15,9256,9256,8840,8932,30400,MHL
2009-12-16,9719,9766,8608,8655,106400,MHL
2009-12-17,8979,8979,8979,8979,32200,MHL
2009-12-18,8979,9210,8377,9071,69800,MHL
2009-12-21,9256,9673,9118,9673,173600,MHL
2009-12-22,10182,10182,9256,9719,69300,MHL
2009-12-23,9719,9719,9025,9025,20400,MHL
2009-12-24,9580,9673,9071,9627,27100,MHL
2009-12-25,9534,10182,9534,10182,193800,MHL
2009-12-28,10321,10321,9488,10136,23200,MHL
2009-12-29,10506,10506,9627,10460,23000,MHL
2009-12-30,9812,11154,9812,11154,56100,MHL
2009-12-31,11478,11524,11108,11108,14100,MHL
2010-01-04,11339,11339,10738,11339,36500,MHL
2010-01-05,11386,11524,11247,11386,16800,MHL
2010-01-06,11478,11478,10599,10599,44800,MHL
2010-01-07,10552,10552,10506,10506,14600,MHL
2010-01-08,10182,10506,9812,9858,34900,MHL
2010-01-11,9303,10182,9256,10136,16800,MHL
2010-01-12,9719,10182,9488,10182,3600,MHL
2010-01-13,10321,10321,9303,9303,6300,MHL
2010-01-14,9997,9997,9997,9997,15800,MHL
2010-01-15,10645,10691,10414,10691,16700,MHL
2010-01-18,11293,11386,10738,10738,22000,MHL
2010-01-19,11108,11432,10645,11432,32700,MHL
2010-01-20,10876,10876,10321,10321,25400,MHL
2010-01-21,10645,11154,10645,11154,4500,MHL
2010-01-22,11108,11108,10645,10645,9500,MHL
2010-01-25,10738,10738,10414,10414,15000,MHL
2010-01-26,11108,11247,10876,11247,20200,MHL
2010-01-27,11386,11478,11386,11386,5000,MHL
2010-01-28,10876,10876,10876,10876,5000,MHL
2010-01-29,10876,11339,10136,11339,30500,MHL
2010-02-01,11108,11524,11108,11524,7700,MHL
2010-02-02,11432,11524,11247,11524,19000,MHL
2010-02-03,11154,11154,11108,11108,7500,MHL
2010-02-04,11200,11848,11200,11848,26500,MHL
2010-02-05,11802,12219,11802,12219,18400,MHL
2010-02-08,12172,13005,12172,13005,16800,MHL
2010-02-09,13653,13792,13653,13792,3100,MHL
2010-02-10,14672,14672,14672,14672,2000,MHL
2010-02-11,14811,15690,14811,15690,8400,MHL
2010-02-12,16523,16523,15505,15505,2600,MHL
2010-02-22,15088,16199,15088,16199,5000,MHL
2010-02-23,14348,14348,14348,14348,19200,MHL
2010-02-24,13376,13376,13376,13376,2200,MHL
2010-02-25,12728,12728,12450,12496,20800,MHL
2010-02-26,11710,12033,11710,12033,17500,MHL
2010-03-01,12033,12774,12033,12774,24400,MHL
2010-03-02,12635,12728,12450,12728,6200,MHL
2010-03-03,12589,12959,12589,12959,5400,MHL
2010-03-04,13191,13191,12913,12959,5600,MHL
2010-03-05,12126,12589,12080,12080,12600,MHL
2010-03-08,12959,12959,12265,12265,9000,MHL
2010-03-09,12589,12589,12265,12265,7700,MHL
2010-03-10,12033,12080,11756,11802,60100,MHL
2010-03-11,12496,12681,11663,11895,40200,MHL
2010-03-12,12450,12496,11756,12033,37000,MHL
2010-03-15,12265,12265,12080,12126,3500,MHL
2010-03-16,12033,12033,11802,11802,9700,MHL
2010-03-17,11802,11802,11247,11247,17700,MHL
2010-03-18,11756,11941,11756,11941,13500,MHL
2010-03-19,12219,12219,11895,11895,5300,MHL
2010-03-22,12080,12080,11987,11987,2700,MHL
2010-03-23,12033,12126,12033,12080,12900,MHL
2010-03-24,12126,12265,11756,12265,17600,MHL
2010-03-25,12033,12404,12033,12219,9300,MHL
2010-03-26,12265,12543,12265,12543,10000,MHL
2010-03-29,12496,12681,12265,12681,12700,MHL
2010-03-30,12496,12589,12496,12496,4500,MHL
2010-03-31,12589,12728,12172,12728,5700,MHL
2010-04-01,12357,12959,12357,12959,20500,MHL
2010-04-02,12728,12913,12728,12728,10800,MHL
2010-04-05,12265,13191,12265,13191,22100,MHL
2010-04-06,12959,13376,11710,13376,57400,MHL
2010-04-07,13607,13607,12774,13607,266200,MHL
2010-04-08,14209,14209,14163,14209,93800,MHL
2010-04-09,15181,15181,15088,15181,67100,MHL
2010-04-12,15227,16199,14163,16199,137400,MHL
2010-04-13,15736,15736,14579,14579,78400,MHL
2010-04-14,14024,15273,13885,14440,138000,MHL
2010-04-15,14811,15690,14672,15690,82900,MHL
2010-04-16,16199,16569,16199,16569,38500,MHL
2010-04-19,17495,17634,17125,17634,64800,MHL
2010-04-20,18560,18745,16431,17634,130200,MHL
2010-04-21,17125,17588,15968,17588,123700,MHL
2010-04-22,16199,17171,15551,17171,94900,MHL
2010-04-26,17125,17171,15181,15505,200600,MHL
2010-04-27,15273,16477,14348,15968,100300,MHL
2010-04-28,15273,16431,15273,16431,91600,MHL
2010-04-29,16893,16893,15042,16199,92400,MHL
2010-05-04,16199,16245,15320,15783,81000,MHL
2010-05-05,14811,15690,14811,15690,75100,MHL
2010-05-06,15829,16107,15783,16107,16800,MHL
2010-05-07,17171,17171,15551,17171,202500,MHL
2010-05-10,18189,18189,15875,16847,106400,MHL
2010-05-11,16431,16431,15459,15505,43500,MHL
2010-05-12,14857,14903,14533,14903,91700,MHL
2010-05-13,14764,15644,13607,15273,131000,MHL
2010-05-14,15690,15736,14348,15273,54500,MHL
2010-05-17,15736,15736,14209,15366,26100,MHL
2010-05-18,15505,15736,14163,14996,197800,MHL
2010-05-19,13700,13792,13700,13700,124200,MHL
2010-05-20,12774,13700,12774,13052,84600,MHL
2010-05-21,11941,11987,11941,11941,142600,MHL
2010-05-24,11108,11339,11108,11108,79900,MHL
2010-05-25,10367,11710,10367,11524,126000,MHL
2010-05-26,11571,11710,11571,11710,34900,MHL
2010-05-27,12496,12496,11571,12496,92600,MHL
2010-05-28,13005,13005,13005,13005,12900,MHL
2010-05-31,13005,13885,12357,13885,104700,MHL
2010-06-01,13005,13283,12728,13144,53900,MHL
2010-06-02,12265,13653,12219,12820,66800,MHL
2010-06-03,13468,13468,12867,13376,14200,MHL
2010-06-04,12496,13977,12404,13977,86400,MHL
2010-06-07,13376,13422,12496,13422,86800,MHL
2010-06-08,12126,13283,12126,13283,67200,MHL
2010-06-09,12635,13885,12589,13144,88700,MHL
2010-06-10,14116,14209,13653,13977,44300,MHL
2010-06-11,14255,14255,14070,14070,15000,MHL
2010-06-14,15042,15088,14024,14811,90100,MHL
2010-06-15,14718,14718,14579,14718,32300,MHL
2010-06-16,14672,14811,13653,14672,76800,MHL
2010-06-17,13885,14718,12913,14301,71400,MHL
2010-06-18,13885,14348,13191,14348,54400,MHL
2010-06-21,14348,14394,14348,14394,8400,MHL
2010-06-22,15366,15366,15320,15366,20900,MHL
2010-06-23,16431,16431,16014,16431,91900,MHL
2010-06-24,16662,16893,16060,16431,61600,MHL
2010-06-25,16431,17541,15736,17541,77200,MHL
2010-06-28,16569,17356,16569,17356,45200,MHL
2010-06-29,17356,18513,17217,18513,76700,MHL
2010-06-30,17275,19178,17080,19178,64700,MHL
2010-07-01,18300,18300,17616,17665,51600,MHL
2010-07-02,17909,19129,17324,19129,67000,MHL
2010-07-05,19520,20008,18739,20008,53600,MHL
2010-07-06,20984,20984,20984,20984,14100,MHL
2010-07-07,22448,22448,22448,22448,13100,MHL
2010-07-08,22448,24009,22448,24009,76300,MHL
2010-07-09,23228,23228,21618,21618,39900,MHL
