time,open,high,low,close,volume,ticker
2017-05-05,6839,6839,6302,6839,89600,MIG
2017-05-08,7817,7817,7084,7328,215650,MIG
2017-05-09,7475,7475,6839,6839,39560,MIG
2017-05-10,6888,6888,6351,6791,100260,MIG
2017-05-11,6595,6839,6546,6644,47020,MIG
2017-05-12,6644,6644,6546,6546,34014,MIG
2017-05-15,6546,6546,6351,6351,44910,MIG
2017-05-16,6497,6644,6449,6644,17600,MIG
2017-05-17,6595,6644,6449,6449,42000,MIG
2017-05-18,6449,6449,6302,6351,43654,MIG
2017-05-19,6351,6351,6351,6351,62800,MIG
2017-05-22,6351,6400,6302,6351,69100,MIG
2017-05-23,6351,6351,6204,6253,19300,MIG
2017-05-24,6253,6253,5862,5862,32200,MIG
2017-05-25,5862,6107,5765,5862,245680,MIG
2017-05-26,5862,6644,5862,6644,161600,MIG
2017-05-29,6302,6595,6204,6204,40000,MIG
2017-05-30,6204,6351,6107,6107,76309,MIG
2017-05-31,6107,6107,6058,6058,15230,MIG
2017-06-01,6155,6155,6058,6107,17200,MIG
2017-06-02,6009,6107,6009,6009,34940,MIG
2017-06-05,6449,6449,6058,6107,6000,MIG
2017-06-06,6107,6107,6107,6107,1000,MIG
2017-06-07,6107,6204,6058,6155,80800,MIG
2017-06-08,6107,6351,6107,6155,75630,MIG
2017-06-09,6107,6107,6058,6107,4500,MIG
2017-06-12,6058,6107,6058,6058,55600,MIG
2017-06-13,6107,6204,6107,6155,34800,MIG
2017-06-14,6253,6302,6155,6155,33932,MIG
2017-06-15,6204,6204,6107,6107,7500,MIG
2017-06-16,6107,6107,6058,6058,20130,MIG
2017-06-19,6107,6351,6107,6253,93800,MIG
2017-06-20,6302,6351,6253,6302,8000,MIG
2017-06-21,6155,6155,6155,6155,10110,MIG
2017-06-22,6155,6155,6107,6107,35100,MIG
2017-06-23,6107,6107,6107,6107,19900,MIG
2017-06-26,6107,6107,6107,6107,20300,MIG
2017-06-27,6107,6107,5862,6107,20700,MIG
2017-06-28,5960,5960,5960,5960,12600,MIG
2017-06-29,6009,6009,5960,5960,3042,MIG
2017-06-30,5960,6302,5960,6107,41700,MIG
2017-07-03,6302,6302,6204,6204,35300,MIG
2017-07-04,6302,6351,6204,6351,70438,MIG
2017-07-05,6351,6400,6351,6400,34000,MIG
2017-07-06,6400,6595,6400,6497,80100,MIG
2017-07-07,6595,6791,6497,6546,77500,MIG
2017-07-10,6351,6888,6351,6595,33019,MIG
2017-07-11,6742,6839,6693,6791,135900,MIG
2017-07-12,6839,6839,6742,6791,72600,MIG
2017-07-13,6791,6791,6742,6791,503000,MIG
2017-07-14,6693,6791,6693,6693,215900,MIG
2017-07-17,6693,6693,6595,6595,38100,MIG
2017-07-18,6497,6595,6449,6449,5000,MIG
2017-07-19,6497,6546,6497,6546,10476,MIG
2017-07-20,6546,6595,6546,6546,29060,MIG
