time,open,high,low,close,volume,ticker
2010-08-16,24359,24429,24359,24359,9800,MIM
2010-08-17,24359,24359,24359,24359,100,MIM
2010-08-18,22689,22689,22689,22689,7700,MIM
2010-08-19,24011,24011,22619,22619,600,MIM
2010-08-20,21297,21297,21297,21297,32800,MIM
2010-08-23,22619,22619,22619,22619,2000,MIM
2010-08-24,22619,22619,22619,22619,0,MIM
2010-08-25,21088,21088,21088,21088,100,MIM
2010-08-26,19627,19627,19627,19627,2000,MIM
2010-08-27,18304,18791,18304,18791,40300,MIM
2010-08-30,19627,19627,19627,19627,400,MIM
2010-08-31,20949,20949,20531,20531,1200,MIM
2010-09-01,21227,21227,19209,19209,5100,MIM
2010-09-06,19209,19209,17956,17956,12700,MIM
2010-09-07,18026,18095,18026,18095,1400,MIM
2010-09-08,19279,19279,19279,19279,100,MIM
2010-09-09,18095,18095,17956,18026,13200,MIM
2010-09-10,16912,18304,16773,16843,5200,MIM
2010-09-13,16912,16912,15868,16007,4000,MIM
2010-09-14,16007,17121,16007,17121,4000,MIM
2010-09-15,17399,17399,17399,17399,1300,MIM
2010-09-16,18583,18583,18583,18583,13400,MIM
2010-09-17,19835,19835,19696,19835,17300,MIM
2010-09-20,20879,21158,20740,20740,4300,MIM
2010-09-21,20253,20253,19835,19835,1400,MIM
2010-09-22,18791,18791,18722,18722,20400,MIM
2010-09-23,17747,18652,17469,17539,21200,MIM
2010-09-24,16843,19348,16843,19139,3300,MIM
2010-09-27,19696,19696,19557,19557,10100,MIM
2010-09-28,18374,18583,18374,18443,7500,MIM
2010-09-29,19348,19348,19348,19348,10000,MIM
2010-09-30,18026,18026,18026,18026,1300,MIM
2010-10-01,19139,19139,19139,19139,10000,MIM
2010-10-04,17887,17887,17887,17887,500,MIM
2010-10-05,18235,18235,18235,18235,11000,MIM
2010-10-06,18722,18722,18722,18722,300,MIM
2010-10-07,18652,18791,17817,17817,19100,MIM
2010-10-08,18652,18652,17260,17260,4200,MIM
2010-10-11,19170,19170,18442,18442,18400,MIM
2010-10-12,19008,19008,17714,17795,4400,MIM
2010-10-13,18846,18846,18199,18199,19300,MIM
2010-10-14,17875,17956,17875,17956,600,MIM
2010-10-15,18765,18765,18765,18765,17000,MIM
2010-10-18,17552,17552,17471,17552,400,MIM
2010-10-19,18522,18522,18522,18522,18000,MIM
2010-10-20,18846,18846,18846,18846,100,MIM
2010-10-21,18765,18765,17552,17552,25000,MIM
2010-10-22,17390,18037,17228,17228,9200,MIM
2010-10-25,18118,18118,18118,18118,18000,MIM
2010-10-26,17875,17956,17795,17875,800,MIM
2010-10-27,16662,17795,16662,17795,18300,MIM
2010-10-28,16986,16986,16986,16986,500,MIM
2010-10-29,17309,17309,16581,16581,19000,MIM
2010-11-01,18361,18361,16419,16419,18500,MIM
2010-11-02,18280,18280,18280,18280,0,MIM
2010-11-03,18037,18037,17067,17067,19200,MIM
2010-11-04,16743,16743,16743,16743,1500,MIM
2010-11-05,17309,17633,16419,17309,18700,MIM
2010-11-08,17956,17956,16339,16339,4000,MIM
2010-11-09,17390,17390,15772,15772,18400,MIM
2010-11-10,16258,17228,16177,16177,3900,MIM
2010-11-11,17956,17956,15853,15853,23100,MIM
2010-11-12,16096,16096,16096,16096,300,MIM
2010-11-15,17067,17067,16905,16905,16000,MIM
2010-11-16,17067,17067,17067,17067,0,MIM
2010-11-17,15934,17552,15934,17552,19000,MIM
2010-11-18,17309,17309,17309,17309,0,MIM
2010-11-19,18361,18361,16177,16177,20200,MIM
2010-11-22,18199,18199,18199,18199,0,MIM
2010-11-23,18199,18199,18199,18199,0,MIM
2010-11-24,16986,16986,16986,16986,200,MIM
2010-11-25,16015,16177,15853,15853,4900,MIM
2010-11-26,15287,15287,15287,15287,1000,MIM
