time,open,high,low,close,volume,ticker
2015-10-07,20031,20476,20031,20476,205340,NAF
2015-10-08,20773,21293,20699,20996,181610,NAF
2015-10-09,21070,21218,20773,20773,186950,NAF
2015-10-12,20402,20551,20254,20402,133750,NAF
2015-10-13,20254,20402,20180,20328,162920,NAF
2015-10-14,20328,20699,20328,20328,169100,NAF
2015-10-15,20328,20476,20180,20254,149200,NAF
2015-10-16,20254,20402,20254,20254,174900,NAF
2015-10-19,20254,20402,20180,20180,233650,NAF
2015-10-20,20106,20328,20106,20106,187110,NAF
2015-10-21,20106,20180,20031,20106,173790,NAF
2015-10-22,20106,20254,20031,20106,200300,NAF
2015-10-23,20180,20328,20180,20254,204390,NAF
2015-10-26,20180,20328,20106,20254,236250,NAF
2015-10-27,20180,20180,19957,20031,168800,NAF
2015-10-28,20031,20180,19957,19957,166420,NAF
2015-10-29,19957,20625,19957,20625,221300,NAF
2015-10-30,20476,22034,20254,22034,292180,NAF
2015-11-02,22331,23518,22331,23518,211810,NAF
2015-11-03,23518,24112,22034,23741,212490,NAF
2015-11-04,22628,23741,22628,23518,232220,NAF
2015-11-05,22480,23741,22480,23593,225280,NAF
2015-11-06,23073,23593,23073,23222,223140,NAF
2015-11-09,22999,23370,22999,23222,209930,NAF
2015-11-10,23147,23667,23147,23518,266990,NAF
2015-11-11,23518,23667,23370,23518,220380,NAF
2015-11-12,23222,23518,22999,23444,222860,NAF
2015-11-13,23296,23889,22999,23741,336740,NAF
2015-11-16,24112,25225,24112,24780,367630,NAF
2015-11-17,24780,24780,24112,24260,270870,NAF
2015-11-18,24260,24260,23667,24112,219660,NAF
2015-11-19,22628,24260,22628,23889,222160,NAF
2015-11-20,23889,23963,23667,23667,242410,NAF
2015-11-23,23667,23741,23296,23296,155040,NAF
2015-11-24,22999,23370,22999,23073,160510,NAF
2015-11-25,23147,23667,22851,23370,238810,NAF
2015-11-26,23222,23444,23073,23073,206450,NAF
2015-11-27,22925,23147,22331,22331,189900,NAF
2015-11-30,22851,22851,22109,22257,217650,NAF
2015-12-01,22331,22554,22109,22109,175350,NAF
2015-12-02,22331,23370,22183,22554,276250,NAF
2015-12-03,22554,22776,22480,22554,143400,NAF
2015-12-04,22405,22554,22331,22405,124070,NAF
2015-12-07,22257,22405,22034,22109,145290,NAF
2015-12-08,21738,22257,21589,22257,168410,NAF
2015-12-09,22405,22405,22034,22109,166840,NAF
2015-12-10,22257,22257,21886,21960,158770,NAF
2015-12-11,22034,22257,21886,22034,141240,NAF
2015-12-14,22109,22109,21960,22034,143280,NAF
2015-12-15,22109,22183,22034,22109,145280,NAF
2015-12-16,22183,22183,22034,22109,161100,NAF
2015-12-17,22034,22257,22034,22183,123100,NAF
2015-12-18,22109,22405,22034,22257,236600,NAF
2015-12-21,22331,22405,22257,22331,274000,NAF
2015-12-22,22331,22776,22331,22554,319650,NAF
2015-12-23,22405,22554,22331,22405,177230,NAF
2015-12-24,22480,22554,22405,22480,170200,NAF
2015-12-25,22480,22554,22405,22480,120360,NAF
2015-12-28,22480,22554,22331,22331,170660,NAF
2015-12-29,22257,22480,22183,22405,160850,NAF
2015-12-30,22331,22554,22331,22405,162800,NAF
2015-12-31,22257,22405,22257,22257,150020,NAF
2016-01-04,22257,22331,21960,21960,163100,NAF
2016-01-05,21960,21960,21515,21515,190040,NAF
2016-01-06,21515,21886,21515,21664,167000,NAF
2016-01-07,21589,21664,21367,21515,134010,NAF
2016-01-08,21515,21515,21293,21293,189330,NAF
2016-01-11,21218,21367,21218,21293,151060,NAF
2016-01-12,21293,21515,21218,21367,151640,NAF
2016-01-13,21515,21515,21218,21293,171800,NAF
2016-01-14,21218,21218,20996,21144,158000,NAF
2016-01-15,21293,21293,20847,20847,153390,NAF
2016-01-18,20625,20625,20106,20254,187710,NAF
2016-01-19,20106,20699,20106,20625,172360,NAF
2016-01-20,20476,20625,20328,20402,146450,NAF
2016-01-21,20180,20476,20180,20254,169800,NAF
2016-01-22,20402,20476,20180,20402,178000,NAF
2016-01-25,20551,21812,20551,21812,258970,NAF
2016-01-26,21812,21812,21367,21367,160330,NAF
2016-01-27,21589,21812,21589,21589,159090,NAF
2016-01-28,21441,21589,21218,21293,167960,NAF
2016-01-29,21293,21515,21293,21441,179550,NAF
2016-02-01,21441,21589,21367,21367,152300,NAF
2016-02-02,21218,21441,21218,21293,153750,NAF
2016-02-03,21293,21293,20996,21218,161870,NAF
2016-02-04,21144,21293,21144,21218,113110,NAF
2016-02-05,21218,21367,21144,21144,93970,NAF
2016-02-15,20773,21070,20699,20699,130750,NAF
2016-02-16,20699,20922,20699,20773,145420,NAF
2016-02-17,20773,20922,20625,20773,160720,NAF
2016-02-18,20922,21070,20847,20922,170210,NAF
2016-02-19,20847,21070,20773,20922,175690,NAF
2016-02-22,20847,21144,20847,20996,171010,NAF
2016-02-23,20996,21218,20996,20996,180810,NAF
2016-02-24,20922,21070,20847,20922,164920,NAF
2016-02-25,20922,21070,20847,20847,168750,NAF
2016-02-26,20922,20922,20699,20847,156270,NAF
2016-02-29,20847,20922,20699,20699,193920,NAF
2016-03-01,20922,20996,20773,20847,168250,NAF
2016-03-02,20996,21144,20922,20996,212890,NAF
2016-03-03,20847,20996,20773,20922,151300,NAF
2016-03-04,20847,21070,20847,20996,146230,NAF
2016-03-07,20996,20996,20847,20922,158250,NAF
2016-03-08,20847,20922,20847,20847,144100,NAF
2016-03-09,20847,20922,20773,20773,140350,NAF
2016-03-10,20773,20922,20699,20847,167100,NAF
2016-03-11,20847,20922,20773,20847,162910,NAF
2016-03-14,20922,20996,20773,20922,159600,NAF
2016-03-15,20847,20922,20773,20847,159090,NAF
2016-03-16,20847,20996,20847,20922,193790,NAF
2016-03-17,20996,21144,20922,20996,206960,NAF
2016-03-18,20996,21070,20922,21070,173150,NAF
2016-03-21,20996,21218,20996,21070,192900,NAF
2016-03-22,21070,21144,20922,21070,168930,NAF
2016-03-23,21070,21218,20996,21144,189070,NAF
2016-03-24,21144,21218,20996,21144,187820,NAF
2016-03-25,21144,21218,21070,21218,168640,NAF
2016-03-28,21218,21515,21070,21515,228600,NAF
2016-03-29,21589,21960,21515,21886,277910,NAF
2016-03-30,21812,22034,21664,21886,225150,NAF
2016-03-31,21886,21960,21664,21664,211650,NAF
2016-04-01,21664,21664,21367,21515,206800,NAF
2016-04-04,21441,21664,21367,21515,188130,NAF
2016-04-05,21589,21960,21515,21960,252540,NAF
2016-04-06,21960,22257,21960,22257,254890,NAF
2016-04-07,22257,22331,22034,22331,230500,NAF
2016-04-08,22331,22331,22034,22109,219140,NAF
2016-04-11,22183,22257,21886,21960,222330,NAF
2016-04-12,21960,21960,21738,21886,180060,NAF
2016-04-13,21960,22109,21812,21886,205960,NAF
2016-04-14,21886,22109,21812,21886,207410,NAF
2016-04-15,21886,22109,21886,21960,177410,NAF
2016-04-19,21960,21960,21589,21589,174280,NAF
2016-04-20,21441,21812,21441,21738,188100,NAF
2016-04-21,21664,22034,21664,21960,191410,NAF
2016-04-22,21886,22183,21812,22183,202680,NAF
2016-04-25,22183,22257,21960,22034,185660,NAF
2016-04-26,22034,22257,21886,22183,171200,NAF
2016-04-27,22109,22183,21960,22034,153210,NAF
2016-04-28,21960,22109,21960,22034,206460,NAF
2016-04-29,21960,22183,21960,22034,152000,NAF
2016-05-04,22034,22034,21886,21886,120760,NAF
2016-05-05,21886,22034,21886,21960,186020,NAF
2016-05-06,21960,22183,21886,22109,161970,NAF
2016-05-09,22034,22183,21886,21886,156150,NAF
2016-05-10,21886,21886,21738,21886,158700,NAF
2016-05-11,21886,21960,21812,21886,143690,NAF
2016-05-12,21960,22034,21812,21812,141250,NAF
2016-05-13,21812,21886,21664,21664,144640,NAF
2016-05-16,21664,21738,21515,21664,150100,NAF
2016-05-17,21589,21812,21589,21664,147080,NAF
2016-05-18,21515,21738,21515,21589,147830,NAF
2016-05-19,21515,21664,21515,21589,136060,NAF
2016-05-20,21515,21589,21441,21515,148990,NAF
2016-05-23,21367,21515,21367,21441,142930,NAF
2016-05-24,21441,21515,21367,21515,128720,NAF
2016-05-25,21515,21664,21441,21515,153910,NAF
2016-05-26,21441,21589,20847,20996,133840,NAF
2016-05-27,20996,21144,20847,20996,137170,NAF
2016-05-30,20996,21218,20922,21070,144780,NAF
2016-05-31,21070,21070,20922,21070,131460,NAF
2016-06-01,21070,21144,20922,21070,157240,NAF
2016-06-02,20996,21070,20847,20922,130780,NAF
2016-06-03,20922,20996,20847,20922,123520,NAF
2016-06-06,20922,20996,20773,20847,144330,NAF
2016-06-07,20922,20996,20847,20922,134440,NAF
2016-06-08,20922,21070,20847,20922,125240,NAF
2016-06-09,20922,20996,20773,20773,143700,NAF
2016-06-10,20847,20847,20699,20773,125540,NAF
2016-06-13,20773,20773,20551,20625,116700,NAF
2016-06-14,20551,20625,20476,20625,134140,NAF
2016-06-15,20625,20625,20402,20551,151790,NAF
2016-06-16,20551,20699,20476,20551,139800,NAF
2016-06-17,20551,20625,20402,20476,140570,NAF
2016-06-20,20476,20699,20476,20625,143600,NAF
2016-06-21,20625,20847,20625,20699,147760,NAF
2016-06-22,20699,20773,20551,20551,150500,NAF
2016-06-23,20551,20773,20476,20699,146690,NAF
2016-06-24,20699,20699,20106,20328,215780,NAF
2016-06-27,20106,20254,19883,20180,131610,NAF
2016-06-28,20106,20254,20031,20180,136900,NAF
2016-06-29,20180,20476,20180,20328,140920,NAF
2016-06-30,20328,20476,20254,20402,136210,NAF
2016-07-01,20328,20625,20328,20551,143960,NAF
2016-07-04,20476,20625,20328,20551,142280,NAF
2016-07-05,20551,20922,20551,20773,171670,NAF
2016-07-06,21226,21226,20849,20924,135270,NAF
2016-07-07,20924,21075,20924,21000,157930,NAF
2016-07-08,21000,21151,20773,20849,142780,NAF
2016-07-11,20849,20924,20622,20698,163780,NAF
