time,open,high,low,close,volume,ticker
2009-08-06,7071,8159,6799,7343,581600,NBP
2009-08-07,7615,7643,7343,7643,315900,NBP
2009-08-10,8159,8159,8023,8159,637900,NBP
2009-08-11,8731,8731,8187,8703,441900,NBP
2009-08-12,8431,8540,8023,8159,319800,NBP
2009-08-13,8214,8622,8214,8404,463800,NBP
2009-08-14,8404,8948,8377,8948,612300,NBP
2009-08-17,9275,9275,8975,9275,521200,NBP
2009-08-18,9247,9900,9220,9900,558900,NBP
2009-08-19,9819,10363,9791,10335,866400,NBP
2009-08-20,10743,10743,9628,10227,745900,NBP
2009-08-21,10063,10335,9519,9927,351400,NBP
2009-08-24,10009,10009,9465,9465,226300,NBP
2009-08-25,9383,10172,9383,10172,467000,NBP
2009-08-26,9927,10553,9927,10553,603100,NBP
2009-08-27,11151,11260,10390,10607,202300,NBP
2009-08-28,10743,10743,10363,10526,177300,NBP
2009-08-31,10471,10771,10471,10743,675900,NBP
2009-09-01,10662,10743,10335,10607,232500,NBP
2009-09-03,10471,10553,10308,10390,264000,NBP
2009-09-04,10390,10390,9927,10145,227500,NBP
2009-09-07,9791,10852,9655,10254,115600,NBP
2009-09-08,10335,10335,10063,10254,40000,NBP
2009-09-09,10553,10961,10172,10199,87700,NBP
2009-09-10,10254,10254,9955,10036,53900,NBP
2009-09-11,10009,10118,10009,10091,133700,NBP
2009-09-14,10118,10199,10063,10145,101900,NBP
2009-09-15,10091,10118,9846,10063,81900,NBP
2009-09-16,10036,10199,10009,10118,128100,NBP
2009-09-17,10172,10199,10009,10091,39700,NBP
2009-09-18,10063,10199,10063,10063,146800,NBP
2009-09-21,9982,10553,9982,10281,206800,NBP
2009-09-22,10281,10335,10227,10281,74700,NBP
2009-09-23,10335,10553,10091,10172,114700,NBP
2009-09-24,10390,10607,10254,10254,291800,NBP
2009-09-25,10471,10471,10308,10308,220000,NBP
2009-09-28,10335,10471,10308,10363,125500,NBP
2009-09-29,10335,10363,10091,10199,112700,NBP
2009-09-30,10036,10254,9927,10227,143300,NBP
2009-10-01,10199,10199,9574,9955,71800,NBP
2009-10-02,9791,9791,9275,9791,51200,NBP
2009-10-05,9655,9791,9655,9655,47100,NBP
2009-10-06,9846,9873,9519,9655,61300,NBP
2009-10-07,9764,10063,9655,9737,96200,NBP
2009-10-08,10009,10009,9601,9710,121000,NBP
2009-10-09,9791,10308,9791,10281,342700,NBP
2009-10-12,10607,10743,10335,10417,244700,NBP
2009-10-13,10555,11194,10527,11194,967400,NBP
2009-10-14,11666,11666,11666,11666,270100,NBP
2009-10-15,12471,12471,11943,12138,782100,NBP
2009-10-16,11943,12360,11555,11555,468100,NBP
2009-10-19,11471,11471,10860,10999,530300,NBP
2009-10-20,11527,11666,10971,11388,425900,NBP
2009-10-21,11388,11388,10860,11027,246800,NBP
2009-10-22,10971,10971,10416,10555,238300,NBP
2009-10-23,10388,10471,9944,10055,1035700,NBP
2009-10-26,9721,10277,9721,9971,277100,NBP
2009-10-27,9888,9888,9388,9499,323000,NBP
2009-10-28,8833,9638,8833,9055,182800,NBP
2009-10-29,8833,8833,8499,8499,301500,NBP
2009-10-30,8888,8888,8444,8583,131600,NBP
2009-11-02,8110,8194,8027,8027,186300,NBP
2009-11-03,7777,7833,7471,7471,105200,NBP
2009-11-04,7360,7999,6999,7805,487900,NBP
2009-11-05,7833,7833,7833,7833,55500,NBP
2009-11-06,8360,8360,7999,8360,351300,NBP
2009-11-09,8499,8499,7749,7749,147700,NBP
2009-11-10,7833,8055,7277,7277,214600,NBP
2009-11-11,7249,8110,7221,7916,201100,NBP
2009-11-12,8194,8305,8055,8194,102600,NBP
2009-11-13,7694,8166,7694,8055,90200,NBP
2009-11-16,8166,8194,7721,7777,63000,NBP
2009-11-17,8055,8055,7777,7777,41400,NBP
