time,open,high,low,close,volume,ticker
2010-06-03,18726,18726,18726,18726,0,NDC
2010-06-04,18726,18726,18726,18726,0,NDC
2010-06-07,18726,18726,18726,18726,0,NDC
2010-06-08,18726,18726,18726,18726,0,NDC
2010-06-09,18726,18726,18726,18726,0,NDC
2010-06-10,18726,18726,18726,18726,0,NDC
2010-06-11,18726,18726,18726,18726,0,NDC
2010-06-14,18726,18726,18726,18726,0,NDC
2010-06-15,18726,18726,18726,18726,0,NDC
2010-06-16,18726,18726,18726,18726,0,NDC
2010-06-17,18726,18726,18726,18726,0,NDC
2010-06-18,18726,18726,18726,18726,0,NDC
2010-06-21,18726,18726,18726,18726,0,NDC
2010-06-22,18726,18726,18726,18726,0,NDC
2010-06-23,18726,18726,18726,18726,0,NDC
2010-06-24,18726,18726,18726,18726,0,NDC
2010-06-25,18726,18726,18726,18726,0,NDC
2010-06-28,18726,18726,18726,18726,0,NDC
2010-06-29,18726,18726,18726,18726,0,NDC
2010-06-30,18726,18726,18726,18726,0,NDC
2010-07-01,18726,18726,18726,18726,0,NDC
2010-07-02,18726,18726,18726,18726,0,NDC
2010-07-05,18726,18726,18726,18726,0,NDC
2010-07-06,18726,18726,18726,18726,0,NDC
2010-07-07,18726,18726,18726,18726,0,NDC
2010-07-08,18726,18726,18726,18726,0,NDC
2010-07-09,18726,18726,18726,18726,0,NDC
2010-07-12,18726,18726,18726,18726,0,NDC
2010-07-13,18726,18726,18726,18726,0,NDC
2010-07-14,18726,18726,18726,18726,0,NDC
2010-07-15,18726,18726,18726,18726,0,NDC
2010-07-16,18726,18726,18726,18726,0,NDC
2010-07-19,18726,18726,18726,18726,0,NDC
2010-07-20,18726,18726,18726,18726,0,NDC
2010-07-21,18726,18726,18726,18726,0,NDC
2010-07-22,18726,18726,18726,18726,0,NDC
2010-07-23,18726,18726,18726,18726,0,NDC
2010-07-26,18726,18726,18726,18726,0,NDC
2010-07-27,18726,18726,18726,18726,0,NDC
2010-07-28,18726,18726,18726,18726,0,NDC
2010-07-29,18726,18726,18726,18726,0,NDC
2010-07-30,18726,18726,18726,18726,0,NDC
2010-08-02,16853,16853,16853,16853,100,NDC
2010-08-03,16853,16853,16853,16853,0,NDC
2010-08-04,15168,15168,15168,15168,100,NDC
2010-08-05,15168,15168,15168,15168,0,NDC
2010-08-06,15168,15168,15168,15168,0,NDC
2010-08-09,15168,15168,15168,15168,0,NDC
2010-08-10,15168,15168,15168,15168,0,NDC
2010-08-11,15168,15168,15168,15168,0,NDC
2010-08-12,15168,15168,15168,15168,0,NDC
2010-08-13,15168,15168,15168,15168,0,NDC
2010-08-16,15168,15168,15168,15168,0,NDC
2010-08-17,15168,15168,15168,15168,0,NDC
2010-08-18,15168,15168,15168,15168,0,NDC
2010-08-19,15168,15168,15168,15168,0,NDC
2010-08-20,15168,15168,15168,15168,0,NDC
2010-08-23,15168,15168,15168,15168,0,NDC
2010-08-24,15168,15168,15168,15168,0,NDC
2010-08-25,15168,15168,15168,15168,0,NDC
2010-08-26,15168,15168,15168,15168,0,NDC
2010-08-27,15168,15168,15168,15168,0,NDC
2010-08-30,15168,15168,15168,15168,0,NDC
2010-08-31,15168,15168,15168,15168,0,NDC
2010-09-01,15168,15168,15168,15168,0,NDC
2010-09-06,15168,15168,15168,15168,0,NDC
2010-09-07,15168,15168,15168,15168,0,NDC
2010-09-08,15168,15168,15168,15168,0,NDC
2010-09-09,13670,13670,13670,13670,16100,NDC
2010-09-10,13670,13670,13670,13670,0,NDC
2010-09-13,13670,13670,13670,13670,0,NDC
2010-09-14,13670,13670,13670,13670,0,NDC
2010-09-15,13670,13670,13670,13670,0,NDC
2010-09-16,12640,12640,12640,12640,1300,NDC
2010-09-17,12640,12640,12640,12640,0,NDC
2010-09-20,12640,12640,12640,12640,0,NDC
2010-09-21,12640,12640,12640,12640,0,NDC
2010-09-22,12640,12640,12640,12640,0,NDC
2010-09-23,12640,12640,12640,12640,0,NDC
2010-09-24,12640,12640,12640,12640,0,NDC
2010-09-27,12640,12640,12640,12640,0,NDC
2010-09-28,12640,12640,12640,12640,0,NDC
2010-09-29,12640,12640,12640,12640,0,NDC
2010-09-30,12640,12640,12640,12640,0,NDC
2010-10-01,12640,12640,12640,12640,0,NDC
2010-10-04,12640,12640,12640,12640,0,NDC
2010-10-05,11376,11376,11376,11376,100,NDC
2010-10-06,11376,11376,11376,11376,0,NDC
2010-10-07,11376,11376,11376,11376,0,NDC
2010-10-08,11376,11376,11376,11376,0,NDC
2010-10-11,11376,11376,11376,11376,0,NDC
2010-10-12,11376,11376,11376,11376,0,NDC
2010-10-13,11376,11376,11376,11376,0,NDC
2010-10-14,11376,11376,11376,11376,0,NDC
2010-10-15,11376,11376,11376,11376,0,NDC
2010-10-18,11376,11376,11376,11376,0,NDC
2010-10-19,11376,11376,11376,11376,0,NDC
2010-10-20,11376,11376,11376,11376,0,NDC
2010-10-21,11376,11376,11376,11376,0,NDC
2010-10-22,11376,11376,11376,11376,0,NDC
2010-10-25,11376,11376,11376,11376,0,NDC
2010-10-26,11376,11376,11376,11376,0,NDC
2010-10-27,11376,11376,11376,11376,0,NDC
2010-10-28,11376,11376,11376,11376,0,NDC
2010-10-29,11376,11376,11376,11376,0,NDC
2010-11-01,11376,11376,11376,11376,0,NDC
2010-11-02,11376,11376,11376,11376,0,NDC
2010-11-03,11376,11376,11376,11376,0,NDC
2010-11-04,11376,11376,11376,11376,0,NDC
2010-11-05,11376,11376,11376,11376,0,NDC
2010-11-08,11376,11376,11376,11376,0,NDC
2010-11-09,11376,11376,11376,11376,0,NDC
2010-11-10,11376,11376,11376,11376,0,NDC
2010-11-17,18726,18726,12640,12640,4200,NDC
2010-11-18,18445,18445,18445,18445,0,NDC
2010-11-19,18445,18445,18445,18445,39500,NDC
2010-11-22,18445,18445,18445,18445,12000,NDC
2010-11-23,18445,18445,18445,18445,0,NDC
2010-11-24,18445,18445,18445,18445,0,NDC
2010-11-25,18445,18445,18445,18445,0,NDC
2010-11-26,18445,18445,18445,18445,0,NDC
2010-11-29,18445,18445,18445,18445,0,NDC
2010-11-30,18445,18445,18445,18445,0,NDC
2010-12-01,18445,18445,18445,18445,0,NDC
2010-12-02,18445,18445,18445,18445,0,NDC
2010-12-03,18445,18445,18445,18445,0,NDC
2010-12-06,18445,18445,18445,18445,0,NDC
2010-12-07,18445,18445,18445,18445,0,NDC
2010-12-08,18445,18445,18445,18445,0,NDC
2010-12-09,18445,18445,18445,18445,0,NDC
2010-12-10,18445,18445,18445,18445,0,NDC
2010-12-13,18445,18445,18445,18445,0,NDC
2010-12-14,18445,18445,18445,18445,0,NDC
2010-12-15,18445,18445,18445,18445,0,NDC
2010-12-16,18445,18445,18445,18445,0,NDC
2010-12-17,18445,18445,18445,18445,0,NDC
2010-12-20,18445,18445,18445,18445,0,NDC
