time,open,high,low,close,volume,ticker
2008-03-06,9220,9220,9220,9220,5000,NGC
2008-03-07,10142,10142,10142,10142,2200,NGC
2008-03-10,11156,11156,10449,10449,8500,NGC
2008-03-11,10142,10142,10142,10142,300,NGC
2008-03-12,10419,10419,9128,9128,500,NGC
2008-03-13,9835,9835,9189,9189,400,NGC
2008-03-14,9681,9189,9189,9189,0,NGC
2008-03-17,8728,9220,8728,9220,300,NGC
2008-03-18,9066,9220,9220,9220,0,NGC
2008-03-19,9189,9189,8175,8175,400,NGC
2008-03-20,9220,9220,7622,7622,600,NGC
2008-03-21,8851,8851,7437,7437,4100,NGC
2008-03-24,7376,7376,7376,7376,1000,NGC
2008-03-25,7376,7376,6638,6638,500,NGC
2008-03-26,7069,7069,6116,6915,1200,NGC
2008-03-27,6608,6669,6608,6669,4000,NGC
2008-03-28,6792,6792,6792,6792,3000,NGC
2008-03-31,6915,6915,6915,6915,100,NGC
2008-04-01,7038,7038,7038,7038,100,NGC
2008-04-02,7161,7161,7161,7161,100,NGC
2008-04-03,7284,7284,7284,7284,100,NGC
2008-04-04,7407,7407,7407,7407,100,NGC
2008-04-07,7622,7622,7622,7622,14000,NGC
2008-04-08,7837,7837,7837,7837,7600,NGC
2008-04-09,7991,7991,7991,7991,100,NGC
2008-04-10,7837,7837,7837,7837,500,NGC
2008-04-11,7622,7622,7622,7622,100,NGC
2008-04-16,7407,7407,7407,7407,200,NGC
2008-04-17,7191,7622,7191,7622,4900,NGC
2008-04-18,7683,7683,7253,7253,8000,NGC
2008-04-21,7622,7622,7622,7622,0,NGC
2008-04-22,7622,7622,7622,7622,0,NGC
2008-04-23,7622,7622,7622,7622,0,NGC
2008-04-24,7407,7407,7407,7407,500,NGC
2008-04-25,7191,7191,7191,7191,3000,NGC
2008-04-28,6976,6976,6976,6976,2200,NGC
2008-04-29,6792,7038,6792,6792,1800,NGC
2008-05-05,6915,6915,6915,6915,0,NGC
2008-05-06,6915,6915,6915,6915,0,NGC
2008-05-07,6915,6915,6915,6915,0,NGC
2008-05-08,6915,6915,6915,6915,0,NGC
2008-05-09,6730,6730,6730,6730,100,NGC
2008-05-12,6546,6546,6546,6546,100,NGC
2008-05-13,6362,6362,6362,6362,200,NGC
2008-05-14,6362,6362,6362,6362,0,NGC
2008-05-15,6362,6362,6362,6362,0,NGC
2008-05-16,6177,6177,6177,6177,5000,NGC
2008-05-19,5993,5993,5993,5993,2000,NGC
2008-05-20,5993,5993,5993,5993,0,NGC
2008-05-21,5839,5839,5839,5839,100,NGC
2008-05-22,5685,5685,5685,5685,100,NGC
2008-05-23,5532,5532,5532,5532,1300,NGC
2008-05-26,5532,5532,5532,5532,0,NGC
2008-05-27,5532,5532,5532,5532,0,NGC
2008-05-28,5532,5532,5532,5532,0,NGC
2008-05-29,5685,5685,5378,5378,200,NGC
2008-05-30,5378,5378,5378,5378,100,NGC
2008-06-02,5378,5378,5378,5378,0,NGC
2008-06-03,5378,5378,5378,5378,0,NGC
2008-06-04,5378,5378,5378,5378,0,NGC
2008-06-05,5224,5224,5224,5224,100,NGC
2008-06-06,5071,5378,5071,5378,200,NGC
2008-06-09,5224,5224,5224,5224,0,NGC
2008-06-10,5071,5071,5071,5071,100,NGC
2008-06-11,4948,5194,4948,5194,300,NGC
2008-06-12,5040,5040,5040,5040,800,NGC
2008-06-13,4917,4917,4917,4917,8400,NGC
2008-06-16,5040,5040,4917,5040,800,NGC
2008-06-17,5009,5132,5009,5132,2300,NGC
2008-06-18,5009,5009,5009,5009,0,NGC
2008-06-19,5009,5009,5009,5009,0,NGC
2008-06-20,5194,5194,5194,5194,100,NGC
2008-06-23,5194,5194,5194,5194,0,NGC
2008-06-24,5378,5378,5378,5378,100,NGC
2008-06-25,5593,5593,5593,5593,100,NGC
2008-06-26,5808,5808,5409,5409,200,NGC
2008-06-27,5409,5409,5409,5409,700,NGC
2008-06-30,5624,5624,5624,5624,100,NGC
2008-07-01,5624,5624,5409,5409,1800,NGC
2008-07-02,5655,5655,5655,5655,100,NGC
2008-07-03,5839,5870,5839,5870,800,NGC
2008-07-04,5870,5993,5655,5993,2900,NGC
2008-07-07,5870,5870,5870,5870,0,NGC
2008-07-08,5870,5870,5870,5870,0,NGC
2008-07-09,5685,5685,5685,5685,200,NGC
2008-07-10,5532,5532,5532,5532,100,NGC
2008-07-11,5317,5317,5317,5317,2900,NGC
2008-07-14,5501,5501,5255,5501,9500,NGC
2008-07-15,5102,5470,5102,5470,2100,NGC
2008-07-16,5194,5194,5194,5194,1200,NGC
2008-07-17,5378,5378,5378,5378,2800,NGC
2008-07-18,5593,5593,5163,5593,2900,NGC
2008-07-21,5347,5347,5347,5347,100,NGC
2008-07-22,5163,5163,5163,5163,100,NGC
2008-07-23,4979,4979,4979,4979,2400,NGC
2008-07-24,4794,5163,4794,5163,15700,NGC
2008-07-25,5163,5163,5163,5163,700,NGC
2008-07-28,5347,5347,5347,5347,6200,NGC
2008-07-29,5532,5532,5532,5532,3200,NGC
2008-07-30,5747,5747,5747,5747,4600,NGC
2008-07-31,5962,5962,5839,5962,5600,NGC
2008-08-01,6147,6147,6147,6147,2100,NGC
2008-08-04,6392,6392,6392,6392,3300,NGC
2008-08-05,6638,6638,6423,6546,11400,NGC
2008-08-06,6331,6823,6331,6823,18400,NGC
2008-08-07,6546,6792,6546,6792,7400,NGC
2008-08-08,7019,7019,6987,7019,7200,NGC
2008-08-11,7276,7276,7276,7276,1800,NGC
2008-08-12,7276,7566,7276,7566,7100,NGC
