time,open,high,low,close,volume,ticker
2017-09-08,9357,9565,8733,9357,31300,NHH
2017-09-11,8837,8837,8317,8317,6000,NHH
2017-09-12,8317,8317,7278,7797,8700,NHH
2017-09-13,8171,8413,8171,8401,60000,NHH
2017-09-14,8171,8401,8171,8401,28600,NHH
2017-09-15,8286,8747,8263,8747,19200,NHH
2017-09-18,8758,8991,8758,8991,17000,NHH
2017-09-19,8781,9342,8781,9225,31600,NHH
2017-09-20,9073,9400,7940,9342,55300,NHH
2017-09-21,9400,9517,9389,9412,10200,NHH
2017-09-22,9377,9470,9377,9389,12600,NHH
2017-09-25,9353,9564,9353,9564,15200,NHH
2017-09-26,9494,9610,9494,9610,21100,NHH
2017-09-27,9692,9867,9692,9809,8100,NHH
2017-09-28,9867,10159,9867,10159,9300,NHH
2017-09-29,10218,10276,10101,10148,8800,NHH
2017-10-02,9926,10159,9704,9704,8300,NHH
2017-10-03,9984,9984,9529,9809,1500,NHH
2017-10-04,9575,9587,9575,9587,16200,NHH
2017-10-05,9634,9984,9634,9984,43500,NHH
2017-10-06,9739,9809,9715,9809,1500,NHH
2017-10-09,9739,9751,9739,9751,1100,NHH
2017-10-10,9575,9926,9575,9914,69900,NHH
2017-10-11,9926,9926,9715,9715,1400,NHH
2017-10-12,9914,9914,9762,9762,2300,NHH
2017-10-13,9914,9914,9809,9809,33600,NHH
2017-10-16,9751,9751,9751,9751,1100,NHH
2017-10-17,9843,9843,9843,9843,100,NHH
2017-10-18,9855,9855,9843,9843,6500,NHH
2017-10-19,9843,9843,9843,9843,1300,NHH
2017-10-20,9843,9843,9843,9843,1300,NHH
2017-10-23,9843,9843,9784,9784,2400,NHH
2017-10-24,9724,9843,9724,9843,4000,NHH
2017-10-25,9819,9819,9819,9819,0,NHH
2017-10-26,9819,9819,9819,9819,0,NHH
2017-10-27,9819,9819,9819,9819,0,NHH
2017-10-30,9630,9843,9606,9843,1500,NHH
2017-10-31,9487,9487,9262,9262,4100,NHH
2017-11-01,9309,9309,9309,9309,1200,NHH
2017-11-02,9250,9309,9250,9250,2200,NHH
2017-11-03,9309,9309,9309,9309,0,NHH
2017-11-06,9309,9309,9309,9309,0,NHH
2017-11-07,9524,9524,9524,9524,2000,NHH
2017-11-08,9524,9524,9524,9524,0,NHH
2017-11-09,9524,9524,9524,9524,23400,NHH
2017-11-10,9524,9524,9524,9524,0,NHH
2017-11-13,9762,10000,9762,10000,12100,NHH
2017-11-14,9774,9774,9762,9762,1000,NHH
2017-11-15,9166,9786,9166,9774,2200,NHH
2017-11-16,9821,9821,9821,9821,400,NHH
2017-11-17,9940,9940,9940,9940,200,NHH
2017-11-20,9940,9952,9940,9952,700,NHH
2017-11-21,9940,9952,9940,9952,3200,NHH
2017-11-22,9952,9952,9952,9952,3900,NHH
2017-11-23,9952,9952,9952,9952,9600,NHH
2017-11-24,9952,9952,9952,9952,1000,NHH
2017-11-27,9952,9952,9952,9952,800,NHH
2017-11-28,9405,9405,9405,9405,10000,NHH
2017-11-29,10119,10476,10119,10476,500,NHH
2017-11-30,10166,10166,10166,10166,3500,NHH
2017-12-01,9762,9762,9762,9762,400,NHH
2017-12-04,10476,11226,10357,10357,20500,NHH
2017-12-05,10714,10833,10714,10714,9500,NHH
2017-12-06,10833,10833,10714,10774,9400,NHH
2017-12-07,10238,11012,10238,11012,69500,NHH
2017-12-08,10476,11297,10119,10738,13900,NHH
2017-12-11,12417,12417,10369,10369,15800,NHH
2017-12-12,10131,10238,9643,10238,14600,NHH
2017-12-13,10190,10405,9881,10357,5575100,NHH
2017-12-14,10714,10833,10262,10333,24300,NHH
2017-12-15,10143,10488,10119,10178,9500,NHH
2017-12-18,10119,10119,9643,9881,78600,NHH
2017-12-19,9762,9774,9655,9762,20500,NHH
2017-12-20,9702,10107,9702,9881,28400,NHH
2017-12-21,9995,10245,9995,10234,10500,NHH
2017-12-22,11436,11436,11006,11315,7100,NHH
2017-12-25,11154,11154,11141,11141,500,NHH
2017-12-26,11141,11543,11141,11530,24300,NHH
2017-12-27,11543,11543,11275,11409,7900,NHH
2017-12-28,11409,11409,11275,11275,4600,NHH
2017-12-29,11409,11449,11396,11449,21000,NHH
2018-01-02,11637,11637,11154,11409,148400,NHH
2018-01-03,11208,11208,11208,11208,100,NHH
2018-01-04,11141,11141,10872,10872,8500,NHH
2018-01-05,10872,10872,10469,10604,21900,NHH
2018-01-08,10617,11476,10604,11476,4000,NHH
2018-01-09,10671,10671,10671,10671,100,NHH
2018-01-10,11422,12080,11396,11396,7000,NHH
2018-01-11,11892,11892,11892,11892,0,NHH
2018-01-12,11342,11342,11328,11328,300,NHH
2018-01-15,10899,11275,10738,11275,37200,NHH
2018-01-16,11901,11901,11901,11901,7400,NHH
2018-01-17,13828,13828,13828,13828,1100,NHH
2018-01-18,12437,12437,12437,12437,100,NHH
2018-01-19,13125,13125,13109,13125,12400,NHH
2018-01-22,13125,13125,13125,13125,0,NHH
2018-01-23,13125,13125,13125,13125,0,NHH
2018-01-24,12500,12500,12500,12500,1000,NHH
2018-01-25,12500,12500,12500,12500,0,NHH
2018-01-26,12500,12500,12000,12000,300,NHH
2018-01-29,13031,13031,13031,13031,2000,NHH
2018-01-30,13016,13016,12812,12812,7000,NHH
2018-01-31,12969,12969,12891,12891,19200,NHH
2018-02-01,12922,12922,12922,12922,0,NHH
2018-02-02,13031,13031,13031,13031,600,NHH
2018-02-05,12031,12812,12031,12812,3500,NHH
2018-02-06,12359,12359,12359,12359,0,NHH
2018-02-07,12500,12500,12500,12500,200,NHH
2018-02-08,12500,12500,12500,12500,0,NHH
2018-02-09,12187,12937,12187,12937,13400,NHH
2018-02-12,13463,13463,13463,13463,60000,NHH
2018-02-13,13463,13463,13463,13463,0,NHH
2018-02-21,13709,13709,13709,13709,1000,NHH
2018-02-22,11657,13463,11657,13463,3900,NHH
2018-02-23,13299,13299,13299,13299,9700,NHH
2018-02-26,13299,13381,13134,13134,34400,NHH
2018-02-27,12002,13299,12002,13299,24800,NHH
2018-02-28,13282,13282,13282,13282,0,NHH
2018-03-01,13282,13282,13282,13282,0,NHH
